"year","area","city","town","week","cases"
1998,"Eastern","Taitung County","Beinan Township",1,"0"
1998,"Eastern","Taitung County","Beinan Township",2,"0"
1998,"Eastern","Taitung County","Beinan Township",3,"0"
1998,"Eastern","Taitung County","Beinan Township",4,"0"
1998,"Eastern","Taitung County","Beinan Township",5,"0"
1998,"Eastern","Taitung County","Beinan Township",6,"0"
1998,"Eastern","Taitung County","Beinan Township",7,"0"
1998,"Eastern","Taitung County","Beinan Township",8,"0"
1998,"Eastern","Taitung County","Beinan Township",9,"0"
1998,"Eastern","Taitung County","Beinan Township",10,"0"
1998,"Eastern","Taitung County","Beinan Township",11,"0"
1998,"Eastern","Taitung County","Beinan Township",12,"0"
1998,"Eastern","Taitung County","Beinan Township",13,"0"
1998,"Eastern","Taitung County","Beinan Township",14,"0"
1998,"Eastern","Taitung County","Beinan Township",15,"0"
1998,"Eastern","Taitung County","Beinan Township",16,"0"
1998,"Eastern","Taitung County","Beinan Township",17,"0"
1998,"Eastern","Taitung County","Beinan Township",18,"0"
1998,"Eastern","Taitung County","Beinan Township",19,"0"
1998,"Eastern","Taitung County","Beinan Township",20,"0"
1998,"Eastern","Taitung County","Beinan Township",21,"0"
1998,"Eastern","Taitung County","Beinan Township",22,"0"
1998,"Eastern","Taitung County","Beinan Township",23,"0"
1998,"Eastern","Taitung County","Beinan Township",24,"0"
1998,"Eastern","Taitung County","Beinan Township",25,"0"
1998,"Eastern","Taitung County","Beinan Township",26,"0"
1998,"Eastern","Taitung County","Beinan Township",27,"0"
1998,"Eastern","Taitung County","Beinan Township",28,"0"
1998,"Eastern","Taitung County","Beinan Township",29,"0"
1998,"Eastern","Taitung County","Beinan Township",30,"0"
1998,"Eastern","Taitung County","Beinan Township",31,"0"
1998,"Eastern","Taitung County","Beinan Township",32,"0"
1998,"Eastern","Taitung County","Beinan Township",33,"0"
1998,"Eastern","Taitung County","Beinan Township",34,"0"
1998,"Eastern","Taitung County","Beinan Township",35,"0"
1998,"Eastern","Taitung County","Beinan Township",36,"0"
1998,"Eastern","Taitung County","Beinan Township",37,"0"
1998,"Eastern","Taitung County","Beinan Township",38,"0"
1998,"Eastern","Taitung County","Beinan Township",39,"0"
1998,"Eastern","Taitung County","Beinan Township",40,"0"
1998,"Eastern","Taitung County","Beinan Township",41,"0"
1998,"Eastern","Taitung County","Beinan Township",42,"0"
1998,"Eastern","Taitung County","Beinan Township",43,"0"
1998,"Eastern","Taitung County","Beinan Township",44,"0"
1998,"Eastern","Taitung County","Beinan Township",45,"0"
1998,"Eastern","Taitung County","Beinan Township",46,"0"
1998,"Eastern","Taitung County","Beinan Township",47,"0"
1998,"Eastern","Taitung County","Beinan Township",48,"0"
1998,"Eastern","Taitung County","Beinan Township",49,"0"
1998,"Eastern","Taitung County","Beinan Township",50,"0"
1998,"Eastern","Taitung County","Beinan Township",51,"0"
1998,"Eastern","Taitung County","Beinan Township",52,"0"
1998,"Eastern","Taitung County","Beinan Township",53,"0"
1999,"Eastern","Taitung County","Beinan Township",1,"0"
1999,"Eastern","Taitung County","Beinan Township",2,"0"
1999,"Eastern","Taitung County","Beinan Township",3,"0"
1999,"Eastern","Taitung County","Beinan Township",4,"0"
1999,"Eastern","Taitung County","Beinan Township",5,"0"
1999,"Eastern","Taitung County","Beinan Township",6,"0"
1999,"Eastern","Taitung County","Beinan Township",7,"0"
1999,"Eastern","Taitung County","Beinan Township",8,"0"
1999,"Eastern","Taitung County","Beinan Township",9,"0"
1999,"Eastern","Taitung County","Beinan Township",10,"0"
1999,"Eastern","Taitung County","Beinan Township",11,"0"
1999,"Eastern","Taitung County","Beinan Township",12,"0"
1999,"Eastern","Taitung County","Beinan Township",13,"0"
1999,"Eastern","Taitung County","Beinan Township",14,"0"
1999,"Eastern","Taitung County","Beinan Township",15,"0"
