"year","area","city","town","week","cases"
1998,"Central","Taichung City","Beitun District",1,"0"
1998,"Central","Taichung City","Beitun District",2,"0"
1998,"Central","Taichung City","Beitun District",3,"0"
1998,"Central","Taichung City","Beitun District",4,"0"
1998,"Central","Taichung City","Beitun District",5,"0"
1998,"Central","Taichung City","Beitun District",6,"0"
1998,"Central","Taichung City","Beitun District",7,"0"
1998,"Central","Taichung City","Beitun District",8,"0"
1998,"Central","Taichung City","Beitun District",9,"0"
1998,"Central","Taichung City","Beitun District",10,"0"
1998,"Central","Taichung City","Beitun District",11,"0"
1998,"Central","Taichung City","Beitun District",12,"0"
1998,"Central","Taichung City","Beitun District",13,"0"
1998,"Central","Taichung City","Beitun District",14,"0"
1998,"Central","Taichung City","Beitun District",15,"0"
1998,"Central","Taichung City","Beitun District",16,"0"
1998,"Central","Taichung City","Beitun District",17,"0"
1998,"Central","Taichung City","Beitun District",18,"0"
1998,"Central","Taichung City","Beitun District",19,"0"
1998,"Central","Taichung City","Beitun District",20,"0"
1998,"Central","Taichung City","Beitun District",21,"0"
1998,"Central","Taichung City","Beitun District",22,"0"
1998,"Central","Taichung City","Beitun District",23,"0"
1998,"Central","Taichung City","Beitun District",24,"0"
1998,"Central","Taichung City","Beitun District",25,"0"
1998,"Central","Taichung City","Beitun District",26,"0"
1998,"Central","Taichung City","Beitun District",27,"0"
1998,"Central","Taichung City","Beitun District",28,"0"
1998,"Central","Taichung City","Beitun District",29,"0"
1998,"Central","Taichung City","Beitun District",30,"0"
1998,"Central","Taichung City","Beitun District",31,"0"
1998,"Central","Taichung City","Beitun District",32,"0"
1998,"Central","Taichung City","Beitun District",33,"0"
1998,"Central","Taichung City","Beitun District",34,"0"
1998,"Central","Taichung City","Beitun District",35,"0"
1998,"Central","Taichung City","Beitun District",36,"0"
1998,"Central","Taichung City","Beitun District",37,"0"
1998,"Central","Taichung City","Beitun District",38,"0"
1998,"Central","Taichung City","Beitun District",39,"0"
1998,"Central","Taichung City","Beitun District",40,"0"
1998,"Central","Taichung City","Beitun District",41,"0"
1998,"Central","Taichung City","Beitun District",42,"0"
1998,"Central","Taichung City","Beitun District",43,"0"
1998,"Central","Taichung City","Beitun District",44,"0"
1998,"Central","Taichung City","Beitun District",45,"0"
1998,"Central","Taichung City","Beitun District",46,"0"
1998,"Central","Taichung City","Beitun District",47,"0"
1998,"Central","Taichung City","Beitun District",48,"0"
1998,"Central","Taichung City","Beitun District",49,"0"
1998,"Central","Taichung City","Beitun District",50,"0"
1998,"Central","Taichung City","Beitun District",51,"0"
1998,"Central","Taichung City","Beitun District",52,"0"
1998,"Central","Taichung City","Beitun District",53,"0"
1999,"Central","Taichung City","Beitun District",1,"0"
1999,"Central","Taichung City","Beitun District",2,"0"
1999,"Central","Taichung City","Beitun District",3,"0"
1999,"Central","Taichung City","Beitun District",4,"0"
1999,"Central","Taichung City","Beitun District",5,"0"
1999,"Central","Taichung City","Beitun District",6,"0"
1999,"Central","Taichung City","Beitun District",7,"0"
1999,"Central","Taichung City","Beitun District",8,"0"
1999,"Central","Taichung City","Beitun District",9,"0"
1999,"Central","Taichung City","Beitun District",10,"0"
1999,"Central","Taichung City","Beitun District",11,"0"
1999,"Central","Taichung City","Beitun District",12,"0"
1999,"Central","Taichung City","Beitun District",13,"0"
1999,"Central","Taichung City","Beitun District",14,"0"
1999,"Central","Taichung City","Beitun District",15,"0"
1999,"Central","Taichung City","Beitun District",16,"0"
1999,"Central","Taichung City","Beitun District",17,"0"
1999,"Central","Taichung City","Beitun District",18,"0"
1999,"Central","Taichung City","Beitun District",19,"0"
1999,"Central","Taichung City","Beitun District",20,"0"
1999,"Central","Taichung City","Beitun District",21,"0"
1999,"Central","Taichung City","Beitun District",22,"0"
1999,"Central","Taichung City","Beitun District",23,"0"
1999,"Central","Taichung City","Beitun District",24,"0"
1999,"Central","Taichung City","Beitun District",25,"0"
1999,"Central","Taichung City","Beitun District",26,"0"
1999,"Central","Taichung City","Beitun District",27,"0"
1999,"Central","Taichung City","Beitun District",28,"0"
1999,"Central","Taichung City","Beitun District",29,"0"
1999,"Central","Taichung City","Beitun District",30,"0"
1999,"Central","Taichung City","Beitun District",31,"0"
1999,"Central","Taichung City","Beitun District",32,"0"
1999,"Central","Taichung City","Beitun District",33,"0"
1999,"Central","Taichung City","Beitun District",34,"0"
1999,"Central","Taichung City","Beitun District",35,"0"
1999,"Central","Taichung City","Beitun District",36,"0"
1999,"Central","Taichung City","Beitun District",37,"0"
1999,"Central","Taichung City","Beitun District",38,"0"
1999,"Central","Taichung City","Beitun District",39,"0"
1999,"Central","Taichung City","Beitun District",40,"0"
1999,"Central","Taichung City","Beitun District",41,"0"
1999,"Central","Taichung City","Beitun District",42,"0"
1999,"Central","Taichung City","Beitun District",43,"0"
1999,"Central","Taichung City","Beitun District",44,"0"
1999,"Central","Taichung City","Beitun District",45,"0"
1999,"Central","Taichung City","Beitun District",46,"0"
1999,"Central","Taichung City","Beitun District",47,"0"
1999,"Central","Taichung City","Beitun District",48,"0"
1999,"Central","Taichung City","Beitun District",49,"0"
1999,"Central","Taichung City","Beitun District",50,"0"
1999,"Central","Taichung City","Beitun District",51,"0"
1999,"Central","Taichung City","Beitun District",52,"0"
1999,"Central","Taichung City","Beitun District",53,"0"
2000,"Central","Taichung City","Beitun District",1,"0"
2000,"Central","Taichung City","Beitun District",2,"0"
2000,"Central","Taichung City","Beitun District",3,"0"
2000,"Central","Taichung City","Beitun District",4,"0"
2000,"Central","Taichung City","Beitun District",5,"0"
2000,"Central","Taichung City","Beitun District",6,"0"
2000,"Central","Taichung City","Beitun District",7,"0"
2000,"Central","Taichung City","Beitun District",8,"0"
2000,"Central","Taichung City","Beitun District",9,"0"
2000,"Central","Taichung City","Beitun District",10,"0"
2000,"Central","Taichung City","Beitun District",11,"0"
2000,"Central","Taichung City","Beitun District",12,"0"
2000,"Central","Taichung City","Beitun District",13,"0"
2000,"Central","Taichung City","Beitun District",14,"0"
2000,"Central","Taichung City","Beitun District",15,"0"
2000,"Central","Taichung City","Beitun District",16,"0"
2000,"Central","Taichung City","Beitun District",17,"0"
2000,"Central","Taichung City","Beitun District",18,"0"
2000,"Central","Taichung City","Beitun District",19,"0"
2000,"Central","Taichung City","Beitun District",20,"0"
2000,"Central","Taichung City","Beitun District",21,"0"
2000,"Central","Taichung City","Beitun District",22,"0"
2000,"Central","Taichung City","Beitun District",23,"0"
2000,"Central","Taichung City","Beitun District",24,"0"
2000,"Central","Taichung City","Beitun District",25,"0"
2000,"Central","Taichung City","Beitun District",26,"0"
2000,"Central","Taichung City","Beitun District",27,"0"
2000,"Central","Taichung City","Beitun District",28,"0"
2000,"Central","Taichung City","Beitun District",29,"0"
2000,"Central","Taichung City","Beitun District",30,"0"
2000,"Central","Taichung City","Beitun District",31,"0"
2000,"Central","Taichung City","Beitun District",32,"0"
2000,"Central","Taichung City","Beitun District",33,"0"
2000,"Central","Taichung City","Beitun District",34,"0"
2000,"Central","Taichung City","Beitun District",35,"0"
2000,"Central","Taichung City","Beitun District",36,"0"
2000,"Central","Taichung City","Beitun District",37,"0"
2000,"Central","Taichung City","Beitun District",38,"0"
2000,"Central","Taichung City","Beitun District",39,"0"
2000,"Central","Taichung City","Beitun District",40,"0"
2000,"Central","Taichung City","Beitun District",41,"0"
2000,"Central","Taichung City","Beitun District",42,"0"
2000,"Central","Taichung City","Beitun District",43,"0"
2000,"Central","Taichung City","Beitun District",44,"0"
2000,"Central","Taichung City","Beitun District",45,"1"
2000,"Central","Taichung City","Beitun District",46,"0"
2000,"Central","Taichung City","Beitun District",47,"0"
2000,"Central","Taichung City","Beitun District",48,"0"
2000,"Central","Taichung City","Beitun District",49,"0"
2000,"Central","Taichung City","Beitun District",50,"0"
2000,"Central","Taichung City","Beitun District",51,"0"
2000,"Central","Taichung City","Beitun District",52,"0"
2000,"Central","Taichung City","Beitun District",53,"0"
2001,"Central","Taichung City","Beitun District",1,"0"
2001,"Central","Taichung City","Beitun District",2,"0"
2001,"Central","Taichung City","Beitun District",3,"0"
2001,"Central","Taichung City","Beitun District",4,"0"
2001,"Central","Taichung City","Beitun District",5,"0"
2001,"Central","Taichung City","Beitun District",6,"0"
2001,"Central","Taichung City","Beitun District",7,"0"
2001,"Central","Taichung City","Beitun District",8,"0"
2001,"Central","Taichung City","Beitun District",9,"0"
2001,"Central","Taichung City","Beitun District",10,"0"
2001,"Central","Taichung City","Beitun District",11,"0"
2001,"Central","Taichung City","Beitun District",12,"0"
2001,"Central","Taichung City","Beitun District",13,"0"
2001,"Central","Taichung City","Beitun District",14,"0"
2001,"Central","Taichung City","Beitun District",15,"0"
2001,"Central","Taichung City","Beitun District",16,"0"
2001,"Central","Taichung City","Beitun District",17,"0"
2001,"Central","Taichung City","Beitun District",18,"0"
2001,"Central","Taichung City","Beitun District",19,"0"
2001,"Central","Taichung City","Beitun District",20,"0"
2001,"Central","Taichung City","Beitun District",21,"0"
2001,"Central","Taichung City","Beitun District",22,"0"
2001,"Central","Taichung City","Beitun District",23,"0"
2001,"Central","Taichung City","Beitun District",24,"0"
2001,"Central","Taichung City","Beitun District",25,"0"
2001,"Central","Taichung City","Beitun District",26,"0"
2001,"Central","Taichung City","Beitun District",27,"0"
2001,"Central","Taichung City","Beitun District",28,"0"
2001,"Central","Taichung City","Beitun District",29,"0"
2001,"Central","Taichung City","Beitun District",30,"0"
2001,"Central","Taichung City","Beitun District",31,"0"
2001,"Central","Taichung City","Beitun District",32,"0"
2001,"Central","Taichung City","Beitun District",33,"0"
2001,"Central","Taichung City","Beitun District",34,"1"
2001,"Central","Taichung City","Beitun District",35,"0"
2001,"Central","Taichung City","Beitun District",36,"0"
2001,"Central","Taichung City","Beitun District",37,"0"
2001,"Central","Taichung City","Beitun District",38,"0"
2001,"Central","Taichung City","Beitun District",39,"0"
2001,"Central","Taichung City","Beitun District",40,"0"
2001,"Central","Taichung City","Beitun District",41,"0"
2001,"Central","Taichung City","Beitun District",42,"0"
2001,"Central","Taichung City","Beitun District",43,"0"
2001,"Central","Taichung City","Beitun District",44,"0"
2001,"Central","Taichung City","Beitun District",45,"0"
2001,"Central","Taichung City","Beitun District",46,"0"
2001,"Central","Taichung City","Beitun District",47,"0"
2001,"Central","Taichung City","Beitun District",48,"0"
2001,"Central","Taichung City","Beitun District",49,"0"
2001,"Central","Taichung City","Beitun District",50,"0"
2001,"Central","Taichung City","Beitun District",51,"0"
2001,"Central","Taichung City","Beitun District",52,"0"
2001,"Central","Taichung City","Beitun District",53,"0"
2002,"Central","Taichung City","Beitun District",1,"0"
2002,"Central","Taichung City","Beitun District",2,"0"
2002,"Central","Taichung City","Beitun District",3,"0"
2002,"Central","Taichung City","Beitun District",4,"0"
2002,"Central","Taichung City","Beitun District",5,"0"
2002,"Central","Taichung City","Beitun District",6,"0"
2002,"Central","Taichung City","Beitun District",7,"1"
2002,"Central","Taichung City","Beitun District",8,"0"
2002,"Central","Taichung City","Beitun District",9,"0"
2002,"Central","Taichung City","Beitun District",10,"0"
2002,"Central","Taichung City","Beitun District",11,"0"
2002,"Central","Taichung City","Beitun District",12,"0"
2002,"Central","Taichung City","Beitun District",13,"0"
2002,"Central","Taichung City","Beitun District",14,"0"
2002,"Central","Taichung City","Beitun District",15,"1"
2002,"Central","Taichung City","Beitun District",16,"0"
2002,"Central","Taichung City","Beitun District",17,"0"
2002,"Central","Taichung City","Beitun District",18,"0"
2002,"Central","Taichung City","Beitun District",19,"0"
2002,"Central","Taichung City","Beitun District",20,"0"
2002,"Central","Taichung City","Beitun District",21,"0"
2002,"Central","Taichung City","Beitun District",22,"0"
2002,"Central","Taichung City","Beitun District",23,"0"
2002,"Central","Taichung City","Beitun District",24,"0"
2002,"Central","Taichung City","Beitun District",25,"0"
2002,"Central","Taichung City","Beitun District",26,"0"
2002,"Central","Taichung City","Beitun District",27,"0"
2002,"Central","Taichung City","Beitun District",28,"1"
2002,"Central","Taichung City","Beitun District",29,"0"
2002,"Central","Taichung City","Beitun District",30,"0"
2002,"Central","Taichung City","Beitun District",31,"0"
2002,"Central","Taichung City","Beitun District",32,"0"
2002,"Central","Taichung City","Beitun District",33,"0"
2002,"Central","Taichung City","Beitun District",34,"0"
2002,"Central","Taichung City","Beitun District",35,"0"
2002,"Central","Taichung City","Beitun District",36,"0"
2002,"Central","Taichung City","Beitun District",37,"0"
2002,"Central","Taichung City","Beitun District",38,"0"
2002,"Central","Taichung City","Beitun District",39,"0"
2002,"Central","Taichung City","Beitun District",40,"0"
2002,"Central","Taichung City","Beitun District",41,"0"
2002,"Central","Taichung City","Beitun District",42,"0"
2002,"Central","Taichung City","Beitun District",43,"0"
2002,"Central","Taichung City","Beitun District",44,"0"
2002,"Central","Taichung City","Beitun District",45,"0"
2002,"Central","Taichung City","Beitun District",46,"0"
2002,"Central","Taichung City","Beitun District",47,"0"
2002,"Central","Taichung City","Beitun District",48,"0"
2002,"Central","Taichung City","Beitun District",49,"0"
2002,"Central","Taichung City","Beitun District",50,"0"
2002,"Central","Taichung City","Beitun District",51,"0"
2002,"Central","Taichung City","Beitun District",52,"0"
2002,"Central","Taichung City","Beitun District",53,"0"
2003,"Central","Taichung City","Beitun District",1,"0"
2003,"Central","Taichung City","Beitun District",2,"1"
2003,"Central","Taichung City","Beitun District",3,"0"
2003,"Central","Taichung City","Beitun District",4,"0"
2003,"Central","Taichung City","Beitun District",5,"0"
2003,"Central","Taichung City","Beitun District",6,"0"
2003,"Central","Taichung City","Beitun District",7,"0"
2003,"Central","Taichung City","Beitun District",8,"0"
2003,"Central","Taichung City","Beitun District",9,"0"
2003,"Central","Taichung City","Beitun District",10,"0"
2003,"Central","Taichung City","Beitun District",11,"0"
2003,"Central","Taichung City","Beitun District",12,"0"
2003,"Central","Taichung City","Beitun District",13,"0"
2003,"Central","Taichung City","Beitun District",14,"0"
2003,"Central","Taichung City","Beitun District",15,"0"
2003,"Central","Taichung City","Beitun District",16,"0"
2003,"Central","Taichung City","Beitun District",17,"0"
2003,"Central","Taichung City","Beitun District",18,"0"
2003,"Central","Taichung City","Beitun District",19,"0"
2003,"Central","Taichung City","Beitun District",20,"0"
2003,"Central","Taichung City","Beitun District",21,"0"
2003,"Central","Taichung City","Beitun District",22,"0"
2003,"Central","Taichung City","Beitun District",23,"0"
2003,"Central","Taichung City","Beitun District",24,"0"
2003,"Central","Taichung City","Beitun District",25,"0"
2003,"Central","Taichung City","Beitun District",26,"0"
2003,"Central","Taichung City","Beitun District",27,"0"
2003,"Central","Taichung City","Beitun District",28,"0"
