"Year","Region","City","District","Week","Cases"
1998,"Central","Taichung City","Central District",1,"0"
1998,"Central","Taichung City","Central District",2,"0"
1998,"Central","Taichung City","Central District",3,"0"
1998,"Central","Taichung City","Central District",4,"0"
1998,"Central","Taichung City","Central District",5,"0"
1998,"Central","Taichung City","Central District",6,"0"
1998,"Central","Taichung City","Central District",7,"0"
1998,"Central","Taichung City","Central District",8,"0"
1998,"Central","Taichung City","Central District",9,"0"
1998,"Central","Taichung City","Central District",10,"0"
1998,"Central","Taichung City","Central District",11,"0"
1998,"Central","Taichung City","Central District",12,"0"
1998,"Central","Taichung City","Central District",13,"0"
1998,"Central","Taichung City","Central District",14,"0"
1998,"Central","Taichung City","Central District",15,"0"
1998,"Central","Taichung City","Central District",16,"0"
1998,"Central","Taichung City","Central District",17,"0"
1998,"Central","Taichung City","Central District",18,"0"
1998,"Central","Taichung City","Central District",19,"0"
1998,"Central","Taichung City","Central District",20,"0"
1998,"Central","Taichung City","Central District",21,"0"
1998,"Central","Taichung City","Central District",22,"0"
1998,"Central","Taichung City","Central District",23,"0"
1998,"Central","Taichung City","Central District",24,"0"
1998,"Central","Taichung City","Central District",25,"0"
1998,"Central","Taichung City","Central District",26,"0"
1998,"Central","Taichung City","Central District",27,"0"
1998,"Central","Taichung City","Central District",28,"0"
1998,"Central","Taichung City","Central District",29,"0"
1998,"Central","Taichung City","Central District",30,"0"
1998,"Central","Taichung City","Central District",31,"0"
1998,"Central","Taichung City","Central District",32,"0"
1998,"Central","Taichung City","Central District",33,"0"
1998,"Central","Taichung City","Central District",34,"0"
1998,"Central","Taichung City","Central District",35,"0"
1998,"Central","Taichung City","Central District",36,"0"
1998,"Central","Taichung City","Central District",37,"0"
1998,"Central","Taichung City","Central District",38,"0"
1998,"Central","Taichung City","Central District",39,"0"
1998,"Central","Taichung City","Central District",40,"0"
1998,"Central","Taichung City","Central District",41,"0"
1998,"Central","Taichung City","Central District",42,"0"
1998,"Central","Taichung City","Central District",43,"0"
1998,"Central","Taichung City","Central District",44,"0"
1998,"Central","Taichung City","Central District",45,"0"
1998,"Central","Taichung City","Central District",46,"0"
1998,"Central","Taichung City","Central District",47,"0"
1998,"Central","Taichung City","Central District",48,"0"
1998,"Central","Taichung City","Central District",49,"0"
1998,"Central","Taichung City","Central District",50,"0"
1998,"Central","Taichung City","Central District",51,"0"
1998,"Central","Taichung City","Central District",52,"0"
1998,"Central","Taichung City","Central District",53,"0"
1999,"Central","Taichung City","Central District",1,"0"
1999,"Central","Taichung City","Central District",2,"0"
1999,"Central","Taichung City","Central District",3,"0"
1999,"Central","Taichung City","Central District",4,"0"
1999,"Central","Taichung City","Central District",5,"0"
1999,"Central","Taichung City","Central District",6,"0"
1999,"Central","Taichung City","Central District",7,"0"
1999,"Central","Taichung City","Central District",8,"0"
1999,"Central","Taichung City","Central District",9,"0"
1999,"Central","Taichung City","Central District",10,"0"
1999,"Central","Taichung City","Central District",11,"0"
1999,"Central","Taichung City","Central District",12,"0"
1999,"Central","Taichung City","Central District",13,"0"
1999,"Central","Taichung City","Central District",14,"0"
1999,"Central","Taichung City","Central District",15,"0"
1999,"Central","Taichung City","Central District",16,"0"
1999,"Central","Taichung City","Central District",17,"0"
1999,"Central","Taichung City","Central District",18,"0"
1999,"Central","Taichung City","Central District",19,"0"
1999,"Central","Taichung City","Central District",20,"0"
1999,"Central","Taichung City","Central District",21,"0"
1999,"Central","Taichung City","Central District",22,"0"
1999,"Central","Taichung City","Central District",23,"0"
1999,"Central","Taichung City","Central District",24,"0"
1999,"Central","Taichung City","Central District",25,"0"
1999,"Central","Taichung City","Central District",26,"0"
1999,"Central","Taichung City","Central District",27,"0"
1999,"Central","Taichung City","Central District",28,"0"
1999,"Central","Taichung City","Central District",29,"0"
1999,"Central","Taichung City","Central District",30,"0"
1999,"Central","Taichung City","Central District",31,"0"
1999,"Central","Taichung City","Central District",32,"0"
1999,"Central","Taichung City","Central District",33,"0"
1999,"Central","Taichung City","Central District",34,"0"
1999,"Central","Taichung City","Central District",35,"0"
1999,"Central","Taichung City","Central District",36,"0"
1999,"Central","Taichung City","Central District",37,"0"
1999,"Central","Taichung City","Central District",38,"0"
1999,"Central","Taichung City","Central District",39,"0"
1999,"Central","Taichung City","Central District",40,"0"
1999,"Central","Taichung City","Central District",41,"0"
1999,"Central","Taichung City","Central District",42,"0"
1999,"Central","Taichung City","Central District",43,"0"
1999,"Central","Taichung City","Central District",44,"0"
1999,"Central","Taichung City","Central District",45,"0"
1999,"Central","Taichung City","Central District",46,"0"
1999,"Central","Taichung City","Central District",47,"0"
1999,"Central","Taichung City","Central District",48,"0"
1999,"Central","Taichung City","Central District",49,"0"
1999,"Central","Taichung City","Central District",50,"0"
1999,"Central","Taichung City","Central District",51,"0"
1999,"Central","Taichung City","Central District",52,"0"
1999,"Central","Taichung City","Central District",53,"0"
2000,"Central","Taichung City","Central District",1,"0"
2000,"Central","Taichung City","Central District",2,"0"
2000,"Central","Taichung City","Central District",3,"0"
2000,"Central","Taichung City","Central District",4,"0"
2000,"Central","Taichung City","Central District",5,"0"
2000,"Central","Taichung City","Central District",6,"0"
2000,"Central","Taichung City","Central District",7,"0"
