"year","area","city","town","week","cases"
1998,"Central","Taichung City","Dali District",1,"0"
1998,"Central","Taichung City","Dali District",2,"0"
1998,"Central","Taichung City","Dali District",3,"0"
1998,"Central","Taichung City","Dali District",4,"0"
1998,"Central","Taichung City","Dali District",5,"0"
1998,"Central","Taichung City","Dali District",6,"0"
1998,"Central","Taichung City","Dali District",7,"0"
1998,"Central","Taichung City","Dali District",8,"0"
1998,"Central","Taichung City","Dali District",9,"0"
1998,"Central","Taichung City","Dali District",10,"0"
1998,"Central","Taichung City","Dali District",11,"0"
1998,"Central","Taichung City","Dali District",12,"0"
1998,"Central","Taichung City","Dali District",13,"0"
1998,"Central","Taichung City","Dali District",14,"0"
1998,"Central","Taichung City","Dali District",15,"0"
1998,"Central","Taichung City","Dali District",16,"0"
1998,"Central","Taichung City","Dali District",17,"0"
1998,"Central","Taichung City","Dali District",18,"0"
1998,"Central","Taichung City","Dali District",19,"0"
1998,"Central","Taichung City","Dali District",20,"0"
1998,"Central","Taichung City","Dali District",21,"0"
1998,"Central","Taichung City","Dali District",22,"0"
1998,"Central","Taichung City","Dali District",23,"0"
1998,"Central","Taichung City","Dali District",24,"0"
1998,"Central","Taichung City","Dali District",25,"0"
1998,"Central","Taichung City","Dali District",26,"0"
1998,"Central","Taichung City","Dali District",27,"0"
1998,"Central","Taichung City","Dali District",28,"0"
1998,"Central","Taichung City","Dali District",29,"0"
1998,"Central","Taichung City","Dali District",30,"0"
1998,"Central","Taichung City","Dali District",31,"0"
1998,"Central","Taichung City","Dali District",32,"0"
1998,"Central","Taichung City","Dali District",33,"0"
1998,"Central","Taichung City","Dali District",34,"0"
1998,"Central","Taichung City","Dali District",35,"0"
1998,"Central","Taichung City","Dali District",36,"0"
1998,"Central","Taichung City","Dali District",37,"0"
1998,"Central","Taichung City","Dali District",38,"0"
1998,"Central","Taichung City","Dali District",39,"0"
1998,"Central","Taichung City","Dali District",40,"0"
1998,"Central","Taichung City","Dali District",41,"0"
1998,"Central","Taichung City","Dali District",42,"0"
1998,"Central","Taichung City","Dali District",43,"0"
1998,"Central","Taichung City","Dali District",44,"0"
1998,"Central","Taichung City","Dali District",45,"0"
1998,"Central","Taichung City","Dali District",46,"0"
1998,"Central","Taichung City","Dali District",47,"0"
1998,"Central","Taichung City","Dali District",48,"0"
1998,"Central","Taichung City","Dali District",49,"0"
1998,"Central","Taichung City","Dali District",50,"0"
1998,"Central","Taichung City","Dali District",51,"0"
1998,"Central","Taichung City","Dali District",52,"0"
1998,"Central","Taichung City","Dali District",53,"0"
1999,"Central","Taichung City","Dali District",1,"0"
1999,"Central","Taichung City","Dali District",2,"0"
1999,"Central","Taichung City","Dali District",3,"0"
1999,"Central","Taichung City","Dali District",4,"0"
1999,"Central","Taichung City","Dali District",5,"0"
1999,"Central","Taichung City","Dali District",6,"0"
