"Year","Region","City","District","Week","Cases"
1998,"Kaoping","Kaohsiung City","Daliao District",1,"0"
1998,"Kaoping","Kaohsiung City","Daliao District",2,"0"
1998,"Kaoping","Kaohsiung City","Daliao District",3,"0"
1998,"Kaoping","Kaohsiung City","Daliao District",4,"0"
1998,"Kaoping","Kaohsiung City","Daliao District",5,"0"
1998,"Kaoping","Kaohsiung City","Daliao District",6,"0"
1998,"Kaoping","Kaohsiung City","Daliao District",7,"0"
1998,"Kaoping","Kaohsiung City","Daliao District",8,"0"
1998,"Kaoping","Kaohsiung City","Daliao District",9,"0"
1998,"Kaoping","Kaohsiung City","Daliao District",10,"0"
1998,"Kaoping","Kaohsiung City","Daliao District",11,"0"
1998,"Kaoping","Kaohsiung City","Daliao District",12,"0"
1998,"Kaoping","Kaohsiung City","Daliao District",13,"0"
1998,"Kaoping","Kaohsiung City","Daliao District",14,"0"
1998,"Kaoping","Kaohsiung City","Daliao District",15,"0"
1998,"Kaoping","Kaohsiung City","Daliao District",16,"0"
1998,"Kaoping","Kaohsiung City","Daliao District",17,"0"
1998,"Kaoping","Kaohsiung City","Daliao District",18,"0"
1998,"Kaoping","Kaohsiung City","Daliao District",19,"0"
1998,"Kaoping","Kaohsiung City","Daliao District",20,"0"
1998,"Kaoping","Kaohsiung City","Daliao District",21,"0"
1998,"Kaoping","Kaohsiung City","Daliao District",22,"0"
1998,"Kaoping","Kaohsiung City","Daliao District",23,"0"
1998,"Kaoping","Kaohsiung City","Daliao District",24,"0"
1998,"Kaoping","Kaohsiung City","Daliao District",25,"0"
1998,"Kaoping","Kaohsiung City","Daliao District",26,"0"
1998,"Kaoping","Kaohsiung City","Daliao District",27,"0"
1998,"Kaoping","Kaohsiung City","Daliao District",28,"0"
1998,"Kaoping","Kaohsiung City","Daliao District",29,"0"
1998,"Kaoping","Kaohsiung City","Daliao District",30,"0"
1998,"Kaoping","Kaohsiung City","Daliao District",31,"0"
1998,"Kaoping","Kaohsiung City","Daliao District",32,"0"
1998,"Kaoping","Kaohsiung City","Daliao District",33,"0"
1998,"Kaoping","Kaohsiung City","Daliao District",34,"0"
1998,"Kaoping","Kaohsiung City","Daliao District",35,"0"
1998,"Kaoping","Kaohsiung City","Daliao District",36,"0"
1998,"Kaoping","Kaohsiung City","Daliao District",37,"0"
1998,"Kaoping","Kaohsiung City","Daliao District",38,"0"
1998,"Kaoping","Kaohsiung City","Daliao District",39,"0"
1998,"Kaoping","Kaohsiung City","Daliao District",40,"0"
1998,"Kaoping","Kaohsiung City","Daliao District",41,"0"
1998,"Kaoping","Kaohsiung City","Daliao District",42,"0"
1998,"Kaoping","Kaohsiung City","Daliao District",43,"0"
1998,"Kaoping","Kaohsiung City","Daliao District",44,"0"
1998,"Kaoping","Kaohsiung City","Daliao District",45,"0"
1998,"Kaoping","Kaohsiung City","Daliao District",46,"0"
1998,"Kaoping","Kaohsiung City","Daliao District",47,"0"
1998,"Kaoping","Kaohsiung City","Daliao District",48,"0"
