"year","area","city","town","week","cases"
1998,"Northern","Hsinchu City","East District",1,"0"
1998,"Northern","Hsinchu City","East District",2,"0"
1998,"Northern","Hsinchu City","East District",3,"0"
1998,"Northern","Hsinchu City","East District",4,"0"
1998,"Northern","Hsinchu City","East District",5,"0"
1998,"Northern","Hsinchu City","East District",6,"0"
1998,"Northern","Hsinchu City","East District",7,"0"
1998,"Northern","Hsinchu City","East District",8,"0"
1998,"Northern","Hsinchu City","East District",9,"0"
1998,"Northern","Hsinchu City","East District",10,"0"
1998,"Northern","Hsinchu City","East District",11,"0"
1998,"Northern","Hsinchu City","East District",12,"0"
1998,"Northern","Hsinchu City","East District",13,"0"
1998,"Northern","Hsinchu City","East District",14,"0"
1998,"Northern","Hsinchu City","East District",15,"0"
1998,"Northern","Hsinchu City","East District",16,"0"
1998,"Northern","Hsinchu City","East District",17,"0"
1998,"Northern","Hsinchu City","East District",18,"0"
1998,"Northern","Hsinchu City","East District",19,"0"
1998,"Northern","Hsinchu City","East District",20,"0"
1998,"Northern","Hsinchu City","East District",21,"0"
1998,"Northern","Hsinchu City","East District",22,"0"
1998,"Northern","Hsinchu City","East District",23,"0"
1998,"Northern","Hsinchu City","East District",24,"0"
1998,"Northern","Hsinchu City","East District",25,"0"
1998,"Northern","Hsinchu City","East District",26,"0"
1998,"Northern","Hsinchu City","East District",27,"0"
1998,"Northern","Hsinchu City","East District",28,"0"
1998,"Northern","Hsinchu City","East District",29,"0"
1998,"Northern","Hsinchu City","East District",30,"0"
1998,"Northern","Hsinchu City","East District",31,"0"
1998,"Northern","Hsinchu City","East District",32,"0"
1998,"Northern","Hsinchu City","East District",33,"0"
1998,"Northern","Hsinchu City","East District",34,"0"
1998,"Northern","Hsinchu City","East District",35,"0"
1998,"Northern","Hsinchu City","East District",36,"0"
1998,"Northern","Hsinchu City","East District",37,"0"
1998,"Northern","Hsinchu City","East District",38,"0"
1998,"Northern","Hsinchu City","East District",39,"0"
1998,"Northern","Hsinchu City","East District",40,"0"
1998,"Northern","Hsinchu City","East District",41,"0"
1998,"Northern","Hsinchu City","East District",42,"0"
