"Year","Region","City","District","Week","Cases"
1998,"Kaoping","Kaohsiung City","Fengshan District",1,"0"
1998,"Kaoping","Kaohsiung City","Fengshan District",2,"0"
1998,"Kaoping","Kaohsiung City","Fengshan District",3,"0"
1998,"Kaoping","Kaohsiung City","Fengshan District",4,"0"
1998,"Kaoping","Kaohsiung City","Fengshan District",5,"0"
1998,"Kaoping","Kaohsiung City","Fengshan District",6,"0"
1998,"Kaoping","Kaohsiung City","Fengshan District",7,"0"
1998,"Kaoping","Kaohsiung City","Fengshan District",8,"1"
1998,"Kaoping","Kaohsiung City","Fengshan District",9,"0"
1998,"Kaoping","Kaohsiung City","Fengshan District",10,"1"
1998,"Kaoping","Kaohsiung City","Fengshan District",11,"0"
1998,"Kaoping","Kaohsiung City","Fengshan District",12,"0"
1998,"Kaoping","Kaohsiung City","Fengshan District",13,"0"
1998,"Kaoping","Kaohsiung City","Fengshan District",14,"0"
1998,"Kaoping","Kaohsiung City","Fengshan District",15,"0"
1998,"Kaoping","Kaohsiung City","Fengshan District",16,"0"
1998,"Kaoping","Kaohsiung City","Fengshan District",17,"0"
1998,"Kaoping","Kaohsiung City","Fengshan District",18,"0"
1998,"Kaoping","Kaohsiung City","Fengshan District",19,"0"
1998,"Kaoping","Kaohsiung City","Fengshan District",20,"0"
1998,"Kaoping","Kaohsiung City","Fengshan District",21,"1"
1998,"Kaoping","Kaohsiung City","Fengshan District",22,"0"
1998,"Kaoping","Kaohsiung City","Fengshan District",23,"0"
1998,"Kaoping","Kaohsiung City","Fengshan District",24,"0"
1998,"Kaoping","Kaohsiung City","Fengshan District",25,"0"
1998,"Kaoping","Kaohsiung City","Fengshan District",26,"0"
1998,"Kaoping","Kaohsiung City","Fengshan District",27,"0"
1998,"Kaoping","Kaohsiung City","Fengshan District",28,"0"
1998,"Kaoping","Kaohsiung City","Fengshan District",29,"0"
1998,"Kaoping","Kaohsiung City","Fengshan District",30,"1"
1998,"Kaoping","Kaohsiung City","Fengshan District",31,"0"
1998,"Kaoping","Kaohsiung City","Fengshan District",32,"0"
1998,"Kaoping","Kaohsiung City","Fengshan District",33,"0"
1998,"Kaoping","Kaohsiung City","Fengshan District",34,"0"
1998,"Kaoping","Kaohsiung City","Fengshan District",35,"0"
1998,"Kaoping","Kaohsiung City","Fengshan District",36,"0"
1998,"Kaoping","Kaohsiung City","Fengshan District",37,"0"
1998,"Kaoping","Kaohsiung City","Fengshan District",38,"0"
1998,"Kaoping","Kaohsiung City","Fengshan District",39,"0"
1998,"Kaoping","Kaohsiung City","Fengshan District",40,"0"
1998,"Kaoping","Kaohsiung City","Fengshan District",41,"0"
1998,"Kaoping","Kaohsiung City","Fengshan District",42,"0"
1998,"Kaoping","Kaohsiung City","Fengshan District",43,"0"
1998,"Kaoping","Kaohsiung City","Fengshan District",44,"0"
1998,"Kaoping","Kaohsiung City","Fengshan District",45,"0"
1998,"Kaoping","Kaohsiung City","Fengshan District",46,"0"
1998,"Kaoping","Kaohsiung City","Fengshan District",47,"1"
1998,"Kaoping","Kaohsiung City","Fengshan District",48,"0"
1998,"Kaoping","Kaohsiung City","Fengshan District",49,"0"
1998,"Kaoping","Kaohsiung City","Fengshan District",50,"0"
1998,"Kaoping","Kaohsiung City","Fengshan District",51,"0"
1998,"Kaoping","Kaohsiung City","Fengshan District",52,"0"
1998,"Kaoping","Kaohsiung City","Fengshan District",53,"0"
1999,"Kaoping","Kaohsiung City","Fengshan District",1,"0"
1999,"Kaoping","Kaohsiung City","Fengshan District",2,"0"
1999,"Kaoping","Kaohsiung City","Fengshan District",3,"0"
1999,"Kaoping","Kaohsiung City","Fengshan District",4,"0"
1999,"Kaoping","Kaohsiung City","Fengshan District",5,"0"
1999,"Kaoping","Kaohsiung City","Fengshan District",6,"0"
1999,"Kaoping","Kaohsiung City","Fengshan District",7,"0"
1999,"Kaoping","Kaohsiung City","Fengshan District",8,"0"
1999,"Kaoping","Kaohsiung City","Fengshan District",9,"0"
1999,"Kaoping","Kaohsiung City","Fengshan District",10,"0"
1999,"Kaoping","Kaohsiung City","Fengshan District",11,"0"
1999,"Kaoping","Kaohsiung City","Fengshan District",12,"0"
1999,"Kaoping","Kaohsiung City","Fengshan District",13,"0"
1999,"Kaoping","Kaohsiung City","Fengshan District",14,"0"
1999,"Kaoping","Kaohsiung City","Fengshan District",15,"0"
1999,"Kaoping","Kaohsiung City","Fengshan District",16,"0"
1999,"Kaoping","Kaohsiung City","Fengshan District",17,"0"
1999,"Kaoping","Kaohsiung City","Fengshan District",18,"0"
1999,"Kaoping","Kaohsiung City","Fengshan District",19,"0"
1999,"Kaoping","Kaohsiung City","Fengshan District",20,"0"
1999,"Kaoping","Kaohsiung City","Fengshan District",21,"0"
1999,"Kaoping","Kaohsiung City","Fengshan District",22,"0"
1999,"Kaoping","Kaohsiung City","Fengshan District",23,"0"
1999,"Kaoping","Kaohsiung City","Fengshan District",24,"0"
1999,"Kaoping","Kaohsiung City","Fengshan District",25,"0"
1999,"Kaoping","Kaohsiung City","Fengshan District",26,"0"
1999,"Kaoping","Kaohsiung City","Fengshan District",27,"0"
1999,"Kaoping","Kaohsiung City","Fengshan District",28,"0"
1999,"Kaoping","Kaohsiung City","Fengshan District",29,"0"
1999,"Kaoping","Kaohsiung City","Fengshan District",30,"0"
1999,"Kaoping","Kaohsiung City","Fengshan District",31,"0"
1999,"Kaoping","Kaohsiung City","Fengshan District",32,"0"
1999,"Kaoping","Kaohsiung City","Fengshan District",33,"0"
1999,"Kaoping","Kaohsiung City","Fengshan District",34,"0"
1999,"Kaoping","Kaohsiung City","Fengshan District",35,"0"
1999,"Kaoping","Kaohsiung City","Fengshan District",36,"0"
1999,"Kaoping","Kaohsiung City","Fengshan District",37,"0"
1999,"Kaoping","Kaohsiung City","Fengshan District",38,"0"
1999,"Kaoping","Kaohsiung City","Fengshan District",39,"0"
1999,"Kaoping","Kaohsiung City","Fengshan District",40,"0"
1999,"Kaoping","Kaohsiung City","Fengshan District",41,"0"
1999,"Kaoping","Kaohsiung City","Fengshan District",42,"0"
1999,"Kaoping","Kaohsiung City","Fengshan District",43,"0"
1999,"Kaoping","Kaohsiung City","Fengshan District",44,"0"
1999,"Kaoping","Kaohsiung City","Fengshan District",45,"0"
1999,"Kaoping","Kaohsiung City","Fengshan District",46,"0"
1999,"Kaoping","Kaohsiung City","Fengshan District",47,"0"
1999,"Kaoping","Kaohsiung City","Fengshan District",48,"0"
1999,"Kaoping","Kaohsiung City","Fengshan District",49,"0"
1999,"Kaoping","Kaohsiung City","Fengshan District",50,"0"
1999,"Kaoping","Kaohsiung City","Fengshan District",51,"0"
1999,"Kaoping","Kaohsiung City","Fengshan District",52,"0"
1999,"Kaoping","Kaohsiung City","Fengshan District",53,"0"
2000,"Kaoping","Kaohsiung City","Fengshan District",1,"0"
2000,"Kaoping","Kaohsiung City","Fengshan District",2,"0"
2000,"Kaoping","Kaohsiung City","Fengshan District",3,"0"
2000,"Kaoping","Kaohsiung City","Fengshan District",4,"0"
2000,"Kaoping","Kaohsiung City","Fengshan District",5,"0"
2000,"Kaoping","Kaohsiung City","Fengshan District",6,"0"
2000,"Kaoping","Kaohsiung City","Fengshan District",7,"0"
2000,"Kaoping","Kaohsiung City","Fengshan District",8,"0"
2000,"Kaoping","Kaohsiung City","Fengshan District",9,"0"
2000,"Kaoping","Kaohsiung City","Fengshan District",10,"0"
2000,"Kaoping","Kaohsiung City","Fengshan District",11,"0"
2000,"Kaoping","Kaohsiung City","Fengshan District",12,"0"
2000,"Kaoping","Kaohsiung City","Fengshan District",13,"0"
2000,"Kaoping","Kaohsiung City","Fengshan District",14,"0"
2000,"Kaoping","Kaohsiung City","Fengshan District",15,"0"
2000,"Kaoping","Kaohsiung City","Fengshan District",16,"0"
2000,"Kaoping","Kaohsiung City","Fengshan District",17,"0"
2000,"Kaoping","Kaohsiung City","Fengshan District",18,"0"
2000,"Kaoping","Kaohsiung City","Fengshan District",19,"0"
2000,"Kaoping","Kaohsiung City","Fengshan District",20,"0"
2000,"Kaoping","Kaohsiung City","Fengshan District",21,"0"
2000,"Kaoping","Kaohsiung City","Fengshan District",22,"0"
2000,"Kaoping","Kaohsiung City","Fengshan District",23,"0"
2000,"Kaoping","Kaohsiung City","Fengshan District",24,"0"
2000,"Kaoping","Kaohsiung City","Fengshan District",25,"0"
2000,"Kaoping","Kaohsiung City","Fengshan District",26,"0"
2000,"Kaoping","Kaohsiung City","Fengshan District",27,"0"
2000,"Kaoping","Kaohsiung City","Fengshan District",28,"0"
2000,"Kaoping","Kaohsiung City","Fengshan District",29,"0"
2000,"Kaoping","Kaohsiung City","Fengshan District",30,"0"
2000,"Kaoping","Kaohsiung City","Fengshan District",31,"0"
2000,"Kaoping","Kaohsiung City","Fengshan District",32,"0"
2000,"Kaoping","Kaohsiung City","Fengshan District",33,"0"
2000,"Kaoping","Kaohsiung City","Fengshan District",34,"0"
2000,"Kaoping","Kaohsiung City","Fengshan District",35,"0"
2000,"Kaoping","Kaohsiung City","Fengshan District",36,"0"
2000,"Kaoping","Kaohsiung City","Fengshan District",37,"0"
2000,"Kaoping","Kaohsiung City","Fengshan District",38,"0"
2000,"Kaoping","Kaohsiung City","Fengshan District",39,"0"
2000,"Kaoping","Kaohsiung City","Fengshan District",40,"0"
2000,"Kaoping","Kaohsiung City","Fengshan District",41,"0"
2000,"Kaoping","Kaohsiung City","Fengshan District",42,"0"
2000,"Kaoping","Kaohsiung City","Fengshan District",43,"0"
2000,"Kaoping","Kaohsiung City","Fengshan District",44,"0"
2000,"Kaoping","Kaohsiung City","Fengshan District",45,"0"
2000,"Kaoping","Kaohsiung City","Fengshan District",46,"0"
2000,"Kaoping","Kaohsiung City","Fengshan District",47,"0"
2000,"Kaoping","Kaohsiung City","Fengshan District",48,"0"
2000,"Kaoping","Kaohsiung City","Fengshan District",49,"0"
2000,"Kaoping","Kaohsiung City","Fengshan District",50,"0"
2000,"Kaoping","Kaohsiung City","Fengshan District",51,"0"
2000,"Kaoping","Kaohsiung City","Fengshan District",52,"0"
2000,"Kaoping","Kaohsiung City","Fengshan District",53,"0"
2001,"Kaoping","Kaohsiung City","Fengshan District",1,"0"
2001,"Kaoping","Kaohsiung City","Fengshan District",2,"0"
2001,"Kaoping","Kaohsiung City","Fengshan District",3,"0"
2001,"Kaoping","Kaohsiung City","Fengshan District",4,"0"
2001,"Kaoping","Kaohsiung City","Fengshan District",5,"0"
