"Year","Region","City","District","Week","Cases"
1998,"Central","Changhua County","Fuxing Township",1,"0"
1998,"Central","Changhua County","Fuxing Township",2,"0"
1998,"Central","Changhua County","Fuxing Township",3,"0"
1998,"Central","Changhua County","Fuxing Township",4,"0"
1998,"Central","Changhua County","Fuxing Township",5,"0"
1998,"Central","Changhua County","Fuxing Township",6,"0"
1998,"Central","Changhua County","Fuxing Township",7,"0"
1998,"Central","Changhua County","Fuxing Township",8,"0"
1998,"Central","Changhua County","Fuxing Township",9,"0"
1998,"Central","Changhua County","Fuxing Township",10,"0"
1998,"Central","Changhua County","Fuxing Township",11,"0"
1998,"Central","Changhua County","Fuxing Township",12,"0"
1998,"Central","Changhua County","Fuxing Township",13,"0"
1998,"Central","Changhua County","Fuxing Township",14,"0"
1998,"Central","Changhua County","Fuxing Township",15,"0"
1998,"Central","Changhua County","Fuxing Township",16,"0"
1998,"Central","Changhua County","Fuxing Township",17,"0"
1998,"Central","Changhua County","Fuxing Township",18,"0"
1998,"Central","Changhua County","Fuxing Township",19,"0"
1998,"Central","Changhua County","Fuxing Township",20,"0"
1998,"Central","Changhua County","Fuxing Township",21,"0"
1998,"Central","Changhua County","Fuxing Township",22,"0"
1998,"Central","Changhua County","Fuxing Township",23,"0"
1998,"Central","Changhua County","Fuxing Township",24,"0"
1998,"Central","Changhua County","Fuxing Township",25,"0"
1998,"Central","Changhua County","Fuxing Township",26,"0"
1998,"Central","Changhua County","Fuxing Township",27,"0"
1998,"Central","Changhua County","Fuxing Township",28,"0"
1998,"Central","Changhua County","Fuxing Township",29,"0"
1998,"Central","Changhua County","Fuxing Township",30,"0"
1998,"Central","Changhua County","Fuxing Township",31,"0"
1998,"Central","Changhua County","Fuxing Township",32,"0"
1998,"Central","Changhua County","Fuxing Township",33,"0"
1998,"Central","Changhua County","Fuxing Township",34,"0"
1998,"Central","Changhua County","Fuxing Township",35,"0"
1998,"Central","Changhua County","Fuxing Township",36,"0"
1998,"Central","Changhua County","Fuxing Township",37,"0"
1998,"Central","Changhua County","Fuxing Township",38,"0"
1998,"Central","Changhua County","Fuxing Township",39,"0"
1998,"Central","Changhua County","Fuxing Township",40,"0"
1998,"Central","Changhua County","Fuxing Township",41,"0"
1998,"Central","Changhua County","Fuxing Township",42,"0"
1998,"Central","Changhua County","Fuxing Township",43,"0"
1998,"Central","Changhua County","Fuxing Township",44,"0"
1998,"Central","Changhua County","Fuxing Township",45,"0"
1998,"Central","Changhua County","Fuxing Township",46,"0"
1998,"Central","Changhua County","Fuxing Township",47,"0"
1998,"Central","Changhua County","Fuxing Township",48,"0"
1998,"Central","Changhua County","Fuxing Township",49,"0"
1998,"Central","Changhua County","Fuxing Township",50,"0"
1998,"Central","Changhua County","Fuxing Township",51,"0"
1998,"Central","Changhua County","Fuxing Township",52,"0"
1998,"Central","Changhua County","Fuxing Township",53,"0"
1999,"Central","Changhua County","Fuxing Township",1,"0"
1999,"Central","Changhua County","Fuxing Township",2,"0"
1999,"Central","Changhua County","Fuxing Township",3,"0"
1999,"Central","Changhua County","Fuxing Township",4,"0"
1999,"Central","Changhua County","Fuxing Township",5,"0"
1999,"Central","Changhua County","Fuxing Township",6,"0"
1999,"Central","Changhua County","Fuxing Township",7,"0"
1999,"Central","Changhua County","Fuxing Township",8,"0"
1999,"Central","Changhua County","Fuxing Township",9,"0"
1999,"Central","Changhua County","Fuxing Township",10,"0"
1999,"Central","Changhua County","Fuxing Township",11,"0"
1999,"Central","Changhua County","Fuxing Township",12,"0"
1999,"Central","Changhua County","Fuxing Township",13,"0"
1999,"Central","Changhua County","Fuxing Township",14,"0"
1999,"Central","Changhua County","Fuxing Township",15,"0"
1999,"Central","Changhua County","Fuxing Township",16,"0"
1999,"Central","Changhua County","Fuxing Township",17,"0"
1999,"Central","Changhua County","Fuxing Township",18,"0"
1999,"Central","Changhua County","Fuxing Township",19,"0"
1999,"Central","Changhua County","Fuxing Township",20,"0"
1999,"Central","Changhua County","Fuxing Township",21,"0"
1999,"Central","Changhua County","Fuxing Township",22,"0"
1999,"Central","Changhua County","Fuxing Township",23,"0"
1999,"Central","Changhua County","Fuxing Township",24,"0"
1999,"Central","Changhua County","Fuxing Township",25,"0"
1999,"Central","Changhua County","Fuxing Township",26,"0"
1999,"Central","Changhua County","Fuxing Township",27,"0"
1999,"Central","Changhua County","Fuxing Township",28,"0"
1999,"Central","Changhua County","Fuxing Township",29,"0"
1999,"Central","Changhua County","Fuxing Township",30,"0"
1999,"Central","Changhua County","Fuxing Township",31,"0"
1999,"Central","Changhua County","Fuxing Township",32,"0"
1999,"Central","Changhua County","Fuxing Township",33,"0"
1999,"Central","Changhua County","Fuxing Township",34,"0"
1999,"Central","Changhua County","Fuxing Township",35,"0"
1999,"Central","Changhua County","Fuxing Township",36,"0"
1999,"Central","Changhua County","Fuxing Township",37,"0"
1999,"Central","Changhua County","Fuxing Township",38,"0"
1999,"Central","Changhua County","Fuxing Township",39,"0"
1999,"Central","Changhua County","Fuxing Township",40,"0"
1999,"Central","Changhua County","Fuxing Township",41,"0"
1999,"Central","Changhua County","Fuxing Township",42,"0"
1999,"Central","Changhua County","Fuxing Township",43,"0"
1999,"Central","Changhua County","Fuxing Township",44,"0"
1999,"Central","Changhua County","Fuxing Township",45,"0"
1999,"Central","Changhua County","Fuxing Township",46,"0"
1999,"Central","Changhua County","Fuxing Township",47,"0"
1999,"Central","Changhua County","Fuxing Township",48,"0"
1999,"Central","Changhua County","Fuxing Township",49,"0"
1999,"Central","Changhua County","Fuxing Township",50,"0"
1999,"Central","Changhua County","Fuxing Township",51,"0"
1999,"Central","Changhua County","Fuxing Township",52,"0"
1999,"Central","Changhua County","Fuxing Township",53,"0"
2000,"Central","Changhua County","Fuxing Township",1,"0"
