"year","area","city","town","week","cases"
1998,"Northern","Taoyuan City","Guanyin District",1,"0"
1998,"Northern","Taoyuan City","Guanyin District",2,"0"
1998,"Northern","Taoyuan City","Guanyin District",3,"0"
1998,"Northern","Taoyuan City","Guanyin District",4,"0"
1998,"Northern","Taoyuan City","Guanyin District",5,"0"
1998,"Northern","Taoyuan City","Guanyin District",6,"0"
1998,"Northern","Taoyuan City","Guanyin District",7,"0"
1998,"Northern","Taoyuan City","Guanyin District",8,"0"
1998,"Northern","Taoyuan City","Guanyin District",9,"0"
1998,"Northern","Taoyuan City","Guanyin District",10,"0"
1998,"Northern","Taoyuan City","Guanyin District",11,"0"
1998,"Northern","Taoyuan City","Guanyin District",12,"0"
1998,"Northern","Taoyuan City","Guanyin District",13,"0"
1998,"Northern","Taoyuan City","Guanyin District",14,"0"
1998,"Northern","Taoyuan City","Guanyin District",15,"0"
1998,"Northern","Taoyuan City","Guanyin District",16,"0"
1998,"Northern","Taoyuan City","Guanyin District",17,"0"
1998,"Northern","Taoyuan City","Guanyin District",18,"0"
1998,"Northern","Taoyuan City","Guanyin District",19,"0"
1998,"Northern","Taoyuan City","Guanyin District",20,"0"
1998,"Northern","Taoyuan City","Guanyin District",21,"0"
1998,"Northern","Taoyuan City","Guanyin District",22,"0"
1998,"Northern","Taoyuan City","Guanyin District",23,"0"
1998,"Northern","Taoyuan City","Guanyin District",24,"0"
1998,"Northern","Taoyuan City","Guanyin District",25,"0"
1998,"Northern","Taoyuan City","Guanyin District",26,"0"
1998,"Northern","Taoyuan City","Guanyin District",27,"0"
1998,"Northern","Taoyuan City","Guanyin District",28,"0"
1998,"Northern","Taoyuan City","Guanyin District",29,"0"
1998,"Northern","Taoyuan City","Guanyin District",30,"0"
1998,"Northern","Taoyuan City","Guanyin District",31,"0"
1998,"Northern","Taoyuan City","Guanyin District",32,"0"
1998,"Northern","Taoyuan City","Guanyin District",33,"0"
1998,"Northern","Taoyuan City","Guanyin District",34,"0"
1998,"Northern","Taoyuan City","Guanyin District",35,"0"
1998,"Northern","Taoyuan City","Guanyin District",36,"0"
1998,"Northern","Taoyuan City","Guanyin District",37,"0"
1998,"Northern","Taoyuan City","Guanyin District",38,"0"
1998,"Northern","Taoyuan City","Guanyin District",39,"1"
1998,"Northern","Taoyuan City","Guanyin District",40,"0"
1998,"Northern","Taoyuan City","Guanyin District",41,"0"
1998,"Northern","Taoyuan City","Guanyin District",42,"0"
1998,"Northern","Taoyuan City","Guanyin District",43,"0"
1998,"Northern","Taoyuan City","Guanyin District",44,"0"
1998,"Northern","Taoyuan City","Guanyin District",45,"0"
1998,"Northern","Taoyuan City","Guanyin District",46,"0"
1998,"Northern","Taoyuan City","Guanyin District",47,"0"
1998,"Northern","Taoyuan City","Guanyin District",48,"0"
1998,"Northern","Taoyuan City","Guanyin District",49,"0"
1998,"Northern","Taoyuan City","Guanyin District",50,"0"
1998,"Northern","Taoyuan City","Guanyin District",51,"0"
1998,"Northern","Taoyuan City","Guanyin District",52,"0"
1998,"Northern","Taoyuan City","Guanyin District",53,"0"
1999,"Northern","Taoyuan City","Guanyin District",1,"0"
1999,"Northern","Taoyuan City","Guanyin District",2,"0"
1999,"Northern","Taoyuan City","Guanyin District",3,"0"
1999,"Northern","Taoyuan City","Guanyin District",4,"0"
1999,"Northern","Taoyuan City","Guanyin District",5,"0"
1999,"Northern","Taoyuan City","Guanyin District",6,"0"
1999,"Northern","Taoyuan City","Guanyin District",7,"0"
1999,"Northern","Taoyuan City","Guanyin District",8,"0"
1999,"Northern","Taoyuan City","Guanyin District",9,"0"
1999,"Northern","Taoyuan City","Guanyin District",10,"0"
1999,"Northern","Taoyuan City","Guanyin District",11,"0"
1999,"Northern","Taoyuan City","Guanyin District",12,"0"
1999,"Northern","Taoyuan City","Guanyin District",13,"0"
1999,"Northern","Taoyuan City","Guanyin District",14,"0"
1999,"Northern","Taoyuan City","Guanyin District",15,"0"
1999,"Northern","Taoyuan City","Guanyin District",16,"0"
1999,"Northern","Taoyuan City","Guanyin District",17,"0"
1999,"Northern","Taoyuan City","Guanyin District",18,"0"
1999,"Northern","Taoyuan City","Guanyin District",19,"0"
1999,"Northern","Taoyuan City","Guanyin District",20,"0"
1999,"Northern","Taoyuan City","Guanyin District",21,"0"
1999,"Northern","Taoyuan City","Guanyin District",22,"0"
1999,"Northern","Taoyuan City","Guanyin District",23,"0"
1999,"Northern","Taoyuan City","Guanyin District",24,"0"
