"Year","Region","City","District","Week","Cases"
1998,"Southern","Yunlin County","Gukeng Township",1,"0"
1998,"Southern","Yunlin County","Gukeng Township",2,"0"
1998,"Southern","Yunlin County","Gukeng Township",3,"0"
1998,"Southern","Yunlin County","Gukeng Township",4,"0"
1998,"Southern","Yunlin County","Gukeng Township",5,"0"
1998,"Southern","Yunlin County","Gukeng Township",6,"0"
1998,"Southern","Yunlin County","Gukeng Township",7,"0"
1998,"Southern","Yunlin County","Gukeng Township",8,"0"
1998,"Southern","Yunlin County","Gukeng Township",9,"0"
1998,"Southern","Yunlin County","Gukeng Township",10,"0"
1998,"Southern","Yunlin County","Gukeng Township",11,"0"
1998,"Southern","Yunlin County","Gukeng Township",12,"0"
1998,"Southern","Yunlin County","Gukeng Township",13,"0"
1998,"Southern","Yunlin County","Gukeng Township",14,"0"
1998,"Southern","Yunlin County","Gukeng Township",15,"0"
1998,"Southern","Yunlin County","Gukeng Township",16,"0"
1998,"Southern","Yunlin County","Gukeng Township",17,"0"
1998,"Southern","Yunlin County","Gukeng Township",18,"0"
1998,"Southern","Yunlin County","Gukeng Township",19,"0"
1998,"Southern","Yunlin County","Gukeng Township",20,"0"
1998,"Southern","Yunlin County","Gukeng Township",21,"0"
1998,"Southern","Yunlin County","Gukeng Township",22,"0"
1998,"Southern","Yunlin County","Gukeng Township",23,"0"
1998,"Southern","Yunlin County","Gukeng Township",24,"0"
1998,"Southern","Yunlin County","Gukeng Township",25,"0"
1998,"Southern","Yunlin County","Gukeng Township",26,"0"
1998,"Southern","Yunlin County","Gukeng Township",27,"0"
1998,"Southern","Yunlin County","Gukeng Township",28,"0"
1998,"Southern","Yunlin County","Gukeng Township",29,"0"
1998,"Southern","Yunlin County","Gukeng Township",30,"0"
1998,"Southern","Yunlin County","Gukeng Township",31,"0"
1998,"Southern","Yunlin County","Gukeng Township",32,"0"
1998,"Southern","Yunlin County","Gukeng Township",33,"0"
1998,"Southern","Yunlin County","Gukeng Township",34,"0"
1998,"Southern","Yunlin County","Gukeng Township",35,"0"
1998,"Southern","Yunlin County","Gukeng Township",36,"0"
1998,"Southern","Yunlin County","Gukeng Township",37,"0"
1998,"Southern","Yunlin County","Gukeng Township",38,"0"
1998,"Southern","Yunlin County","Gukeng Township",39,"0"
1998,"Southern","Yunlin County","Gukeng Township",40,"0"
1998,"Southern","Yunlin County","Gukeng Township",41,"0"
1998,"Southern","Yunlin County","Gukeng Township",42,"0"
1998,"Southern","Yunlin County","Gukeng Township",43,"0"
1998,"Southern","Yunlin County","Gukeng Township",44,"0"
1998,"Southern","Yunlin County","Gukeng Township",45,"0"
1998,"Southern","Yunlin County","Gukeng Township",46,"0"
1998,"Southern","Yunlin County","Gukeng Township",47,"0"
1998,"Southern","Yunlin County","Gukeng Township",48,"0"
1998,"Southern","Yunlin County","Gukeng Township",49,"0"
1998,"Southern","Yunlin County","Gukeng Township",50,"0"
1998,"Southern","Yunlin County","Gukeng Township",51,"0"
1998,"Southern","Yunlin County","Gukeng Township",52,"0"
1998,"Southern","Yunlin County","Gukeng Township",53,"0"
1999,"Southern","Yunlin County","Gukeng Township",1,"0"
1999,"Southern","Yunlin County","Gukeng Township",2,"0"
1999,"Southern","Yunlin County","Gukeng Township",3,"0"
1999,"Southern","Yunlin County","Gukeng Township",4,"0"
1999,"Southern","Yunlin County","Gukeng Township",5,"0"
1999,"Southern","Yunlin County","Gukeng Township",6,"0"
1999,"Southern","Yunlin County","Gukeng Township",7,"0"
1999,"Southern","Yunlin County","Gukeng Township",8,"0"
1999,"Southern","Yunlin County","Gukeng Township",9,"0"
1999,"Southern","Yunlin County","Gukeng Township",10,"0"
1999,"Southern","Yunlin County","Gukeng Township",11,"0"
1999,"Southern","Yunlin County","Gukeng Township",12,"0"
1999,"Southern","Yunlin County","Gukeng Township",13,"0"
1999,"Southern","Yunlin County","Gukeng Township",14,"0"
1999,"Southern","Yunlin County","Gukeng Township",15,"0"
1999,"Southern","Yunlin County","Gukeng Township",16,"0"
1999,"Southern","Yunlin County","Gukeng Township",17,"0"
1999,"Southern","Yunlin County","Gukeng Township",18,"0"
1999,"Southern","Yunlin County","Gukeng Township",19,"0"
1999,"Southern","Yunlin County","Gukeng Township",20,"0"
1999,"Southern","Yunlin County","Gukeng Township",21,"0"
1999,"Southern","Yunlin County","Gukeng Township",22,"0"
1999,"Southern","Yunlin County","Gukeng Township",23,"0"
1999,"Southern","Yunlin County","Gukeng Township",24,"0"
1999,"Southern","Yunlin County","Gukeng Township",25,"0"
1999,"Southern","Yunlin County","Gukeng Township",26,"0"
1999,"Southern","Yunlin County","Gukeng Township",27,"0"
1999,"Southern","Yunlin County","Gukeng Township",28,"0"
1999,"Southern","Yunlin County","Gukeng Township",29,"0"
1999,"Southern","Yunlin County","Gukeng Township",30,"0"
1999,"Southern","Yunlin County","Gukeng Township",31,"0"
1999,"Southern","Yunlin County","Gukeng Township",32,"0"
1999,"Southern","Yunlin County","Gukeng Township",33,"0"
1999,"Southern","Yunlin County","Gukeng Township",34,"0"
1999,"Southern","Yunlin County","Gukeng Township",35,"0"
1999,"Southern","Yunlin County","Gukeng Township",36,"0"
1999,"Southern","Yunlin County","Gukeng Township",37,"0"
1999,"Southern","Yunlin County","Gukeng Township",38,"0"
1999,"Southern","Yunlin County","Gukeng Township",39,"0"
1999,"Southern","Yunlin County","Gukeng Township",40,"0"
