"Year","Region","City","District","Week","Cases"
1998,"Kaoping","Kaohsiung City","Gushan District",1,"0"
1998,"Kaoping","Kaohsiung City","Gushan District",2,"0"
1998,"Kaoping","Kaohsiung City","Gushan District",3,"0"
1998,"Kaoping","Kaohsiung City","Gushan District",4,"0"
1998,"Kaoping","Kaohsiung City","Gushan District",5,"0"
1998,"Kaoping","Kaohsiung City","Gushan District",6,"0"
1998,"Kaoping","Kaohsiung City","Gushan District",7,"0"
1998,"Kaoping","Kaohsiung City","Gushan District",8,"0"
1998,"Kaoping","Kaohsiung City","Gushan District",9,"0"
1998,"Kaoping","Kaohsiung City","Gushan District",10,"0"
1998,"Kaoping","Kaohsiung City","Gushan District",11,"0"
1998,"Kaoping","Kaohsiung City","Gushan District",12,"0"
1998,"Kaoping","Kaohsiung City","Gushan District",13,"0"
1998,"Kaoping","Kaohsiung City","Gushan District",14,"0"
1998,"Kaoping","Kaohsiung City","Gushan District",15,"0"
1998,"Kaoping","Kaohsiung City","Gushan District",16,"0"
1998,"Kaoping","Kaohsiung City","Gushan District",17,"0"
1998,"Kaoping","Kaohsiung City","Gushan District",18,"0"
1998,"Kaoping","Kaohsiung City","Gushan District",19,"0"
1998,"Kaoping","Kaohsiung City","Gushan District",20,"0"
1998,"Kaoping","Kaohsiung City","Gushan District",21,"0"
1998,"Kaoping","Kaohsiung City","Gushan District",22,"0"
1998,"Kaoping","Kaohsiung City","Gushan District",23,"0"
1998,"Kaoping","Kaohsiung City","Gushan District",24,"0"
1998,"Kaoping","Kaohsiung City","Gushan District",25,"0"
1998,"Kaoping","Kaohsiung City","Gushan District",26,"0"
1998,"Kaoping","Kaohsiung City","Gushan District",27,"0"
1998,"Kaoping","Kaohsiung City","Gushan District",28,"0"
1998,"Kaoping","Kaohsiung City","Gushan District",29,"0"
1998,"Kaoping","Kaohsiung City","Gushan District",30,"0"
1998,"Kaoping","Kaohsiung City","Gushan District",31,"0"
1998,"Kaoping","Kaohsiung City","Gushan District",32,"0"
1998,"Kaoping","Kaohsiung City","Gushan District",33,"0"
1998,"Kaoping","Kaohsiung City","Gushan District",34,"0"
1998,"Kaoping","Kaohsiung City","Gushan District",35,"0"
1998,"Kaoping","Kaohsiung City","Gushan District",36,"0"
1998,"Kaoping","Kaohsiung City","Gushan District",37,"0"
1998,"Kaoping","Kaohsiung City","Gushan District",38,"0"
1998,"Kaoping","Kaohsiung City","Gushan District",39,"0"
1998,"Kaoping","Kaohsiung City","Gushan District",40,"0"
1998,"Kaoping","Kaohsiung City","Gushan District",41,"0"
1998,"Kaoping","Kaohsiung City","Gushan District",42,"0"
1998,"Kaoping","Kaohsiung City","Gushan District",43,"0"
1998,"Kaoping","Kaohsiung City","Gushan District",44,"0"
1998,"Kaoping","Kaohsiung City","Gushan District",45,"0"
1998,"Kaoping","Kaohsiung City","Gushan District",46,"0"
1998,"Kaoping","Kaohsiung City","Gushan District",47,"0"
1998,"Kaoping","Kaohsiung City","Gushan District",48,"0"
1998,"Kaoping","Kaohsiung City","Gushan District",49,"1"
1998,"Kaoping","Kaohsiung City","Gushan District",50,"0"
1998,"Kaoping","Kaohsiung City","Gushan District",51,"0"
1998,"Kaoping","Kaohsiung City","Gushan District",52,"0"
1998,"Kaoping","Kaohsiung City","Gushan District",53,"0"
1999,"Kaoping","Kaohsiung City","Gushan District",1,"0"
1999,"Kaoping","Kaohsiung City","Gushan District",2,"0"
1999,"Kaoping","Kaohsiung City","Gushan District",3,"0"
1999,"Kaoping","Kaohsiung City","Gushan District",4,"0"
1999,"Kaoping","Kaohsiung City","Gushan District",5,"0"
1999,"Kaoping","Kaohsiung City","Gushan District",6,"0"
1999,"Kaoping","Kaohsiung City","Gushan District",7,"0"
1999,"Kaoping","Kaohsiung City","Gushan District",8,"0"
1999,"Kaoping","Kaohsiung City","Gushan District",9,"0"
1999,"Kaoping","Kaohsiung City","Gushan District",10,"0"
1999,"Kaoping","Kaohsiung City","Gushan District",11,"0"
1999,"Kaoping","Kaohsiung City","Gushan District",12,"0"
1999,"Kaoping","Kaohsiung City","Gushan District",13,"0"
1999,"Kaoping","Kaohsiung City","Gushan District",14,"0"
