"year","area","city","town","week","cases"
1998,"Eastern","Hualien County","Hualien City",1,"0"
1998,"Eastern","Hualien County","Hualien City",2,"0"
1998,"Eastern","Hualien County","Hualien City",3,"0"
1998,"Eastern","Hualien County","Hualien City",4,"0"
1998,"Eastern","Hualien County","Hualien City",5,"0"
1998,"Eastern","Hualien County","Hualien City",6,"0"
1998,"Eastern","Hualien County","Hualien City",7,"0"
1998,"Eastern","Hualien County","Hualien City",8,"0"
1998,"Eastern","Hualien County","Hualien City",9,"0"
1998,"Eastern","Hualien County","Hualien City",10,"0"
1998,"Eastern","Hualien County","Hualien City",11,"0"
1998,"Eastern","Hualien County","Hualien City",12,"0"
1998,"Eastern","Hualien County","Hualien City",13,"0"
1998,"Eastern","Hualien County","Hualien City",14,"0"
1998,"Eastern","Hualien County","Hualien City",15,"0"
1998,"Eastern","Hualien County","Hualien City",16,"0"
1998,"Eastern","Hualien County","Hualien City",17,"0"
1998,"Eastern","Hualien County","Hualien City",18,"0"
1998,"Eastern","Hualien County","Hualien City",19,"0"
1998,"Eastern","Hualien County","Hualien City",20,"0"
1998,"Eastern","Hualien County","Hualien City",21,"0"
1998,"Eastern","Hualien County","Hualien City",22,"0"
1998,"Eastern","Hualien County","Hualien City",23,"0"
1998,"Eastern","Hualien County","Hualien City",24,"0"
1998,"Eastern","Hualien County","Hualien City",25,"0"
1998,"Eastern","Hualien County","Hualien City",26,"0"
1998,"Eastern","Hualien County","Hualien City",27,"0"
1998,"Eastern","Hualien County","Hualien City",28,"0"
1998,"Eastern","Hualien County","Hualien City",29,"0"
1998,"Eastern","Hualien County","Hualien City",30,"0"
1998,"Eastern","Hualien County","Hualien City",31,"0"
1998,"Eastern","Hualien County","Hualien City",32,"0"
1998,"Eastern","Hualien County","Hualien City",33,"0"
1998,"Eastern","Hualien County","Hualien City",34,"0"
1998,"Eastern","Hualien County","Hualien City",35,"0"
1998,"Eastern","Hualien County","Hualien City",36,"0"
1998,"Eastern","Hualien County","Hualien City",37,"0"
1998,"Eastern","Hualien County","Hualien City",38,"0"
1998,"Eastern","Hualien County","Hualien City",39,"0"
1998,"Eastern","Hualien County","Hualien City",40,"0"
1998,"Eastern","Hualien County","Hualien City",41,"0"
1998,"Eastern","Hualien County","Hualien City",42,"0"
1998,"Eastern","Hualien County","Hualien City",43,"0"
1998,"Eastern","Hualien County","Hualien City",44,"0"
1998,"Eastern","Hualien County","Hualien City",45,"0"
1998,"Eastern","Hualien County","Hualien City",46,"0"
1998,"Eastern","Hualien County","Hualien City",47,"0"
1998,"Eastern","Hualien County","Hualien City",48,"0"
1998,"Eastern","Hualien County","Hualien City",49,"0"
1998,"Eastern","Hualien County","Hualien City",50,"0"
1998,"Eastern","Hualien County","Hualien City",51,"0"
1998,"Eastern","Hualien County","Hualien City",52,"0"
1998,"Eastern","Hualien County","Hualien City",53,"0"
1999,"Eastern","Hualien County","Hualien City",1,"0"
1999,"Eastern","Hualien County","Hualien City",2,"0"
1999,"Eastern","Hualien County","Hualien City",3,"0"
1999,"Eastern","Hualien County","Hualien City",4,"0"
1999,"Eastern","Hualien County","Hualien City",5,"0"
1999,"Eastern","Hualien County","Hualien City",6,"0"
1999,"Eastern","Hualien County","Hualien City",7,"0"
1999,"Eastern","Hualien County","Hualien City",8,"0"
1999,"Eastern","Hualien County","Hualien City",9,"0"
1999,"Eastern","Hualien County","Hualien City",10,"0"
1999,"Eastern","Hualien County","Hualien City",11,"0"
1999,"Eastern","Hualien County","Hualien City",12,"0"
1999,"Eastern","Hualien County","Hualien City",13,"0"
1999,"Eastern","Hualien County","Hualien City",14,"0"
1999,"Eastern","Hualien County","Hualien City",15,"0"
1999,"Eastern","Hualien County","Hualien City",16,"0"
1999,"Eastern","Hualien County","Hualien City",17,"0"
1999,"Eastern","Hualien County","Hualien City",18,"0"
1999,"Eastern","Hualien County","Hualien City",19,"0"
1999,"Eastern","Hualien County","Hualien City",20,"0"
1999,"Eastern","Hualien County","Hualien City",21,"0"
1999,"Eastern","Hualien County","Hualien City",22,"0"
1999,"Eastern","Hualien County","Hualien City",23,"0"
1999,"Eastern","Hualien County","Hualien City",24,"0"
1999,"Eastern","Hualien County","Hualien City",25,"0"
1999,"Eastern","Hualien County","Hualien City",26,"0"
1999,"Eastern","Hualien County","Hualien City",27,"0"
1999,"Eastern","Hualien County","Hualien City",28,"0"
1999,"Eastern","Hualien County","Hualien City",29,"0"
1999,"Eastern","Hualien County","Hualien City",30,"0"
1999,"Eastern","Hualien County","Hualien City",31,"0"
1999,"Eastern","Hualien County","Hualien City",32,"0"
1999,"Eastern","Hualien County","Hualien City",33,"0"
1999,"Eastern","Hualien County","Hualien City",34,"0"
1999,"Eastern","Hualien County","Hualien City",35,"0"
1999,"Eastern","Hualien County","Hualien City",36,"0"
1999,"Eastern","Hualien County","Hualien City",37,"0"
1999,"Eastern","Hualien County","Hualien City",38,"0"
1999,"Eastern","Hualien County","Hualien City",39,"0"
1999,"Eastern","Hualien County","Hualien City",40,"0"
1999,"Eastern","Hualien County","Hualien City",41,"0"
1999,"Eastern","Hualien County","Hualien City",42,"0"
1999,"Eastern","Hualien County","Hualien City",43,"0"
1999,"Eastern","Hualien County","Hualien City",44,"0"
1999,"Eastern","Hualien County","Hualien City",45,"0"
1999,"Eastern","Hualien County","Hualien City",46,"0"
1999,"Eastern","Hualien County","Hualien City",47,"0"
1999,"Eastern","Hualien County","Hualien City",48,"0"
1999,"Eastern","Hualien County","Hualien City",49,"0"
1999,"Eastern","Hualien County","Hualien City",50,"0"
1999,"Eastern","Hualien County","Hualien City",51,"0"
1999,"Eastern","Hualien County","Hualien City",52,"0"
1999,"Eastern","Hualien County","Hualien City",53,"0"
2000,"Eastern","Hualien County","Hualien City",1,"0"
2000,"Eastern","Hualien County","Hualien City",2,"0"
2000,"Eastern","Hualien County","Hualien City",3,"0"
2000,"Eastern","Hualien County","Hualien City",4,"0"
2000,"Eastern","Hualien County","Hualien City",5,"0"
2000,"Eastern","Hualien County","Hualien City",6,"0"
2000,"Eastern","Hualien County","Hualien City",7,"0"
2000,"Eastern","Hualien County","Hualien City",8,"0"
2000,"Eastern","Hualien County","Hualien City",9,"0"
2000,"Eastern","Hualien County","Hualien City",10,"0"
2000,"Eastern","Hualien County","Hualien City",11,"0"
2000,"Eastern","Hualien County","Hualien City",12,"0"
2000,"Eastern","Hualien County","Hualien City",13,"0"
2000,"Eastern","Hualien County","Hualien City",14,"0"
2000,"Eastern","Hualien County","Hualien City",15,"0"
2000,"Eastern","Hualien County","Hualien City",16,"0"
2000,"Eastern","Hualien County","Hualien City",17,"0"
2000,"Eastern","Hualien County","Hualien City",18,"0"
2000,"Eastern","Hualien County","Hualien City",19,"0"
2000,"Eastern","Hualien County","Hualien City",20,"0"
2000,"Eastern","Hualien County","Hualien City",21,"0"
2000,"Eastern","Hualien County","Hualien City",22,"0"
2000,"Eastern","Hualien County","Hualien City",23,"0"
2000,"Eastern","Hualien County","Hualien City",24,"0"
2000,"Eastern","Hualien County","Hualien City",25,"0"
2000,"Eastern","Hualien County","Hualien City",26,"0"
2000,"Eastern","Hualien County","Hualien City",27,"0"
2000,"Eastern","Hualien County","Hualien City",28,"0"
2000,"Eastern","Hualien County","Hualien City",29,"0"
2000,"Eastern","Hualien County","Hualien City",30,"0"
2000,"Eastern","Hualien County","Hualien City",31,"0"
2000,"Eastern","Hualien County","Hualien City",32,"0"
2000,"Eastern","Hualien County","Hualien City",33,"0"
2000,"Eastern","Hualien County","Hualien City",34,"0"
2000,"Eastern","Hualien County","Hualien City",35,"0"
2000,"Eastern","Hualien County","Hualien City",36,"0"
2000,"Eastern","Hualien County","Hualien City",37,"0"
2000,"Eastern","Hualien County","Hualien City",38,"0"
2000,"Eastern","Hualien County","Hualien City",39,"0"
2000,"Eastern","Hualien County","Hualien City",40,"0"
2000,"Eastern","Hualien County","Hualien City",41,"0"
2000,"Eastern","Hualien County","Hualien City",42,"0"
2000,"Eastern","Hualien County","Hualien City",43,"0"
2000,"Eastern","Hualien County","Hualien City",44,"0"
2000,"Eastern","Hualien County","Hualien City",45,"0"
2000,"Eastern","Hualien County","Hualien City",46,"0"
2000,"Eastern","Hualien County","Hualien City",47,"0"
2000,"Eastern","Hualien County","Hualien City",48,"0"
2000,"Eastern","Hualien County","Hualien City",49,"0"
2000,"Eastern","Hualien County","Hualien City",50,"0"
2000,"Eastern","Hualien County","Hualien City",51,"0"
2000,"Eastern","Hualien County","Hualien City",52,"0"
2000,"Eastern","Hualien County","Hualien City",53,"0"
2001,"Eastern","Hualien County","Hualien City",1,"0"
2001,"Eastern","Hualien County","Hualien City",2,"0"
2001,"Eastern","Hualien County","Hualien City",3,"0"
2001,"Eastern","Hualien County","Hualien City",4,"0"
2001,"Eastern","Hualien County","Hualien City",5,"0"
2001,"Eastern","Hualien County","Hualien City",6,"0"
2001,"Eastern","Hualien County","Hualien City",7,"0"
2001,"Eastern","Hualien County","Hualien City",8,"0"
2001,"Eastern","Hualien County","Hualien City",9,"0"
2001,"Eastern","Hualien County","Hualien City",10,"0"
2001,"Eastern","Hualien County","Hualien City",11,"0"
2001,"Eastern","Hualien County","Hualien City",12,"0"
2001,"Eastern","Hualien County","Hualien City",13,"0"
2001,"Eastern","Hualien County","Hualien City",14,"0"
2001,"Eastern","Hualien County","Hualien City",15,"0"
2001,"Eastern","Hualien County","Hualien City",16,"0"
2001,"Eastern","Hualien County","Hualien City",17,"0"
2001,"Eastern","Hualien County","Hualien City",18,"0"
2001,"Eastern","Hualien County","Hualien City",19,"0"
2001,"Eastern","Hualien County","Hualien City",20,"0"
2001,"Eastern","Hualien County","Hualien City",21,"0"
2001,"Eastern","Hualien County","Hualien City",22,"0"
2001,"Eastern","Hualien County","Hualien City",23,"0"
2001,"Eastern","Hualien County","Hualien City",24,"0"
2001,"Eastern","Hualien County","Hualien City",25,"0"
2001,"Eastern","Hualien County","Hualien City",26,"0"
2001,"Eastern","Hualien County","Hualien City",27,"0"
2001,"Eastern","Hualien County","Hualien City",28,"0"
2001,"Eastern","Hualien County","Hualien City",29,"0"
2001,"Eastern","Hualien County","Hualien City",30,"0"
2001,"Eastern","Hualien County","Hualien City",31,"0"
2001,"Eastern","Hualien County","Hualien City",32,"0"
2001,"Eastern","Hualien County","Hualien City",33,"0"
2001,"Eastern","Hualien County","Hualien City",34,"0"
2001,"Eastern","Hualien County","Hualien City",35,"0"
2001,"Eastern","Hualien County","Hualien City",36,"0"
2001,"Eastern","Hualien County","Hualien City",37,"0"
2001,"Eastern","Hualien County","Hualien City",38,"0"
2001,"Eastern","Hualien County","Hualien City",39,"0"
2001,"Eastern","Hualien County","Hualien City",40,"0"
2001,"Eastern","Hualien County","Hualien City",41,"0"
2001,"Eastern","Hualien County","Hualien City",42,"0"
2001,"Eastern","Hualien County","Hualien City",43,"0"
2001,"Eastern","Hualien County","Hualien City",44,"0"
2001,"Eastern","Hualien County","Hualien City",45,"0"
2001,"Eastern","Hualien County","Hualien City",46,"0"
2001,"Eastern","Hualien County","Hualien City",47,"0"
2001,"Eastern","Hualien County","Hualien City",48,"0"
2001,"Eastern","Hualien County","Hualien City",49,"0"
2001,"Eastern","Hualien County","Hualien City",50,"0"
2001,"Eastern","Hualien County","Hualien City",51,"0"
2001,"Eastern","Hualien County","Hualien City",52,"0"
2001,"Eastern","Hualien County","Hualien City",53,"0"
2002,"Eastern","Hualien County","Hualien City",1,"0"
2002,"Eastern","Hualien County","Hualien City",2,"0"
2002,"Eastern","Hualien County","Hualien City",3,"0"
2002,"Eastern","Hualien County","Hualien City",4,"0"
