"year","area","city","town","week","cases"
1998,"Central","Changhua County","Huatan Township",1,"0"
1998,"Central","Changhua County","Huatan Township",2,"0"
1998,"Central","Changhua County","Huatan Township",3,"0"
1998,"Central","Changhua County","Huatan Township",4,"0"
1998,"Central","Changhua County","Huatan Township",5,"0"
1998,"Central","Changhua County","Huatan Township",6,"0"
1998,"Central","Changhua County","Huatan Township",7,"0"
1998,"Central","Changhua County","Huatan Township",8,"0"
1998,"Central","Changhua County","Huatan Township",9,"0"
1998,"Central","Changhua County","Huatan Township",10,"0"
1998,"Central","Changhua County","Huatan Township",11,"0"
1998,"Central","Changhua County","Huatan Township",12,"0"
1998,"Central","Changhua County","Huatan Township",13,"0"
1998,"Central","Changhua County","Huatan Township",14,"0"
1998,"Central","Changhua County","Huatan Township",15,"0"
1998,"Central","Changhua County","Huatan Township",16,"0"
1998,"Central","Changhua County","Huatan Township",17,"0"
1998,"Central","Changhua County","Huatan Township",18,"0"
1998,"Central","Changhua County","Huatan Township",19,"0"
1998,"Central","Changhua County","Huatan Township",20,"0"
1998,"Central","Changhua County","Huatan Township",21,"0"
1998,"Central","Changhua County","Huatan Township",22,"0"
1998,"Central","Changhua County","Huatan Township",23,"0"
1998,"Central","Changhua County","Huatan Township",24,"0"
1998,"Central","Changhua County","Huatan Township",25,"0"
1998,"Central","Changhua County","Huatan Township",26,"0"
1998,"Central","Changhua County","Huatan Township",27,"0"
1998,"Central","Changhua County","Huatan Township",28,"0"
1998,"Central","Changhua County","Huatan Township",29,"0"
1998,"Central","Changhua County","Huatan Township",30,"0"
1998,"Central","Changhua County","Huatan Township",31,"0"
1998,"Central","Changhua County","Huatan Township",32,"0"
1998,"Central","Changhua County","Huatan Township",33,"0"
1998,"Central","Changhua County","Huatan Township",34,"0"
1998,"Central","Changhua County","Huatan Township",35,"0"
1998,"Central","Changhua County","Huatan Township",36,"0"
1998,"Central","Changhua County","Huatan Township",37,"0"
1998,"Central","Changhua County","Huatan Township",38,"0"
1998,"Central","Changhua County","Huatan Township",39,"0"
1998,"Central","Changhua County","Huatan Township",40,"0"
1998,"Central","Changhua County","Huatan Township",41,"0"
1998,"Central","Changhua County","Huatan Township",42,"0"
1998,"Central","Changhua County","Huatan Township",43,"0"
1998,"Central","Changhua County","Huatan Township",44,"0"
