"Year","Region","City","District","Week","Cases"
1998,"Northern","Hsinchu County","Hukou Township",1,"0"
1998,"Northern","Hsinchu County","Hukou Township",2,"0"
1998,"Northern","Hsinchu County","Hukou Township",3,"0"
1998,"Northern","Hsinchu County","Hukou Township",4,"0"
1998,"Northern","Hsinchu County","Hukou Township",5,"0"
1998,"Northern","Hsinchu County","Hukou Township",6,"0"
1998,"Northern","Hsinchu County","Hukou Township",7,"0"
1998,"Northern","Hsinchu County","Hukou Township",8,"0"
1998,"Northern","Hsinchu County","Hukou Township",9,"0"
1998,"Northern","Hsinchu County","Hukou Township",10,"0"
1998,"Northern","Hsinchu County","Hukou Township",11,"0"
1998,"Northern","Hsinchu County","Hukou Township",12,"0"
1998,"Northern","Hsinchu County","Hukou Township",13,"0"
1998,"Northern","Hsinchu County","Hukou Township",14,"1"
1998,"Northern","Hsinchu County","Hukou Township",15,"0"
1998,"Northern","Hsinchu County","Hukou Township",16,"0"
1998,"Northern","Hsinchu County","Hukou Township",17,"0"
1998,"Northern","Hsinchu County","Hukou Township",18,"0"
1998,"Northern","Hsinchu County","Hukou Township",19,"0"
1998,"Northern","Hsinchu County","Hukou Township",20,"0"
1998,"Northern","Hsinchu County","Hukou Township",21,"0"
1998,"Northern","Hsinchu County","Hukou Township",22,"0"
1998,"Northern","Hsinchu County","Hukou Township",23,"0"
1998,"Northern","Hsinchu County","Hukou Township",24,"0"
1998,"Northern","Hsinchu County","Hukou Township",25,"0"
1998,"Northern","Hsinchu County","Hukou Township",26,"0"
1998,"Northern","Hsinchu County","Hukou Township",27,"0"
1998,"Northern","Hsinchu County","Hukou Township",28,"0"
1998,"Northern","Hsinchu County","Hukou Township",29,"0"
1998,"Northern","Hsinchu County","Hukou Township",30,"0"
1998,"Northern","Hsinchu County","Hukou Township",31,"0"
1998,"Northern","Hsinchu County","Hukou Township",32,"1"
1998,"Northern","Hsinchu County","Hukou Township",33,"0"
1998,"Northern","Hsinchu County","Hukou Township",34,"0"
1998,"Northern","Hsinchu County","Hukou Township",35,"0"
1998,"Northern","Hsinchu County","Hukou Township",36,"0"
1998,"Northern","Hsinchu County","Hukou Township",37,"0"
1998,"Northern","Hsinchu County","Hukou Township",38,"0"
1998,"Northern","Hsinchu County","Hukou Township",39,"0"
1998,"Northern","Hsinchu County","Hukou Township",40,"0"
1998,"Northern","Hsinchu County","Hukou Township",41,"0"
1998,"Northern","Hsinchu County","Hukou Township",42,"0"
1998,"Northern","Hsinchu County","Hukou Township",43,"0"
1998,"Northern","Hsinchu County","Hukou Township",44,"0"
1998,"Northern","Hsinchu County","Hukou Township",45,"0"
1998,"Northern","Hsinchu County","Hukou Township",46,"0"
1998,"Northern","Hsinchu County","Hukou Township",47,"0"
1998,"Northern","Hsinchu County","Hukou Township",48,"0"
