"Year","Region","City","District","Week","Cases"
1998,"Kaoping","Kaohsiung City","Hunei District",1,"0"
1998,"Kaoping","Kaohsiung City","Hunei District",2,"0"
1998,"Kaoping","Kaohsiung City","Hunei District",3,"0"
1998,"Kaoping","Kaohsiung City","Hunei District",4,"0"
1998,"Kaoping","Kaohsiung City","Hunei District",5,"0"
1998,"Kaoping","Kaohsiung City","Hunei District",6,"0"
1998,"Kaoping","Kaohsiung City","Hunei District",7,"0"
1998,"Kaoping","Kaohsiung City","Hunei District",8,"0"
1998,"Kaoping","Kaohsiung City","Hunei District",9,"0"
1998,"Kaoping","Kaohsiung City","Hunei District",10,"0"
1998,"Kaoping","Kaohsiung City","Hunei District",11,"0"
1998,"Kaoping","Kaohsiung City","Hunei District",12,"0"
1998,"Kaoping","Kaohsiung City","Hunei District",13,"0"
1998,"Kaoping","Kaohsiung City","Hunei District",14,"0"
1998,"Kaoping","Kaohsiung City","Hunei District",15,"0"
1998,"Kaoping","Kaohsiung City","Hunei District",16,"0"
1998,"Kaoping","Kaohsiung City","Hunei District",17,"0"
1998,"Kaoping","Kaohsiung City","Hunei District",18,"0"
1998,"Kaoping","Kaohsiung City","Hunei District",19,"0"
1998,"Kaoping","Kaohsiung City","Hunei District",20,"0"
1998,"Kaoping","Kaohsiung City","Hunei District",21,"0"
1998,"Kaoping","Kaohsiung City","Hunei District",22,"0"
1998,"Kaoping","Kaohsiung City","Hunei District",23,"0"
1998,"Kaoping","Kaohsiung City","Hunei District",24,"0"
1998,"Kaoping","Kaohsiung City","Hunei District",25,"0"
1998,"Kaoping","Kaohsiung City","Hunei District",26,"0"
1998,"Kaoping","Kaohsiung City","Hunei District",27,"0"
1998,"Kaoping","Kaohsiung City","Hunei District",28,"0"
1998,"Kaoping","Kaohsiung City","Hunei District",29,"0"
1998,"Kaoping","Kaohsiung City","Hunei District",30,"0"
1998,"Kaoping","Kaohsiung City","Hunei District",31,"0"
1998,"Kaoping","Kaohsiung City","Hunei District",32,"0"
1998,"Kaoping","Kaohsiung City","Hunei District",33,"0"
1998,"Kaoping","Kaohsiung City","Hunei District",34,"0"
1998,"Kaoping","Kaohsiung City","Hunei District",35,"0"
1998,"Kaoping","Kaohsiung City","Hunei District",36,"0"
