"Year","Region","City","District","Week","Cases"
1998,"Kaoping","Penghu County","Huxi Township",1,"0"
1998,"Kaoping","Penghu County","Huxi Township",2,"0"
1998,"Kaoping","Penghu County","Huxi Township",3,"0"
1998,"Kaoping","Penghu County","Huxi Township",4,"0"
1998,"Kaoping","Penghu County","Huxi Township",5,"0"
1998,"Kaoping","Penghu County","Huxi Township",6,"0"
1998,"Kaoping","Penghu County","Huxi Township",7,"0"
1998,"Kaoping","Penghu County","Huxi Township",8,"0"
1998,"Kaoping","Penghu County","Huxi Township",9,"0"
1998,"Kaoping","Penghu County","Huxi Township",10,"0"
1998,"Kaoping","Penghu County","Huxi Township",11,"0"
1998,"Kaoping","Penghu County","Huxi Township",12,"0"
1998,"Kaoping","Penghu County","Huxi Township",13,"0"
1998,"Kaoping","Penghu County","Huxi Township",14,"0"
1998,"Kaoping","Penghu County","Huxi Township",15,"0"
1998,"Kaoping","Penghu County","Huxi Township",16,"0"
1998,"Kaoping","Penghu County","Huxi Township",17,"0"
1998,"Kaoping","Penghu County","Huxi Township",18,"0"
1998,"Kaoping","Penghu County","Huxi Township",19,"0"
1998,"Kaoping","Penghu County","Huxi Township",20,"0"
1998,"Kaoping","Penghu County","Huxi Township",21,"0"
1998,"Kaoping","Penghu County","Huxi Township",22,"0"
1998,"Kaoping","Penghu County","Huxi Township",23,"0"
1998,"Kaoping","Penghu County","Huxi Township",24,"0"
1998,"Kaoping","Penghu County","Huxi Township",25,"0"
1998,"Kaoping","Penghu County","Huxi Township",26,"0"
1998,"Kaoping","Penghu County","Huxi Township",27,"0"
1998,"Kaoping","Penghu County","Huxi Township",28,"0"
1998,"Kaoping","Penghu County","Huxi Township",29,"0"
1998,"Kaoping","Penghu County","Huxi Township",30,"0"
1998,"Kaoping","Penghu County","Huxi Township",31,"0"
1998,"Kaoping","Penghu County","Huxi Township",32,"0"
1998,"Kaoping","Penghu County","Huxi Township",33,"0"
1998,"Kaoping","Penghu County","Huxi Township",34,"0"
1998,"Kaoping","Penghu County","Huxi Township",35,"0"
1998,"Kaoping","Penghu County","Huxi Township",36,"0"
1998,"Kaoping","Penghu County","Huxi Township",37,"0"
1998,"Kaoping","Penghu County","Huxi Township",38,"0"
1998,"Kaoping","Penghu County","Huxi Township",39,"0"
1998,"Kaoping","Penghu County","Huxi Township",40,"0"
1998,"Kaoping","Penghu County","Huxi Township",41,"0"
1998,"Kaoping","Penghu County","Huxi Township",42,"0"
1998,"Kaoping","Penghu County","Huxi Township",43,"0"
1998,"Kaoping","Penghu County","Huxi Township",44,"0"
1998,"Kaoping","Penghu County","Huxi Township",45,"0"
1998,"Kaoping","Penghu County","Huxi Township",46,"0"
1998,"Kaoping","Penghu County","Huxi Township",47,"0"
1998,"Kaoping","Penghu County","Huxi Township",48,"0"
1998,"Kaoping","Penghu County","Huxi Township",49,"0"
1998,"Kaoping","Penghu County","Huxi Township",50,"0"
1998,"Kaoping","Penghu County","Huxi Township",51,"0"
1998,"Kaoping","Penghu County","Huxi Township",52,"0"
1998,"Kaoping","Penghu County","Huxi Township",53,"0"
1999,"Kaoping","Penghu County","Huxi Township",1,"0"
1999,"Kaoping","Penghu County","Huxi Township",2,"0"
1999,"Kaoping","Penghu County","Huxi Township",3,"0"
1999,"Kaoping","Penghu County","Huxi Township",4,"0"
1999,"Kaoping","Penghu County","Huxi Township",5,"0"
1999,"Kaoping","Penghu County","Huxi Township",6,"0"
1999,"Kaoping","Penghu County","Huxi Township",7,"0"
1999,"Kaoping","Penghu County","Huxi Township",8,"0"
1999,"Kaoping","Penghu County","Huxi Township",9,"0"
1999,"Kaoping","Penghu County","Huxi Township",10,"0"
1999,"Kaoping","Penghu County","Huxi Township",11,"0"
1999,"Kaoping","Penghu County","Huxi Township",12,"0"
1999,"Kaoping","Penghu County","Huxi Township",13,"0"
1999,"Kaoping","Penghu County","Huxi Township",14,"0"
1999,"Kaoping","Penghu County","Huxi Township",15,"0"
1999,"Kaoping","Penghu County","Huxi Township",16,"0"
1999,"Kaoping","Penghu County","Huxi Township",17,"0"
1999,"Kaoping","Penghu County","Huxi Township",18,"0"
1999,"Kaoping","Penghu County","Huxi Township",19,"0"
1999,"Kaoping","Penghu County","Huxi Township",20,"0"
1999,"Kaoping","Penghu County","Huxi Township",21,"0"
1999,"Kaoping","Penghu County","Huxi Township",22,"0"
1999,"Kaoping","Penghu County","Huxi Township",23,"0"
1999,"Kaoping","Penghu County","Huxi Township",24,"0"
1999,"Kaoping","Penghu County","Huxi Township",25,"0"
1999,"Kaoping","Penghu County","Huxi Township",26,"0"
1999,"Kaoping","Penghu County","Huxi Township",27,"0"
1999,"Kaoping","Penghu County","Huxi Township",28,"0"
1999,"Kaoping","Penghu County","Huxi Township",29,"0"
1999,"Kaoping","Penghu County","Huxi Township",30,"0"
1999,"Kaoping","Penghu County","Huxi Township",31,"0"
1999,"Kaoping","Penghu County","Huxi Township",32,"0"
1999,"Kaoping","Penghu County","Huxi Township",33,"0"
1999,"Kaoping","Penghu County","Huxi Township",34,"0"
1999,"Kaoping","Penghu County","Huxi Township",35,"0"
1999,"Kaoping","Penghu County","Huxi Township",36,"0"
1999,"Kaoping","Penghu County","Huxi Township",37,"0"
1999,"Kaoping","Penghu County","Huxi Township",38,"0"
1999,"Kaoping","Penghu County","Huxi Township",39,"0"
1999,"Kaoping","Penghu County","Huxi Township",40,"0"
1999,"Kaoping","Penghu County","Huxi Township",41,"0"
1999,"Kaoping","Penghu County","Huxi Township",42,"0"
1999,"Kaoping","Penghu County","Huxi Township",43,"0"
1999,"Kaoping","Penghu County","Huxi Township",44,"0"
1999,"Kaoping","Penghu County","Huxi Township",45,"0"
1999,"Kaoping","Penghu County","Huxi Township",46,"0"
1999,"Kaoping","Penghu County","Huxi Township",47,"0"
1999,"Kaoping","Penghu County","Huxi Township",48,"0"
1999,"Kaoping","Penghu County","Huxi Township",49,"0"
1999,"Kaoping","Penghu County","Huxi Township",50,"0"
1999,"Kaoping","Penghu County","Huxi Township",51,"0"
1999,"Kaoping","Penghu County","Huxi Township",52,"0"
1999,"Kaoping","Penghu County","Huxi Township",53,"0"
2000,"Kaoping","Penghu County","Huxi Township",1,"0"
2000,"Kaoping","Penghu County","Huxi Township",2,"0"
2000,"Kaoping","Penghu County","Huxi Township",3,"0"
2000,"Kaoping","Penghu County","Huxi Township",4,"0"
2000,"Kaoping","Penghu County","Huxi Township",5,"0"
2000,"Kaoping","Penghu County","Huxi Township",6,"0"
2000,"Kaoping","Penghu County","Huxi Township",7,"0"
2000,"Kaoping","Penghu County","Huxi Township",8,"0"
2000,"Kaoping","Penghu County","Huxi Township",9,"0"
2000,"Kaoping","Penghu County","Huxi Township",10,"0"
2000,"Kaoping","Penghu County","Huxi Township",11,"0"
2000,"Kaoping","Penghu County","Huxi Township",12,"0"
2000,"Kaoping","Penghu County","Huxi Township",13,"0"
2000,"Kaoping","Penghu County","Huxi Township",14,"0"
2000,"Kaoping","Penghu County","Huxi Township",15,"0"
2000,"Kaoping","Penghu County","Huxi Township",16,"0"
2000,"Kaoping","Penghu County","Huxi Township",17,"0"
2000,"Kaoping","Penghu County","Huxi Township",18,"0"
2000,"Kaoping","Penghu County","Huxi Township",19,"0"
2000,"Kaoping","Penghu County","Huxi Township",20,"0"
2000,"Kaoping","Penghu County","Huxi Township",21,"0"
2000,"Kaoping","Penghu County","Huxi Township",22,"0"
2000,"Kaoping","Penghu County","Huxi Township",23,"0"
2000,"Kaoping","Penghu County","Huxi Township",24,"0"
2000,"Kaoping","Penghu County","Huxi Township",25,"0"
2000,"Kaoping","Penghu County","Huxi Township",26,"0"
2000,"Kaoping","Penghu County","Huxi Township",27,"0"
2000,"Kaoping","Penghu County","Huxi Township",28,"0"
2000,"Kaoping","Penghu County","Huxi Township",29,"0"
2000,"Kaoping","Penghu County","Huxi Township",30,"0"
2000,"Kaoping","Penghu County","Huxi Township",31,"0"
2000,"Kaoping","Penghu County","Huxi Township",32,"0"
2000,"Kaoping","Penghu County","Huxi Township",33,"0"
2000,"Kaoping","Penghu County","Huxi Township",34,"0"
2000,"Kaoping","Penghu County","Huxi Township",35,"0"
2000,"Kaoping","Penghu County","Huxi Township",36,"0"
2000,"Kaoping","Penghu County","Huxi Township",37,"0"
2000,"Kaoping","Penghu County","Huxi Township",38,"0"
2000,"Kaoping","Penghu County","Huxi Township",39,"0"
2000,"Kaoping","Penghu County","Huxi Township",40,"0"
2000,"Kaoping","Penghu County","Huxi Township",41,"0"
2000,"Kaoping","Penghu County","Huxi Township",42,"0"
2000,"Kaoping","Penghu County","Huxi Township",43,"0"
2000,"Kaoping","Penghu County","Huxi Township",44,"0"
2000,"Kaoping","Penghu County","Huxi Township",45,"0"
2000,"Kaoping","Penghu County","Huxi Township",46,"0"
2000,"Kaoping","Penghu County","Huxi Township",47,"0"
2000,"Kaoping","Penghu County","Huxi Township",48,"0"
