"year","area","city","town","week","cases"
1998,"Kaoping","Pingtung County","Jiadong Township",1,"0"
1998,"Kaoping","Pingtung County","Jiadong Township",2,"0"
1998,"Kaoping","Pingtung County","Jiadong Township",3,"0"
1998,"Kaoping","Pingtung County","Jiadong Township",4,"0"
1998,"Kaoping","Pingtung County","Jiadong Township",5,"0"
1998,"Kaoping","Pingtung County","Jiadong Township",6,"0"
1998,"Kaoping","Pingtung County","Jiadong Township",7,"0"
1998,"Kaoping","Pingtung County","Jiadong Township",8,"0"
1998,"Kaoping","Pingtung County","Jiadong Township",9,"0"
1998,"Kaoping","Pingtung County","Jiadong Township",10,"0"
1998,"Kaoping","Pingtung County","Jiadong Township",11,"0"
1998,"Kaoping","Pingtung County","Jiadong Township",12,"0"
1998,"Kaoping","Pingtung County","Jiadong Township",13,"0"
1998,"Kaoping","Pingtung County","Jiadong Township",14,"0"
1998,"Kaoping","Pingtung County","Jiadong Township",15,"0"
1998,"Kaoping","Pingtung County","Jiadong Township",16,"0"
1998,"Kaoping","Pingtung County","Jiadong Township",17,"0"
1998,"Kaoping","Pingtung County","Jiadong Township",18,"0"
1998,"Kaoping","Pingtung County","Jiadong Township",19,"0"
1998,"Kaoping","Pingtung County","Jiadong Township",20,"0"
1998,"Kaoping","Pingtung County","Jiadong Township",21,"0"
1998,"Kaoping","Pingtung County","Jiadong Township",22,"0"
1998,"Kaoping","Pingtung County","Jiadong Township",23,"0"
1998,"Kaoping","Pingtung County","Jiadong Township",24,"0"
1998,"Kaoping","Pingtung County","Jiadong Township",25,"0"
1998,"Kaoping","Pingtung County","Jiadong Township",26,"0"
1998,"Kaoping","Pingtung County","Jiadong Township",27,"0"
1998,"Kaoping","Pingtung County","Jiadong Township",28,"0"
1998,"Kaoping","Pingtung County","Jiadong Township",29,"0"
1998,"Kaoping","Pingtung County","Jiadong Township",30,"0"
1998,"Kaoping","Pingtung County","Jiadong Township",31,"0"
1998,"Kaoping","Pingtung County","Jiadong Township",32,"0"
1998,"Kaoping","Pingtung County","Jiadong Township",33,"0"
1998,"Kaoping","Pingtung County","Jiadong Township",34,"0"
1998,"Kaoping","Pingtung County","Jiadong Township",35,"0"
1998,"Kaoping","Pingtung County","Jiadong Township",36,"0"
1998,"Kaoping","Pingtung County","Jiadong Township",37,"0"
1998,"Kaoping","Pingtung County","Jiadong Township",38,"0"
1998,"Kaoping","Pingtung County","Jiadong Township",39,"0"
1998,"Kaoping","Pingtung County","Jiadong Township",40,"0"
1998,"Kaoping","Pingtung County","Jiadong Township",41,"0"
1998,"Kaoping","Pingtung County","Jiadong Township",42,"0"
1998,"Kaoping","Pingtung County","Jiadong Township",43,"0"
