"Year","Region","City","District","Week","Cases"
1998,"Southern","Tainan City","Jiangjun District",1,"0"
1998,"Southern","Tainan City","Jiangjun District",2,"0"
1998,"Southern","Tainan City","Jiangjun District",3,"0"
1998,"Southern","Tainan City","Jiangjun District",4,"0"
1998,"Southern","Tainan City","Jiangjun District",5,"0"
1998,"Southern","Tainan City","Jiangjun District",6,"0"
1998,"Southern","Tainan City","Jiangjun District",7,"0"
1998,"Southern","Tainan City","Jiangjun District",8,"0"
1998,"Southern","Tainan City","Jiangjun District",9,"0"
1998,"Southern","Tainan City","Jiangjun District",10,"0"
1998,"Southern","Tainan City","Jiangjun District",11,"0"
1998,"Southern","Tainan City","Jiangjun District",12,"0"
1998,"Southern","Tainan City","Jiangjun District",13,"0"
1998,"Southern","Tainan City","Jiangjun District",14,"0"
1998,"Southern","Tainan City","Jiangjun District",15,"0"
1998,"Southern","Tainan City","Jiangjun District",16,"0"
1998,"Southern","Tainan City","Jiangjun District",17,"0"
1998,"Southern","Tainan City","Jiangjun District",18,"0"
1998,"Southern","Tainan City","Jiangjun District",19,"0"
1998,"Southern","Tainan City","Jiangjun District",20,"0"
1998,"Southern","Tainan City","Jiangjun District",21,"0"
1998,"Southern","Tainan City","Jiangjun District",22,"0"
1998,"Southern","Tainan City","Jiangjun District",23,"0"
1998,"Southern","Tainan City","Jiangjun District",24,"0"
1998,"Southern","Tainan City","Jiangjun District",25,"0"
1998,"Southern","Tainan City","Jiangjun District",26,"0"
1998,"Southern","Tainan City","Jiangjun District",27,"0"
1998,"Southern","Tainan City","Jiangjun District",28,"0"
1998,"Southern","Tainan City","Jiangjun District",29,"0"
1998,"Southern","Tainan City","Jiangjun District",30,"0"
1998,"Southern","Tainan City","Jiangjun District",31,"0"
1998,"Southern","Tainan City","Jiangjun District",32,"0"
1998,"Southern","Tainan City","Jiangjun District",33,"0"
1998,"Southern","Tainan City","Jiangjun District",34,"0"
1998,"Southern","Tainan City","Jiangjun District",35,"0"
1998,"Southern","Tainan City","Jiangjun District",36,"0"
1998,"Southern","Tainan City","Jiangjun District",37,"0"
1998,"Southern","Tainan City","Jiangjun District",38,"0"
1998,"Southern","Tainan City","Jiangjun District",39,"0"
1998,"Southern","Tainan City","Jiangjun District",40,"0"
1998,"Southern","Tainan City","Jiangjun District",41,"0"
1998,"Southern","Tainan City","Jiangjun District",42,"0"
1998,"Southern","Tainan City","Jiangjun District",43,"0"
1998,"Southern","Tainan City","Jiangjun District",44,"0"
1998,"Southern","Tainan City","Jiangjun District",45,"0"
1998,"Southern","Tainan City","Jiangjun District",46,"0"
1998,"Southern","Tainan City","Jiangjun District",47,"0"
1998,"Southern","Tainan City","Jiangjun District",48,"0"
1998,"Southern","Tainan City","Jiangjun District",49,"0"
1998,"Southern","Tainan City","Jiangjun District",50,"1"
