"Year","Region","City","District","Week","Cases"
1998,"Central","Nantou County","Jiji Township",1,"0"
1998,"Central","Nantou County","Jiji Township",2,"0"
1998,"Central","Nantou County","Jiji Township",3,"0"
1998,"Central","Nantou County","Jiji Township",4,"0"
1998,"Central","Nantou County","Jiji Township",5,"0"
1998,"Central","Nantou County","Jiji Township",6,"0"
1998,"Central","Nantou County","Jiji Township",7,"0"
1998,"Central","Nantou County","Jiji Township",8,"0"
1998,"Central","Nantou County","Jiji Township",9,"0"
1998,"Central","Nantou County","Jiji Township",10,"0"
1998,"Central","Nantou County","Jiji Township",11,"0"
1998,"Central","Nantou County","Jiji Township",12,"0"
1998,"Central","Nantou County","Jiji Township",13,"0"
1998,"Central","Nantou County","Jiji Township",14,"0"
1998,"Central","Nantou County","Jiji Township",15,"0"
1998,"Central","Nantou County","Jiji Township",16,"0"
1998,"Central","Nantou County","Jiji Township",17,"1"
1998,"Central","Nantou County","Jiji Township",18,"0"
1998,"Central","Nantou County","Jiji Township",19,"0"
1998,"Central","Nantou County","Jiji Township",20,"0"
1998,"Central","Nantou County","Jiji Township",21,"0"
1998,"Central","Nantou County","Jiji Township",22,"0"
1998,"Central","Nantou County","Jiji Township",23,"0"
1998,"Central","Nantou County","Jiji Township",24,"0"
1998,"Central","Nantou County","Jiji Township",25,"0"
1998,"Central","Nantou County","Jiji Township",26,"0"
1998,"Central","Nantou County","Jiji Township",27,"0"
1998,"Central","Nantou County","Jiji Township",28,"0"
1998,"Central","Nantou County","Jiji Township",29,"0"
1998,"Central","Nantou County","Jiji Township",30,"0"
1998,"Central","Nantou County","Jiji Township",31,"0"
1998,"Central","Nantou County","Jiji Township",32,"0"
1998,"Central","Nantou County","Jiji Township",33,"0"
1998,"Central","Nantou County","Jiji Township",34,"0"
1998,"Central","Nantou County","Jiji Township",35,"0"
1998,"Central","Nantou County","Jiji Township",36,"0"
1998,"Central","Nantou County","Jiji Township",37,"0"
1998,"Central","Nantou County","Jiji Township",38,"0"
