"Year","Region","City","District","Week","Cases"
1998,"Taipei","Kinmen County","Jinsha Township",1,"0"
1998,"Taipei","Kinmen County","Jinsha Township",2,"0"
1998,"Taipei","Kinmen County","Jinsha Township",3,"0"
1998,"Taipei","Kinmen County","Jinsha Township",4,"0"
1998,"Taipei","Kinmen County","Jinsha Township",5,"0"
1998,"Taipei","Kinmen County","Jinsha Township",6,"0"
1998,"Taipei","Kinmen County","Jinsha Township",7,"0"
1998,"Taipei","Kinmen County","Jinsha Township",8,"0"
1998,"Taipei","Kinmen County","Jinsha Township",9,"0"
1998,"Taipei","Kinmen County","Jinsha Township",10,"0"
1998,"Taipei","Kinmen County","Jinsha Township",11,"0"
1998,"Taipei","Kinmen County","Jinsha Township",12,"0"
1998,"Taipei","Kinmen County","Jinsha Township",13,"0"
1998,"Taipei","Kinmen County","Jinsha Township",14,"0"
1998,"Taipei","Kinmen County","Jinsha Township",15,"0"
1998,"Taipei","Kinmen County","Jinsha Township",16,"0"
1998,"Taipei","Kinmen County","Jinsha Township",17,"0"
1998,"Taipei","Kinmen County","Jinsha Township",18,"0"
1998,"Taipei","Kinmen County","Jinsha Township",19,"0"
1998,"Taipei","Kinmen County","Jinsha Township",20,"0"
1998,"Taipei","Kinmen County","Jinsha Township",21,"0"
1998,"Taipei","Kinmen County","Jinsha Township",22,"0"
1998,"Taipei","Kinmen County","Jinsha Township",23,"0"
1998,"Taipei","Kinmen County","Jinsha Township",24,"0"
1998,"Taipei","Kinmen County","Jinsha Township",25,"0"
1998,"Taipei","Kinmen County","Jinsha Township",26,"0"
1998,"Taipei","Kinmen County","Jinsha Township",27,"0"
1998,"Taipei","Kinmen County","Jinsha Township",28,"0"
1998,"Taipei","Kinmen County","Jinsha Township",29,"0"
1998,"Taipei","Kinmen County","Jinsha Township",30,"0"
1998,"Taipei","Kinmen County","Jinsha Township",31,"0"
1998,"Taipei","Kinmen County","Jinsha Township",32,"0"
1998,"Taipei","Kinmen County","Jinsha Township",33,"0"
1998,"Taipei","Kinmen County","Jinsha Township",34,"0"
1998,"Taipei","Kinmen County","Jinsha Township",35,"0"
1998,"Taipei","Kinmen County","Jinsha Township",36,"0"
1998,"Taipei","Kinmen County","Jinsha Township",37,"0"
1998,"Taipei","Kinmen County","Jinsha Township",38,"0"
1998,"Taipei","Kinmen County","Jinsha Township",39,"0"
1998,"Taipei","Kinmen County","Jinsha Township",40,"0"
