"year","area","city","town","week","cases"
1998,"Taipei","Lienchiang County","Juguang Township",1,"0"
1998,"Taipei","Lienchiang County","Juguang Township",2,"0"
1998,"Taipei","Lienchiang County","Juguang Township",3,"0"
1998,"Taipei","Lienchiang County","Juguang Township",4,"0"
1998,"Taipei","Lienchiang County","Juguang Township",5,"0"
1998,"Taipei","Lienchiang County","Juguang Township",6,"0"
1998,"Taipei","Lienchiang County","Juguang Township",7,"0"
1998,"Taipei","Lienchiang County","Juguang Township",8,"0"
1998,"Taipei","Lienchiang County","Juguang Township",9,"0"
1998,"Taipei","Lienchiang County","Juguang Township",10,"0"
1998,"Taipei","Lienchiang County","Juguang Township",11,"0"
1998,"Taipei","Lienchiang County","Juguang Township",12,"0"
1998,"Taipei","Lienchiang County","Juguang Township",13,"0"
1998,"Taipei","Lienchiang County","Juguang Township",14,"0"
1998,"Taipei","Lienchiang County","Juguang Township",15,"0"
1998,"Taipei","Lienchiang County","Juguang Township",16,"0"
1998,"Taipei","Lienchiang County","Juguang Township",17,"0"
1998,"Taipei","Lienchiang County","Juguang Township",18,"0"
1998,"Taipei","Lienchiang County","Juguang Township",19,"0"
1998,"Taipei","Lienchiang County","Juguang Township",20,"0"
1998,"Taipei","Lienchiang County","Juguang Township",21,"0"
1998,"Taipei","Lienchiang County","Juguang Township",22,"0"
1998,"Taipei","Lienchiang County","Juguang Township",23,"0"
1998,"Taipei","Lienchiang County","Juguang Township",24,"0"
1998,"Taipei","Lienchiang County","Juguang Township",25,"0"
1998,"Taipei","Lienchiang County","Juguang Township",26,"0"
1998,"Taipei","Lienchiang County","Juguang Township",27,"0"
1998,"Taipei","Lienchiang County","Juguang Township",28,"0"
1998,"Taipei","Lienchiang County","Juguang Township",29,"0"
1998,"Taipei","Lienchiang County","Juguang Township",30,"0"
1998,"Taipei","Lienchiang County","Juguang Township",31,"0"
1998,"Taipei","Lienchiang County","Juguang Township",32,"0"
1998,"Taipei","Lienchiang County","Juguang Township",33,"0"
1998,"Taipei","Lienchiang County","Juguang Township",34,"0"
1998,"Taipei","Lienchiang County","Juguang Township",35,"0"
1998,"Taipei","Lienchiang County","Juguang Township",36,"0"
1998,"Taipei","Lienchiang County","Juguang Township",37,"0"
1998,"Taipei","Lienchiang County","Juguang Township",38,"0"
1998,"Taipei","Lienchiang County","Juguang Township",39,"0"
1998,"Taipei","Lienchiang County","Juguang Township",40,"0"
1998,"Taipei","Lienchiang County","Juguang Township",41,"0"
1998,"Taipei","Lienchiang County","Juguang Township",42,"0"
