"Year","Region","City","District","Week","Cases"
1998,"Kaoping","Pingtung County","Kanding Township",1,"0"
1998,"Kaoping","Pingtung County","Kanding Township",2,"0"
1998,"Kaoping","Pingtung County","Kanding Township",3,"0"
1998,"Kaoping","Pingtung County","Kanding Township",4,"0"
1998,"Kaoping","Pingtung County","Kanding Township",5,"0"
1998,"Kaoping","Pingtung County","Kanding Township",6,"0"
1998,"Kaoping","Pingtung County","Kanding Township",7,"0"
1998,"Kaoping","Pingtung County","Kanding Township",8,"0"
1998,"Kaoping","Pingtung County","Kanding Township",9,"0"
1998,"Kaoping","Pingtung County","Kanding Township",10,"0"
1998,"Kaoping","Pingtung County","Kanding Township",11,"0"
1998,"Kaoping","Pingtung County","Kanding Township",12,"0"
1998,"Kaoping","Pingtung County","Kanding Township",13,"0"
1998,"Kaoping","Pingtung County","Kanding Township",14,"0"
1998,"Kaoping","Pingtung County","Kanding Township",15,"0"
1998,"Kaoping","Pingtung County","Kanding Township",16,"0"
1998,"Kaoping","Pingtung County","Kanding Township",17,"0"
1998,"Kaoping","Pingtung County","Kanding Township",18,"0"
1998,"Kaoping","Pingtung County","Kanding Township",19,"0"
1998,"Kaoping","Pingtung County","Kanding Township",20,"0"
1998,"Kaoping","Pingtung County","Kanding Township",21,"0"
1998,"Kaoping","Pingtung County","Kanding Township",22,"0"
1998,"Kaoping","Pingtung County","Kanding Township",23,"0"
1998,"Kaoping","Pingtung County","Kanding Township",24,"0"
1998,"Kaoping","Pingtung County","Kanding Township",25,"0"
1998,"Kaoping","Pingtung County","Kanding Township",26,"0"
1998,"Kaoping","Pingtung County","Kanding Township",27,"0"
1998,"Kaoping","Pingtung County","Kanding Township",28,"0"
1998,"Kaoping","Pingtung County","Kanding Township",29,"0"
1998,"Kaoping","Pingtung County","Kanding Township",30,"0"
1998,"Kaoping","Pingtung County","Kanding Township",31,"0"
1998,"Kaoping","Pingtung County","Kanding Township",32,"0"
1998,"Kaoping","Pingtung County","Kanding Township",33,"0"
1998,"Kaoping","Pingtung County","Kanding Township",34,"0"
1998,"Kaoping","Pingtung County","Kanding Township",35,"0"
1998,"Kaoping","Pingtung County","Kanding Township",36,"0"
1998,"Kaoping","Pingtung County","Kanding Township",37,"0"
1998,"Kaoping","Pingtung County","Kanding Township",38,"0"
1998,"Kaoping","Pingtung County","Kanding Township",39,"0"
1998,"Kaoping","Pingtung County","Kanding Township",40,"0"
1998,"Kaoping","Pingtung County","Kanding Township",41,"0"
1998,"Kaoping","Pingtung County","Kanding Township",42,"0"
1998,"Kaoping","Pingtung County","Kanding Township",43,"0"
1998,"Kaoping","Pingtung County","Kanding Township",44,"0"
1998,"Kaoping","Pingtung County","Kanding Township",45,"0"
1998,"Kaoping","Pingtung County","Kanding Township",46,"0"
1998,"Kaoping","Pingtung County","Kanding Township",47,"0"
1998,"Kaoping","Pingtung County","Kanding Township",48,"0"
1998,"Kaoping","Pingtung County","Kanding Township",49,"0"
1998,"Kaoping","Pingtung County","Kanding Township",50,"0"
1998,"Kaoping","Pingtung County","Kanding Township",51,"0"
1998,"Kaoping","Pingtung County","Kanding Township",52,"0"
1998,"Kaoping","Pingtung County","Kanding Township",53,"0"
1999,"Kaoping","Pingtung County","Kanding Township",1,"0"
1999,"Kaoping","Pingtung County","Kanding Township",2,"0"
1999,"Kaoping","Pingtung County","Kanding Township",3,"0"
1999,"Kaoping","Pingtung County","Kanding Township",4,"0"
1999,"Kaoping","Pingtung County","Kanding Township",5,"0"
1999,"Kaoping","Pingtung County","Kanding Township",6,"0"
1999,"Kaoping","Pingtung County","Kanding Township",7,"0"
1999,"Kaoping","Pingtung County","Kanding Township",8,"0"
1999,"Kaoping","Pingtung County","Kanding Township",9,"0"
1999,"Kaoping","Pingtung County","Kanding Township",10,"0"
1999,"Kaoping","Pingtung County","Kanding Township",11,"0"
1999,"Kaoping","Pingtung County","Kanding Township",12,"0"
1999,"Kaoping","Pingtung County","Kanding Township",13,"0"
1999,"Kaoping","Pingtung County","Kanding Township",14,"0"
1999,"Kaoping","Pingtung County","Kanding Township",15,"0"
1999,"Kaoping","Pingtung County","Kanding Township",16,"0"
1999,"Kaoping","Pingtung County","Kanding Township",17,"0"
1999,"Kaoping","Pingtung County","Kanding Township",18,"0"
1999,"Kaoping","Pingtung County","Kanding Township",19,"0"
1999,"Kaoping","Pingtung County","Kanding Township",20,"0"
1999,"Kaoping","Pingtung County","Kanding Township",21,"0"
1999,"Kaoping","Pingtung County","Kanding Township",22,"0"
1999,"Kaoping","Pingtung County","Kanding Township",23,"0"
1999,"Kaoping","Pingtung County","Kanding Township",24,"0"
1999,"Kaoping","Pingtung County","Kanding Township",25,"0"
1999,"Kaoping","Pingtung County","Kanding Township",26,"0"
1999,"Kaoping","Pingtung County","Kanding Township",27,"0"
1999,"Kaoping","Pingtung County","Kanding Township",28,"0"
