"Year","Region","City","District","Week","Cases"
1998,"Taipei","Kinmen County","Lieyu Township",1,"0"
1998,"Taipei","Kinmen County","Lieyu Township",2,"0"
1998,"Taipei","Kinmen County","Lieyu Township",3,"0"
1998,"Taipei","Kinmen County","Lieyu Township",4,"0"
1998,"Taipei","Kinmen County","Lieyu Township",5,"0"
1998,"Taipei","Kinmen County","Lieyu Township",6,"0"
1998,"Taipei","Kinmen County","Lieyu Township",7,"0"
1998,"Taipei","Kinmen County","Lieyu Township",8,"0"
1998,"Taipei","Kinmen County","Lieyu Township",9,"0"
1998,"Taipei","Kinmen County","Lieyu Township",10,"0"
1998,"Taipei","Kinmen County","Lieyu Township",11,"0"
1998,"Taipei","Kinmen County","Lieyu Township",12,"0"
1998,"Taipei","Kinmen County","Lieyu Township",13,"0"
1998,"Taipei","Kinmen County","Lieyu Township",14,"0"
1998,"Taipei","Kinmen County","Lieyu Township",15,"0"
1998,"Taipei","Kinmen County","Lieyu Township",16,"0"
1998,"Taipei","Kinmen County","Lieyu Township",17,"0"
1998,"Taipei","Kinmen County","Lieyu Township",18,"0"
1998,"Taipei","Kinmen County","Lieyu Township",19,"0"
1998,"Taipei","Kinmen County","Lieyu Township",20,"0"
1998,"Taipei","Kinmen County","Lieyu Township",21,"0"
1998,"Taipei","Kinmen County","Lieyu Township",22,"0"
1998,"Taipei","Kinmen County","Lieyu Township",23,"0"
1998,"Taipei","Kinmen County","Lieyu Township",24,"0"
1998,"Taipei","Kinmen County","Lieyu Township",25,"0"
1998,"Taipei","Kinmen County","Lieyu Township",26,"0"
1998,"Taipei","Kinmen County","Lieyu Township",27,"0"
1998,"Taipei","Kinmen County","Lieyu Township",28,"0"
1998,"Taipei","Kinmen County","Lieyu Township",29,"0"
1998,"Taipei","Kinmen County","Lieyu Township",30,"0"
1998,"Taipei","Kinmen County","Lieyu Township",31,"0"
1998,"Taipei","Kinmen County","Lieyu Township",32,"0"
1998,"Taipei","Kinmen County","Lieyu Township",33,"0"
1998,"Taipei","Kinmen County","Lieyu Township",34,"0"
1998,"Taipei","Kinmen County","Lieyu Township",35,"0"
1998,"Taipei","Kinmen County","Lieyu Township",36,"0"
1998,"Taipei","Kinmen County","Lieyu Township",37,"0"
1998,"Taipei","Kinmen County","Lieyu Township",38,"0"
1998,"Taipei","Kinmen County","Lieyu Township",39,"0"
1998,"Taipei","Kinmen County","Lieyu Township",40,"0"
1998,"Taipei","Kinmen County","Lieyu Township",41,"0"
1998,"Taipei","Kinmen County","Lieyu Township",42,"0"
1998,"Taipei","Kinmen County","Lieyu Township",43,"0"
1998,"Taipei","Kinmen County","Lieyu Township",44,"0"
1998,"Taipei","Kinmen County","Lieyu Township",45,"0"
1998,"Taipei","Kinmen County","Lieyu Township",46,"0"
1998,"Taipei","Kinmen County","Lieyu Township",47,"0"
1998,"Taipei","Kinmen County","Lieyu Township",48,"0"
1998,"Taipei","Kinmen County","Lieyu Township",49,"0"
1998,"Taipei","Kinmen County","Lieyu Township",50,"0"
1998,"Taipei","Kinmen County","Lieyu Township",51,"0"
1998,"Taipei","Kinmen County","Lieyu Township",52,"0"
1998,"Taipei","Kinmen County","Lieyu Township",53,"0"
