"year","area","city","town","week","cases"
1998,"Kaoping","Kaohsiung City","Linyuan District",1,"0"
1998,"Kaoping","Kaohsiung City","Linyuan District",2,"0"
1998,"Kaoping","Kaohsiung City","Linyuan District",3,"0"
1998,"Kaoping","Kaohsiung City","Linyuan District",4,"0"
1998,"Kaoping","Kaohsiung City","Linyuan District",5,"0"
1998,"Kaoping","Kaohsiung City","Linyuan District",6,"0"
1998,"Kaoping","Kaohsiung City","Linyuan District",7,"0"
1998,"Kaoping","Kaohsiung City","Linyuan District",8,"0"
1998,"Kaoping","Kaohsiung City","Linyuan District",9,"0"
1998,"Kaoping","Kaohsiung City","Linyuan District",10,"0"
1998,"Kaoping","Kaohsiung City","Linyuan District",11,"0"
1998,"Kaoping","Kaohsiung City","Linyuan District",12,"0"
1998,"Kaoping","Kaohsiung City","Linyuan District",13,"0"
1998,"Kaoping","Kaohsiung City","Linyuan District",14,"0"
1998,"Kaoping","Kaohsiung City","Linyuan District",15,"0"
1998,"Kaoping","Kaohsiung City","Linyuan District",16,"0"
1998,"Kaoping","Kaohsiung City","Linyuan District",17,"0"
1998,"Kaoping","Kaohsiung City","Linyuan District",18,"0"
1998,"Kaoping","Kaohsiung City","Linyuan District",19,"0"
1998,"Kaoping","Kaohsiung City","Linyuan District",20,"0"
1998,"Kaoping","Kaohsiung City","Linyuan District",21,"0"
1998,"Kaoping","Kaohsiung City","Linyuan District",22,"0"
1998,"Kaoping","Kaohsiung City","Linyuan District",23,"0"
1998,"Kaoping","Kaohsiung City","Linyuan District",24,"0"
1998,"Kaoping","Kaohsiung City","Linyuan District",25,"0"
1998,"Kaoping","Kaohsiung City","Linyuan District",26,"0"
1998,"Kaoping","Kaohsiung City","Linyuan District",27,"0"
1998,"Kaoping","Kaohsiung City","Linyuan District",28,"0"
1998,"Kaoping","Kaohsiung City","Linyuan District",29,"0"
1998,"Kaoping","Kaohsiung City","Linyuan District",30,"0"
1998,"Kaoping","Kaohsiung City","Linyuan District",31,"0"
1998,"Kaoping","Kaohsiung City","Linyuan District",32,"0"
1998,"Kaoping","Kaohsiung City","Linyuan District",33,"0"
1998,"Kaoping","Kaohsiung City","Linyuan District",34,"0"
1998,"Kaoping","Kaohsiung City","Linyuan District",35,"0"
1998,"Kaoping","Kaohsiung City","Linyuan District",36,"0"
1998,"Kaoping","Kaohsiung City","Linyuan District",37,"0"
1998,"Kaoping","Kaohsiung City","Linyuan District",38,"0"
1998,"Kaoping","Kaohsiung City","Linyuan District",39,"1"
1998,"Kaoping","Kaohsiung City","Linyuan District",40,"0"
1998,"Kaoping","Kaohsiung City","Linyuan District",41,"0"
1998,"Kaoping","Kaohsiung City","Linyuan District",42,"1"
1998,"Kaoping","Kaohsiung City","Linyuan District",43,"0"
1998,"Kaoping","Kaohsiung City","Linyuan District",44,"0"
1998,"Kaoping","Kaohsiung City","Linyuan District",45,"0"
1998,"Kaoping","Kaohsiung City","Linyuan District",46,"0"
1998,"Kaoping","Kaohsiung City","Linyuan District",47,"0"
1998,"Kaoping","Kaohsiung City","Linyuan District",48,"0"
1998,"Kaoping","Kaohsiung City","Linyuan District",49,"0"
1998,"Kaoping","Kaohsiung City","Linyuan District",50,"0"
1998,"Kaoping","Kaohsiung City","Linyuan District",51,"2"
1998,"Kaoping","Kaohsiung City","Linyuan District",52,"8"
1998,"Kaoping","Kaohsiung City","Linyuan District",53,"8"
1999,"Kaoping","Kaohsiung City","Linyuan District",1,"1"
1999,"Kaoping","Kaohsiung City","Linyuan District",2,"4"
1999,"Kaoping","Kaohsiung City","Linyuan District",3,"1"
1999,"Kaoping","Kaohsiung City","Linyuan District",4,"0"
