"Year","Region","City","District","Week","Cases"
1998,"Southern","Tainan City","Liuying District",1,"0"
1998,"Southern","Tainan City","Liuying District",2,"0"
1998,"Southern","Tainan City","Liuying District",3,"0"
1998,"Southern","Tainan City","Liuying District",4,"0"
1998,"Southern","Tainan City","Liuying District",5,"0"
1998,"Southern","Tainan City","Liuying District",6,"0"
1998,"Southern","Tainan City","Liuying District",7,"0"
1998,"Southern","Tainan City","Liuying District",8,"0"
1998,"Southern","Tainan City","Liuying District",9,"0"
1998,"Southern","Tainan City","Liuying District",10,"0"
1998,"Southern","Tainan City","Liuying District",11,"0"
1998,"Southern","Tainan City","Liuying District",12,"0"
1998,"Southern","Tainan City","Liuying District",13,"0"
1998,"Southern","Tainan City","Liuying District",14,"0"
1998,"Southern","Tainan City","Liuying District",15,"0"
1998,"Southern","Tainan City","Liuying District",16,"0"
1998,"Southern","Tainan City","Liuying District",17,"0"
1998,"Southern","Tainan City","Liuying District",18,"0"
1998,"Southern","Tainan City","Liuying District",19,"0"
1998,"Southern","Tainan City","Liuying District",20,"0"
1998,"Southern","Tainan City","Liuying District",21,"0"
1998,"Southern","Tainan City","Liuying District",22,"0"
1998,"Southern","Tainan City","Liuying District",23,"0"
1998,"Southern","Tainan City","Liuying District",24,"0"
1998,"Southern","Tainan City","Liuying District",25,"0"
1998,"Southern","Tainan City","Liuying District",26,"0"
1998,"Southern","Tainan City","Liuying District",27,"0"
1998,"Southern","Tainan City","Liuying District",28,"0"
1998,"Southern","Tainan City","Liuying District",29,"0"
1998,"Southern","Tainan City","Liuying District",30,"0"
1998,"Southern","Tainan City","Liuying District",31,"0"
1998,"Southern","Tainan City","Liuying District",32,"0"
1998,"Southern","Tainan City","Liuying District",33,"0"
1998,"Southern","Tainan City","Liuying District",34,"0"
1998,"Southern","Tainan City","Liuying District",35,"0"
1998,"Southern","Tainan City","Liuying District",36,"0"
1998,"Southern","Tainan City","Liuying District",37,"0"
1998,"Southern","Tainan City","Liuying District",38,"0"
1998,"Southern","Tainan City","Liuying District",39,"0"
1998,"Southern","Tainan City","Liuying District",40,"0"
1998,"Southern","Tainan City","Liuying District",41,"0"
1998,"Southern","Tainan City","Liuying District",42,"0"
1998,"Southern","Tainan City","Liuying District",43,"0"
1998,"Southern","Tainan City","Liuying District",44,"0"
1998,"Southern","Tainan City","Liuying District",45,"0"
