"Year","Region","City","District","Week","Cases"
1998,"Kaoping","Kaohsiung City","Maolin District",1,"0"
1998,"Kaoping","Kaohsiung City","Maolin District",2,"0"
1998,"Kaoping","Kaohsiung City","Maolin District",3,"0"
1998,"Kaoping","Kaohsiung City","Maolin District",4,"0"
1998,"Kaoping","Kaohsiung City","Maolin District",5,"0"
1998,"Kaoping","Kaohsiung City","Maolin District",6,"0"
1998,"Kaoping","Kaohsiung City","Maolin District",7,"0"
1998,"Kaoping","Kaohsiung City","Maolin District",8,"0"
1998,"Kaoping","Kaohsiung City","Maolin District",9,"0"
1998,"Kaoping","Kaohsiung City","Maolin District",10,"0"
1998,"Kaoping","Kaohsiung City","Maolin District",11,"0"
1998,"Kaoping","Kaohsiung City","Maolin District",12,"0"
1998,"Kaoping","Kaohsiung City","Maolin District",13,"0"
1998,"Kaoping","Kaohsiung City","Maolin District",14,"0"
1998,"Kaoping","Kaohsiung City","Maolin District",15,"0"
1998,"Kaoping","Kaohsiung City","Maolin District",16,"0"
1998,"Kaoping","Kaohsiung City","Maolin District",17,"0"
1998,"Kaoping","Kaohsiung City","Maolin District",18,"0"
1998,"Kaoping","Kaohsiung City","Maolin District",19,"0"
1998,"Kaoping","Kaohsiung City","Maolin District",20,"0"
1998,"Kaoping","Kaohsiung City","Maolin District",21,"0"
1998,"Kaoping","Kaohsiung City","Maolin District",22,"0"
1998,"Kaoping","Kaohsiung City","Maolin District",23,"0"
1998,"Kaoping","Kaohsiung City","Maolin District",24,"0"
1998,"Kaoping","Kaohsiung City","Maolin District",25,"0"
1998,"Kaoping","Kaohsiung City","Maolin District",26,"0"
1998,"Kaoping","Kaohsiung City","Maolin District",27,"0"
1998,"Kaoping","Kaohsiung City","Maolin District",28,"0"
1998,"Kaoping","Kaohsiung City","Maolin District",29,"0"
1998,"Kaoping","Kaohsiung City","Maolin District",30,"0"
1998,"Kaoping","Kaohsiung City","Maolin District",31,"0"
1998,"Kaoping","Kaohsiung City","Maolin District",32,"0"
1998,"Kaoping","Kaohsiung City","Maolin District",33,"0"
1998,"Kaoping","Kaohsiung City","Maolin District",34,"0"
1998,"Kaoping","Kaohsiung City","Maolin District",35,"0"
1998,"Kaoping","Kaohsiung City","Maolin District",36,"0"
1998,"Kaoping","Kaohsiung City","Maolin District",37,"0"
1998,"Kaoping","Kaohsiung City","Maolin District",38,"0"
1998,"Kaoping","Kaohsiung City","Maolin District",39,"0"
1998,"Kaoping","Kaohsiung City","Maolin District",40,"0"
1998,"Kaoping","Kaohsiung City","Maolin District",41,"0"
1998,"Kaoping","Kaohsiung City","Maolin District",42,"0"
1998,"Kaoping","Kaohsiung City","Maolin District",43,"0"
1998,"Kaoping","Kaohsiung City","Maolin District",44,"0"
1998,"Kaoping","Kaohsiung City","Maolin District",45,"0"
1998,"Kaoping","Kaohsiung City","Maolin District",46,"0"
1998,"Kaoping","Kaohsiung City","Maolin District",47,"0"
1998,"Kaoping","Kaohsiung City","Maolin District",48,"0"
1998,"Kaoping","Kaohsiung City","Maolin District",49,"0"
1998,"Kaoping","Kaohsiung City","Maolin District",50,"0"
1998,"Kaoping","Kaohsiung City","Maolin District",51,"0"
1998,"Kaoping","Kaohsiung City","Maolin District",52,"0"
1998,"Kaoping","Kaohsiung City","Maolin District",53,"0"
1999,"Kaoping","Kaohsiung City","Maolin District",1,"0"
1999,"Kaoping","Kaohsiung City","Maolin District",2,"0"
1999,"Kaoping","Kaohsiung City","Maolin District",3,"0"
1999,"Kaoping","Kaohsiung City","Maolin District",4,"0"
1999,"Kaoping","Kaohsiung City","Maolin District",5,"0"
1999,"Kaoping","Kaohsiung City","Maolin District",6,"0"
1999,"Kaoping","Kaohsiung City","Maolin District",7,"0"
1999,"Kaoping","Kaohsiung City","Maolin District",8,"0"
1999,"Kaoping","Kaohsiung City","Maolin District",9,"0"
1999,"Kaoping","Kaohsiung City","Maolin District",10,"0"
1999,"Kaoping","Kaohsiung City","Maolin District",11,"0"
1999,"Kaoping","Kaohsiung City","Maolin District",12,"0"
1999,"Kaoping","Kaohsiung City","Maolin District",13,"0"
1999,"Kaoping","Kaohsiung City","Maolin District",14,"0"
1999,"Kaoping","Kaohsiung City","Maolin District",15,"0"
1999,"Kaoping","Kaohsiung City","Maolin District",16,"0"
1999,"Kaoping","Kaohsiung City","Maolin District",17,"0"
1999,"Kaoping","Kaohsiung City","Maolin District",18,"0"
1999,"Kaoping","Kaohsiung City","Maolin District",19,"0"
1999,"Kaoping","Kaohsiung City","Maolin District",20,"0"
1999,"Kaoping","Kaohsiung City","Maolin District",21,"0"
1999,"Kaoping","Kaohsiung City","Maolin District",22,"0"
1999,"Kaoping","Kaohsiung City","Maolin District",23,"0"
1999,"Kaoping","Kaohsiung City","Maolin District",24,"0"
1999,"Kaoping","Kaohsiung City","Maolin District",25,"0"
1999,"Kaoping","Kaohsiung City","Maolin District",26,"0"
1999,"Kaoping","Kaohsiung City","Maolin District",27,"0"
1999,"Kaoping","Kaohsiung City","Maolin District",28,"0"
1999,"Kaoping","Kaohsiung City","Maolin District",29,"0"
