"Year","Region","City","District","Week","Cases"
1998,"Southern","Chiayi County","Minxiong Township",1,"0"
1998,"Southern","Chiayi County","Minxiong Township",2,"0"
1998,"Southern","Chiayi County","Minxiong Township",3,"0"
1998,"Southern","Chiayi County","Minxiong Township",4,"0"
1998,"Southern","Chiayi County","Minxiong Township",5,"0"
1998,"Southern","Chiayi County","Minxiong Township",6,"0"
1998,"Southern","Chiayi County","Minxiong Township",7,"0"
1998,"Southern","Chiayi County","Minxiong Township",8,"0"
1998,"Southern","Chiayi County","Minxiong Township",9,"0"
1998,"Southern","Chiayi County","Minxiong Township",10,"0"
1998,"Southern","Chiayi County","Minxiong Township",11,"0"
1998,"Southern","Chiayi County","Minxiong Township",12,"0"
1998,"Southern","Chiayi County","Minxiong Township",13,"0"
1998,"Southern","Chiayi County","Minxiong Township",14,"0"
1998,"Southern","Chiayi County","Minxiong Township",15,"0"
1998,"Southern","Chiayi County","Minxiong Township",16,"0"
1998,"Southern","Chiayi County","Minxiong Township",17,"0"
1998,"Southern","Chiayi County","Minxiong Township",18,"0"
1998,"Southern","Chiayi County","Minxiong Township",19,"0"
1998,"Southern","Chiayi County","Minxiong Township",20,"0"
1998,"Southern","Chiayi County","Minxiong Township",21,"0"
1998,"Southern","Chiayi County","Minxiong Township",22,"0"
1998,"Southern","Chiayi County","Minxiong Township",23,"0"
1998,"Southern","Chiayi County","Minxiong Township",24,"0"
1998,"Southern","Chiayi County","Minxiong Township",25,"0"
1998,"Southern","Chiayi County","Minxiong Township",26,"0"
1998,"Southern","Chiayi County","Minxiong Township",27,"0"
1998,"Southern","Chiayi County","Minxiong Township",28,"0"
1998,"Southern","Chiayi County","Minxiong Township",29,"0"
1998,"Southern","Chiayi County","Minxiong Township",30,"0"
1998,"Southern","Chiayi County","Minxiong Township",31,"0"
1998,"Southern","Chiayi County","Minxiong Township",32,"0"
1998,"Southern","Chiayi County","Minxiong Township",33,"0"
1998,"Southern","Chiayi County","Minxiong Township",34,"0"
1998,"Southern","Chiayi County","Minxiong Township",35,"0"
1998,"Southern","Chiayi County","Minxiong Township",36,"0"
1998,"Southern","Chiayi County","Minxiong Township",37,"0"
1998,"Southern","Chiayi County","Minxiong Township",38,"0"
1998,"Southern","Chiayi County","Minxiong Township",39,"0"
1998,"Southern","Chiayi County","Minxiong Township",40,"0"
1998,"Southern","Chiayi County","Minxiong Township",41,"0"
1998,"Southern","Chiayi County","Minxiong Township",42,"0"
1998,"Southern","Chiayi County","Minxiong Township",43,"0"
1998,"Southern","Chiayi County","Minxiong Township",44,"0"
1998,"Southern","Chiayi County","Minxiong Township",45,"0"
1998,"Southern","Chiayi County","Minxiong Township",46,"0"
1998,"Southern","Chiayi County","Minxiong Township",47,"0"
1998,"Southern","Chiayi County","Minxiong Township",48,"0"
1998,"Southern","Chiayi County","Minxiong Township",49,"0"
1998,"Southern","Chiayi County","Minxiong Township",50,"0"
1998,"Southern","Chiayi County","Minxiong Township",51,"0"
1998,"Southern","Chiayi County","Minxiong Township",52,"0"
1998,"Southern","Chiayi County","Minxiong Township",53,"0"
1999,"Southern","Chiayi County","Minxiong Township",1,"0"
1999,"Southern","Chiayi County","Minxiong Township",2,"0"
1999,"Southern","Chiayi County","Minxiong Township",3,"0"
1999,"Southern","Chiayi County","Minxiong Township",4,"0"
1999,"Southern","Chiayi County","Minxiong Township",5,"0"
1999,"Southern","Chiayi County","Minxiong Township",6,"0"
1999,"Southern","Chiayi County","Minxiong Township",7,"0"
1999,"Southern","Chiayi County","Minxiong Township",8,"0"
1999,"Southern","Chiayi County","Minxiong Township",9,"0"
1999,"Southern","Chiayi County","Minxiong Township",10,"0"
1999,"Southern","Chiayi County","Minxiong Township",11,"0"
1999,"Southern","Chiayi County","Minxiong Township",12,"0"
1999,"Southern","Chiayi County","Minxiong Township",13,"0"
1999,"Southern","Chiayi County","Minxiong Township",14,"0"
1999,"Southern","Chiayi County","Minxiong Township",15,"0"
1999,"Southern","Chiayi County","Minxiong Township",16,"0"
1999,"Southern","Chiayi County","Minxiong Township",17,"0"
1999,"Southern","Chiayi County","Minxiong Township",18,"0"
1999,"Southern","Chiayi County","Minxiong Township",19,"0"
1999,"Southern","Chiayi County","Minxiong Township",20,"0"
1999,"Southern","Chiayi County","Minxiong Township",21,"0"
1999,"Southern","Chiayi County","Minxiong Township",22,"0"
1999,"Southern","Chiayi County","Minxiong Township",23,"0"
1999,"Southern","Chiayi County","Minxiong Township",24,"0"
1999,"Southern","Chiayi County","Minxiong Township",25,"0"
1999,"Southern","Chiayi County","Minxiong Township",26,"0"
1999,"Southern","Chiayi County","Minxiong Township",27,"0"
1999,"Southern","Chiayi County","Minxiong Township",28,"0"
1999,"Southern","Chiayi County","Minxiong Township",29,"0"
1999,"Southern","Chiayi County","Minxiong Township",30,"0"
1999,"Southern","Chiayi County","Minxiong Township",31,"0"
1999,"Southern","Chiayi County","Minxiong Township",32,"0"
1999,"Southern","Chiayi County","Minxiong Township",33,"0"
1999,"Southern","Chiayi County","Minxiong Township",34,"0"
1999,"Southern","Chiayi County","Minxiong Township",35,"0"
1999,"Southern","Chiayi County","Minxiong Township",36,"0"
1999,"Southern","Chiayi County","Minxiong Township",37,"0"
1999,"Southern","Chiayi County","Minxiong Township",38,"0"
1999,"Southern","Chiayi County","Minxiong Township",39,"0"
1999,"Southern","Chiayi County","Minxiong Township",40,"0"
1999,"Southern","Chiayi County","Minxiong Township",41,"0"
1999,"Southern","Chiayi County","Minxiong Township",42,"0"
1999,"Southern","Chiayi County","Minxiong Township",43,"0"
1999,"Southern","Chiayi County","Minxiong Township",44,"0"
1999,"Southern","Chiayi County","Minxiong Township",45,"0"
1999,"Southern","Chiayi County","Minxiong Township",46,"0"
1999,"Southern","Chiayi County","Minxiong Township",47,"0"
1999,"Southern","Chiayi County","Minxiong Township",48,"0"
1999,"Southern","Chiayi County","Minxiong Township",49,"0"
1999,"Southern","Chiayi County","Minxiong Township",50,"0"
1999,"Southern","Chiayi County","Minxiong Township",51,"0"
1999,"Southern","Chiayi County","Minxiong Township",52,"0"
1999,"Southern","Chiayi County","Minxiong Township",53,"0"
2000,"Southern","Chiayi County","Minxiong Township",1,"0"
2000,"Southern","Chiayi County","Minxiong Township",2,"0"
2000,"Southern","Chiayi County","Minxiong Township",3,"0"
2000,"Southern","Chiayi County","Minxiong Township",4,"0"
2000,"Southern","Chiayi County","Minxiong Township",5,"0"
2000,"Southern","Chiayi County","Minxiong Township",6,"0"
2000,"Southern","Chiayi County","Minxiong Township",7,"0"
2000,"Southern","Chiayi County","Minxiong Township",8,"0"
2000,"Southern","Chiayi County","Minxiong Township",9,"0"
2000,"Southern","Chiayi County","Minxiong Township",10,"0"
2000,"Southern","Chiayi County","Minxiong Township",11,"0"
2000,"Southern","Chiayi County","Minxiong Township",12,"0"
2000,"Southern","Chiayi County","Minxiong Township",13,"0"
2000,"Southern","Chiayi County","Minxiong Township",14,"0"
2000,"Southern","Chiayi County","Minxiong Township",15,"0"
2000,"Southern","Chiayi County","Minxiong Township",16,"0"
2000,"Southern","Chiayi County","Minxiong Township",17,"0"
2000,"Southern","Chiayi County","Minxiong Township",18,"0"
2000,"Southern","Chiayi County","Minxiong Township",19,"0"
2000,"Southern","Chiayi County","Minxiong Township",20,"0"
2000,"Southern","Chiayi County","Minxiong Township",21,"0"
2000,"Southern","Chiayi County","Minxiong Township",22,"0"
2000,"Southern","Chiayi County","Minxiong Township",23,"0"
2000,"Southern","Chiayi County","Minxiong Township",24,"0"
2000,"Southern","Chiayi County","Minxiong Township",25,"0"
2000,"Southern","Chiayi County","Minxiong Township",26,"0"
2000,"Southern","Chiayi County","Minxiong Township",27,"0"
2000,"Southern","Chiayi County","Minxiong Township",28,"0"
2000,"Southern","Chiayi County","Minxiong Township",29,"0"
2000,"Southern","Chiayi County","Minxiong Township",30,"0"
2000,"Southern","Chiayi County","Minxiong Township",31,"0"
2000,"Southern","Chiayi County","Minxiong Township",32,"0"
2000,"Southern","Chiayi County","Minxiong Township",33,"0"
2000,"Southern","Chiayi County","Minxiong Township",34,"0"
2000,"Southern","Chiayi County","Minxiong Township",35,"0"
2000,"Southern","Chiayi County","Minxiong Township",36,"0"
2000,"Southern","Chiayi County","Minxiong Township",37,"0"
2000,"Southern","Chiayi County","Minxiong Township",38,"0"
