"Year","Region","City","District","Week","Cases"
1998,"Taipei","Taipei City","Nangang District",1,"0"
1998,"Taipei","Taipei City","Nangang District",2,"0"
1998,"Taipei","Taipei City","Nangang District",3,"0"
1998,"Taipei","Taipei City","Nangang District",4,"0"
1998,"Taipei","Taipei City","Nangang District",5,"0"
1998,"Taipei","Taipei City","Nangang District",6,"0"
1998,"Taipei","Taipei City","Nangang District",7,"0"
1998,"Taipei","Taipei City","Nangang District",8,"0"
1998,"Taipei","Taipei City","Nangang District",9,"0"
1998,"Taipei","Taipei City","Nangang District",10,"0"
1998,"Taipei","Taipei City","Nangang District",11,"0"
1998,"Taipei","Taipei City","Nangang District",12,"0"
1998,"Taipei","Taipei City","Nangang District",13,"0"
1998,"Taipei","Taipei City","Nangang District",14,"0"
1998,"Taipei","Taipei City","Nangang District",15,"0"
1998,"Taipei","Taipei City","Nangang District",16,"0"
1998,"Taipei","Taipei City","Nangang District",17,"0"
1998,"Taipei","Taipei City","Nangang District",18,"0"
1998,"Taipei","Taipei City","Nangang District",19,"0"
1998,"Taipei","Taipei City","Nangang District",20,"0"
1998,"Taipei","Taipei City","Nangang District",21,"0"
1998,"Taipei","Taipei City","Nangang District",22,"0"
1998,"Taipei","Taipei City","Nangang District",23,"0"
1998,"Taipei","Taipei City","Nangang District",24,"0"
1998,"Taipei","Taipei City","Nangang District",25,"0"
1998,"Taipei","Taipei City","Nangang District",26,"0"
1998,"Taipei","Taipei City","Nangang District",27,"0"
1998,"Taipei","Taipei City","Nangang District",28,"0"
1998,"Taipei","Taipei City","Nangang District",29,"0"
1998,"Taipei","Taipei City","Nangang District",30,"0"
1998,"Taipei","Taipei City","Nangang District",31,"0"
1998,"Taipei","Taipei City","Nangang District",32,"0"
1998,"Taipei","Taipei City","Nangang District",33,"0"
1998,"Taipei","Taipei City","Nangang District",34,"0"
1998,"Taipei","Taipei City","Nangang District",35,"0"
1998,"Taipei","Taipei City","Nangang District",36,"0"
1998,"Taipei","Taipei City","Nangang District",37,"0"
1998,"Taipei","Taipei City","Nangang District",38,"0"
1998,"Taipei","Taipei City","Nangang District",39,"0"
1998,"Taipei","Taipei City","Nangang District",40,"0"
1998,"Taipei","Taipei City","Nangang District",41,"0"
1998,"Taipei","Taipei City","Nangang District",42,"0"
1998,"Taipei","Taipei City","Nangang District",43,"0"
1998,"Taipei","Taipei City","Nangang District",44,"0"
1998,"Taipei","Taipei City","Nangang District",45,"0"
1998,"Taipei","Taipei City","Nangang District",46,"0"
1998,"Taipei","Taipei City","Nangang District",47,"0"
1998,"Taipei","Taipei City","Nangang District",48,"0"
1998,"Taipei","Taipei City","Nangang District",49,"0"
1998,"Taipei","Taipei City","Nangang District",50,"0"
1998,"Taipei","Taipei City","Nangang District",51,"0"
1998,"Taipei","Taipei City","Nangang District",52,"0"
1998,"Taipei","Taipei City","Nangang District",53,"0"
1999,"Taipei","Taipei City","Nangang District",1,"0"
1999,"Taipei","Taipei City","Nangang District",2,"0"
1999,"Taipei","Taipei City","Nangang District",3,"0"
1999,"Taipei","Taipei City","Nangang District",4,"0"
1999,"Taipei","Taipei City","Nangang District",5,"0"
1999,"Taipei","Taipei City","Nangang District",6,"0"
1999,"Taipei","Taipei City","Nangang District",7,"0"
1999,"Taipei","Taipei City","Nangang District",8,"0"
1999,"Taipei","Taipei City","Nangang District",9,"0"
1999,"Taipei","Taipei City","Nangang District",10,"0"
1999,"Taipei","Taipei City","Nangang District",11,"0"
1999,"Taipei","Taipei City","Nangang District",12,"0"
1999,"Taipei","Taipei City","Nangang District",13,"0"
1999,"Taipei","Taipei City","Nangang District",14,"0"
1999,"Taipei","Taipei City","Nangang District",15,"0"
1999,"Taipei","Taipei City","Nangang District",16,"0"
1999,"Taipei","Taipei City","Nangang District",17,"0"
1999,"Taipei","Taipei City","Nangang District",18,"0"
1999,"Taipei","Taipei City","Nangang District",19,"0"
1999,"Taipei","Taipei City","Nangang District",20,"0"
1999,"Taipei","Taipei City","Nangang District",21,"0"
1999,"Taipei","Taipei City","Nangang District",22,"0"
1999,"Taipei","Taipei City","Nangang District",23,"0"
1999,"Taipei","Taipei City","Nangang District",24,"0"
1999,"Taipei","Taipei City","Nangang District",25,"0"
1999,"Taipei","Taipei City","Nangang District",26,"0"
1999,"Taipei","Taipei City","Nangang District",27,"0"
1999,"Taipei","Taipei City","Nangang District",28,"0"
1999,"Taipei","Taipei City","Nangang District",29,"0"
1999,"Taipei","Taipei City","Nangang District",30,"0"
1999,"Taipei","Taipei City","Nangang District",31,"0"
1999,"Taipei","Taipei City","Nangang District",32,"0"
