"Year","Region","City","District","Week","Cases"
1998,"Kaoping","Pingtung County","Nanzhou Township",1,"0"
1998,"Kaoping","Pingtung County","Nanzhou Township",2,"0"
1998,"Kaoping","Pingtung County","Nanzhou Township",3,"0"
1998,"Kaoping","Pingtung County","Nanzhou Township",4,"0"
1998,"Kaoping","Pingtung County","Nanzhou Township",5,"0"
1998,"Kaoping","Pingtung County","Nanzhou Township",6,"0"
1998,"Kaoping","Pingtung County","Nanzhou Township",7,"0"
1998,"Kaoping","Pingtung County","Nanzhou Township",8,"0"
1998,"Kaoping","Pingtung County","Nanzhou Township",9,"0"
1998,"Kaoping","Pingtung County","Nanzhou Township",10,"0"
1998,"Kaoping","Pingtung County","Nanzhou Township",11,"0"
1998,"Kaoping","Pingtung County","Nanzhou Township",12,"0"
1998,"Kaoping","Pingtung County","Nanzhou Township",13,"0"
1998,"Kaoping","Pingtung County","Nanzhou Township",14,"0"
1998,"Kaoping","Pingtung County","Nanzhou Township",15,"0"
1998,"Kaoping","Pingtung County","Nanzhou Township",16,"0"
1998,"Kaoping","Pingtung County","Nanzhou Township",17,"0"
1998,"Kaoping","Pingtung County","Nanzhou Township",18,"0"
1998,"Kaoping","Pingtung County","Nanzhou Township",19,"0"
1998,"Kaoping","Pingtung County","Nanzhou Township",20,"0"
1998,"Kaoping","Pingtung County","Nanzhou Township",21,"0"
1998,"Kaoping","Pingtung County","Nanzhou Township",22,"0"
1998,"Kaoping","Pingtung County","Nanzhou Township",23,"0"
1998,"Kaoping","Pingtung County","Nanzhou Township",24,"0"
1998,"Kaoping","Pingtung County","Nanzhou Township",25,"0"
1998,"Kaoping","Pingtung County","Nanzhou Township",26,"0"
1998,"Kaoping","Pingtung County","Nanzhou Township",27,"0"
1998,"Kaoping","Pingtung County","Nanzhou Township",28,"0"
1998,"Kaoping","Pingtung County","Nanzhou Township",29,"0"
1998,"Kaoping","Pingtung County","Nanzhou Township",30,"0"
1998,"Kaoping","Pingtung County","Nanzhou Township",31,"0"
1998,"Kaoping","Pingtung County","Nanzhou Township",32,"0"
1998,"Kaoping","Pingtung County","Nanzhou Township",33,"1"
1998,"Kaoping","Pingtung County","Nanzhou Township",34,"0"
1998,"Kaoping","Pingtung County","Nanzhou Township",35,"0"
1998,"Kaoping","Pingtung County","Nanzhou Township",36,"0"
1998,"Kaoping","Pingtung County","Nanzhou Township",37,"0"
1998,"Kaoping","Pingtung County","Nanzhou Township",38,"0"
1998,"Kaoping","Pingtung County","Nanzhou Township",39,"0"
1998,"Kaoping","Pingtung County","Nanzhou Township",40,"0"
1998,"Kaoping","Pingtung County","Nanzhou Township",41,"0"
1998,"Kaoping","Pingtung County","Nanzhou Township",42,"0"
1998,"Kaoping","Pingtung County","Nanzhou Township",43,"0"
1998,"Kaoping","Pingtung County","Nanzhou Township",44,"0"
1998,"Kaoping","Pingtung County","Nanzhou Township",45,"0"
1998,"Kaoping","Pingtung County","Nanzhou Township",46,"0"
1998,"Kaoping","Pingtung County","Nanzhou Township",47,"0"
1998,"Kaoping","Pingtung County","Nanzhou Township",48,"0"
1998,"Kaoping","Pingtung County","Nanzhou Township",49,"0"
1998,"Kaoping","Pingtung County","Nanzhou Township",50,"0"
1998,"Kaoping","Pingtung County","Nanzhou Township",51,"0"
1998,"Kaoping","Pingtung County","Nanzhou Township",52,"0"
1998,"Kaoping","Pingtung County","Nanzhou Township",53,"0"
1999,"Kaoping","Pingtung County","Nanzhou Township",1,"0"
1999,"Kaoping","Pingtung County","Nanzhou Township",2,"0"
1999,"Kaoping","Pingtung County","Nanzhou Township",3,"0"
1999,"Kaoping","Pingtung County","Nanzhou Township",4,"0"
1999,"Kaoping","Pingtung County","Nanzhou Township",5,"0"
1999,"Kaoping","Pingtung County","Nanzhou Township",6,"0"
1999,"Kaoping","Pingtung County","Nanzhou Township",7,"0"
1999,"Kaoping","Pingtung County","Nanzhou Township",8,"0"
1999,"Kaoping","Pingtung County","Nanzhou Township",9,"0"
1999,"Kaoping","Pingtung County","Nanzhou Township",10,"0"
1999,"Kaoping","Pingtung County","Nanzhou Township",11,"0"
1999,"Kaoping","Pingtung County","Nanzhou Township",12,"0"
1999,"Kaoping","Pingtung County","Nanzhou Township",13,"0"
1999,"Kaoping","Pingtung County","Nanzhou Township",14,"0"
1999,"Kaoping","Pingtung County","Nanzhou Township",15,"0"
1999,"Kaoping","Pingtung County","Nanzhou Township",16,"0"
1999,"Kaoping","Pingtung County","Nanzhou Township",17,"0"
1999,"Kaoping","Pingtung County","Nanzhou Township",18,"0"
1999,"Kaoping","Pingtung County","Nanzhou Township",19,"0"
1999,"Kaoping","Pingtung County","Nanzhou Township",20,"0"
1999,"Kaoping","Pingtung County","Nanzhou Township",21,"0"
1999,"Kaoping","Pingtung County","Nanzhou Township",22,"0"
1999,"Kaoping","Pingtung County","Nanzhou Township",23,"0"
1999,"Kaoping","Pingtung County","Nanzhou Township",24,"0"
1999,"Kaoping","Pingtung County","Nanzhou Township",25,"0"
1999,"Kaoping","Pingtung County","Nanzhou Township",26,"0"
1999,"Kaoping","Pingtung County","Nanzhou Township",27,"0"
1999,"Kaoping","Pingtung County","Nanzhou Township",28,"0"
1999,"Kaoping","Pingtung County","Nanzhou Township",29,"0"
1999,"Kaoping","Pingtung County","Nanzhou Township",30,"0"
1999,"Kaoping","Pingtung County","Nanzhou Township",31,"0"
1999,"Kaoping","Pingtung County","Nanzhou Township",32,"0"
1999,"Kaoping","Pingtung County","Nanzhou Township",33,"0"
1999,"Kaoping","Pingtung County","Nanzhou Township",34,"0"
1999,"Kaoping","Pingtung County","Nanzhou Township",35,"0"
1999,"Kaoping","Pingtung County","Nanzhou Township",36,"0"
1999,"Kaoping","Pingtung County","Nanzhou Township",37,"0"
1999,"Kaoping","Pingtung County","Nanzhou Township",38,"0"
1999,"Kaoping","Pingtung County","Nanzhou Township",39,"0"
1999,"Kaoping","Pingtung County","Nanzhou Township",40,"0"
1999,"Kaoping","Pingtung County","Nanzhou Township",41,"0"
1999,"Kaoping","Pingtung County","Nanzhou Township",42,"0"
1999,"Kaoping","Pingtung County","Nanzhou Township",43,"0"
1999,"Kaoping","Pingtung County","Nanzhou Township",44,"0"
1999,"Kaoping","Pingtung County","Nanzhou Township",45,"0"
1999,"Kaoping","Pingtung County","Nanzhou Township",46,"0"
1999,"Kaoping","Pingtung County","Nanzhou Township",47,"0"
1999,"Kaoping","Pingtung County","Nanzhou Township",48,"0"
