"Year","Region","City","District","Week","Cases"
1998,"Kaoping","Kaohsiung City","Nanzi District",1,"0"
1998,"Kaoping","Kaohsiung City","Nanzi District",2,"0"
1998,"Kaoping","Kaohsiung City","Nanzi District",3,"0"
1998,"Kaoping","Kaohsiung City","Nanzi District",4,"0"
1998,"Kaoping","Kaohsiung City","Nanzi District",5,"0"
1998,"Kaoping","Kaohsiung City","Nanzi District",6,"0"
1998,"Kaoping","Kaohsiung City","Nanzi District",7,"0"
1998,"Kaoping","Kaohsiung City","Nanzi District",8,"1"
1998,"Kaoping","Kaohsiung City","Nanzi District",9,"0"
1998,"Kaoping","Kaohsiung City","Nanzi District",10,"0"
1998,"Kaoping","Kaohsiung City","Nanzi District",11,"0"
1998,"Kaoping","Kaohsiung City","Nanzi District",12,"0"
1998,"Kaoping","Kaohsiung City","Nanzi District",13,"0"
1998,"Kaoping","Kaohsiung City","Nanzi District",14,"0"
1998,"Kaoping","Kaohsiung City","Nanzi District",15,"0"
1998,"Kaoping","Kaohsiung City","Nanzi District",16,"0"
1998,"Kaoping","Kaohsiung City","Nanzi District",17,"0"
1998,"Kaoping","Kaohsiung City","Nanzi District",18,"0"
1998,"Kaoping","Kaohsiung City","Nanzi District",19,"0"
1998,"Kaoping","Kaohsiung City","Nanzi District",20,"0"
1998,"Kaoping","Kaohsiung City","Nanzi District",21,"0"
1998,"Kaoping","Kaohsiung City","Nanzi District",22,"0"
1998,"Kaoping","Kaohsiung City","Nanzi District",23,"0"
1998,"Kaoping","Kaohsiung City","Nanzi District",24,"0"
1998,"Kaoping","Kaohsiung City","Nanzi District",25,"0"
1998,"Kaoping","Kaohsiung City","Nanzi District",26,"0"
1998,"Kaoping","Kaohsiung City","Nanzi District",27,"0"
1998,"Kaoping","Kaohsiung City","Nanzi District",28,"0"
1998,"Kaoping","Kaohsiung City","Nanzi District",29,"0"
1998,"Kaoping","Kaohsiung City","Nanzi District",30,"0"
1998,"Kaoping","Kaohsiung City","Nanzi District",31,"0"
1998,"Kaoping","Kaohsiung City","Nanzi District",32,"0"
1998,"Kaoping","Kaohsiung City","Nanzi District",33,"0"
1998,"Kaoping","Kaohsiung City","Nanzi District",34,"0"
1998,"Kaoping","Kaohsiung City","Nanzi District",35,"0"
1998,"Kaoping","Kaohsiung City","Nanzi District",36,"0"
1998,"Kaoping","Kaohsiung City","Nanzi District",37,"0"
1998,"Kaoping","Kaohsiung City","Nanzi District",38,"0"
1998,"Kaoping","Kaohsiung City","Nanzi District",39,"1"
1998,"Kaoping","Kaohsiung City","Nanzi District",40,"0"
