"year","area","city","town","week","cases"
1998,"Southern","Tainan City","North District",1,"0"
1998,"Southern","Tainan City","North District",2,"0"
1998,"Southern","Tainan City","North District",3,"0"
1998,"Southern","Tainan City","North District",4,"0"
1998,"Southern","Tainan City","North District",5,"0"
1998,"Southern","Tainan City","North District",6,"0"
1998,"Southern","Tainan City","North District",7,"0"
1998,"Southern","Tainan City","North District",8,"0"
1998,"Southern","Tainan City","North District",9,"0"
1998,"Southern","Tainan City","North District",10,"0"
1998,"Southern","Tainan City","North District",11,"0"
1998,"Southern","Tainan City","North District",12,"0"
1998,"Southern","Tainan City","North District",13,"0"
1998,"Southern","Tainan City","North District",14,"0"
1998,"Southern","Tainan City","North District",15,"0"
1998,"Southern","Tainan City","North District",16,"0"
1998,"Southern","Tainan City","North District",17,"0"
1998,"Southern","Tainan City","North District",18,"0"
1998,"Southern","Tainan City","North District",19,"0"
1998,"Southern","Tainan City","North District",20,"0"
1998,"Southern","Tainan City","North District",21,"0"
1998,"Southern","Tainan City","North District",22,"0"
1998,"Southern","Tainan City","North District",23,"0"
1998,"Southern","Tainan City","North District",24,"0"
1998,"Southern","Tainan City","North District",25,"0"
1998,"Southern","Tainan City","North District",26,"0"
1998,"Southern","Tainan City","North District",27,"0"
1998,"Southern","Tainan City","North District",28,"0"
1998,"Southern","Tainan City","North District",29,"0"
1998,"Southern","Tainan City","North District",30,"0"
1998,"Southern","Tainan City","North District",31,"0"
1998,"Southern","Tainan City","North District",32,"0"
1998,"Southern","Tainan City","North District",33,"0"
1998,"Southern","Tainan City","North District",34,"0"
1998,"Southern","Tainan City","North District",35,"0"
1998,"Southern","Tainan City","North District",36,"0"
1998,"Southern","Tainan City","North District",37,"0"
1998,"Southern","Tainan City","North District",38,"0"
1998,"Southern","Tainan City","North District",39,"0"
1998,"Southern","Tainan City","North District",40,"0"
1998,"Southern","Tainan City","North District",41,"0"
1998,"Southern","Tainan City","North District",42,"0"
1998,"Southern","Tainan City","North District",43,"0"
1998,"Southern","Tainan City","North District",44,"0"
1998,"Southern","Tainan City","North District",45,"2"
1998,"Southern","Tainan City","North District",46,"1"
1998,"Southern","Tainan City","North District",47,"5"
1998,"Southern","Tainan City","North District",48,"12"
1998,"Southern","Tainan City","North District",49,"4"
1998,"Southern","Tainan City","North District",50,"6"
1998,"Southern","Tainan City","North District",51,"3"
1998,"Southern","Tainan City","North District",52,"2"
1998,"Southern","Tainan City","North District",53,"1"
1999,"Southern","Tainan City","North District",1,"0"
1999,"Southern","Tainan City","North District",2,"0"
1999,"Southern","Tainan City","North District",3,"0"
1999,"Southern","Tainan City","North District",4,"0"
1999,"Southern","Tainan City","North District",5,"0"
1999,"Southern","Tainan City","North District",6,"0"
1999,"Southern","Tainan City","North District",7,"0"
1999,"Southern","Tainan City","North District",8,"0"
1999,"Southern","Tainan City","North District",9,"0"
1999,"Southern","Tainan City","North District",10,"0"
1999,"Southern","Tainan City","North District",11,"0"
1999,"Southern","Tainan City","North District",12,"0"
1999,"Southern","Tainan City","North District",13,"0"
1999,"Southern","Tainan City","North District",14,"0"
1999,"Southern","Tainan City","North District",15,"0"
1999,"Southern","Tainan City","North District",16,"0"
1999,"Southern","Tainan City","North District",17,"0"
1999,"Southern","Tainan City","North District",18,"0"
1999,"Southern","Tainan City","North District",19,"0"
1999,"Southern","Tainan City","North District",20,"0"
1999,"Southern","Tainan City","North District",21,"0"
1999,"Southern","Tainan City","North District",22,"0"
1999,"Southern","Tainan City","North District",23,"0"
1999,"Southern","Tainan City","North District",24,"0"
1999,"Southern","Tainan City","North District",25,"0"
1999,"Southern","Tainan City","North District",26,"0"
1999,"Southern","Tainan City","North District",27,"0"
1999,"Southern","Tainan City","North District",28,"0"
1999,"Southern","Tainan City","North District",29,"0"
1999,"Southern","Tainan City","North District",30,"0"
1999,"Southern","Tainan City","North District",31,"0"
1999,"Southern","Tainan City","North District",32,"0"
1999,"Southern","Tainan City","North District",33,"0"
1999,"Southern","Tainan City","North District",34,"0"
1999,"Southern","Tainan City","North District",35,"0"
1999,"Southern","Tainan City","North District",36,"0"
1999,"Southern","Tainan City","North District",37,"0"
1999,"Southern","Tainan City","North District",38,"0"
1999,"Southern","Tainan City","North District",39,"0"
1999,"Southern","Tainan City","North District",40,"0"
1999,"Southern","Tainan City","North District",41,"0"
1999,"Southern","Tainan City","North District",42,"0"
1999,"Southern","Tainan City","North District",43,"0"
1999,"Southern","Tainan City","North District",44,"0"
1999,"Southern","Tainan City","North District",45,"0"
1999,"Southern","Tainan City","North District",46,"0"
1999,"Southern","Tainan City","North District",47,"0"
1999,"Southern","Tainan City","North District",48,"0"
1999,"Southern","Tainan City","North District",49,"0"
1999,"Southern","Tainan City","North District",50,"0"
1999,"Southern","Tainan City","North District",51,"0"
1999,"Southern","Tainan City","North District",52,"0"
1999,"Southern","Tainan City","North District",53,"0"
2000,"Southern","Tainan City","North District",1,"0"
2000,"Southern","Tainan City","North District",2,"0"
2000,"Southern","Tainan City","North District",3,"0"
2000,"Southern","Tainan City","North District",4,"0"
2000,"Southern","Tainan City","North District",5,"0"
2000,"Southern","Tainan City","North District",6,"0"
2000,"Southern","Tainan City","North District",7,"0"
2000,"Southern","Tainan City","North District",8,"0"
2000,"Southern","Tainan City","North District",9,"0"
2000,"Southern","Tainan City","North District",10,"0"
2000,"Southern","Tainan City","North District",11,"0"
2000,"Southern","Tainan City","North District",12,"0"
2000,"Southern","Tainan City","North District",13,"0"
2000,"Southern","Tainan City","North District",14,"0"
2000,"Southern","Tainan City","North District",15,"0"
2000,"Southern","Tainan City","North District",16,"0"
2000,"Southern","Tainan City","North District",17,"0"
2000,"Southern","Tainan City","North District",18,"0"
2000,"Southern","Tainan City","North District",19,"0"
2000,"Southern","Tainan City","North District",20,"0"
2000,"Southern","Tainan City","North District",21,"0"
2000,"Southern","Tainan City","North District",22,"0"
2000,"Southern","Tainan City","North District",23,"0"
2000,"Southern","Tainan City","North District",24,"0"
2000,"Southern","Tainan City","North District",25,"0"
2000,"Southern","Tainan City","North District",26,"0"
2000,"Southern","Tainan City","North District",27,"0"
2000,"Southern","Tainan City","North District",28,"0"
2000,"Southern","Tainan City","North District",29,"0"
2000,"Southern","Tainan City","North District",30,"0"
2000,"Southern","Tainan City","North District",31,"0"
2000,"Southern","Tainan City","North District",32,"0"
2000,"Southern","Tainan City","North District",33,"0"
2000,"Southern","Tainan City","North District",34,"1"
2000,"Southern","Tainan City","North District",35,"1"
2000,"Southern","Tainan City","North District",36,"1"
2000,"Southern","Tainan City","North District",37,"0"
2000,"Southern","Tainan City","North District",38,"0"
2000,"Southern","Tainan City","North District",39,"0"
2000,"Southern","Tainan City","North District",40,"0"
2000,"Southern","Tainan City","North District",41,"0"
2000,"Southern","Tainan City","North District",42,"0"
2000,"Southern","Tainan City","North District",43,"0"
2000,"Southern","Tainan City","North District",44,"0"
2000,"Southern","Tainan City","North District",45,"0"
2000,"Southern","Tainan City","North District",46,"0"
2000,"Southern","Tainan City","North District",47,"0"
2000,"Southern","Tainan City","North District",48,"0"
2000,"Southern","Tainan City","North District",49,"0"
2000,"Southern","Tainan City","North District",50,"0"
2000,"Southern","Tainan City","North District",51,"0"
2000,"Southern","Tainan City","North District",52,"0"
2000,"Southern","Tainan City","North District",53,"0"
2001,"Southern","Tainan City","North District",1,"0"
2001,"Southern","Tainan City","North District",2,"0"
2001,"Southern","Tainan City","North District",3,"0"
2001,"Southern","Tainan City","North District",4,"0"
2001,"Southern","Tainan City","North District",5,"0"
2001,"Southern","Tainan City","North District",6,"0"
2001,"Southern","Tainan City","North District",7,"0"
2001,"Southern","Tainan City","North District",8,"0"
2001,"Southern","Tainan City","North District",9,"0"
2001,"Southern","Tainan City","North District",10,"0"
2001,"Southern","Tainan City","North District",11,"0"
2001,"Southern","Tainan City","North District",12,"0"
2001,"Southern","Tainan City","North District",13,"0"
2001,"Southern","Tainan City","North District",14,"0"
2001,"Southern","Tainan City","North District",15,"0"
2001,"Southern","Tainan City","North District",16,"0"
2001,"Southern","Tainan City","North District",17,"0"
2001,"Southern","Tainan City","North District",18,"0"
2001,"Southern","Tainan City","North District",19,"0"
2001,"Southern","Tainan City","North District",20,"0"
2001,"Southern","Tainan City","North District",21,"0"
2001,"Southern","Tainan City","North District",22,"0"
2001,"Southern","Tainan City","North District",23,"0"
2001,"Southern","Tainan City","North District",24,"0"
2001,"Southern","Tainan City","North District",25,"0"
2001,"Southern","Tainan City","North District",26,"0"
2001,"Southern","Tainan City","North District",27,"0"
2001,"Southern","Tainan City","North District",28,"0"
2001,"Southern","Tainan City","North District",29,"0"
2001,"Southern","Tainan City","North District",30,"0"
2001,"Southern","Tainan City","North District",31,"0"
2001,"Southern","Tainan City","North District",32,"0"
2001,"Southern","Tainan City","North District",33,"0"
2001,"Southern","Tainan City","North District",34,"0"
2001,"Southern","Tainan City","North District",35,"0"
2001,"Southern","Tainan City","North District",36,"0"
2001,"Southern","Tainan City","North District",37,"0"
2001,"Southern","Tainan City","North District",38,"0"
2001,"Southern","Tainan City","North District",39,"0"
2001,"Southern","Tainan City","North District",40,"0"
2001,"Southern","Tainan City","North District",41,"0"
2001,"Southern","Tainan City","North District",42,"0"
2001,"Southern","Tainan City","North District",43,"0"
2001,"Southern","Tainan City","North District",44,"0"
2001,"Southern","Tainan City","North District",45,"0"
2001,"Southern","Tainan City","North District",46,"0"
2001,"Southern","Tainan City","North District",47,"0"
2001,"Southern","Tainan City","North District",48,"0"
2001,"Southern","Tainan City","North District",49,"0"
2001,"Southern","Tainan City","North District",50,"0"
2001,"Southern","Tainan City","North District",51,"0"
2001,"Southern","Tainan City","North District",52,"0"
2001,"Southern","Tainan City","North District",53,"0"
2002,"Southern","Tainan City","North District",1,"0"
2002,"Southern","Tainan City","North District",2,"0"
2002,"Southern","Tainan City","North District",3,"0"
2002,"Southern","Tainan City","North District",4,"0"
2002,"Southern","Tainan City","North District",5,"0"
2002,"Southern","Tainan City","North District",6,"0"
2002,"Southern","Tainan City","North District",7,"0"
2002,"Southern","Tainan City","North District",8,"0"
2002,"Southern","Tainan City","North District",9,"0"
2002,"Southern","Tainan City","North District",10,"0"
2002,"Southern","Tainan City","North District",11,"0"
2002,"Southern","Tainan City","North District",12,"0"
2002,"Southern","Tainan City","North District",13,"0"
2002,"Southern","Tainan City","North District",14,"0"
2002,"Southern","Tainan City","North District",15,"0"
2002,"Southern","Tainan City","North District",16,"0"
2002,"Southern","Tainan City","North District",17,"0"
2002,"Southern","Tainan City","North District",18,"0"
2002,"Southern","Tainan City","North District",19,"0"
2002,"Southern","Tainan City","North District",20,"0"
2002,"Southern","Tainan City","North District",21,"0"
2002,"Southern","Tainan City","North District",22,"0"
2002,"Southern","Tainan City","North District",23,"0"
2002,"Southern","Tainan City","North District",24,"0"
2002,"Southern","Tainan City","North District",25,"0"
2002,"Southern","Tainan City","North District",26,"0"
2002,"Southern","Tainan City","North District",27,"0"
2002,"Southern","Tainan City","North District",28,"0"
2002,"Southern","Tainan City","North District",29,"0"
2002,"Southern","Tainan City","North District",30,"0"
2002,"Southern","Tainan City","North District",31,"0"
2002,"Southern","Tainan City","North District",32,"0"
2002,"Southern","Tainan City","North District",33,"1"
2002,"Southern","Tainan City","North District",34,"0"
2002,"Southern","Tainan City","North District",35,"1"
2002,"Southern","Tainan City","North District",36,"0"
2002,"Southern","Tainan City","North District",37,"0"
2002,"Southern","Tainan City","North District",38,"1"
2002,"Southern","Tainan City","North District",39,"0"
2002,"Southern","Tainan City","North District",40,"0"
2002,"Southern","Tainan City","North District",41,"1"
2002,"Southern","Tainan City","North District",42,"1"
