"Year","Region","City","District","Week","Cases"
1998,"Taipei","Yilan County","Other",1,"0"
1998,"Taipei","Yilan County","Other",2,"0"
1998,"Taipei","Yilan County","Other",3,"0"
1998,"Taipei","Yilan County","Other",4,"0"
1998,"Taipei","Yilan County","Other",5,"0"
1998,"Taipei","Yilan County","Other",6,"0"
1998,"Taipei","Yilan County","Other",7,"0"
1998,"Taipei","Yilan County","Other",8,"0"
1998,"Taipei","Yilan County","Other",9,"0"
1998,"Taipei","Yilan County","Other",10,"0"
1998,"Taipei","Yilan County","Other",11,"0"
1998,"Taipei","Yilan County","Other",12,"0"
1998,"Taipei","Yilan County","Other",13,"0"
1998,"Taipei","Yilan County","Other",14,"0"
1998,"Taipei","Yilan County","Other",15,"0"
1998,"Taipei","Yilan County","Other",16,"0"
1998,"Taipei","Yilan County","Other",17,"0"
1998,"Taipei","Yilan County","Other",18,"0"
1998,"Taipei","Yilan County","Other",19,"0"
1998,"Taipei","Yilan County","Other",20,"0"
1998,"Taipei","Yilan County","Other",21,"0"
1998,"Taipei","Yilan County","Other",22,"0"
1998,"Taipei","Yilan County","Other",23,"0"
1998,"Taipei","Yilan County","Other",24,"0"
1998,"Taipei","Yilan County","Other",25,"0"
1998,"Taipei","Yilan County","Other",26,"0"
1998,"Taipei","Yilan County","Other",27,"0"
1998,"Taipei","Yilan County","Other",28,"0"
1998,"Taipei","Yilan County","Other",29,"0"
1998,"Taipei","Yilan County","Other",30,"0"
1998,"Taipei","Yilan County","Other",31,"0"
1998,"Taipei","Yilan County","Other",32,"0"
1998,"Taipei","Yilan County","Other",33,"0"
1998,"Taipei","Yilan County","Other",34,"0"
1998,"Taipei","Yilan County","Other",35,"0"
1998,"Taipei","Yilan County","Other",36,"0"
1998,"Taipei","Yilan County","Other",37,"0"
1998,"Taipei","Yilan County","Other",38,"0"
1998,"Taipei","Yilan County","Other",39,"0"
1998,"Taipei","Yilan County","Other",40,"0"
1998,"Taipei","Yilan County","Other",41,"0"
1998,"Taipei","Yilan County","Other",42,"0"
1998,"Taipei","Yilan County","Other",43,"0"
1998,"Taipei","Yilan County","Other",44,"0"
1998,"Taipei","Yilan County","Other",45,"0"
1998,"Taipei","Yilan County","Other",46,"0"
1998,"Taipei","Yilan County","Other",47,"0"
1998,"Taipei","Yilan County","Other",48,"0"
1998,"Taipei","Yilan County","Other",49,"0"
1998,"Taipei","Yilan County","Other",50,"0"
1998,"Taipei","Yilan County","Other",51,"0"
1998,"Taipei","Yilan County","Other",52,"0"
1998,"Taipei","Yilan County","Other",53,"0"
1999,"Taipei","Yilan County","Other",1,"0"
1999,"Taipei","Yilan County","Other",2,"0"
1999,"Taipei","Yilan County","Other",3,"0"
1999,"Taipei","Yilan County","Other",4,"0"
1999,"Taipei","Yilan County","Other",5,"0"
1999,"Taipei","Yilan County","Other",6,"0"
1999,"Taipei","Yilan County","Other",7,"0"
1999,"Taipei","Yilan County","Other",8,"0"
1999,"Taipei","Yilan County","Other",9,"0"
1999,"Taipei","Yilan County","Other",10,"0"
1999,"Taipei","Yilan County","Other",11,"0"
1999,"Taipei","Yilan County","Other",12,"0"
1999,"Taipei","Yilan County","Other",13,"0"
1999,"Taipei","Yilan County","Other",14,"0"
1999,"Taipei","Yilan County","Other",15,"0"
1999,"Taipei","Yilan County","Other",16,"0"
1999,"Taipei","Yilan County","Other",17,"0"
1999,"Taipei","Yilan County","Other",18,"0"
1999,"Taipei","Yilan County","Other",19,"0"
1999,"Taipei","Yilan County","Other",20,"0"
1999,"Taipei","Yilan County","Other",21,"0"
1999,"Taipei","Yilan County","Other",22,"0"
1999,"Taipei","Yilan County","Other",23,"0"
1999,"Taipei","Yilan County","Other",24,"0"
1999,"Taipei","Yilan County","Other",25,"0"
1999,"Taipei","Yilan County","Other",26,"0"
1999,"Taipei","Yilan County","Other",27,"0"
1999,"Taipei","Yilan County","Other",28,"0"
1999,"Taipei","Yilan County","Other",29,"0"
1999,"Taipei","Yilan County","Other",30,"0"
1999,"Taipei","Yilan County","Other",31,"0"
1999,"Taipei","Yilan County","Other",32,"0"
1999,"Taipei","Yilan County","Other",33,"0"
1999,"Taipei","Yilan County","Other",34,"0"
1999,"Taipei","Yilan County","Other",35,"0"
1999,"Taipei","Yilan County","Other",36,"0"
1999,"Taipei","Yilan County","Other",37,"0"
1999,"Taipei","Yilan County","Other",38,"0"
1999,"Taipei","Yilan County","Other",39,"0"
1999,"Taipei","Yilan County","Other",40,"0"
1999,"Taipei","Yilan County","Other",41,"0"
1999,"Taipei","Yilan County","Other",42,"0"
1999,"Taipei","Yilan County","Other",43,"0"
1999,"Taipei","Yilan County","Other",44,"0"
1999,"Taipei","Yilan County","Other",45,"0"
1999,"Taipei","Yilan County","Other",46,"0"
1999,"Taipei","Yilan County","Other",47,"0"
1999,"Taipei","Yilan County","Other",48,"0"
1999,"Taipei","Yilan County","Other",49,"0"
1999,"Taipei","Yilan County","Other",50,"0"
1999,"Taipei","Yilan County","Other",51,"0"
1999,"Taipei","Yilan County","Other",52,"0"
1999,"Taipei","Yilan County","Other",53,"0"
2000,"Taipei","Yilan County","Other",1,"0"
2000,"Taipei","Yilan County","Other",2,"0"
2000,"Taipei","Yilan County","Other",3,"0"
2000,"Taipei","Yilan County","Other",4,"0"
2000,"Taipei","Yilan County","Other",5,"0"
2000,"Taipei","Yilan County","Other",6,"0"
2000,"Taipei","Yilan County","Other",7,"0"
2000,"Taipei","Yilan County","Other",8,"0"
2000,"Taipei","Yilan County","Other",9,"0"
2000,"Taipei","Yilan County","Other",10,"0"
2000,"Taipei","Yilan County","Other",11,"0"
2000,"Taipei","Yilan County","Other",12,"0"
2000,"Taipei","Yilan County","Other",13,"0"
2000,"Taipei","Yilan County","Other",14,"0"
2000,"Taipei","Yilan County","Other",15,"0"
2000,"Taipei","Yilan County","Other",16,"0"
2000,"Taipei","Yilan County","Other",17,"0"
2000,"Taipei","Yilan County","Other",18,"0"
2000,"Taipei","Yilan County","Other",19,"0"
2000,"Taipei","Yilan County","Other",20,"0"
2000,"Taipei","Yilan County","Other",21,"0"
2000,"Taipei","Yilan County","Other",22,"0"
2000,"Taipei","Yilan County","Other",23,"0"
2000,"Taipei","Yilan County","Other",24,"0"
2000,"Taipei","Yilan County","Other",25,"0"
2000,"Taipei","Yilan County","Other",26,"0"
2000,"Taipei","Yilan County","Other",27,"0"
2000,"Taipei","Yilan County","Other",28,"0"
2000,"Taipei","Yilan County","Other",29,"0"
2000,"Taipei","Yilan County","Other",30,"0"
2000,"Taipei","Yilan County","Other",31,"0"
2000,"Taipei","Yilan County","Other",32,"0"
2000,"Taipei","Yilan County","Other",33,"0"
2000,"Taipei","Yilan County","Other",34,"0"
2000,"Taipei","Yilan County","Other",35,"0"
2000,"Taipei","Yilan County","Other",36,"0"
2000,"Taipei","Yilan County","Other",37,"0"
2000,"Taipei","Yilan County","Other",38,"0"
2000,"Taipei","Yilan County","Other",39,"0"
2000,"Taipei","Yilan County","Other",40,"0"
2000,"Taipei","Yilan County","Other",41,"0"
2000,"Taipei","Yilan County","Other",42,"0"
2000,"Taipei","Yilan County","Other",43,"0"
2000,"Taipei","Yilan County","Other",44,"0"
2000,"Taipei","Yilan County","Other",45,"0"
2000,"Taipei","Yilan County","Other",46,"0"
2000,"Taipei","Yilan County","Other",47,"0"
2000,"Taipei","Yilan County","Other",48,"0"
2000,"Taipei","Yilan County","Other",49,"0"
2000,"Taipei","Yilan County","Other",50,"0"
2000,"Taipei","Yilan County","Other",51,"0"
2000,"Taipei","Yilan County","Other",52,"0"
2000,"Taipei","Yilan County","Other",53,"0"
2001,"Taipei","Yilan County","Other",1,"0"
2001,"Taipei","Yilan County","Other",2,"0"
2001,"Taipei","Yilan County","Other",3,"0"
2001,"Taipei","Yilan County","Other",4,"0"
2001,"Taipei","Yilan County","Other",5,"0"
2001,"Taipei","Yilan County","Other",6,"0"
2001,"Taipei","Yilan County","Other",7,"0"
2001,"Taipei","Yilan County","Other",8,"0"
2001,"Taipei","Yilan County","Other",9,"0"
2001,"Taipei","Yilan County","Other",10,"0"
2001,"Taipei","Yilan County","Other",11,"0"
2001,"Taipei","Yilan County","Other",12,"0"
2001,"Taipei","Yilan County","Other",13,"0"
2001,"Taipei","Yilan County","Other",14,"0"
2001,"Taipei","Yilan County","Other",15,"0"
2001,"Taipei","Yilan County","Other",16,"0"
2001,"Taipei","Yilan County","Other",17,"0"
2001,"Taipei","Yilan County","Other",18,"0"
2001,"Taipei","Yilan County","Other",19,"0"
2001,"Taipei","Yilan County","Other",20,"0"
2001,"Taipei","Yilan County","Other",21,"0"
2001,"Taipei","Yilan County","Other",22,"0"
2001,"Taipei","Yilan County","Other",23,"0"
2001,"Taipei","Yilan County","Other",24,"0"
2001,"Taipei","Yilan County","Other",25,"0"
2001,"Taipei","Yilan County","Other",26,"0"
2001,"Taipei","Yilan County","Other",27,"0"
2001,"Taipei","Yilan County","Other",28,"0"
2001,"Taipei","Yilan County","Other",29,"0"
2001,"Taipei","Yilan County","Other",30,"0"
2001,"Taipei","Yilan County","Other",31,"0"
2001,"Taipei","Yilan County","Other",32,"0"
2001,"Taipei","Yilan County","Other",33,"0"
2001,"Taipei","Yilan County","Other",34,"0"
2001,"Taipei","Yilan County","Other",35,"0"
2001,"Taipei","Yilan County","Other",36,"0"
2001,"Taipei","Yilan County","Other",37,"0"
2001,"Taipei","Yilan County","Other",38,"0"
2001,"Taipei","Yilan County","Other",39,"0"
2001,"Taipei","Yilan County","Other",40,"0"
2001,"Taipei","Yilan County","Other",41,"0"
2001,"Taipei","Yilan County","Other",42,"0"
2001,"Taipei","Yilan County","Other",43,"0"
2001,"Taipei","Yilan County","Other",44,"0"
2001,"Taipei","Yilan County","Other",45,"0"
2001,"Taipei","Yilan County","Other",46,"0"
2001,"Taipei","Yilan County","Other",47,"0"
2001,"Taipei","Yilan County","Other",48,"0"
2001,"Taipei","Yilan County","Other",49,"0"
2001,"Taipei","Yilan County","Other",50,"0"
2001,"Taipei","Yilan County","Other",51,"0"
2001,"Taipei","Yilan County","Other",52,"0"
2001,"Taipei","Yilan County","Other",53,"0"
2002,"Taipei","Yilan County","Other",1,"0"
2002,"Taipei","Yilan County","Other",2,"0"
2002,"Taipei","Yilan County","Other",3,"0"
2002,"Taipei","Yilan County","Other",4,"0"
2002,"Taipei","Yilan County","Other",5,"0"
2002,"Taipei","Yilan County","Other",6,"0"
2002,"Taipei","Yilan County","Other",7,"0"
2002,"Taipei","Yilan County","Other",8,"0"
2002,"Taipei","Yilan County","Other",9,"0"
2002,"Taipei","Yilan County","Other",10,"0"
2002,"Taipei","Yilan County","Other",11,"0"
2002,"Taipei","Yilan County","Other",12,"0"
2002,"Taipei","Yilan County","Other",13,"0"
2002,"Taipei","Yilan County","Other",14,"0"
2002,"Taipei","Yilan County","Other",15,"0"
2002,"Taipei","Yilan County","Other",16,"0"
2002,"Taipei","Yilan County","Other",17,"0"
2002,"Taipei","Yilan County","Other",18,"0"
2002,"Taipei","Yilan County","Other",19,"0"
2002,"Taipei","Yilan County","Other",20,"0"
2002,"Taipei","Yilan County","Other",21,"0"
2002,"Taipei","Yilan County","Other",22,"0"
2002,"Taipei","Yilan County","Other",23,"0"
2002,"Taipei","Yilan County","Other",24,"0"
2002,"Taipei","Yilan County","Other",25,"0"
2002,"Taipei","Yilan County","Other",26,"0"
2002,"Taipei","Yilan County","Other",27,"0"
2002,"Taipei","Yilan County","Other",28,"0"
2002,"Taipei","Yilan County","Other",29,"0"
2002,"Taipei","Yilan County","Other",30,"0"
2002,"Taipei","Yilan County","Other",31,"0"
2002,"Taipei","Yilan County","Other",32,"0"
2002,"Taipei","Yilan County","Other",33,"0"
2002,"Taipei","Yilan County","Other",34,"0"
2002,"Taipei","Yilan County","Other",35,"0"
2002,"Taipei","Yilan County","Other",36,"0"
2002,"Taipei","Yilan County","Other",37,"0"
2002,"Taipei","Yilan County","Other",38,"0"
2002,"Taipei","Yilan County","Other",39,"0"
2002,"Taipei","Yilan County","Other",40,"0"
2002,"Taipei","Yilan County","Other",41,"0"
2002,"Taipei","Yilan County","Other",42,"0"
2002,"Taipei","Yilan County","Other",43,"0"
2002,"Taipei","Yilan County","Other",44,"0"
2002,"Taipei","Yilan County","Other",45,"0"
2002,"Taipei","Yilan County","Other",46,"0"
2002,"Taipei","Yilan County","Other",47,"0"
2002,"Taipei","Yilan County","Other",48,"0"
2002,"Taipei","Yilan County","Other",49,"0"
2002,"Taipei","Yilan County","Other",50,"0"
2002,"Taipei","Yilan County","Other",51,"0"
2002,"Taipei","Yilan County","Other",52,"0"
2002,"Taipei","Yilan County","Other",53,"0"
2003,"Taipei","Yilan County","Other",1,"0"
2003,"Taipei","Yilan County","Other",2,"0"
2003,"Taipei","Yilan County","Other",3,"0"
2003,"Taipei","Yilan County","Other",4,"0"
2003,"Taipei","Yilan County","Other",5,"0"
2003,"Taipei","Yilan County","Other",6,"0"
2003,"Taipei","Yilan County","Other",7,"0"
2003,"Taipei","Yilan County","Other",8,"0"
2003,"Taipei","Yilan County","Other",9,"0"
2003,"Taipei","Yilan County","Other",10,"0"
2003,"Taipei","Yilan County","Other",11,"0"
2003,"Taipei","Yilan County","Other",12,"0"
2003,"Taipei","Yilan County","Other",13,"0"
2003,"Taipei","Yilan County","Other",14,"0"
2003,"Taipei","Yilan County","Other",15,"0"
2003,"Taipei","Yilan County","Other",16,"0"
2003,"Taipei","Yilan County","Other",17,"0"
2003,"Taipei","Yilan County","Other",18,"0"
2003,"Taipei","Yilan County","Other",19,"0"
2003,"Taipei","Yilan County","Other",20,"0"
2003,"Taipei","Yilan County","Other",21,"0"
2003,"Taipei","Yilan County","Other",22,"0"
2003,"Taipei","Yilan County","Other",23,"0"
2003,"Taipei","Yilan County","Other",24,"0"
2003,"Taipei","Yilan County","Other",25,"0"
2003,"Taipei","Yilan County","Other",26,"0"
2003,"Taipei","Yilan County","Other",27,"0"
2003,"Taipei","Yilan County","Other",28,"0"
2003,"Taipei","Yilan County","Other",29,"0"
2003,"Taipei","Yilan County","Other",30,"0"
2003,"Taipei","Yilan County","Other",31,"0"
2003,"Taipei","Yilan County","Other",32,"0"
2003,"Taipei","Yilan County","Other",33,"0"
2003,"Taipei","Yilan County","Other",34,"1"
2003,"Taipei","Yilan County","Other",35,"0"
2003,"Taipei","Yilan County","Other",36,"0"
2003,"Taipei","Yilan County","Other",37,"0"
2003,"Taipei","Yilan County","Other",38,"0"
2003,"Taipei","Yilan County","Other",39,"0"
2003,"Taipei","Yilan County","Other",40,"0"
2003,"Taipei","Yilan County","Other",41,"0"
2003,"Taipei","Yilan County","Other",42,"0"
2003,"Taipei","Yilan County","Other",43,"0"
2003,"Taipei","Yilan County","Other",44,"0"
2003,"Taipei","Yilan County","Other",45,"0"
2003,"Taipei","Yilan County","Other",46,"0"
2003,"Taipei","Yilan County","Other",47,"0"
2003,"Taipei","Yilan County","Other",48,"0"
2003,"Taipei","Yilan County","Other",49,"0"
2003,"Taipei","Yilan County","Other",50,"0"
2003,"Taipei","Yilan County","Other",51,"0"
2003,"Taipei","Yilan County","Other",52,"0"
2003,"Taipei","Yilan County","Other",53,"0"
2004,"Taipei","Yilan County","Other",1,"0"
2004,"Taipei","Yilan County","Other",2,"0"
2004,"Taipei","Yilan County","Other",3,"0"
2004,"Taipei","Yilan County","Other",4,"0"
2004,"Taipei","Yilan County","Other",5,"0"
2004,"Taipei","Yilan County","Other",6,"0"
2004,"Taipei","Yilan County","Other",7,"0"
2004,"Taipei","Yilan County","Other",8,"0"
2004,"Taipei","Yilan County","Other",9,"0"
2004,"Taipei","Yilan County","Other",10,"0"
2004,"Taipei","Yilan County","Other",11,"0"
2004,"Taipei","Yilan County","Other",12,"0"
2004,"Taipei","Yilan County","Other",13,"0"
2004,"Taipei","Yilan County","Other",14,"0"
2004,"Taipei","Yilan County","Other",15,"0"
2004,"Taipei","Yilan County","Other",16,"0"
2004,"Taipei","Yilan County","Other",17,"0"
2004,"Taipei","Yilan County","Other",18,"0"
2004,"Taipei","Yilan County","Other",19,"0"
2004,"Taipei","Yilan County","Other",20,"0"
2004,"Taipei","Yilan County","Other",21,"0"
2004,"Taipei","Yilan County","Other",22,"0"
2004,"Taipei","Yilan County","Other",23,"0"
2004,"Taipei","Yilan County","Other",24,"0"
2004,"Taipei","Yilan County","Other",25,"0"
2004,"Taipei","Yilan County","Other",26,"0"
2004,"Taipei","Yilan County","Other",27,"0"
2004,"Taipei","Yilan County","Other",28,"0"
2004,"Taipei","Yilan County","Other",29,"0"
2004,"Taipei","Yilan County","Other",30,"0"
2004,"Taipei","Yilan County","Other",31,"0"
2004,"Taipei","Yilan County","Other",32,"0"
2004,"Taipei","Yilan County","Other",33,"0"
2004,"Taipei","Yilan County","Other",34,"0"
2004,"Taipei","Yilan County","Other",35,"0"
2004,"Taipei","Yilan County","Other",36,"0"
2004,"Taipei","Yilan County","Other",37,"0"
2004,"Taipei","Yilan County","Other",38,"0"
2004,"Taipei","Yilan County","Other",39,"0"
2004,"Taipei","Yilan County","Other",40,"0"
2004,"Taipei","Yilan County","Other",41,"0"
2004,"Taipei","Yilan County","Other",42,"0"
2004,"Taipei","Yilan County","Other",43,"0"
2004,"Taipei","Yilan County","Other",44,"0"
2004,"Taipei","Yilan County","Other",45,"0"
2004,"Taipei","Yilan County","Other",46,"0"
2004,"Taipei","Yilan County","Other",47,"0"
2004,"Taipei","Yilan County","Other",48,"0"
2004,"Taipei","Yilan County","Other",49,"0"
2004,"Taipei","Yilan County","Other",50,"0"
2004,"Taipei","Yilan County","Other",51,"0"
2004,"Taipei","Yilan County","Other",52,"0"
2004,"Taipei","Yilan County","Other",53,"0"
2005,"Taipei","Yilan County","Other",1,"0"
2005,"Taipei","Yilan County","Other",2,"0"
2005,"Taipei","Yilan County","Other",3,"0"
2005,"Taipei","Yilan County","Other",4,"0"
2005,"Taipei","Yilan County","Other",5,"0"
2005,"Taipei","Yilan County","Other",6,"0"
2005,"Taipei","Yilan County","Other",7,"0"
2005,"Taipei","Yilan County","Other",8,"0"
2005,"Taipei","Yilan County","Other",9,"0"
2005,"Taipei","Yilan County","Other",10,"0"
2005,"Taipei","Yilan County","Other",11,"0"
2005,"Taipei","Yilan County","Other",12,"0"
2005,"Taipei","Yilan County","Other",13,"0"
2005,"Taipei","Yilan County","Other",14,"0"
2005,"Taipei","Yilan County","Other",15,"0"
2005,"Taipei","Yilan County","Other",16,"0"
2005,"Taipei","Yilan County","Other",17,"0"
2005,"Taipei","Yilan County","Other",18,"0"
2005,"Taipei","Yilan County","Other",19,"0"
2005,"Taipei","Yilan County","Other",20,"0"
2005,"Taipei","Yilan County","Other",21,"0"
2005,"Taipei","Yilan County","Other",22,"0"
2005,"Taipei","Yilan County","Other",23,"0"
2005,"Taipei","Yilan County","Other",24,"0"
2005,"Taipei","Yilan County","Other",25,"0"
2005,"Taipei","Yilan County","Other",26,"0"
2005,"Taipei","Yilan County","Other",27,"0"
2005,"Taipei","Yilan County","Other",28,"0"
2005,"Taipei","Yilan County","Other",29,"0"
2005,"Taipei","Yilan County","Other",30,"0"
2005,"Taipei","Yilan County","Other",31,"0"
2005,"Taipei","Yilan County","Other",32,"0"
