"Year","Region","City","District","Week","Cases"
1998,"Kaoping","Kaohsiung City","Qiaotou District",1,"0"
1998,"Kaoping","Kaohsiung City","Qiaotou District",2,"0"
1998,"Kaoping","Kaohsiung City","Qiaotou District",3,"0"
1998,"Kaoping","Kaohsiung City","Qiaotou District",4,"0"
1998,"Kaoping","Kaohsiung City","Qiaotou District",5,"0"
1998,"Kaoping","Kaohsiung City","Qiaotou District",6,"0"
1998,"Kaoping","Kaohsiung City","Qiaotou District",7,"0"
1998,"Kaoping","Kaohsiung City","Qiaotou District",8,"0"
1998,"Kaoping","Kaohsiung City","Qiaotou District",9,"0"
1998,"Kaoping","Kaohsiung City","Qiaotou District",10,"0"
1998,"Kaoping","Kaohsiung City","Qiaotou District",11,"0"
1998,"Kaoping","Kaohsiung City","Qiaotou District",12,"0"
1998,"Kaoping","Kaohsiung City","Qiaotou District",13,"0"
1998,"Kaoping","Kaohsiung City","Qiaotou District",14,"0"
1998,"Kaoping","Kaohsiung City","Qiaotou District",15,"0"
1998,"Kaoping","Kaohsiung City","Qiaotou District",16,"0"
1998,"Kaoping","Kaohsiung City","Qiaotou District",17,"0"
1998,"Kaoping","Kaohsiung City","Qiaotou District",18,"0"
1998,"Kaoping","Kaohsiung City","Qiaotou District",19,"0"
1998,"Kaoping","Kaohsiung City","Qiaotou District",20,"0"
1998,"Kaoping","Kaohsiung City","Qiaotou District",21,"0"
1998,"Kaoping","Kaohsiung City","Qiaotou District",22,"0"
1998,"Kaoping","Kaohsiung City","Qiaotou District",23,"0"
1998,"Kaoping","Kaohsiung City","Qiaotou District",24,"0"
1998,"Kaoping","Kaohsiung City","Qiaotou District",25,"0"
1998,"Kaoping","Kaohsiung City","Qiaotou District",26,"0"
1998,"Kaoping","Kaohsiung City","Qiaotou District",27,"0"
1998,"Kaoping","Kaohsiung City","Qiaotou District",28,"0"
1998,"Kaoping","Kaohsiung City","Qiaotou District",29,"0"
1998,"Kaoping","Kaohsiung City","Qiaotou District",30,"0"
1998,"Kaoping","Kaohsiung City","Qiaotou District",31,"0"
1998,"Kaoping","Kaohsiung City","Qiaotou District",32,"0"
1998,"Kaoping","Kaohsiung City","Qiaotou District",33,"0"
1998,"Kaoping","Kaohsiung City","Qiaotou District",34,"0"
1998,"Kaoping","Kaohsiung City","Qiaotou District",35,"0"
1998,"Kaoping","Kaohsiung City","Qiaotou District",36,"0"
1998,"Kaoping","Kaohsiung City","Qiaotou District",37,"0"
1998,"Kaoping","Kaohsiung City","Qiaotou District",38,"0"
1998,"Kaoping","Kaohsiung City","Qiaotou District",39,"0"
1998,"Kaoping","Kaohsiung City","Qiaotou District",40,"0"
1998,"Kaoping","Kaohsiung City","Qiaotou District",41,"0"
1998,"Kaoping","Kaohsiung City","Qiaotou District",42,"0"
1998,"Kaoping","Kaohsiung City","Qiaotou District",43,"0"
1998,"Kaoping","Kaohsiung City","Qiaotou District",44,"0"
1998,"Kaoping","Kaohsiung City","Qiaotou District",45,"0"
1998,"Kaoping","Kaohsiung City","Qiaotou District",46,"0"
1998,"Kaoping","Kaohsiung City","Qiaotou District",47,"0"
1998,"Kaoping","Kaohsiung City","Qiaotou District",48,"0"
1998,"Kaoping","Kaohsiung City","Qiaotou District",49,"0"
1998,"Kaoping","Kaohsiung City","Qiaotou District",50,"0"
1998,"Kaoping","Kaohsiung City","Qiaotou District",51,"0"
1998,"Kaoping","Kaohsiung City","Qiaotou District",52,"0"
1998,"Kaoping","Kaohsiung City","Qiaotou District",53,"0"
1999,"Kaoping","Kaohsiung City","Qiaotou District",1,"0"
1999,"Kaoping","Kaohsiung City","Qiaotou District",2,"0"
1999,"Kaoping","Kaohsiung City","Qiaotou District",3,"0"
1999,"Kaoping","Kaohsiung City","Qiaotou District",4,"0"
1999,"Kaoping","Kaohsiung City","Qiaotou District",5,"0"
1999,"Kaoping","Kaohsiung City","Qiaotou District",6,"0"
1999,"Kaoping","Kaohsiung City","Qiaotou District",7,"0"
1999,"Kaoping","Kaohsiung City","Qiaotou District",8,"0"
1999,"Kaoping","Kaohsiung City","Qiaotou District",9,"0"
1999,"Kaoping","Kaohsiung City","Qiaotou District",10,"0"
1999,"Kaoping","Kaohsiung City","Qiaotou District",11,"0"
1999,"Kaoping","Kaohsiung City","Qiaotou District",12,"0"
1999,"Kaoping","Kaohsiung City","Qiaotou District",13,"0"
1999,"Kaoping","Kaohsiung City","Qiaotou District",14,"0"
1999,"Kaoping","Kaohsiung City","Qiaotou District",15,"0"
1999,"Kaoping","Kaohsiung City","Qiaotou District",16,"0"
1999,"Kaoping","Kaohsiung City","Qiaotou District",17,"0"
1999,"Kaoping","Kaohsiung City","Qiaotou District",18,"0"
1999,"Kaoping","Kaohsiung City","Qiaotou District",19,"0"
1999,"Kaoping","Kaohsiung City","Qiaotou District",20,"0"
1999,"Kaoping","Kaohsiung City","Qiaotou District",21,"0"
1999,"Kaoping","Kaohsiung City","Qiaotou District",22,"0"
1999,"Kaoping","Kaohsiung City","Qiaotou District",23,"0"
1999,"Kaoping","Kaohsiung City","Qiaotou District",24,"0"
1999,"Kaoping","Kaohsiung City","Qiaotou District",25,"0"
1999,"Kaoping","Kaohsiung City","Qiaotou District",26,"0"
1999,"Kaoping","Kaohsiung City","Qiaotou District",27,"0"
1999,"Kaoping","Kaohsiung City","Qiaotou District",28,"0"
1999,"Kaoping","Kaohsiung City","Qiaotou District",29,"0"
1999,"Kaoping","Kaohsiung City","Qiaotou District",30,"0"
1999,"Kaoping","Kaohsiung City","Qiaotou District",31,"0"
1999,"Kaoping","Kaohsiung City","Qiaotou District",32,"0"
1999,"Kaoping","Kaohsiung City","Qiaotou District",33,"0"
1999,"Kaoping","Kaohsiung City","Qiaotou District",34,"0"
1999,"Kaoping","Kaohsiung City","Qiaotou District",35,"0"
1999,"Kaoping","Kaohsiung City","Qiaotou District",36,"0"
1999,"Kaoping","Kaohsiung City","Qiaotou District",37,"0"
1999,"Kaoping","Kaohsiung City","Qiaotou District",38,"0"
1999,"Kaoping","Kaohsiung City","Qiaotou District",39,"0"
1999,"Kaoping","Kaohsiung City","Qiaotou District",40,"0"
1999,"Kaoping","Kaohsiung City","Qiaotou District",41,"0"
1999,"Kaoping","Kaohsiung City","Qiaotou District",42,"0"
1999,"Kaoping","Kaohsiung City","Qiaotou District",43,"0"
1999,"Kaoping","Kaohsiung City","Qiaotou District",44,"0"
1999,"Kaoping","Kaohsiung City","Qiaotou District",45,"0"
1999,"Kaoping","Kaohsiung City","Qiaotou District",46,"0"
1999,"Kaoping","Kaohsiung City","Qiaotou District",47,"0"
1999,"Kaoping","Kaohsiung City","Qiaotou District",48,"0"
1999,"Kaoping","Kaohsiung City","Qiaotou District",49,"0"
1999,"Kaoping","Kaohsiung City","Qiaotou District",50,"0"
1999,"Kaoping","Kaohsiung City","Qiaotou District",51,"0"
1999,"Kaoping","Kaohsiung City","Qiaotou District",52,"0"
1999,"Kaoping","Kaohsiung City","Qiaotou District",53,"0"
2000,"Kaoping","Kaohsiung City","Qiaotou District",1,"0"
2000,"Kaoping","Kaohsiung City","Qiaotou District",2,"0"
2000,"Kaoping","Kaohsiung City","Qiaotou District",3,"0"
2000,"Kaoping","Kaohsiung City","Qiaotou District",4,"0"
2000,"Kaoping","Kaohsiung City","Qiaotou District",5,"0"
2000,"Kaoping","Kaohsiung City","Qiaotou District",6,"0"
2000,"Kaoping","Kaohsiung City","Qiaotou District",7,"0"
2000,"Kaoping","Kaohsiung City","Qiaotou District",8,"0"
2000,"Kaoping","Kaohsiung City","Qiaotou District",9,"0"
2000,"Kaoping","Kaohsiung City","Qiaotou District",10,"0"
2000,"Kaoping","Kaohsiung City","Qiaotou District",11,"0"
2000,"Kaoping","Kaohsiung City","Qiaotou District",12,"0"
2000,"Kaoping","Kaohsiung City","Qiaotou District",13,"0"
2000,"Kaoping","Kaohsiung City","Qiaotou District",14,"0"
2000,"Kaoping","Kaohsiung City","Qiaotou District",15,"0"
2000,"Kaoping","Kaohsiung City","Qiaotou District",16,"0"
2000,"Kaoping","Kaohsiung City","Qiaotou District",17,"0"
2000,"Kaoping","Kaohsiung City","Qiaotou District",18,"0"
2000,"Kaoping","Kaohsiung City","Qiaotou District",19,"0"
2000,"Kaoping","Kaohsiung City","Qiaotou District",20,"0"
2000,"Kaoping","Kaohsiung City","Qiaotou District",21,"0"
2000,"Kaoping","Kaohsiung City","Qiaotou District",22,"0"
2000,"Kaoping","Kaohsiung City","Qiaotou District",23,"0"
2000,"Kaoping","Kaohsiung City","Qiaotou District",24,"0"
2000,"Kaoping","Kaohsiung City","Qiaotou District",25,"0"
2000,"Kaoping","Kaohsiung City","Qiaotou District",26,"0"
2000,"Kaoping","Kaohsiung City","Qiaotou District",27,"0"
2000,"Kaoping","Kaohsiung City","Qiaotou District",28,"0"
2000,"Kaoping","Kaohsiung City","Qiaotou District",29,"0"
2000,"Kaoping","Kaohsiung City","Qiaotou District",30,"0"
2000,"Kaoping","Kaohsiung City","Qiaotou District",31,"0"
2000,"Kaoping","Kaohsiung City","Qiaotou District",32,"0"
2000,"Kaoping","Kaohsiung City","Qiaotou District",33,"0"
2000,"Kaoping","Kaohsiung City","Qiaotou District",34,"0"
2000,"Kaoping","Kaohsiung City","Qiaotou District",35,"0"
2000,"Kaoping","Kaohsiung City","Qiaotou District",36,"0"
2000,"Kaoping","Kaohsiung City","Qiaotou District",37,"0"
2000,"Kaoping","Kaohsiung City","Qiaotou District",38,"0"
2000,"Kaoping","Kaohsiung City","Qiaotou District",39,"0"
2000,"Kaoping","Kaohsiung City","Qiaotou District",40,"0"
2000,"Kaoping","Kaohsiung City","Qiaotou District",41,"0"
2000,"Kaoping","Kaohsiung City","Qiaotou District",42,"0"
2000,"Kaoping","Kaohsiung City","Qiaotou District",43,"0"
2000,"Kaoping","Kaohsiung City","Qiaotou District",44,"0"
2000,"Kaoping","Kaohsiung City","Qiaotou District",45,"0"
2000,"Kaoping","Kaohsiung City","Qiaotou District",46,"0"
2000,"Kaoping","Kaohsiung City","Qiaotou District",47,"0"
2000,"Kaoping","Kaohsiung City","Qiaotou District",48,"0"
2000,"Kaoping","Kaohsiung City","Qiaotou District",49,"0"
