"year","area","city","town","week","cases"
1998,"Kaoping","Kaohsiung City","Qishan District",1,"0"
1998,"Kaoping","Kaohsiung City","Qishan District",2,"0"
1998,"Kaoping","Kaohsiung City","Qishan District",3,"0"
1998,"Kaoping","Kaohsiung City","Qishan District",4,"0"
1998,"Kaoping","Kaohsiung City","Qishan District",5,"0"
1998,"Kaoping","Kaohsiung City","Qishan District",6,"0"
1998,"Kaoping","Kaohsiung City","Qishan District",7,"0"
1998,"Kaoping","Kaohsiung City","Qishan District",8,"0"
1998,"Kaoping","Kaohsiung City","Qishan District",9,"0"
1998,"Kaoping","Kaohsiung City","Qishan District",10,"0"
1998,"Kaoping","Kaohsiung City","Qishan District",11,"0"
1998,"Kaoping","Kaohsiung City","Qishan District",12,"0"
1998,"Kaoping","Kaohsiung City","Qishan District",13,"0"
1998,"Kaoping","Kaohsiung City","Qishan District",14,"0"
1998,"Kaoping","Kaohsiung City","Qishan District",15,"0"
1998,"Kaoping","Kaohsiung City","Qishan District",16,"0"
1998,"Kaoping","Kaohsiung City","Qishan District",17,"0"
1998,"Kaoping","Kaohsiung City","Qishan District",18,"0"
1998,"Kaoping","Kaohsiung City","Qishan District",19,"0"
1998,"Kaoping","Kaohsiung City","Qishan District",20,"0"
1998,"Kaoping","Kaohsiung City","Qishan District",21,"0"
1998,"Kaoping","Kaohsiung City","Qishan District",22,"0"
1998,"Kaoping","Kaohsiung City","Qishan District",23,"0"
1998,"Kaoping","Kaohsiung City","Qishan District",24,"0"
1998,"Kaoping","Kaohsiung City","Qishan District",25,"0"
1998,"Kaoping","Kaohsiung City","Qishan District",26,"0"
1998,"Kaoping","Kaohsiung City","Qishan District",27,"0"
1998,"Kaoping","Kaohsiung City","Qishan District",28,"0"
1998,"Kaoping","Kaohsiung City","Qishan District",29,"0"
1998,"Kaoping","Kaohsiung City","Qishan District",30,"0"
1998,"Kaoping","Kaohsiung City","Qishan District",31,"0"
1998,"Kaoping","Kaohsiung City","Qishan District",32,"0"
1998,"Kaoping","Kaohsiung City","Qishan District",33,"0"
1998,"Kaoping","Kaohsiung City","Qishan District",34,"0"
1998,"Kaoping","Kaohsiung City","Qishan District",35,"0"
1998,"Kaoping","Kaohsiung City","Qishan District",36,"0"
1998,"Kaoping","Kaohsiung City","Qishan District",37,"0"
1998,"Kaoping","Kaohsiung City","Qishan District",38,"0"
1998,"Kaoping","Kaohsiung City","Qishan District",39,"0"
1998,"Kaoping","Kaohsiung City","Qishan District",40,"0"
1998,"Kaoping","Kaohsiung City","Qishan District",41,"0"
1998,"Kaoping","Kaohsiung City","Qishan District",42,"0"
1998,"Kaoping","Kaohsiung City","Qishan District",43,"0"
1998,"Kaoping","Kaohsiung City","Qishan District",44,"0"
1998,"Kaoping","Kaohsiung City","Qishan District",45,"0"
1998,"Kaoping","Kaohsiung City","Qishan District",46,"0"
1998,"Kaoping","Kaohsiung City","Qishan District",47,"0"
1998,"Kaoping","Kaohsiung City","Qishan District",48,"0"
1998,"Kaoping","Kaohsiung City","Qishan District",49,"0"
1998,"Kaoping","Kaohsiung City","Qishan District",50,"0"
1998,"Kaoping","Kaohsiung City","Qishan District",51,"0"
1998,"Kaoping","Kaohsiung City","Qishan District",52,"0"
1998,"Kaoping","Kaohsiung City","Qishan District",53,"0"
1999,"Kaoping","Kaohsiung City","Qishan District",1,"0"
1999,"Kaoping","Kaohsiung City","Qishan District",2,"0"
1999,"Kaoping","Kaohsiung City","Qishan District",3,"0"
1999,"Kaoping","Kaohsiung City","Qishan District",4,"0"
1999,"Kaoping","Kaohsiung City","Qishan District",5,"0"
1999,"Kaoping","Kaohsiung City","Qishan District",6,"0"
1999,"Kaoping","Kaohsiung City","Qishan District",7,"0"
1999,"Kaoping","Kaohsiung City","Qishan District",8,"0"
1999,"Kaoping","Kaohsiung City","Qishan District",9,"0"
1999,"Kaoping","Kaohsiung City","Qishan District",10,"0"
1999,"Kaoping","Kaohsiung City","Qishan District",11,"0"
1999,"Kaoping","Kaohsiung City","Qishan District",12,"0"
1999,"Kaoping","Kaohsiung City","Qishan District",13,"0"
