"Year","Region","City","District","Week","Cases"
1998,"Southern","Tainan City","Rende District",1,"0"
1998,"Southern","Tainan City","Rende District",2,"0"
1998,"Southern","Tainan City","Rende District",3,"0"
1998,"Southern","Tainan City","Rende District",4,"0"
1998,"Southern","Tainan City","Rende District",5,"0"
1998,"Southern","Tainan City","Rende District",6,"0"
1998,"Southern","Tainan City","Rende District",7,"0"
1998,"Southern","Tainan City","Rende District",8,"0"
1998,"Southern","Tainan City","Rende District",9,"0"
1998,"Southern","Tainan City","Rende District",10,"0"
1998,"Southern","Tainan City","Rende District",11,"0"
1998,"Southern","Tainan City","Rende District",12,"0"
1998,"Southern","Tainan City","Rende District",13,"0"
1998,"Southern","Tainan City","Rende District",14,"0"
1998,"Southern","Tainan City","Rende District",15,"0"
1998,"Southern","Tainan City","Rende District",16,"0"
1998,"Southern","Tainan City","Rende District",17,"0"
1998,"Southern","Tainan City","Rende District",18,"0"
1998,"Southern","Tainan City","Rende District",19,"0"
1998,"Southern","Tainan City","Rende District",20,"0"
1998,"Southern","Tainan City","Rende District",21,"0"
1998,"Southern","Tainan City","Rende District",22,"0"
1998,"Southern","Tainan City","Rende District",23,"0"
1998,"Southern","Tainan City","Rende District",24,"0"
1998,"Southern","Tainan City","Rende District",25,"0"
1998,"Southern","Tainan City","Rende District",26,"0"
1998,"Southern","Tainan City","Rende District",27,"0"
1998,"Southern","Tainan City","Rende District",28,"0"
1998,"Southern","Tainan City","Rende District",29,"0"
1998,"Southern","Tainan City","Rende District",30,"0"
1998,"Southern","Tainan City","Rende District",31,"0"
1998,"Southern","Tainan City","Rende District",32,"0"
1998,"Southern","Tainan City","Rende District",33,"0"
1998,"Southern","Tainan City","Rende District",34,"0"
1998,"Southern","Tainan City","Rende District",35,"0"
1998,"Southern","Tainan City","Rende District",36,"0"
1998,"Southern","Tainan City","Rende District",37,"0"
1998,"Southern","Tainan City","Rende District",38,"0"
1998,"Southern","Tainan City","Rende District",39,"0"
1998,"Southern","Tainan City","Rende District",40,"0"
1998,"Southern","Tainan City","Rende District",41,"0"
1998,"Southern","Tainan City","Rende District",42,"0"
1998,"Southern","Tainan City","Rende District",43,"0"
1998,"Southern","Tainan City","Rende District",44,"0"
1998,"Southern","Tainan City","Rende District",45,"0"
1998,"Southern","Tainan City","Rende District",46,"0"
1998,"Southern","Tainan City","Rende District",47,"0"
1998,"Southern","Tainan City","Rende District",48,"0"
1998,"Southern","Tainan City","Rende District",49,"0"
1998,"Southern","Tainan City","Rende District",50,"0"
1998,"Southern","Tainan City","Rende District",51,"0"
1998,"Southern","Tainan City","Rende District",52,"0"
1998,"Southern","Tainan City","Rende District",53,"0"
1999,"Southern","Tainan City","Rende District",1,"1"
1999,"Southern","Tainan City","Rende District",2,"0"
1999,"Southern","Tainan City","Rende District",3,"0"
1999,"Southern","Tainan City","Rende District",4,"0"
1999,"Southern","Tainan City","Rende District",5,"0"
1999,"Southern","Tainan City","Rende District",6,"0"
1999,"Southern","Tainan City","Rende District",7,"0"
1999,"Southern","Tainan City","Rende District",8,"0"
1999,"Southern","Tainan City","Rende District",9,"0"
1999,"Southern","Tainan City","Rende District",10,"0"
1999,"Southern","Tainan City","Rende District",11,"0"
1999,"Southern","Tainan City","Rende District",12,"0"
1999,"Southern","Tainan City","Rende District",13,"0"
1999,"Southern","Tainan City","Rende District",14,"0"
1999,"Southern","Tainan City","Rende District",15,"0"
1999,"Southern","Tainan City","Rende District",16,"0"
1999,"Southern","Tainan City","Rende District",17,"0"
1999,"Southern","Tainan City","Rende District",18,"0"
1999,"Southern","Tainan City","Rende District",19,"0"
1999,"Southern","Tainan City","Rende District",20,"0"
1999,"Southern","Tainan City","Rende District",21,"0"
1999,"Southern","Tainan City","Rende District",22,"0"
1999,"Southern","Tainan City","Rende District",23,"0"
1999,"Southern","Tainan City","Rende District",24,"0"
1999,"Southern","Tainan City","Rende District",25,"0"
1999,"Southern","Tainan City","Rende District",26,"0"
1999,"Southern","Tainan City","Rende District",27,"0"
1999,"Southern","Tainan City","Rende District",28,"0"
1999,"Southern","Tainan City","Rende District",29,"0"
1999,"Southern","Tainan City","Rende District",30,"0"
1999,"Southern","Tainan City","Rende District",31,"0"
1999,"Southern","Tainan City","Rende District",32,"0"
1999,"Southern","Tainan City","Rende District",33,"0"
1999,"Southern","Tainan City","Rende District",34,"0"
1999,"Southern","Tainan City","Rende District",35,"0"
1999,"Southern","Tainan City","Rende District",36,"0"
1999,"Southern","Tainan City","Rende District",37,"0"
1999,"Southern","Tainan City","Rende District",38,"0"
1999,"Southern","Tainan City","Rende District",39,"0"
1999,"Southern","Tainan City","Rende District",40,"0"
1999,"Southern","Tainan City","Rende District",41,"0"
1999,"Southern","Tainan City","Rende District",42,"0"
1999,"Southern","Tainan City","Rende District",43,"0"
1999,"Southern","Tainan City","Rende District",44,"0"
1999,"Southern","Tainan City","Rende District",45,"0"
1999,"Southern","Tainan City","Rende District",46,"0"
1999,"Southern","Tainan City","Rende District",47,"0"
1999,"Southern","Tainan City","Rende District",48,"0"
1999,"Southern","Tainan City","Rende District",49,"0"
1999,"Southern","Tainan City","Rende District",50,"0"
1999,"Southern","Tainan City","Rende District",51,"0"
1999,"Southern","Tainan City","Rende District",52,"0"
1999,"Southern","Tainan City","Rende District",53,"0"
2000,"Southern","Tainan City","Rende District",1,"0"
2000,"Southern","Tainan City","Rende District",2,"0"
2000,"Southern","Tainan City","Rende District",3,"0"
2000,"Southern","Tainan City","Rende District",4,"0"
2000,"Southern","Tainan City","Rende District",5,"0"
2000,"Southern","Tainan City","Rende District",6,"0"
2000,"Southern","Tainan City","Rende District",7,"0"
2000,"Southern","Tainan City","Rende District",8,"0"
2000,"Southern","Tainan City","Rende District",9,"0"
2000,"Southern","Tainan City","Rende District",10,"0"
2000,"Southern","Tainan City","Rende District",11,"0"
2000,"Southern","Tainan City","Rende District",12,"0"
2000,"Southern","Tainan City","Rende District",13,"0"
2000,"Southern","Tainan City","Rende District",14,"0"
2000,"Southern","Tainan City","Rende District",15,"0"
2000,"Southern","Tainan City","Rende District",16,"0"
2000,"Southern","Tainan City","Rende District",17,"0"
2000,"Southern","Tainan City","Rende District",18,"0"
2000,"Southern","Tainan City","Rende District",19,"0"
2000,"Southern","Tainan City","Rende District",20,"0"
2000,"Southern","Tainan City","Rende District",21,"0"
2000,"Southern","Tainan City","Rende District",22,"0"
2000,"Southern","Tainan City","Rende District",23,"0"
2000,"Southern","Tainan City","Rende District",24,"0"
2000,"Southern","Tainan City","Rende District",25,"0"
2000,"Southern","Tainan City","Rende District",26,"0"
2000,"Southern","Tainan City","Rende District",27,"0"
2000,"Southern","Tainan City","Rende District",28,"0"
2000,"Southern","Tainan City","Rende District",29,"0"
2000,"Southern","Tainan City","Rende District",30,"0"
2000,"Southern","Tainan City","Rende District",31,"0"
2000,"Southern","Tainan City","Rende District",32,"0"
2000,"Southern","Tainan City","Rende District",33,"0"
2000,"Southern","Tainan City","Rende District",34,"0"
2000,"Southern","Tainan City","Rende District",35,"0"
2000,"Southern","Tainan City","Rende District",36,"0"
2000,"Southern","Tainan City","Rende District",37,"0"
2000,"Southern","Tainan City","Rende District",38,"0"
2000,"Southern","Tainan City","Rende District",39,"0"
2000,"Southern","Tainan City","Rende District",40,"0"
2000,"Southern","Tainan City","Rende District",41,"0"
2000,"Southern","Tainan City","Rende District",42,"0"
2000,"Southern","Tainan City","Rende District",43,"0"
2000,"Southern","Tainan City","Rende District",44,"0"
2000,"Southern","Tainan City","Rende District",45,"0"
2000,"Southern","Tainan City","Rende District",46,"0"
2000,"Southern","Tainan City","Rende District",47,"0"
2000,"Southern","Tainan City","Rende District",48,"0"
2000,"Southern","Tainan City","Rende District",49,"0"
2000,"Southern","Tainan City","Rende District",50,"0"
2000,"Southern","Tainan City","Rende District",51,"0"
2000,"Southern","Tainan City","Rende District",52,"0"
2000,"Southern","Tainan City","Rende District",53,"0"
2001,"Southern","Tainan City","Rende District",1,"0"
2001,"Southern","Tainan City","Rende District",2,"0"
2001,"Southern","Tainan City","Rende District",3,"0"
2001,"Southern","Tainan City","Rende District",4,"0"
2001,"Southern","Tainan City","Rende District",5,"0"
2001,"Southern","Tainan City","Rende District",6,"0"
2001,"Southern","Tainan City","Rende District",7,"0"
2001,"Southern","Tainan City","Rende District",8,"0"
2001,"Southern","Tainan City","Rende District",9,"0"
2001,"Southern","Tainan City","Rende District",10,"0"
2001,"Southern","Tainan City","Rende District",11,"0"
2001,"Southern","Tainan City","Rende District",12,"0"
2001,"Southern","Tainan City","Rende District",13,"0"
2001,"Southern","Tainan City","Rende District",14,"0"
2001,"Southern","Tainan City","Rende District",15,"0"
2001,"Southern","Tainan City","Rende District",16,"0"
2001,"Southern","Tainan City","Rende District",17,"0"
2001,"Southern","Tainan City","Rende District",18,"0"
2001,"Southern","Tainan City","Rende District",19,"0"
2001,"Southern","Tainan City","Rende District",20,"0"
2001,"Southern","Tainan City","Rende District",21,"0"
2001,"Southern","Tainan City","Rende District",22,"0"
2001,"Southern","Tainan City","Rende District",23,"0"
2001,"Southern","Tainan City","Rende District",24,"0"
2001,"Southern","Tainan City","Rende District",25,"0"
2001,"Southern","Tainan City","Rende District",26,"0"
2001,"Southern","Tainan City","Rende District",27,"0"
2001,"Southern","Tainan City","Rende District",28,"0"
2001,"Southern","Tainan City","Rende District",29,"0"
2001,"Southern","Tainan City","Rende District",30,"0"
2001,"Southern","Tainan City","Rende District",31,"0"
2001,"Southern","Tainan City","Rende District",32,"0"
2001,"Southern","Tainan City","Rende District",33,"0"
2001,"Southern","Tainan City","Rende District",34,"0"
2001,"Southern","Tainan City","Rende District",35,"0"
2001,"Southern","Tainan City","Rende District",36,"0"
2001,"Southern","Tainan City","Rende District",37,"0"
2001,"Southern","Tainan City","Rende District",38,"0"
2001,"Southern","Tainan City","Rende District",39,"0"
2001,"Southern","Tainan City","Rende District",40,"0"
2001,"Southern","Tainan City","Rende District",41,"0"
2001,"Southern","Tainan City","Rende District",42,"0"
2001,"Southern","Tainan City","Rende District",43,"0"
2001,"Southern","Tainan City","Rende District",44,"0"
2001,"Southern","Tainan City","Rende District",45,"0"
2001,"Southern","Tainan City","Rende District",46,"0"
2001,"Southern","Tainan City","Rende District",47,"0"
2001,"Southern","Tainan City","Rende District",48,"0"
2001,"Southern","Tainan City","Rende District",49,"0"
2001,"Southern","Tainan City","Rende District",50,"0"
2001,"Southern","Tainan City","Rende District",51,"0"
2001,"Southern","Tainan City","Rende District",52,"0"
2001,"Southern","Tainan City","Rende District",53,"0"
2002,"Southern","Tainan City","Rende District",1,"0"
2002,"Southern","Tainan City","Rende District",2,"0"
2002,"Southern","Tainan City","Rende District",3,"0"
2002,"Southern","Tainan City","Rende District",4,"0"
2002,"Southern","Tainan City","Rende District",5,"0"
2002,"Southern","Tainan City","Rende District",6,"0"
2002,"Southern","Tainan City","Rende District",7,"0"
2002,"Southern","Tainan City","Rende District",8,"0"
2002,"Southern","Tainan City","Rende District",9,"0"
2002,"Southern","Tainan City","Rende District",10,"0"
2002,"Southern","Tainan City","Rende District",11,"0"
2002,"Southern","Tainan City","Rende District",12,"0"
2002,"Southern","Tainan City","Rende District",13,"0"
2002,"Southern","Tainan City","Rende District",14,"0"
2002,"Southern","Tainan City","Rende District",15,"0"
2002,"Southern","Tainan City","Rende District",16,"0"
2002,"Southern","Tainan City","Rende District",17,"0"
2002,"Southern","Tainan City","Rende District",18,"0"
2002,"Southern","Tainan City","Rende District",19,"0"
2002,"Southern","Tainan City","Rende District",20,"0"
2002,"Southern","Tainan City","Rende District",21,"0"
2002,"Southern","Tainan City","Rende District",22,"0"
2002,"Southern","Tainan City","Rende District",23,"0"
2002,"Southern","Tainan City","Rende District",24,"0"
2002,"Southern","Tainan City","Rende District",25,"0"
2002,"Southern","Tainan City","Rende District",26,"0"
2002,"Southern","Tainan City","Rende District",27,"0"
2002,"Southern","Tainan City","Rende District",28,"0"
2002,"Southern","Tainan City","Rende District",29,"0"
2002,"Southern","Tainan City","Rende District",30,"0"
2002,"Southern","Tainan City","Rende District",31,"0"
2002,"Southern","Tainan City","Rende District",32,"0"
2002,"Southern","Tainan City","Rende District",33,"0"
2002,"Southern","Tainan City","Rende District",34,"0"
2002,"Southern","Tainan City","Rende District",35,"0"
2002,"Southern","Tainan City","Rende District",36,"0"
2002,"Southern","Tainan City","Rende District",37,"0"
2002,"Southern","Tainan City","Rende District",38,"0"
2002,"Southern","Tainan City","Rende District",39,"0"
2002,"Southern","Tainan City","Rende District",40,"0"
2002,"Southern","Tainan City","Rende District",41,"0"
2002,"Southern","Tainan City","Rende District",42,"0"
2002,"Southern","Tainan City","Rende District",43,"0"
2002,"Southern","Tainan City","Rende District",44,"0"
2002,"Southern","Tainan City","Rende District",45,"0"
2002,"Southern","Tainan City","Rende District",46,"0"
2002,"Southern","Tainan City","Rende District",47,"0"
2002,"Southern","Tainan City","Rende District",48,"1"
2002,"Southern","Tainan City","Rende District",49,"0"
2002,"Southern","Tainan City","Rende District",50,"0"
2002,"Southern","Tainan City","Rende District",51,"0"
2002,"Southern","Tainan City","Rende District",52,"0"
2002,"Southern","Tainan City","Rende District",53,"0"
2003,"Southern","Tainan City","Rende District",1,"0"
2003,"Southern","Tainan City","Rende District",2,"0"
2003,"Southern","Tainan City","Rende District",3,"0"
2003,"Southern","Tainan City","Rende District",4,"0"
2003,"Southern","Tainan City","Rende District",5,"0"
2003,"Southern","Tainan City","Rende District",6,"0"
2003,"Southern","Tainan City","Rende District",7,"0"
2003,"Southern","Tainan City","Rende District",8,"0"
2003,"Southern","Tainan City","Rende District",9,"0"
2003,"Southern","Tainan City","Rende District",10,"0"
