"Year","Region","City","District","Week","Cases"
1998,"Kaoping","Pingtung County","Sandimen Township",1,"0"
1998,"Kaoping","Pingtung County","Sandimen Township",2,"0"
1998,"Kaoping","Pingtung County","Sandimen Township",3,"0"
1998,"Kaoping","Pingtung County","Sandimen Township",4,"0"
1998,"Kaoping","Pingtung County","Sandimen Township",5,"0"
1998,"Kaoping","Pingtung County","Sandimen Township",6,"0"
1998,"Kaoping","Pingtung County","Sandimen Township",7,"0"
1998,"Kaoping","Pingtung County","Sandimen Township",8,"0"
1998,"Kaoping","Pingtung County","Sandimen Township",9,"0"
1998,"Kaoping","Pingtung County","Sandimen Township",10,"0"
1998,"Kaoping","Pingtung County","Sandimen Township",11,"0"
1998,"Kaoping","Pingtung County","Sandimen Township",12,"0"
1998,"Kaoping","Pingtung County","Sandimen Township",13,"0"
1998,"Kaoping","Pingtung County","Sandimen Township",14,"0"
1998,"Kaoping","Pingtung County","Sandimen Township",15,"0"
1998,"Kaoping","Pingtung County","Sandimen Township",16,"0"
1998,"Kaoping","Pingtung County","Sandimen Township",17,"0"
1998,"Kaoping","Pingtung County","Sandimen Township",18,"0"
1998,"Kaoping","Pingtung County","Sandimen Township",19,"0"
1998,"Kaoping","Pingtung County","Sandimen Township",20,"0"
1998,"Kaoping","Pingtung County","Sandimen Township",21,"0"
1998,"Kaoping","Pingtung County","Sandimen Township",22,"0"
1998,"Kaoping","Pingtung County","Sandimen Township",23,"0"
1998,"Kaoping","Pingtung County","Sandimen Township",24,"0"
1998,"Kaoping","Pingtung County","Sandimen Township",25,"0"
1998,"Kaoping","Pingtung County","Sandimen Township",26,"0"
1998,"Kaoping","Pingtung County","Sandimen Township",27,"0"
1998,"Kaoping","Pingtung County","Sandimen Township",28,"0"
1998,"Kaoping","Pingtung County","Sandimen Township",29,"0"
1998,"Kaoping","Pingtung County","Sandimen Township",30,"0"
1998,"Kaoping","Pingtung County","Sandimen Township",31,"0"
1998,"Kaoping","Pingtung County","Sandimen Township",32,"0"
1998,"Kaoping","Pingtung County","Sandimen Township",33,"0"
1998,"Kaoping","Pingtung County","Sandimen Township",34,"0"
1998,"Kaoping","Pingtung County","Sandimen Township",35,"0"
1998,"Kaoping","Pingtung County","Sandimen Township",36,"0"
1998,"Kaoping","Pingtung County","Sandimen Township",37,"0"
1998,"Kaoping","Pingtung County","Sandimen Township",38,"0"
1998,"Kaoping","Pingtung County","Sandimen Township",39,"0"
1998,"Kaoping","Pingtung County","Sandimen Township",40,"0"
