"Year","Region","City","District","Week","Cases"
1998,"Kaoping","Kaohsiung City","Sanmin District",1,"0"
1998,"Kaoping","Kaohsiung City","Sanmin District",2,"0"
1998,"Kaoping","Kaohsiung City","Sanmin District",3,"0"
1998,"Kaoping","Kaohsiung City","Sanmin District",4,"0"
1998,"Kaoping","Kaohsiung City","Sanmin District",5,"0"
1998,"Kaoping","Kaohsiung City","Sanmin District",6,"0"
1998,"Kaoping","Kaohsiung City","Sanmin District",7,"0"
1998,"Kaoping","Kaohsiung City","Sanmin District",8,"0"
1998,"Kaoping","Kaohsiung City","Sanmin District",9,"0"
1998,"Kaoping","Kaohsiung City","Sanmin District",10,"0"
1998,"Kaoping","Kaohsiung City","Sanmin District",11,"0"
1998,"Kaoping","Kaohsiung City","Sanmin District",12,"0"
1998,"Kaoping","Kaohsiung City","Sanmin District",13,"0"
1998,"Kaoping","Kaohsiung City","Sanmin District",14,"0"
1998,"Kaoping","Kaohsiung City","Sanmin District",15,"0"
1998,"Kaoping","Kaohsiung City","Sanmin District",16,"0"
1998,"Kaoping","Kaohsiung City","Sanmin District",17,"0"
1998,"Kaoping","Kaohsiung City","Sanmin District",18,"0"
1998,"Kaoping","Kaohsiung City","Sanmin District",19,"0"
1998,"Kaoping","Kaohsiung City","Sanmin District",20,"0"
1998,"Kaoping","Kaohsiung City","Sanmin District",21,"0"
1998,"Kaoping","Kaohsiung City","Sanmin District",22,"0"
1998,"Kaoping","Kaohsiung City","Sanmin District",23,"0"
1998,"Kaoping","Kaohsiung City","Sanmin District",24,"0"
1998,"Kaoping","Kaohsiung City","Sanmin District",25,"0"
1998,"Kaoping","Kaohsiung City","Sanmin District",26,"0"
1998,"Kaoping","Kaohsiung City","Sanmin District",27,"0"
1998,"Kaoping","Kaohsiung City","Sanmin District",28,"0"
1998,"Kaoping","Kaohsiung City","Sanmin District",29,"0"
1998,"Kaoping","Kaohsiung City","Sanmin District",30,"0"
1998,"Kaoping","Kaohsiung City","Sanmin District",31,"1"
1998,"Kaoping","Kaohsiung City","Sanmin District",32,"1"
1998,"Kaoping","Kaohsiung City","Sanmin District",33,"0"
1998,"Kaoping","Kaohsiung City","Sanmin District",34,"0"
1998,"Kaoping","Kaohsiung City","Sanmin District",35,"0"
1998,"Kaoping","Kaohsiung City","Sanmin District",36,"0"
1998,"Kaoping","Kaohsiung City","Sanmin District",37,"1"
1998,"Kaoping","Kaohsiung City","Sanmin District",38,"0"
1998,"Kaoping","Kaohsiung City","Sanmin District",39,"3"
1998,"Kaoping","Kaohsiung City","Sanmin District",40,"1"
1998,"Kaoping","Kaohsiung City","Sanmin District",41,"0"
1998,"Kaoping","Kaohsiung City","Sanmin District",42,"1"
1998,"Kaoping","Kaohsiung City","Sanmin District",43,"4"
1998,"Kaoping","Kaohsiung City","Sanmin District",44,"0"
1998,"Kaoping","Kaohsiung City","Sanmin District",45,"4"
1998,"Kaoping","Kaohsiung City","Sanmin District",46,"12"
1998,"Kaoping","Kaohsiung City","Sanmin District",47,"4"
1998,"Kaoping","Kaohsiung City","Sanmin District",48,"10"
1998,"Kaoping","Kaohsiung City","Sanmin District",49,"3"
1998,"Kaoping","Kaohsiung City","Sanmin District",50,"2"
1998,"Kaoping","Kaohsiung City","Sanmin District",51,"3"
1998,"Kaoping","Kaohsiung City","Sanmin District",52,"1"
1998,"Kaoping","Kaohsiung City","Sanmin District",53,"0"
1999,"Kaoping","Kaohsiung City","Sanmin District",1,"0"
1999,"Kaoping","Kaohsiung City","Sanmin District",2,"0"
1999,"Kaoping","Kaohsiung City","Sanmin District",3,"1"
1999,"Kaoping","Kaohsiung City","Sanmin District",4,"1"
1999,"Kaoping","Kaohsiung City","Sanmin District",5,"1"
1999,"Kaoping","Kaohsiung City","Sanmin District",6,"0"
1999,"Kaoping","Kaohsiung City","Sanmin District",7,"0"
1999,"Kaoping","Kaohsiung City","Sanmin District",8,"0"
1999,"Kaoping","Kaohsiung City","Sanmin District",9,"0"
1999,"Kaoping","Kaohsiung City","Sanmin District",10,"0"
1999,"Kaoping","Kaohsiung City","Sanmin District",11,"0"
1999,"Kaoping","Kaohsiung City","Sanmin District",12,"0"
1999,"Kaoping","Kaohsiung City","Sanmin District",13,"0"
1999,"Kaoping","Kaohsiung City","Sanmin District",14,"0"
1999,"Kaoping","Kaohsiung City","Sanmin District",15,"0"
1999,"Kaoping","Kaohsiung City","Sanmin District",16,"1"
1999,"Kaoping","Kaohsiung City","Sanmin District",17,"0"
1999,"Kaoping","Kaohsiung City","Sanmin District",18,"0"
1999,"Kaoping","Kaohsiung City","Sanmin District",19,"0"
1999,"Kaoping","Kaohsiung City","Sanmin District",20,"0"
1999,"Kaoping","Kaohsiung City","Sanmin District",21,"0"
1999,"Kaoping","Kaohsiung City","Sanmin District",22,"0"
1999,"Kaoping","Kaohsiung City","Sanmin District",23,"0"
1999,"Kaoping","Kaohsiung City","Sanmin District",24,"0"
1999,"Kaoping","Kaohsiung City","Sanmin District",25,"0"
1999,"Kaoping","Kaohsiung City","Sanmin District",26,"0"
1999,"Kaoping","Kaohsiung City","Sanmin District",27,"0"
1999,"Kaoping","Kaohsiung City","Sanmin District",28,"0"
1999,"Kaoping","Kaohsiung City","Sanmin District",29,"0"
1999,"Kaoping","Kaohsiung City","Sanmin District",30,"0"
1999,"Kaoping","Kaohsiung City","Sanmin District",31,"0"
1999,"Kaoping","Kaohsiung City","Sanmin District",32,"0"
1999,"Kaoping","Kaohsiung City","Sanmin District",33,"0"
1999,"Kaoping","Kaohsiung City","Sanmin District",34,"0"
1999,"Kaoping","Kaohsiung City","Sanmin District",35,"0"
1999,"Kaoping","Kaohsiung City","Sanmin District",36,"0"
1999,"Kaoping","Kaohsiung City","Sanmin District",37,"0"
1999,"Kaoping","Kaohsiung City","Sanmin District",38,"0"
1999,"Kaoping","Kaohsiung City","Sanmin District",39,"0"
1999,"Kaoping","Kaohsiung City","Sanmin District",40,"0"
1999,"Kaoping","Kaohsiung City","Sanmin District",41,"0"
1999,"Kaoping","Kaohsiung City","Sanmin District",42,"0"
1999,"Kaoping","Kaohsiung City","Sanmin District",43,"0"
1999,"Kaoping","Kaohsiung City","Sanmin District",44,"0"
1999,"Kaoping","Kaohsiung City","Sanmin District",45,"0"
1999,"Kaoping","Kaohsiung City","Sanmin District",46,"0"
1999,"Kaoping","Kaohsiung City","Sanmin District",47,"0"
1999,"Kaoping","Kaohsiung City","Sanmin District",48,"0"
1999,"Kaoping","Kaohsiung City","Sanmin District",49,"1"
1999,"Kaoping","Kaohsiung City","Sanmin District",50,"0"
1999,"Kaoping","Kaohsiung City","Sanmin District",51,"0"
1999,"Kaoping","Kaohsiung City","Sanmin District",52,"0"
1999,"Kaoping","Kaohsiung City","Sanmin District",53,"0"
2000,"Kaoping","Kaohsiung City","Sanmin District",1,"0"
2000,"Kaoping","Kaohsiung City","Sanmin District",2,"0"
2000,"Kaoping","Kaohsiung City","Sanmin District",3,"0"
2000,"Kaoping","Kaohsiung City","Sanmin District",4,"0"
2000,"Kaoping","Kaohsiung City","Sanmin District",5,"0"
2000,"Kaoping","Kaohsiung City","Sanmin District",6,"0"
2000,"Kaoping","Kaohsiung City","Sanmin District",7,"0"
2000,"Kaoping","Kaohsiung City","Sanmin District",8,"0"
2000,"Kaoping","Kaohsiung City","Sanmin District",9,"0"
2000,"Kaoping","Kaohsiung City","Sanmin District",10,"0"
2000,"Kaoping","Kaohsiung City","Sanmin District",11,"0"
2000,"Kaoping","Kaohsiung City","Sanmin District",12,"0"
2000,"Kaoping","Kaohsiung City","Sanmin District",13,"0"
2000,"Kaoping","Kaohsiung City","Sanmin District",14,"0"
2000,"Kaoping","Kaohsiung City","Sanmin District",15,"0"
2000,"Kaoping","Kaohsiung City","Sanmin District",16,"0"
2000,"Kaoping","Kaohsiung City","Sanmin District",17,"0"
2000,"Kaoping","Kaohsiung City","Sanmin District",18,"0"
2000,"Kaoping","Kaohsiung City","Sanmin District",19,"0"
2000,"Kaoping","Kaohsiung City","Sanmin District",20,"0"
2000,"Kaoping","Kaohsiung City","Sanmin District",21,"0"
2000,"Kaoping","Kaohsiung City","Sanmin District",22,"0"
2000,"Kaoping","Kaohsiung City","Sanmin District",23,"0"
2000,"Kaoping","Kaohsiung City","Sanmin District",24,"0"
2000,"Kaoping","Kaohsiung City","Sanmin District",25,"0"
2000,"Kaoping","Kaohsiung City","Sanmin District",26,"0"
2000,"Kaoping","Kaohsiung City","Sanmin District",27,"0"
2000,"Kaoping","Kaohsiung City","Sanmin District",28,"0"
2000,"Kaoping","Kaohsiung City","Sanmin District",29,"0"
2000,"Kaoping","Kaohsiung City","Sanmin District",30,"0"
2000,"Kaoping","Kaohsiung City","Sanmin District",31,"0"
