"year","area","city","town","week","cases"
1998,"Taipei","New Taipei City","Sanxia District",1,"0"
1998,"Taipei","New Taipei City","Sanxia District",2,"0"
1998,"Taipei","New Taipei City","Sanxia District",3,"0"
1998,"Taipei","New Taipei City","Sanxia District",4,"0"
1998,"Taipei","New Taipei City","Sanxia District",5,"0"
1998,"Taipei","New Taipei City","Sanxia District",6,"0"
1998,"Taipei","New Taipei City","Sanxia District",7,"0"
1998,"Taipei","New Taipei City","Sanxia District",8,"0"
1998,"Taipei","New Taipei City","Sanxia District",9,"0"
1998,"Taipei","New Taipei City","Sanxia District",10,"0"
1998,"Taipei","New Taipei City","Sanxia District",11,"0"
1998,"Taipei","New Taipei City","Sanxia District",12,"0"
1998,"Taipei","New Taipei City","Sanxia District",13,"0"
1998,"Taipei","New Taipei City","Sanxia District",14,"0"
1998,"Taipei","New Taipei City","Sanxia District",15,"0"
1998,"Taipei","New Taipei City","Sanxia District",16,"0"
1998,"Taipei","New Taipei City","Sanxia District",17,"0"
1998,"Taipei","New Taipei City","Sanxia District",18,"0"
1998,"Taipei","New Taipei City","Sanxia District",19,"0"
1998,"Taipei","New Taipei City","Sanxia District",20,"0"
1998,"Taipei","New Taipei City","Sanxia District",21,"0"
1998,"Taipei","New Taipei City","Sanxia District",22,"0"
1998,"Taipei","New Taipei City","Sanxia District",23,"0"
1998,"Taipei","New Taipei City","Sanxia District",24,"0"
1998,"Taipei","New Taipei City","Sanxia District",25,"0"
1998,"Taipei","New Taipei City","Sanxia District",26,"0"
1998,"Taipei","New Taipei City","Sanxia District",27,"0"
1998,"Taipei","New Taipei City","Sanxia District",28,"0"
1998,"Taipei","New Taipei City","Sanxia District",29,"0"
1998,"Taipei","New Taipei City","Sanxia District",30,"0"
1998,"Taipei","New Taipei City","Sanxia District",31,"0"
1998,"Taipei","New Taipei City","Sanxia District",32,"0"
1998,"Taipei","New Taipei City","Sanxia District",33,"0"
1998,"Taipei","New Taipei City","Sanxia District",34,"1"
1998,"Taipei","New Taipei City","Sanxia District",35,"0"
1998,"Taipei","New Taipei City","Sanxia District",36,"1"
1998,"Taipei","New Taipei City","Sanxia District",37,"1"
1998,"Taipei","New Taipei City","Sanxia District",38,"0"
1998,"Taipei","New Taipei City","Sanxia District",39,"0"
1998,"Taipei","New Taipei City","Sanxia District",40,"0"
1998,"Taipei","New Taipei City","Sanxia District",41,"0"
1998,"Taipei","New Taipei City","Sanxia District",42,"0"
1998,"Taipei","New Taipei City","Sanxia District",43,"0"
1998,"Taipei","New Taipei City","Sanxia District",44,"0"
1998,"Taipei","New Taipei City","Sanxia District",45,"0"
1998,"Taipei","New Taipei City","Sanxia District",46,"0"
1998,"Taipei","New Taipei City","Sanxia District",47,"0"
1998,"Taipei","New Taipei City","Sanxia District",48,"0"
1998,"Taipei","New Taipei City","Sanxia District",49,"0"
1998,"Taipei","New Taipei City","Sanxia District",50,"0"
1998,"Taipei","New Taipei City","Sanxia District",51,"0"
1998,"Taipei","New Taipei City","Sanxia District",52,"0"
1998,"Taipei","New Taipei City","Sanxia District",53,"0"
1999,"Taipei","New Taipei City","Sanxia District",1,"0"
1999,"Taipei","New Taipei City","Sanxia District",2,"0"
1999,"Taipei","New Taipei City","Sanxia District",3,"0"
1999,"Taipei","New Taipei City","Sanxia District",4,"0"
1999,"Taipei","New Taipei City","Sanxia District",5,"0"
1999,"Taipei","New Taipei City","Sanxia District",6,"0"
1999,"Taipei","New Taipei City","Sanxia District",7,"0"
1999,"Taipei","New Taipei City","Sanxia District",8,"0"
1999,"Taipei","New Taipei City","Sanxia District",9,"0"
1999,"Taipei","New Taipei City","Sanxia District",10,"0"
1999,"Taipei","New Taipei City","Sanxia District",11,"0"
1999,"Taipei","New Taipei City","Sanxia District",12,"0"
1999,"Taipei","New Taipei City","Sanxia District",13,"0"
1999,"Taipei","New Taipei City","Sanxia District",14,"0"
1999,"Taipei","New Taipei City","Sanxia District",15,"0"
1999,"Taipei","New Taipei City","Sanxia District",16,"0"
1999,"Taipei","New Taipei City","Sanxia District",17,"0"
1999,"Taipei","New Taipei City","Sanxia District",18,"0"
1999,"Taipei","New Taipei City","Sanxia District",19,"0"
1999,"Taipei","New Taipei City","Sanxia District",20,"0"
1999,"Taipei","New Taipei City","Sanxia District",21,"0"
1999,"Taipei","New Taipei City","Sanxia District",22,"0"
1999,"Taipei","New Taipei City","Sanxia District",23,"0"
1999,"Taipei","New Taipei City","Sanxia District",24,"0"
1999,"Taipei","New Taipei City","Sanxia District",25,"0"
1999,"Taipei","New Taipei City","Sanxia District",26,"0"
1999,"Taipei","New Taipei City","Sanxia District",27,"0"
1999,"Taipei","New Taipei City","Sanxia District",28,"0"
1999,"Taipei","New Taipei City","Sanxia District",29,"0"
1999,"Taipei","New Taipei City","Sanxia District",30,"0"
1999,"Taipei","New Taipei City","Sanxia District",31,"0"
1999,"Taipei","New Taipei City","Sanxia District",32,"0"
1999,"Taipei","New Taipei City","Sanxia District",33,"0"
1999,"Taipei","New Taipei City","Sanxia District",34,"0"
1999,"Taipei","New Taipei City","Sanxia District",35,"0"
1999,"Taipei","New Taipei City","Sanxia District",36,"0"
1999,"Taipei","New Taipei City","Sanxia District",37,"0"
1999,"Taipei","New Taipei City","Sanxia District",38,"0"
1999,"Taipei","New Taipei City","Sanxia District",39,"0"
