"year","area","city","town","week","cases"
1998,"Northern","Miaoli County","Sanyi Township",1,"0"
1998,"Northern","Miaoli County","Sanyi Township",2,"0"
1998,"Northern","Miaoli County","Sanyi Township",3,"0"
1998,"Northern","Miaoli County","Sanyi Township",4,"0"
1998,"Northern","Miaoli County","Sanyi Township",5,"0"
1998,"Northern","Miaoli County","Sanyi Township",6,"0"
1998,"Northern","Miaoli County","Sanyi Township",7,"0"
1998,"Northern","Miaoli County","Sanyi Township",8,"0"
1998,"Northern","Miaoli County","Sanyi Township",9,"0"
1998,"Northern","Miaoli County","Sanyi Township",10,"0"
1998,"Northern","Miaoli County","Sanyi Township",11,"0"
1998,"Northern","Miaoli County","Sanyi Township",12,"0"
1998,"Northern","Miaoli County","Sanyi Township",13,"0"
1998,"Northern","Miaoli County","Sanyi Township",14,"0"
1998,"Northern","Miaoli County","Sanyi Township",15,"0"
1998,"Northern","Miaoli County","Sanyi Township",16,"0"
1998,"Northern","Miaoli County","Sanyi Township",17,"0"
1998,"Northern","Miaoli County","Sanyi Township",18,"0"
1998,"Northern","Miaoli County","Sanyi Township",19,"0"
1998,"Northern","Miaoli County","Sanyi Township",20,"0"
1998,"Northern","Miaoli County","Sanyi Township",21,"0"
1998,"Northern","Miaoli County","Sanyi Township",22,"0"
1998,"Northern","Miaoli County","Sanyi Township",23,"0"
1998,"Northern","Miaoli County","Sanyi Township",24,"0"
1998,"Northern","Miaoli County","Sanyi Township",25,"0"
1998,"Northern","Miaoli County","Sanyi Township",26,"0"
1998,"Northern","Miaoli County","Sanyi Township",27,"0"
1998,"Northern","Miaoli County","Sanyi Township",28,"0"
1998,"Northern","Miaoli County","Sanyi Township",29,"0"
1998,"Northern","Miaoli County","Sanyi Township",30,"0"
1998,"Northern","Miaoli County","Sanyi Township",31,"0"
1998,"Northern","Miaoli County","Sanyi Township",32,"0"
1998,"Northern","Miaoli County","Sanyi Township",33,"0"
1998,"Northern","Miaoli County","Sanyi Township",34,"0"
1998,"Northern","Miaoli County","Sanyi Township",35,"0"
1998,"Northern","Miaoli County","Sanyi Township",36,"0"
1998,"Northern","Miaoli County","Sanyi Township",37,"0"
1998,"Northern","Miaoli County","Sanyi Township",38,"0"
1998,"Northern","Miaoli County","Sanyi Township",39,"0"
1998,"Northern","Miaoli County","Sanyi Township",40,"0"
1998,"Northern","Miaoli County","Sanyi Township",41,"0"
1998,"Northern","Miaoli County","Sanyi Township",42,"0"
1998,"Northern","Miaoli County","Sanyi Township",43,"0"
1998,"Northern","Miaoli County","Sanyi Township",44,"0"
1998,"Northern","Miaoli County","Sanyi Township",45,"0"
1998,"Northern","Miaoli County","Sanyi Township",46,"0"
1998,"Northern","Miaoli County","Sanyi Township",47,"0"
1998,"Northern","Miaoli County","Sanyi Township",48,"0"
1998,"Northern","Miaoli County","Sanyi Township",49,"0"
1998,"Northern","Miaoli County","Sanyi Township",50,"0"
1998,"Northern","Miaoli County","Sanyi Township",51,"0"
1998,"Northern","Miaoli County","Sanyi Township",52,"0"
1998,"Northern","Miaoli County","Sanyi Township",53,"0"
1999,"Northern","Miaoli County","Sanyi Township",1,"0"
1999,"Northern","Miaoli County","Sanyi Township",2,"0"
1999,"Northern","Miaoli County","Sanyi Township",3,"0"
1999,"Northern","Miaoli County","Sanyi Township",4,"0"
1999,"Northern","Miaoli County","Sanyi Township",5,"0"
1999,"Northern","Miaoli County","Sanyi Township",6,"0"
1999,"Northern","Miaoli County","Sanyi Township",7,"0"
1999,"Northern","Miaoli County","Sanyi Township",8,"0"
1999,"Northern","Miaoli County","Sanyi Township",9,"0"
1999,"Northern","Miaoli County","Sanyi Township",10,"0"
1999,"Northern","Miaoli County","Sanyi Township",11,"0"
1999,"Northern","Miaoli County","Sanyi Township",12,"0"
1999,"Northern","Miaoli County","Sanyi Township",13,"0"
1999,"Northern","Miaoli County","Sanyi Township",14,"0"
1999,"Northern","Miaoli County","Sanyi Township",15,"0"
1999,"Northern","Miaoli County","Sanyi Township",16,"0"
1999,"Northern","Miaoli County","Sanyi Township",17,"0"
1999,"Northern","Miaoli County","Sanyi Township",18,"0"
1999,"Northern","Miaoli County","Sanyi Township",19,"0"
1999,"Northern","Miaoli County","Sanyi Township",20,"0"
1999,"Northern","Miaoli County","Sanyi Township",21,"0"
1999,"Northern","Miaoli County","Sanyi Township",22,"0"
1999,"Northern","Miaoli County","Sanyi Township",23,"0"
1999,"Northern","Miaoli County","Sanyi Township",24,"0"
1999,"Northern","Miaoli County","Sanyi Township",25,"0"
1999,"Northern","Miaoli County","Sanyi Township",26,"0"
1999,"Northern","Miaoli County","Sanyi Township",27,"0"
1999,"Northern","Miaoli County","Sanyi Township",28,"0"
1999,"Northern","Miaoli County","Sanyi Township",29,"0"
1999,"Northern","Miaoli County","Sanyi Township",30,"0"
1999,"Northern","Miaoli County","Sanyi Township",31,"0"
1999,"Northern","Miaoli County","Sanyi Township",32,"0"
1999,"Northern","Miaoli County","Sanyi Township",33,"0"
1999,"Northern","Miaoli County","Sanyi Township",34,"0"
1999,"Northern","Miaoli County","Sanyi Township",35,"0"
1999,"Northern","Miaoli County","Sanyi Township",36,"0"
1999,"Northern","Miaoli County","Sanyi Township",37,"0"
1999,"Northern","Miaoli County","Sanyi Township",38,"0"
1999,"Northern","Miaoli County","Sanyi Township",39,"0"
1999,"Northern","Miaoli County","Sanyi Township",40,"0"
1999,"Northern","Miaoli County","Sanyi Township",41,"0"
1999,"Northern","Miaoli County","Sanyi Township",42,"0"
1999,"Northern","Miaoli County","Sanyi Township",43,"0"
1999,"Northern","Miaoli County","Sanyi Township",44,"0"
1999,"Northern","Miaoli County","Sanyi Township",45,"0"
1999,"Northern","Miaoli County","Sanyi Township",46,"0"
1999,"Northern","Miaoli County","Sanyi Township",47,"0"
1999,"Northern","Miaoli County","Sanyi Township",48,"0"
1999,"Northern","Miaoli County","Sanyi Township",49,"0"
1999,"Northern","Miaoli County","Sanyi Township",50,"0"
1999,"Northern","Miaoli County","Sanyi Township",51,"0"
1999,"Northern","Miaoli County","Sanyi Township",52,"0"
1999,"Northern","Miaoli County","Sanyi Township",53,"0"
2000,"Northern","Miaoli County","Sanyi Township",1,"0"
2000,"Northern","Miaoli County","Sanyi Township",2,"0"
2000,"Northern","Miaoli County","Sanyi Township",3,"0"
2000,"Northern","Miaoli County","Sanyi Township",4,"0"
2000,"Northern","Miaoli County","Sanyi Township",5,"0"
2000,"Northern","Miaoli County","Sanyi Township",6,"0"
2000,"Northern","Miaoli County","Sanyi Township",7,"0"
2000,"Northern","Miaoli County","Sanyi Township",8,"0"
2000,"Northern","Miaoli County","Sanyi Township",9,"0"
2000,"Northern","Miaoli County","Sanyi Township",10,"0"
2000,"Northern","Miaoli County","Sanyi Township",11,"0"
2000,"Northern","Miaoli County","Sanyi Township",12,"0"
2000,"Northern","Miaoli County","Sanyi Township",13,"0"
2000,"Northern","Miaoli County","Sanyi Township",14,"0"
2000,"Northern","Miaoli County","Sanyi Township",15,"0"
2000,"Northern","Miaoli County","Sanyi Township",16,"0"
2000,"Northern","Miaoli County","Sanyi Township",17,"0"
2000,"Northern","Miaoli County","Sanyi Township",18,"0"
2000,"Northern","Miaoli County","Sanyi Township",19,"0"
2000,"Northern","Miaoli County","Sanyi Township",20,"0"
2000,"Northern","Miaoli County","Sanyi Township",21,"0"
2000,"Northern","Miaoli County","Sanyi Township",22,"0"
2000,"Northern","Miaoli County","Sanyi Township",23,"0"
2000,"Northern","Miaoli County","Sanyi Township",24,"0"
2000,"Northern","Miaoli County","Sanyi Township",25,"0"
2000,"Northern","Miaoli County","Sanyi Township",26,"0"
2000,"Northern","Miaoli County","Sanyi Township",27,"0"
2000,"Northern","Miaoli County","Sanyi Township",28,"0"
2000,"Northern","Miaoli County","Sanyi Township",29,"0"
2000,"Northern","Miaoli County","Sanyi Township",30,"0"
2000,"Northern","Miaoli County","Sanyi Township",31,"0"
2000,"Northern","Miaoli County","Sanyi Township",32,"0"
2000,"Northern","Miaoli County","Sanyi Township",33,"0"
2000,"Northern","Miaoli County","Sanyi Township",34,"0"
2000,"Northern","Miaoli County","Sanyi Township",35,"0"
2000,"Northern","Miaoli County","Sanyi Township",36,"0"
2000,"Northern","Miaoli County","Sanyi Township",37,"0"
2000,"Northern","Miaoli County","Sanyi Township",38,"0"
2000,"Northern","Miaoli County","Sanyi Township",39,"0"
2000,"Northern","Miaoli County","Sanyi Township",40,"0"
2000,"Northern","Miaoli County","Sanyi Township",41,"0"
2000,"Northern","Miaoli County","Sanyi Township",42,"0"
2000,"Northern","Miaoli County","Sanyi Township",43,"0"
2000,"Northern","Miaoli County","Sanyi Township",44,"0"
2000,"Northern","Miaoli County","Sanyi Township",45,"0"
2000,"Northern","Miaoli County","Sanyi Township",46,"0"
2000,"Northern","Miaoli County","Sanyi Township",47,"0"
2000,"Northern","Miaoli County","Sanyi Township",48,"0"
2000,"Northern","Miaoli County","Sanyi Township",49,"0"
2000,"Northern","Miaoli County","Sanyi Township",50,"0"
2000,"Northern","Miaoli County","Sanyi Township",51,"0"
2000,"Northern","Miaoli County","Sanyi Township",52,"0"
2000,"Northern","Miaoli County","Sanyi Township",53,"0"
2001,"Northern","Miaoli County","Sanyi Township",1,"0"
2001,"Northern","Miaoli County","Sanyi Township",2,"0"
2001,"Northern","Miaoli County","Sanyi Township",3,"0"
2001,"Northern","Miaoli County","Sanyi Township",4,"0"
2001,"Northern","Miaoli County","Sanyi Township",5,"0"
2001,"Northern","Miaoli County","Sanyi Township",6,"0"
2001,"Northern","Miaoli County","Sanyi Township",7,"0"
2001,"Northern","Miaoli County","Sanyi Township",8,"0"
2001,"Northern","Miaoli County","Sanyi Township",9,"0"
2001,"Northern","Miaoli County","Sanyi Township",10,"0"
2001,"Northern","Miaoli County","Sanyi Township",11,"0"
2001,"Northern","Miaoli County","Sanyi Township",12,"0"
2001,"Northern","Miaoli County","Sanyi Township",13,"0"
2001,"Northern","Miaoli County","Sanyi Township",14,"0"
2001,"Northern","Miaoli County","Sanyi Township",15,"0"
2001,"Northern","Miaoli County","Sanyi Township",16,"0"
