"year","area","city","town","week","cases"
1998,"Taipei","New Taipei City","Sanzhi District",1,"0"
1998,"Taipei","New Taipei City","Sanzhi District",2,"0"
1998,"Taipei","New Taipei City","Sanzhi District",3,"0"
1998,"Taipei","New Taipei City","Sanzhi District",4,"0"
1998,"Taipei","New Taipei City","Sanzhi District",5,"0"
1998,"Taipei","New Taipei City","Sanzhi District",6,"0"
1998,"Taipei","New Taipei City","Sanzhi District",7,"0"
1998,"Taipei","New Taipei City","Sanzhi District",8,"0"
1998,"Taipei","New Taipei City","Sanzhi District",9,"0"
1998,"Taipei","New Taipei City","Sanzhi District",10,"0"
1998,"Taipei","New Taipei City","Sanzhi District",11,"0"
1998,"Taipei","New Taipei City","Sanzhi District",12,"0"
1998,"Taipei","New Taipei City","Sanzhi District",13,"0"
1998,"Taipei","New Taipei City","Sanzhi District",14,"0"
1998,"Taipei","New Taipei City","Sanzhi District",15,"0"
1998,"Taipei","New Taipei City","Sanzhi District",16,"0"
1998,"Taipei","New Taipei City","Sanzhi District",17,"0"
1998,"Taipei","New Taipei City","Sanzhi District",18,"0"
1998,"Taipei","New Taipei City","Sanzhi District",19,"0"
1998,"Taipei","New Taipei City","Sanzhi District",20,"0"
1998,"Taipei","New Taipei City","Sanzhi District",21,"0"
1998,"Taipei","New Taipei City","Sanzhi District",22,"0"
1998,"Taipei","New Taipei City","Sanzhi District",23,"0"
1998,"Taipei","New Taipei City","Sanzhi District",24,"0"
1998,"Taipei","New Taipei City","Sanzhi District",25,"0"
1998,"Taipei","New Taipei City","Sanzhi District",26,"0"
1998,"Taipei","New Taipei City","Sanzhi District",27,"0"
1998,"Taipei","New Taipei City","Sanzhi District",28,"0"
1998,"Taipei","New Taipei City","Sanzhi District",29,"0"
1998,"Taipei","New Taipei City","Sanzhi District",30,"0"
1998,"Taipei","New Taipei City","Sanzhi District",31,"0"
1998,"Taipei","New Taipei City","Sanzhi District",32,"0"
1998,"Taipei","New Taipei City","Sanzhi District",33,"0"
1998,"Taipei","New Taipei City","Sanzhi District",34,"0"
1998,"Taipei","New Taipei City","Sanzhi District",35,"0"
1998,"Taipei","New Taipei City","Sanzhi District",36,"0"
1998,"Taipei","New Taipei City","Sanzhi District",37,"0"
1998,"Taipei","New Taipei City","Sanzhi District",38,"0"
1998,"Taipei","New Taipei City","Sanzhi District",39,"0"
1998,"Taipei","New Taipei City","Sanzhi District",40,"0"
1998,"Taipei","New Taipei City","Sanzhi District",41,"0"
1998,"Taipei","New Taipei City","Sanzhi District",42,"0"
1998,"Taipei","New Taipei City","Sanzhi District",43,"0"
1998,"Taipei","New Taipei City","Sanzhi District",44,"0"
1998,"Taipei","New Taipei City","Sanzhi District",45,"0"
1998,"Taipei","New Taipei City","Sanzhi District",46,"0"
1998,"Taipei","New Taipei City","Sanzhi District",47,"0"
1998,"Taipei","New Taipei City","Sanzhi District",48,"0"
1998,"Taipei","New Taipei City","Sanzhi District",49,"0"
1998,"Taipei","New Taipei City","Sanzhi District",50,"0"
1998,"Taipei","New Taipei City","Sanzhi District",51,"0"
1998,"Taipei","New Taipei City","Sanzhi District",52,"0"
1998,"Taipei","New Taipei City","Sanzhi District",53,"0"
1999,"Taipei","New Taipei City","Sanzhi District",1,"0"
1999,"Taipei","New Taipei City","Sanzhi District",2,"0"
1999,"Taipei","New Taipei City","Sanzhi District",3,"0"
1999,"Taipei","New Taipei City","Sanzhi District",4,"0"
1999,"Taipei","New Taipei City","Sanzhi District",5,"0"
1999,"Taipei","New Taipei City","Sanzhi District",6,"0"
1999,"Taipei","New Taipei City","Sanzhi District",7,"0"
1999,"Taipei","New Taipei City","Sanzhi District",8,"0"
1999,"Taipei","New Taipei City","Sanzhi District",9,"0"
1999,"Taipei","New Taipei City","Sanzhi District",10,"0"
1999,"Taipei","New Taipei City","Sanzhi District",11,"0"
1999,"Taipei","New Taipei City","Sanzhi District",12,"0"
1999,"Taipei","New Taipei City","Sanzhi District",13,"0"
1999,"Taipei","New Taipei City","Sanzhi District",14,"0"
1999,"Taipei","New Taipei City","Sanzhi District",15,"0"
1999,"Taipei","New Taipei City","Sanzhi District",16,"0"
1999,"Taipei","New Taipei City","Sanzhi District",17,"0"
1999,"Taipei","New Taipei City","Sanzhi District",18,"0"
1999,"Taipei","New Taipei City","Sanzhi District",19,"0"
1999,"Taipei","New Taipei City","Sanzhi District",20,"0"
1999,"Taipei","New Taipei City","Sanzhi District",21,"0"
1999,"Taipei","New Taipei City","Sanzhi District",22,"0"
1999,"Taipei","New Taipei City","Sanzhi District",23,"0"
1999,"Taipei","New Taipei City","Sanzhi District",24,"0"
1999,"Taipei","New Taipei City","Sanzhi District",25,"0"
1999,"Taipei","New Taipei City","Sanzhi District",26,"0"
