"year","area","city","town","week","cases"
1998,"Central","Taichung City","Shalu District",1,"0"
1998,"Central","Taichung City","Shalu District",2,"0"
1998,"Central","Taichung City","Shalu District",3,"0"
1998,"Central","Taichung City","Shalu District",4,"0"
1998,"Central","Taichung City","Shalu District",5,"0"
1998,"Central","Taichung City","Shalu District",6,"0"
1998,"Central","Taichung City","Shalu District",7,"0"
1998,"Central","Taichung City","Shalu District",8,"0"
1998,"Central","Taichung City","Shalu District",9,"0"
1998,"Central","Taichung City","Shalu District",10,"0"
1998,"Central","Taichung City","Shalu District",11,"0"
1998,"Central","Taichung City","Shalu District",12,"0"
1998,"Central","Taichung City","Shalu District",13,"0"
1998,"Central","Taichung City","Shalu District",14,"0"
1998,"Central","Taichung City","Shalu District",15,"0"
1998,"Central","Taichung City","Shalu District",16,"0"
1998,"Central","Taichung City","Shalu District",17,"0"
1998,"Central","Taichung City","Shalu District",18,"0"
1998,"Central","Taichung City","Shalu District",19,"0"
1998,"Central","Taichung City","Shalu District",20,"0"
1998,"Central","Taichung City","Shalu District",21,"0"
1998,"Central","Taichung City","Shalu District",22,"0"
1998,"Central","Taichung City","Shalu District",23,"0"
1998,"Central","Taichung City","Shalu District",24,"0"
1998,"Central","Taichung City","Shalu District",25,"0"
1998,"Central","Taichung City","Shalu District",26,"0"
1998,"Central","Taichung City","Shalu District",27,"0"
1998,"Central","Taichung City","Shalu District",28,"0"
1998,"Central","Taichung City","Shalu District",29,"0"
1998,"Central","Taichung City","Shalu District",30,"0"
1998,"Central","Taichung City","Shalu District",31,"0"
1998,"Central","Taichung City","Shalu District",32,"0"
1998,"Central","Taichung City","Shalu District",33,"0"
1998,"Central","Taichung City","Shalu District",34,"0"
1998,"Central","Taichung City","Shalu District",35,"0"
1998,"Central","Taichung City","Shalu District",36,"0"
1998,"Central","Taichung City","Shalu District",37,"0"
1998,"Central","Taichung City","Shalu District",38,"0"
1998,"Central","Taichung City","Shalu District",39,"0"
1998,"Central","Taichung City","Shalu District",40,"0"
1998,"Central","Taichung City","Shalu District",41,"0"
1998,"Central","Taichung City","Shalu District",42,"0"
1998,"Central","Taichung City","Shalu District",43,"0"
1998,"Central","Taichung City","Shalu District",44,"0"
1998,"Central","Taichung City","Shalu District",45,"0"
1998,"Central","Taichung City","Shalu District",46,"0"
1998,"Central","Taichung City","Shalu District",47,"0"
1998,"Central","Taichung City","Shalu District",48,"0"
1998,"Central","Taichung City","Shalu District",49,"0"
1998,"Central","Taichung City","Shalu District",50,"0"
1998,"Central","Taichung City","Shalu District",51,"0"
1998,"Central","Taichung City","Shalu District",52,"0"
1998,"Central","Taichung City","Shalu District",53,"0"
1999,"Central","Taichung City","Shalu District",1,"0"
1999,"Central","Taichung City","Shalu District",2,"0"
1999,"Central","Taichung City","Shalu District",3,"0"
1999,"Central","Taichung City","Shalu District",4,"0"
1999,"Central","Taichung City","Shalu District",5,"0"
1999,"Central","Taichung City","Shalu District",6,"0"
1999,"Central","Taichung City","Shalu District",7,"0"
1999,"Central","Taichung City","Shalu District",8,"0"
1999,"Central","Taichung City","Shalu District",9,"0"
1999,"Central","Taichung City","Shalu District",10,"0"
1999,"Central","Taichung City","Shalu District",11,"0"
1999,"Central","Taichung City","Shalu District",12,"0"
1999,"Central","Taichung City","Shalu District",13,"0"
1999,"Central","Taichung City","Shalu District",14,"0"
1999,"Central","Taichung City","Shalu District",15,"0"
1999,"Central","Taichung City","Shalu District",16,"0"
1999,"Central","Taichung City","Shalu District",17,"0"
1999,"Central","Taichung City","Shalu District",18,"0"
1999,"Central","Taichung City","Shalu District",19,"0"
1999,"Central","Taichung City","Shalu District",20,"0"
1999,"Central","Taichung City","Shalu District",21,"0"
1999,"Central","Taichung City","Shalu District",22,"0"
1999,"Central","Taichung City","Shalu District",23,"0"
1999,"Central","Taichung City","Shalu District",24,"0"
1999,"Central","Taichung City","Shalu District",25,"0"
1999,"Central","Taichung City","Shalu District",26,"0"
1999,"Central","Taichung City","Shalu District",27,"0"
1999,"Central","Taichung City","Shalu District",28,"0"
1999,"Central","Taichung City","Shalu District",29,"0"
1999,"Central","Taichung City","Shalu District",30,"0"
1999,"Central","Taichung City","Shalu District",31,"0"
1999,"Central","Taichung City","Shalu District",32,"0"
1999,"Central","Taichung City","Shalu District",33,"0"
1999,"Central","Taichung City","Shalu District",34,"0"
1999,"Central","Taichung City","Shalu District",35,"0"
1999,"Central","Taichung City","Shalu District",36,"0"
1999,"Central","Taichung City","Shalu District",37,"0"
1999,"Central","Taichung City","Shalu District",38,"0"
1999,"Central","Taichung City","Shalu District",39,"0"
1999,"Central","Taichung City","Shalu District",40,"0"
1999,"Central","Taichung City","Shalu District",41,"0"
1999,"Central","Taichung City","Shalu District",42,"0"
1999,"Central","Taichung City","Shalu District",43,"0"
1999,"Central","Taichung City","Shalu District",44,"0"
1999,"Central","Taichung City","Shalu District",45,"0"
1999,"Central","Taichung City","Shalu District",46,"0"
1999,"Central","Taichung City","Shalu District",47,"0"
1999,"Central","Taichung City","Shalu District",48,"0"
1999,"Central","Taichung City","Shalu District",49,"0"
1999,"Central","Taichung City","Shalu District",50,"0"
1999,"Central","Taichung City","Shalu District",51,"0"
1999,"Central","Taichung City","Shalu District",52,"0"
1999,"Central","Taichung City","Shalu District",53,"0"
2000,"Central","Taichung City","Shalu District",1,"0"
2000,"Central","Taichung City","Shalu District",2,"0"
2000,"Central","Taichung City","Shalu District",3,"0"
2000,"Central","Taichung City","Shalu District",4,"0"
2000,"Central","Taichung City","Shalu District",5,"0"
2000,"Central","Taichung City","Shalu District",6,"0"
2000,"Central","Taichung City","Shalu District",7,"0"
2000,"Central","Taichung City","Shalu District",8,"0"
2000,"Central","Taichung City","Shalu District",9,"0"
2000,"Central","Taichung City","Shalu District",10,"0"
2000,"Central","Taichung City","Shalu District",11,"0"
2000,"Central","Taichung City","Shalu District",12,"0"
2000,"Central","Taichung City","Shalu District",13,"0"
2000,"Central","Taichung City","Shalu District",14,"0"
2000,"Central","Taichung City","Shalu District",15,"0"
2000,"Central","Taichung City","Shalu District",16,"0"
2000,"Central","Taichung City","Shalu District",17,"0"
2000,"Central","Taichung City","Shalu District",18,"0"
