"Year","Region","City","District","Week","Cases"
1998,"Central","Taichung City","Shigang District",1,"0"
1998,"Central","Taichung City","Shigang District",2,"0"
1998,"Central","Taichung City","Shigang District",3,"0"
1998,"Central","Taichung City","Shigang District",4,"0"
1998,"Central","Taichung City","Shigang District",5,"0"
1998,"Central","Taichung City","Shigang District",6,"0"
1998,"Central","Taichung City","Shigang District",7,"0"
1998,"Central","Taichung City","Shigang District",8,"0"
1998,"Central","Taichung City","Shigang District",9,"0"
1998,"Central","Taichung City","Shigang District",10,"0"
1998,"Central","Taichung City","Shigang District",11,"0"
1998,"Central","Taichung City","Shigang District",12,"0"
1998,"Central","Taichung City","Shigang District",13,"0"
1998,"Central","Taichung City","Shigang District",14,"0"
1998,"Central","Taichung City","Shigang District",15,"0"
1998,"Central","Taichung City","Shigang District",16,"0"
1998,"Central","Taichung City","Shigang District",17,"0"
1998,"Central","Taichung City","Shigang District",18,"0"
1998,"Central","Taichung City","Shigang District",19,"0"
1998,"Central","Taichung City","Shigang District",20,"0"
1998,"Central","Taichung City","Shigang District",21,"0"
1998,"Central","Taichung City","Shigang District",22,"0"
1998,"Central","Taichung City","Shigang District",23,"0"
1998,"Central","Taichung City","Shigang District",24,"0"
1998,"Central","Taichung City","Shigang District",25,"0"
1998,"Central","Taichung City","Shigang District",26,"0"
1998,"Central","Taichung City","Shigang District",27,"0"
1998,"Central","Taichung City","Shigang District",28,"0"
1998,"Central","Taichung City","Shigang District",29,"0"
1998,"Central","Taichung City","Shigang District",30,"0"
1998,"Central","Taichung City","Shigang District",31,"0"
1998,"Central","Taichung City","Shigang District",32,"0"
1998,"Central","Taichung City","Shigang District",33,"0"
1998,"Central","Taichung City","Shigang District",34,"0"
1998,"Central","Taichung City","Shigang District",35,"0"
1998,"Central","Taichung City","Shigang District",36,"0"
1998,"Central","Taichung City","Shigang District",37,"0"
1998,"Central","Taichung City","Shigang District",38,"0"
1998,"Central","Taichung City","Shigang District",39,"0"
