"Year","Region","City","District","Week","Cases"
1998,"Eastern","Hualien County","Shoufeng Township",1,"0"
1998,"Eastern","Hualien County","Shoufeng Township",2,"0"
1998,"Eastern","Hualien County","Shoufeng Township",3,"0"
1998,"Eastern","Hualien County","Shoufeng Township",4,"0"
1998,"Eastern","Hualien County","Shoufeng Township",5,"0"
1998,"Eastern","Hualien County","Shoufeng Township",6,"0"
1998,"Eastern","Hualien County","Shoufeng Township",7,"0"
1998,"Eastern","Hualien County","Shoufeng Township",8,"0"
1998,"Eastern","Hualien County","Shoufeng Township",9,"0"
1998,"Eastern","Hualien County","Shoufeng Township",10,"0"
1998,"Eastern","Hualien County","Shoufeng Township",11,"0"
1998,"Eastern","Hualien County","Shoufeng Township",12,"0"
1998,"Eastern","Hualien County","Shoufeng Township",13,"0"
1998,"Eastern","Hualien County","Shoufeng Township",14,"0"
1998,"Eastern","Hualien County","Shoufeng Township",15,"0"
1998,"Eastern","Hualien County","Shoufeng Township",16,"0"
1998,"Eastern","Hualien County","Shoufeng Township",17,"0"
1998,"Eastern","Hualien County","Shoufeng Township",18,"0"
1998,"Eastern","Hualien County","Shoufeng Township",19,"0"
1998,"Eastern","Hualien County","Shoufeng Township",20,"0"
1998,"Eastern","Hualien County","Shoufeng Township",21,"0"
1998,"Eastern","Hualien County","Shoufeng Township",22,"0"
1998,"Eastern","Hualien County","Shoufeng Township",23,"0"
1998,"Eastern","Hualien County","Shoufeng Township",24,"0"
1998,"Eastern","Hualien County","Shoufeng Township",25,"0"
1998,"Eastern","Hualien County","Shoufeng Township",26,"0"
1998,"Eastern","Hualien County","Shoufeng Township",27,"0"
1998,"Eastern","Hualien County","Shoufeng Township",28,"0"
1998,"Eastern","Hualien County","Shoufeng Township",29,"0"
1998,"Eastern","Hualien County","Shoufeng Township",30,"0"
1998,"Eastern","Hualien County","Shoufeng Township",31,"0"
1998,"Eastern","Hualien County","Shoufeng Township",32,"0"
1998,"Eastern","Hualien County","Shoufeng Township",33,"0"
