"year","area","city","town","week","cases"
1998,"Taipei","Yilan County","Su'ao Township",2,NA
1998,"Taipei","Yilan County","Su'ao Township",3,NA
1998,"Taipei","Yilan County","Su'ao Township",4,NA
1998,"Taipei","Yilan County","Su'ao Township",5,NA
1998,"Taipei","Yilan County","Su'ao Township",6,NA
1998,"Taipei","Yilan County","Su'ao Township",7,NA
1998,"Taipei","Yilan County","Su'ao Township",8,NA
1998,"Taipei","Yilan County","Su'ao Township",9,NA
1998,"Taipei","Yilan County","Su'ao Township",10,NA
1998,"Taipei","Yilan County","Su'ao Township",11,NA
1998,"Taipei","Yilan County","Su'ao Township",12,NA
1998,"Taipei","Yilan County","Su'ao Township",13,NA
1998,"Taipei","Yilan County","Su'ao Township",14,NA
1998,"Taipei","Yilan County","Su'ao Township",15,NA
1998,"Taipei","Yilan County","Su'ao Township",16,NA
1998,"Taipei","Yilan County","Su'ao Township",17,NA
1998,"Taipei","Yilan County","Su'ao Township",18,NA
1998,"Taipei","Yilan County","Su'ao Township",19,NA
1998,"Taipei","Yilan County","Su'ao Township",20,NA
1998,"Taipei","Yilan County","Su'ao Township",21,NA
1998,"Taipei","Yilan County","Su'ao Township",22,NA
1998,"Taipei","Yilan County","Su'ao Township",23,NA
1998,"Taipei","Yilan County","Su'ao Township",24,NA
1998,"Taipei","Yilan County","Su'ao Township",25,NA
1998,"Taipei","Yilan County","Su'ao Township",26,NA
1998,"Taipei","Yilan County","Su'ao Township",27,NA
1998,"Taipei","Yilan County","Su'ao Township",28,NA
1998,"Taipei","Yilan County","Su'ao Township",29,NA
1998,"Taipei","Yilan County","Su'ao Township",30,NA
1998,"Taipei","Yilan County","Su'ao Township",31,NA
1998,"Taipei","Yilan County","Su'ao Township",32,NA
1998,"Taipei","Yilan County","Su'ao Township",33,NA
1998,"Taipei","Yilan County","Su'ao Township",34,NA
1998,"Taipei","Yilan County","Su'ao Township",35,NA
1998,"Taipei","Yilan County","Su'ao Township",36,NA
1998,"Taipei","Yilan County","Su'ao Township",37,NA
1998,"Taipei","Yilan County","Su'ao Township",38,NA
1998,"Taipei","Yilan County","Su'ao Township",39,NA
1998,"Taipei","Yilan County","Su'ao Township",40,NA
1998,"Taipei","Yilan County","Su'ao Township",41,NA
1998,"Taipei","Yilan County","Su'ao Township",42,NA
1998,"Taipei","Yilan County","Su'ao Township",43,NA
1998,"Taipei","Yilan County","Su'ao Township",44,NA
1998,"Taipei","Yilan County","Su'ao Township",45,NA
1998,"Taipei","Yilan County","Su'ao Township",46,NA
1998,"Taipei","Yilan County","Su'ao Township",47,NA
1998,"Taipei","Yilan County","Su'ao Township",48,NA
1998,"Taipei","Yilan County","Su'ao Township",49,NA
1998,"Taipei","Yilan County","Su'ao Township",50,NA
1998,"Taipei","Yilan County","Su'ao Township",51,NA
1998,"Taipei","Yilan County","Su'ao Township",52,NA
1998,"Taipei","Yilan County","Su'ao Township",53,NA
1999,"Taipei","Yilan County","Su'ao Township",1,NA
1999,"Taipei","Yilan County","Su'ao Township",2,NA
1999,"Taipei","Yilan County","Su'ao Township",3,NA
1999,"Taipei","Yilan County","Su'ao Township",4,NA
1999,"Taipei","Yilan County","Su'ao Township",5,NA
1999,"Taipei","Yilan County","Su'ao Township",6,NA
1999,"Taipei","Yilan County","Su'ao Township",7,NA
1999,"Taipei","Yilan County","Su'ao Township",8,NA
1999,"Taipei","Yilan County","Su'ao Township",9,NA
1999,"Taipei","Yilan County","Su'ao Township",10,NA
1999,"Taipei","Yilan County","Su'ao Township",11,NA
1999,"Taipei","Yilan County","Su'ao Township",12,NA
1999,"Taipei","Yilan County","Su'ao Township",13,NA
1999,"Taipei","Yilan County","Su'ao Township",14,NA
1999,"Taipei","Yilan County","Su'ao Township",15,NA
1999,"Taipei","Yilan County","Su'ao Township",16,NA
1999,"Taipei","Yilan County","Su'ao Township",17,NA
1999,"Taipei","Yilan County","Su'ao Township",18,NA
1999,"Taipei","Yilan County","Su'ao Township",19,NA
1999,"Taipei","Yilan County","Su'ao Township",20,NA
1999,"Taipei","Yilan County","Su'ao Township",21,NA
