"year","area","city","town","week","cases"
1998,"Northern","Miaoli County","Tongluo Township",1,"0"
1998,"Northern","Miaoli County","Tongluo Township",2,"0"
1998,"Northern","Miaoli County","Tongluo Township",3,"0"
1998,"Northern","Miaoli County","Tongluo Township",4,"0"
1998,"Northern","Miaoli County","Tongluo Township",5,"0"
1998,"Northern","Miaoli County","Tongluo Township",6,"0"
1998,"Northern","Miaoli County","Tongluo Township",7,"0"
1998,"Northern","Miaoli County","Tongluo Township",8,"0"
1998,"Northern","Miaoli County","Tongluo Township",9,"0"
1998,"Northern","Miaoli County","Tongluo Township",10,"0"
1998,"Northern","Miaoli County","Tongluo Township",11,"0"
1998,"Northern","Miaoli County","Tongluo Township",12,"0"
1998,"Northern","Miaoli County","Tongluo Township",13,"0"
1998,"Northern","Miaoli County","Tongluo Township",14,"0"
1998,"Northern","Miaoli County","Tongluo Township",15,"0"
1998,"Northern","Miaoli County","Tongluo Township",16,"0"
1998,"Northern","Miaoli County","Tongluo Township",17,"0"
1998,"Northern","Miaoli County","Tongluo Township",18,"0"
1998,"Northern","Miaoli County","Tongluo Township",19,"0"
1998,"Northern","Miaoli County","Tongluo Township",20,"0"
1998,"Northern","Miaoli County","Tongluo Township",21,"0"
1998,"Northern","Miaoli County","Tongluo Township",22,"0"
1998,"Northern","Miaoli County","Tongluo Township",23,"0"
1998,"Northern","Miaoli County","Tongluo Township",24,"0"
1998,"Northern","Miaoli County","Tongluo Township",25,"0"
1998,"Northern","Miaoli County","Tongluo Township",26,"0"
1998,"Northern","Miaoli County","Tongluo Township",27,"0"
1998,"Northern","Miaoli County","Tongluo Township",28,"0"
1998,"Northern","Miaoli County","Tongluo Township",29,"0"
1998,"Northern","Miaoli County","Tongluo Township",30,"0"
1998,"Northern","Miaoli County","Tongluo Township",31,"0"
1998,"Northern","Miaoli County","Tongluo Township",32,"0"
1998,"Northern","Miaoli County","Tongluo Township",33,"0"
1998,"Northern","Miaoli County","Tongluo Township",34,"0"
1998,"Northern","Miaoli County","Tongluo Township",35,"0"
1998,"Northern","Miaoli County","Tongluo Township",36,"0"
1998,"Northern","Miaoli County","Tongluo Township",37,"0"
1998,"Northern","Miaoli County","Tongluo Township",38,"0"
