"Year","Region","City","District","Week","Cases"
1998,"Taipei","Taipei City","Wanhua District",1,"0"
1998,"Taipei","Taipei City","Wanhua District",2,"0"
1998,"Taipei","Taipei City","Wanhua District",3,"0"
1998,"Taipei","Taipei City","Wanhua District",4,"0"
1998,"Taipei","Taipei City","Wanhua District",5,"0"
1998,"Taipei","Taipei City","Wanhua District",6,"0"
1998,"Taipei","Taipei City","Wanhua District",7,"0"
1998,"Taipei","Taipei City","Wanhua District",8,"0"
1998,"Taipei","Taipei City","Wanhua District",9,"0"
1998,"Taipei","Taipei City","Wanhua District",10,"0"
1998,"Taipei","Taipei City","Wanhua District",11,"0"
1998,"Taipei","Taipei City","Wanhua District",12,"0"
1998,"Taipei","Taipei City","Wanhua District",13,"0"
1998,"Taipei","Taipei City","Wanhua District",14,"0"
1998,"Taipei","Taipei City","Wanhua District",15,"0"
1998,"Taipei","Taipei City","Wanhua District",16,"0"
1998,"Taipei","Taipei City","Wanhua District",17,"0"
1998,"Taipei","Taipei City","Wanhua District",18,"0"
1998,"Taipei","Taipei City","Wanhua District",19,"0"
1998,"Taipei","Taipei City","Wanhua District",20,"0"
1998,"Taipei","Taipei City","Wanhua District",21,"0"
1998,"Taipei","Taipei City","Wanhua District",22,"0"
1998,"Taipei","Taipei City","Wanhua District",23,"0"
1998,"Taipei","Taipei City","Wanhua District",24,"0"
1998,"Taipei","Taipei City","Wanhua District",25,"0"
1998,"Taipei","Taipei City","Wanhua District",26,"0"
1998,"Taipei","Taipei City","Wanhua District",27,"0"
1998,"Taipei","Taipei City","Wanhua District",28,"0"
1998,"Taipei","Taipei City","Wanhua District",29,"0"
1998,"Taipei","Taipei City","Wanhua District",30,"0"
1998,"Taipei","Taipei City","Wanhua District",31,"0"
1998,"Taipei","Taipei City","Wanhua District",32,"0"
1998,"Taipei","Taipei City","Wanhua District",33,"1"
1998,"Taipei","Taipei City","Wanhua District",34,"0"
1998,"Taipei","Taipei City","Wanhua District",35,"0"
1998,"Taipei","Taipei City","Wanhua District",36,"0"
1998,"Taipei","Taipei City","Wanhua District",37,"0"
1998,"Taipei","Taipei City","Wanhua District",38,"0"
1998,"Taipei","Taipei City","Wanhua District",39,"0"
1998,"Taipei","Taipei City","Wanhua District",40,"0"
1998,"Taipei","Taipei City","Wanhua District",41,"0"
1998,"Taipei","Taipei City","Wanhua District",42,"0"
1998,"Taipei","Taipei City","Wanhua District",43,"1"
1998,"Taipei","Taipei City","Wanhua District",44,"1"
1998,"Taipei","Taipei City","Wanhua District",45,"0"
1998,"Taipei","Taipei City","Wanhua District",46,"0"
1998,"Taipei","Taipei City","Wanhua District",47,"0"
1998,"Taipei","Taipei City","Wanhua District",48,"0"
1998,"Taipei","Taipei City","Wanhua District",49,"0"
1998,"Taipei","Taipei City","Wanhua District",50,"0"
1998,"Taipei","Taipei City","Wanhua District",51,"0"
1998,"Taipei","Taipei City","Wanhua District",52,"0"
1998,"Taipei","Taipei City","Wanhua District",53,"0"
1999,"Taipei","Taipei City","Wanhua District",1,"0"
1999,"Taipei","Taipei City","Wanhua District",2,"0"
1999,"Taipei","Taipei City","Wanhua District",3,"0"
1999,"Taipei","Taipei City","Wanhua District",4,"0"
1999,"Taipei","Taipei City","Wanhua District",5,"0"
1999,"Taipei","Taipei City","Wanhua District",6,"0"
1999,"Taipei","Taipei City","Wanhua District",7,"0"
1999,"Taipei","Taipei City","Wanhua District",8,"0"
1999,"Taipei","Taipei City","Wanhua District",9,"0"
1999,"Taipei","Taipei City","Wanhua District",10,"0"
1999,"Taipei","Taipei City","Wanhua District",11,"0"
