"Year","Region","City","District","Week","Cases"
1998,"Central","Taichung City","Wufeng District",1,"0"
1998,"Central","Taichung City","Wufeng District",2,"0"
1998,"Central","Taichung City","Wufeng District",3,"0"
1998,"Central","Taichung City","Wufeng District",4,"0"
1998,"Central","Taichung City","Wufeng District",5,"0"
1998,"Central","Taichung City","Wufeng District",6,"0"
1998,"Central","Taichung City","Wufeng District",7,"0"
1998,"Central","Taichung City","Wufeng District",8,"0"
1998,"Central","Taichung City","Wufeng District",9,"0"
1998,"Central","Taichung City","Wufeng District",10,"0"
1998,"Central","Taichung City","Wufeng District",11,"0"
1998,"Central","Taichung City","Wufeng District",12,"0"
1998,"Central","Taichung City","Wufeng District",13,"0"
1998,"Central","Taichung City","Wufeng District",14,"0"
1998,"Central","Taichung City","Wufeng District",15,"0"
1998,"Central","Taichung City","Wufeng District",16,"0"
1998,"Central","Taichung City","Wufeng District",17,"0"
1998,"Central","Taichung City","Wufeng District",18,"0"
1998,"Central","Taichung City","Wufeng District",19,"0"
1998,"Central","Taichung City","Wufeng District",20,"0"
1998,"Central","Taichung City","Wufeng District",21,"0"
1998,"Central","Taichung City","Wufeng District",22,"0"
1998,"Central","Taichung City","Wufeng District",23,"0"
1998,"Central","Taichung City","Wufeng District",24,"0"
1998,"Central","Taichung City","Wufeng District",25,"0"
1998,"Central","Taichung City","Wufeng District",26,"0"
1998,"Central","Taichung City","Wufeng District",27,"0"
1998,"Central","Taichung City","Wufeng District",28,"0"
1998,"Central","Taichung City","Wufeng District",29,"0"
1998,"Central","Taichung City","Wufeng District",30,"0"
1998,"Central","Taichung City","Wufeng District",31,"0"
1998,"Central","Taichung City","Wufeng District",32,"0"
1998,"Central","Taichung City","Wufeng District",33,"0"
1998,"Central","Taichung City","Wufeng District",34,"0"
1998,"Central","Taichung City","Wufeng District",35,"0"
1998,"Central","Taichung City","Wufeng District",36,"0"
1998,"Central","Taichung City","Wufeng District",37,"0"
1998,"Central","Taichung City","Wufeng District",38,"0"
1998,"Central","Taichung City","Wufeng District",39,"0"
1998,"Central","Taichung City","Wufeng District",40,"0"
1998,"Central","Taichung City","Wufeng District",41,"0"
1998,"Central","Taichung City","Wufeng District",42,"0"
1998,"Central","Taichung City","Wufeng District",43,"0"
1998,"Central","Taichung City","Wufeng District",44,"0"
1998,"Central","Taichung City","Wufeng District",45,"0"
1998,"Central","Taichung City","Wufeng District",46,"0"
1998,"Central","Taichung City","Wufeng District",47,"0"
1998,"Central","Taichung City","Wufeng District",48,"0"
1998,"Central","Taichung City","Wufeng District",49,"0"
1998,"Central","Taichung City","Wufeng District",50,"0"
1998,"Central","Taichung City","Wufeng District",51,"0"
1998,"Central","Taichung City","Wufeng District",52,"0"
1998,"Central","Taichung City","Wufeng District",53,"0"
1999,"Central","Taichung City","Wufeng District",1,"0"
1999,"Central","Taichung City","Wufeng District",2,"0"
1999,"Central","Taichung City","Wufeng District",3,"0"
1999,"Central","Taichung City","Wufeng District",4,"0"
1999,"Central","Taichung City","Wufeng District",5,"0"
1999,"Central","Taichung City","Wufeng District",6,"0"
1999,"Central","Taichung City","Wufeng District",7,"0"
1999,"Central","Taichung City","Wufeng District",8,"0"
1999,"Central","Taichung City","Wufeng District",9,"0"
1999,"Central","Taichung City","Wufeng District",10,"0"
1999,"Central","Taichung City","Wufeng District",11,"0"
1999,"Central","Taichung City","Wufeng District",12,"0"
1999,"Central","Taichung City","Wufeng District",13,"0"
1999,"Central","Taichung City","Wufeng District",14,"0"
1999,"Central","Taichung City","Wufeng District",15,"0"
1999,"Central","Taichung City","Wufeng District",16,"0"
1999,"Central","Taichung City","Wufeng District",17,"0"
1999,"Central","Taichung City","Wufeng District",18,"0"
1999,"Central","Taichung City","Wufeng District",19,"0"
1999,"Central","Taichung City","Wufeng District",20,"0"
1999,"Central","Taichung City","Wufeng District",21,"0"
1999,"Central","Taichung City","Wufeng District",22,"0"
1999,"Central","Taichung City","Wufeng District",23,"0"
1999,"Central","Taichung City","Wufeng District",24,"0"
1999,"Central","Taichung City","Wufeng District",25,"0"
1999,"Central","Taichung City","Wufeng District",26,"0"
1999,"Central","Taichung City","Wufeng District",27,"0"
1999,"Central","Taichung City","Wufeng District",28,"0"
1999,"Central","Taichung City","Wufeng District",29,"0"
1999,"Central","Taichung City","Wufeng District",30,"0"
1999,"Central","Taichung City","Wufeng District",31,"0"
1999,"Central","Taichung City","Wufeng District",32,"0"
1999,"Central","Taichung City","Wufeng District",33,"0"
1999,"Central","Taichung City","Wufeng District",34,"0"
1999,"Central","Taichung City","Wufeng District",35,"0"
1999,"Central","Taichung City","Wufeng District",36,"0"
1999,"Central","Taichung City","Wufeng District",37,"0"
1999,"Central","Taichung City","Wufeng District",38,"0"
1999,"Central","Taichung City","Wufeng District",39,"0"
1999,"Central","Taichung City","Wufeng District",40,"0"
1999,"Central","Taichung City","Wufeng District",41,"0"
1999,"Central","Taichung City","Wufeng District",42,"0"
1999,"Central","Taichung City","Wufeng District",43,"0"
1999,"Central","Taichung City","Wufeng District",44,"0"
1999,"Central","Taichung City","Wufeng District",45,"0"
1999,"Central","Taichung City","Wufeng District",46,"0"
1999,"Central","Taichung City","Wufeng District",47,"0"
1999,"Central","Taichung City","Wufeng District",48,"0"
1999,"Central","Taichung City","Wufeng District",49,"0"
1999,"Central","Taichung City","Wufeng District",50,"0"
1999,"Central","Taichung City","Wufeng District",51,"0"
1999,"Central","Taichung City","Wufeng District",52,"0"
1999,"Central","Taichung City","Wufeng District",53,"0"
2000,"Central","Taichung City","Wufeng District",1,"0"
2000,"Central","Taichung City","Wufeng District",2,"0"
2000,"Central","Taichung City","Wufeng District",3,"0"
2000,"Central","Taichung City","Wufeng District",4,"0"
2000,"Central","Taichung City","Wufeng District",5,"0"
2000,"Central","Taichung City","Wufeng District",6,"0"
2000,"Central","Taichung City","Wufeng District",7,"0"
2000,"Central","Taichung City","Wufeng District",8,"0"
2000,"Central","Taichung City","Wufeng District",9,"0"
2000,"Central","Taichung City","Wufeng District",10,"0"
2000,"Central","Taichung City","Wufeng District",11,"0"
2000,"Central","Taichung City","Wufeng District",12,"0"
2000,"Central","Taichung City","Wufeng District",13,"0"
2000,"Central","Taichung City","Wufeng District",14,"0"
2000,"Central","Taichung City","Wufeng District",15,"0"
2000,"Central","Taichung City","Wufeng District",16,"0"
2000,"Central","Taichung City","Wufeng District",17,"0"
2000,"Central","Taichung City","Wufeng District",18,"0"
2000,"Central","Taichung City","Wufeng District",19,"0"
2000,"Central","Taichung City","Wufeng District",20,"0"
2000,"Central","Taichung City","Wufeng District",21,"0"
2000,"Central","Taichung City","Wufeng District",22,"0"
2000,"Central","Taichung City","Wufeng District",23,"0"
2000,"Central","Taichung City","Wufeng District",24,"0"
2000,"Central","Taichung City","Wufeng District",25,"0"
2000,"Central","Taichung City","Wufeng District",26,"0"
2000,"Central","Taichung City","Wufeng District",27,"0"
2000,"Central","Taichung City","Wufeng District",28,"0"
2000,"Central","Taichung City","Wufeng District",29,"0"
2000,"Central","Taichung City","Wufeng District",30,"0"
2000,"Central","Taichung City","Wufeng District",31,"0"
2000,"Central","Taichung City","Wufeng District",32,"0"
2000,"Central","Taichung City","Wufeng District",33,"0"
2000,"Central","Taichung City","Wufeng District",34,"0"
2000,"Central","Taichung City","Wufeng District",35,"0"
2000,"Central","Taichung City","Wufeng District",36,"0"
2000,"Central","Taichung City","Wufeng District",37,"0"
2000,"Central","Taichung City","Wufeng District",38,"0"
2000,"Central","Taichung City","Wufeng District",39,"0"
2000,"Central","Taichung City","Wufeng District",40,"0"
2000,"Central","Taichung City","Wufeng District",41,"0"
2000,"Central","Taichung City","Wufeng District",42,"0"
2000,"Central","Taichung City","Wufeng District",43,"0"
2000,"Central","Taichung City","Wufeng District",44,"0"
2000,"Central","Taichung City","Wufeng District",45,"0"
2000,"Central","Taichung City","Wufeng District",46,"0"
2000,"Central","Taichung City","Wufeng District",47,"0"
2000,"Central","Taichung City","Wufeng District",48,"0"
2000,"Central","Taichung City","Wufeng District",49,"0"
2000,"Central","Taichung City","Wufeng District",50,"0"
2000,"Central","Taichung City","Wufeng District",51,"0"
2000,"Central","Taichung City","Wufeng District",52,"0"
2000,"Central","Taichung City","Wufeng District",53,"0"
2001,"Central","Taichung City","Wufeng District",1,"0"
2001,"Central","Taichung City","Wufeng District",2,"0"
2001,"Central","Taichung City","Wufeng District",3,"0"
2001,"Central","Taichung City","Wufeng District",4,"0"
2001,"Central","Taichung City","Wufeng District",5,"0"
2001,"Central","Taichung City","Wufeng District",6,"0"
2001,"Central","Taichung City","Wufeng District",7,"0"
2001,"Central","Taichung City","Wufeng District",8,"0"
2001,"Central","Taichung City","Wufeng District",9,"0"
2001,"Central","Taichung City","Wufeng District",10,"0"
2001,"Central","Taichung City","Wufeng District",11,"0"
2001,"Central","Taichung City","Wufeng District",12,"0"
2001,"Central","Taichung City","Wufeng District",13,"0"
2001,"Central","Taichung City","Wufeng District",14,"0"
2001,"Central","Taichung City","Wufeng District",15,"0"
2001,"Central","Taichung City","Wufeng District",16,"0"
2001,"Central","Taichung City","Wufeng District",17,"0"
2001,"Central","Taichung City","Wufeng District",18,"0"
2001,"Central","Taichung City","Wufeng District",19,"0"
2001,"Central","Taichung City","Wufeng District",20,"0"
2001,"Central","Taichung City","Wufeng District",21,"0"
