"year","area","city","town","week","cases"
1998,"Kaoping","Kaohsiung City","Xiaogang District",1,"0"
1998,"Kaoping","Kaohsiung City","Xiaogang District",2,"0"
1998,"Kaoping","Kaohsiung City","Xiaogang District",3,"0"
1998,"Kaoping","Kaohsiung City","Xiaogang District",4,"0"
1998,"Kaoping","Kaohsiung City","Xiaogang District",5,"0"
1998,"Kaoping","Kaohsiung City","Xiaogang District",6,"0"
1998,"Kaoping","Kaohsiung City","Xiaogang District",7,"0"
1998,"Kaoping","Kaohsiung City","Xiaogang District",8,"0"
1998,"Kaoping","Kaohsiung City","Xiaogang District",9,"0"
1998,"Kaoping","Kaohsiung City","Xiaogang District",10,"0"
1998,"Kaoping","Kaohsiung City","Xiaogang District",11,"0"
1998,"Kaoping","Kaohsiung City","Xiaogang District",12,"0"
1998,"Kaoping","Kaohsiung City","Xiaogang District",13,"0"
1998,"Kaoping","Kaohsiung City","Xiaogang District",14,"0"
1998,"Kaoping","Kaohsiung City","Xiaogang District",15,"0"
1998,"Kaoping","Kaohsiung City","Xiaogang District",16,"0"
1998,"Kaoping","Kaohsiung City","Xiaogang District",17,"0"
1998,"Kaoping","Kaohsiung City","Xiaogang District",18,"0"
1998,"Kaoping","Kaohsiung City","Xiaogang District",19,"0"
1998,"Kaoping","Kaohsiung City","Xiaogang District",20,"0"
1998,"Kaoping","Kaohsiung City","Xiaogang District",21,"0"
1998,"Kaoping","Kaohsiung City","Xiaogang District",22,"0"
1998,"Kaoping","Kaohsiung City","Xiaogang District",23,"0"
1998,"Kaoping","Kaohsiung City","Xiaogang District",24,"0"
1998,"Kaoping","Kaohsiung City","Xiaogang District",25,"0"
1998,"Kaoping","Kaohsiung City","Xiaogang District",26,"0"
1998,"Kaoping","Kaohsiung City","Xiaogang District",27,"0"
1998,"Kaoping","Kaohsiung City","Xiaogang District",28,"0"
1998,"Kaoping","Kaohsiung City","Xiaogang District",29,"0"
1998,"Kaoping","Kaohsiung City","Xiaogang District",30,"0"
1998,"Kaoping","Kaohsiung City","Xiaogang District",31,"0"
1998,"Kaoping","Kaohsiung City","Xiaogang District",32,"0"
1998,"Kaoping","Kaohsiung City","Xiaogang District",33,"0"
1998,"Kaoping","Kaohsiung City","Xiaogang District",34,"0"
1998,"Kaoping","Kaohsiung City","Xiaogang District",35,"0"
1998,"Kaoping","Kaohsiung City","Xiaogang District",36,"0"
1998,"Kaoping","Kaohsiung City","Xiaogang District",37,"0"
1998,"Kaoping","Kaohsiung City","Xiaogang District",38,"0"
1998,"Kaoping","Kaohsiung City","Xiaogang District",39,"0"
1998,"Kaoping","Kaohsiung City","Xiaogang District",40,"0"
1998,"Kaoping","Kaohsiung City","Xiaogang District",41,"0"
1998,"Kaoping","Kaohsiung City","Xiaogang District",42,"0"
1998,"Kaoping","Kaohsiung City","Xiaogang District",43,"0"
1998,"Kaoping","Kaohsiung City","Xiaogang District",44,"0"
1998,"Kaoping","Kaohsiung City","Xiaogang District",45,"0"
1998,"Kaoping","Kaohsiung City","Xiaogang District",46,"0"
1998,"Kaoping","Kaohsiung City","Xiaogang District",47,"0"
1998,"Kaoping","Kaohsiung City","Xiaogang District",48,"0"
1998,"Kaoping","Kaohsiung City","Xiaogang District",49,"0"
1998,"Kaoping","Kaohsiung City","Xiaogang District",50,"0"
1998,"Kaoping","Kaohsiung City","Xiaogang District",51,"0"
1998,"Kaoping","Kaohsiung City","Xiaogang District",52,"0"
1998,"Kaoping","Kaohsiung City","Xiaogang District",53,"0"
1999,"Kaoping","Kaohsiung City","Xiaogang District",1,"0"
1999,"Kaoping","Kaohsiung City","Xiaogang District",2,"0"
1999,"Kaoping","Kaohsiung City","Xiaogang District",3,"0"
1999,"Kaoping","Kaohsiung City","Xiaogang District",4,"0"
1999,"Kaoping","Kaohsiung City","Xiaogang District",5,"0"
1999,"Kaoping","Kaohsiung City","Xiaogang District",6,"0"
1999,"Kaoping","Kaohsiung City","Xiaogang District",7,"0"
1999,"Kaoping","Kaohsiung City","Xiaogang District",8,"0"
1999,"Kaoping","Kaohsiung City","Xiaogang District",9,"0"
1999,"Kaoping","Kaohsiung City","Xiaogang District",10,"0"
1999,"Kaoping","Kaohsiung City","Xiaogang District",11,"0"
1999,"Kaoping","Kaohsiung City","Xiaogang District",12,"0"
1999,"Kaoping","Kaohsiung City","Xiaogang District",13,"0"
1999,"Kaoping","Kaohsiung City","Xiaogang District",14,"0"
1999,"Kaoping","Kaohsiung City","Xiaogang District",15,"0"
1999,"Kaoping","Kaohsiung City","Xiaogang District",16,"0"
1999,"Kaoping","Kaohsiung City","Xiaogang District",17,"0"
1999,"Kaoping","Kaohsiung City","Xiaogang District",18,"0"
1999,"Kaoping","Kaohsiung City","Xiaogang District",19,"0"
1999,"Kaoping","Kaohsiung City","Xiaogang District",20,"0"
1999,"Kaoping","Kaohsiung City","Xiaogang District",21,"0"
1999,"Kaoping","Kaohsiung City","Xiaogang District",22,"0"
1999,"Kaoping","Kaohsiung City","Xiaogang District",23,"0"
1999,"Kaoping","Kaohsiung City","Xiaogang District",24,"0"
1999,"Kaoping","Kaohsiung City","Xiaogang District",25,"0"
1999,"Kaoping","Kaohsiung City","Xiaogang District",26,"0"
1999,"Kaoping","Kaohsiung City","Xiaogang District",27,"0"
1999,"Kaoping","Kaohsiung City","Xiaogang District",28,"0"
1999,"Kaoping","Kaohsiung City","Xiaogang District",29,"0"
1999,"Kaoping","Kaohsiung City","Xiaogang District",30,"0"
1999,"Kaoping","Kaohsiung City","Xiaogang District",31,"0"
1999,"Kaoping","Kaohsiung City","Xiaogang District",32,"0"
1999,"Kaoping","Kaohsiung City","Xiaogang District",33,"0"
1999,"Kaoping","Kaohsiung City","Xiaogang District",34,"0"
1999,"Kaoping","Kaohsiung City","Xiaogang District",35,"0"
1999,"Kaoping","Kaohsiung City","Xiaogang District",36,"0"
1999,"Kaoping","Kaohsiung City","Xiaogang District",37,"0"
1999,"Kaoping","Kaohsiung City","Xiaogang District",38,"0"
1999,"Kaoping","Kaohsiung City","Xiaogang District",39,"0"
1999,"Kaoping","Kaohsiung City","Xiaogang District",40,"0"
1999,"Kaoping","Kaohsiung City","Xiaogang District",41,"0"
1999,"Kaoping","Kaohsiung City","Xiaogang District",42,"0"
1999,"Kaoping","Kaohsiung City","Xiaogang District",43,"0"
1999,"Kaoping","Kaohsiung City","Xiaogang District",44,"0"
1999,"Kaoping","Kaohsiung City","Xiaogang District",45,"0"
1999,"Kaoping","Kaohsiung City","Xiaogang District",46,"0"
1999,"Kaoping","Kaohsiung City","Xiaogang District",47,"0"
1999,"Kaoping","Kaohsiung City","Xiaogang District",48,"0"
1999,"Kaoping","Kaohsiung City","Xiaogang District",49,"0"
1999,"Kaoping","Kaohsiung City","Xiaogang District",50,"0"
1999,"Kaoping","Kaohsiung City","Xiaogang District",51,"3"
1999,"Kaoping","Kaohsiung City","Xiaogang District",52,"0"
1999,"Kaoping","Kaohsiung City","Xiaogang District",53,"0"
2000,"Kaoping","Kaohsiung City","Xiaogang District",1,"0"
2000,"Kaoping","Kaohsiung City","Xiaogang District",2,"0"
2000,"Kaoping","Kaohsiung City","Xiaogang District",3,"0"
2000,"Kaoping","Kaohsiung City","Xiaogang District",4,"0"
2000,"Kaoping","Kaohsiung City","Xiaogang District",5,"0"
2000,"Kaoping","Kaohsiung City","Xiaogang District",6,"0"
2000,"Kaoping","Kaohsiung City","Xiaogang District",7,"0"
2000,"Kaoping","Kaohsiung City","Xiaogang District",8,"0"
2000,"Kaoping","Kaohsiung City","Xiaogang District",9,"0"
2000,"Kaoping","Kaohsiung City","Xiaogang District",10,"0"
2000,"Kaoping","Kaohsiung City","Xiaogang District",11,"0"
2000,"Kaoping","Kaohsiung City","Xiaogang District",12,"0"
2000,"Kaoping","Kaohsiung City","Xiaogang District",13,"0"
2000,"Kaoping","Kaohsiung City","Xiaogang District",14,"0"
2000,"Kaoping","Kaohsiung City","Xiaogang District",15,"0"
2000,"Kaoping","Kaohsiung City","Xiaogang District",16,"0"
2000,"Kaoping","Kaohsiung City","Xiaogang District",17,"0"
2000,"Kaoping","Kaohsiung City","Xiaogang District",18,"0"
2000,"Kaoping","Kaohsiung City","Xiaogang District",19,"0"
2000,"Kaoping","Kaohsiung City","Xiaogang District",20,"0"
2000,"Kaoping","Kaohsiung City","Xiaogang District",21,"0"
2000,"Kaoping","Kaohsiung City","Xiaogang District",22,"0"
2000,"Kaoping","Kaohsiung City","Xiaogang District",23,"0"
2000,"Kaoping","Kaohsiung City","Xiaogang District",24,"0"
2000,"Kaoping","Kaohsiung City","Xiaogang District",25,"0"
2000,"Kaoping","Kaohsiung City","Xiaogang District",26,"0"
2000,"Kaoping","Kaohsiung City","Xiaogang District",27,"0"
2000,"Kaoping","Kaohsiung City","Xiaogang District",28,"0"
2000,"Kaoping","Kaohsiung City","Xiaogang District",29,"0"
2000,"Kaoping","Kaohsiung City","Xiaogang District",30,"0"
2000,"Kaoping","Kaohsiung City","Xiaogang District",31,"0"
2000,"Kaoping","Kaohsiung City","Xiaogang District",32,"0"
2000,"Kaoping","Kaohsiung City","Xiaogang District",33,"0"
2000,"Kaoping","Kaohsiung City","Xiaogang District",34,"0"
2000,"Kaoping","Kaohsiung City","Xiaogang District",35,"0"
2000,"Kaoping","Kaohsiung City","Xiaogang District",36,"0"
2000,"Kaoping","Kaohsiung City","Xiaogang District",37,"0"
2000,"Kaoping","Kaohsiung City","Xiaogang District",38,"0"
2000,"Kaoping","Kaohsiung City","Xiaogang District",39,"0"
2000,"Kaoping","Kaohsiung City","Xiaogang District",40,"0"
2000,"Kaoping","Kaohsiung City","Xiaogang District",41,"0"
2000,"Kaoping","Kaohsiung City","Xiaogang District",42,"0"
2000,"Kaoping","Kaohsiung City","Xiaogang District",43,"0"
2000,"Kaoping","Kaohsiung City","Xiaogang District",44,"0"
2000,"Kaoping","Kaohsiung City","Xiaogang District",45,"0"
2000,"Kaoping","Kaohsiung City","Xiaogang District",46,"0"
2000,"Kaoping","Kaohsiung City","Xiaogang District",47,"0"
2000,"Kaoping","Kaohsiung City","Xiaogang District",48,"0"
2000,"Kaoping","Kaohsiung City","Xiaogang District",49,"0"
2000,"Kaoping","Kaohsiung City","Xiaogang District",50,"0"
2000,"Kaoping","Kaohsiung City","Xiaogang District",51,"0"
2000,"Kaoping","Kaohsiung City","Xiaogang District",52,"0"
2000,"Kaoping","Kaohsiung City","Xiaogang District",53,"0"
2001,"Kaoping","Kaohsiung City","Xiaogang District",1,"0"
2001,"Kaoping","Kaohsiung City","Xiaogang District",2,"0"
2001,"Kaoping","Kaohsiung City","Xiaogang District",3,"0"
2001,"Kaoping","Kaohsiung City","Xiaogang District",4,"0"
2001,"Kaoping","Kaohsiung City","Xiaogang District",5,"0"
2001,"Kaoping","Kaohsiung City","Xiaogang District",6,"0"
2001,"Kaoping","Kaohsiung City","Xiaogang District",7,"0"
2001,"Kaoping","Kaohsiung City","Xiaogang District",8,"0"
2001,"Kaoping","Kaohsiung City","Xiaogang District",9,"0"
2001,"Kaoping","Kaohsiung City","Xiaogang District",10,"0"
2001,"Kaoping","Kaohsiung City","Xiaogang District",11,"0"
2001,"Kaoping","Kaohsiung City","Xiaogang District",12,"0"
2001,"Kaoping","Kaohsiung City","Xiaogang District",13,"0"
2001,"Kaoping","Kaohsiung City","Xiaogang District",14,"0"
2001,"Kaoping","Kaohsiung City","Xiaogang District",15,"0"
2001,"Kaoping","Kaohsiung City","Xiaogang District",16,"0"
2001,"Kaoping","Kaohsiung City","Xiaogang District",17,"0"
2001,"Kaoping","Kaohsiung City","Xiaogang District",18,"0"
2001,"Kaoping","Kaohsiung City","Xiaogang District",19,"0"
2001,"Kaoping","Kaohsiung City","Xiaogang District",20,"0"
2001,"Kaoping","Kaohsiung City","Xiaogang District",21,"0"
2001,"Kaoping","Kaohsiung City","Xiaogang District",22,"0"
2001,"Kaoping","Kaohsiung City","Xiaogang District",23,"0"
2001,"Kaoping","Kaohsiung City","Xiaogang District",24,"0"
2001,"Kaoping","Kaohsiung City","Xiaogang District",25,"0"
2001,"Kaoping","Kaohsiung City","Xiaogang District",26,"0"
2001,"Kaoping","Kaohsiung City","Xiaogang District",27,"0"
2001,"Kaoping","Kaohsiung City","Xiaogang District",28,"1"
2001,"Kaoping","Kaohsiung City","Xiaogang District",29,"0"
2001,"Kaoping","Kaohsiung City","Xiaogang District",30,"0"
2001,"Kaoping","Kaohsiung City","Xiaogang District",31,"0"
2001,"Kaoping","Kaohsiung City","Xiaogang District",32,"0"
2001,"Kaoping","Kaohsiung City","Xiaogang District",33,"0"
2001,"Kaoping","Kaohsiung City","Xiaogang District",34,"0"
2001,"Kaoping","Kaohsiung City","Xiaogang District",35,"0"
2001,"Kaoping","Kaohsiung City","Xiaogang District",36,"0"
2001,"Kaoping","Kaohsiung City","Xiaogang District",37,"0"
2001,"Kaoping","Kaohsiung City","Xiaogang District",38,"0"
2001,"Kaoping","Kaohsiung City","Xiaogang District",39,"1"
