"year","area","city","town","week","cases"
1998,"Southern","Yunlin County","Xiluo Township",1,"0"
1998,"Southern","Yunlin County","Xiluo Township",2,"0"
1998,"Southern","Yunlin County","Xiluo Township",3,"0"
1998,"Southern","Yunlin County","Xiluo Township",4,"0"
1998,"Southern","Yunlin County","Xiluo Township",5,"0"
1998,"Southern","Yunlin County","Xiluo Township",6,"0"
1998,"Southern","Yunlin County","Xiluo Township",7,"0"
1998,"Southern","Yunlin County","Xiluo Township",8,"0"
1998,"Southern","Yunlin County","Xiluo Township",9,"0"
1998,"Southern","Yunlin County","Xiluo Township",10,"0"
1998,"Southern","Yunlin County","Xiluo Township",11,"0"
1998,"Southern","Yunlin County","Xiluo Township",12,"0"
1998,"Southern","Yunlin County","Xiluo Township",13,"0"
1998,"Southern","Yunlin County","Xiluo Township",14,"0"
1998,"Southern","Yunlin County","Xiluo Township",15,"0"
1998,"Southern","Yunlin County","Xiluo Township",16,"0"
1998,"Southern","Yunlin County","Xiluo Township",17,"0"
1998,"Southern","Yunlin County","Xiluo Township",18,"0"
1998,"Southern","Yunlin County","Xiluo Township",19,"0"
1998,"Southern","Yunlin County","Xiluo Township",20,"0"
1998,"Southern","Yunlin County","Xiluo Township",21,"0"
1998,"Southern","Yunlin County","Xiluo Township",22,"0"
1998,"Southern","Yunlin County","Xiluo Township",23,"0"
1998,"Southern","Yunlin County","Xiluo Township",24,"0"
1998,"Southern","Yunlin County","Xiluo Township",25,"0"
1998,"Southern","Yunlin County","Xiluo Township",26,"0"
1998,"Southern","Yunlin County","Xiluo Township",27,"0"
1998,"Southern","Yunlin County","Xiluo Township",28,"0"
1998,"Southern","Yunlin County","Xiluo Township",29,"1"
1998,"Southern","Yunlin County","Xiluo Township",30,"0"
1998,"Southern","Yunlin County","Xiluo Township",31,"0"
1998,"Southern","Yunlin County","Xiluo Township",32,"0"
1998,"Southern","Yunlin County","Xiluo Township",33,"0"
1998,"Southern","Yunlin County","Xiluo Township",34,"0"
1998,"Southern","Yunlin County","Xiluo Township",35,"0"
1998,"Southern","Yunlin County","Xiluo Township",36,"0"
1998,"Southern","Yunlin County","Xiluo Township",37,"0"
1998,"Southern","Yunlin County","Xiluo Township",38,"0"
1998,"Southern","Yunlin County","Xiluo Township",39,"0"
1998,"Southern","Yunlin County","Xiluo Township",40,"0"
