"year","area","city","town","week","cases"
1998,"Eastern","Hualien County","Xincheng Township",1,"0"
1998,"Eastern","Hualien County","Xincheng Township",2,"0"
1998,"Eastern","Hualien County","Xincheng Township",3,"0"
1998,"Eastern","Hualien County","Xincheng Township",4,"0"
1998,"Eastern","Hualien County","Xincheng Township",5,"0"
1998,"Eastern","Hualien County","Xincheng Township",6,"0"
1998,"Eastern","Hualien County","Xincheng Township",7,"0"
1998,"Eastern","Hualien County","Xincheng Township",8,"0"
1998,"Eastern","Hualien County","Xincheng Township",9,"0"
1998,"Eastern","Hualien County","Xincheng Township",10,"0"
1998,"Eastern","Hualien County","Xincheng Township",11,"0"
1998,"Eastern","Hualien County","Xincheng Township",12,"0"
1998,"Eastern","Hualien County","Xincheng Township",13,"0"
1998,"Eastern","Hualien County","Xincheng Township",14,"0"
1998,"Eastern","Hualien County","Xincheng Township",15,"0"
1998,"Eastern","Hualien County","Xincheng Township",16,"0"
1998,"Eastern","Hualien County","Xincheng Township",17,"0"
1998,"Eastern","Hualien County","Xincheng Township",18,"0"
1998,"Eastern","Hualien County","Xincheng Township",19,"0"
1998,"Eastern","Hualien County","Xincheng Township",20,"0"
1998,"Eastern","Hualien County","Xincheng Township",21,"0"
1998,"Eastern","Hualien County","Xincheng Township",22,"0"
1998,"Eastern","Hualien County","Xincheng Township",23,"0"
1998,"Eastern","Hualien County","Xincheng Township",24,"0"
1998,"Eastern","Hualien County","Xincheng Township",25,"0"
1998,"Eastern","Hualien County","Xincheng Township",26,"0"
1998,"Eastern","Hualien County","Xincheng Township",27,"0"
1998,"Eastern","Hualien County","Xincheng Township",28,"0"
1998,"Eastern","Hualien County","Xincheng Township",29,"0"
1998,"Eastern","Hualien County","Xincheng Township",30,"0"
1998,"Eastern","Hualien County","Xincheng Township",31,"0"
1998,"Eastern","Hualien County","Xincheng Township",32,"0"
1998,"Eastern","Hualien County","Xincheng Township",33,"0"
1998,"Eastern","Hualien County","Xincheng Township",34,"0"
1998,"Eastern","Hualien County","Xincheng Township",35,"1"
1998,"Eastern","Hualien County","Xincheng Township",36,"0"
1998,"Eastern","Hualien County","Xincheng Township",37,"0"
1998,"Eastern","Hualien County","Xincheng Township",38,"0"
1998,"Eastern","Hualien County","Xincheng Township",39,"0"
1998,"Eastern","Hualien County","Xincheng Township",40,"0"
1998,"Eastern","Hualien County","Xincheng Township",41,"0"
1998,"Eastern","Hualien County","Xincheng Township",42,"0"
1998,"Eastern","Hualien County","Xincheng Township",43,"0"
1998,"Eastern","Hualien County","Xincheng Township",44,"0"
1998,"Eastern","Hualien County","Xincheng Township",45,"0"
1998,"Eastern","Hualien County","Xincheng Township",46,"0"
1998,"Eastern","Hualien County","Xincheng Township",47,"0"
1998,"Eastern","Hualien County","Xincheng Township",48,"0"
1998,"Eastern","Hualien County","Xincheng Township",49,"0"
1998,"Eastern","Hualien County","Xincheng Township",50,"0"
1998,"Eastern","Hualien County","Xincheng Township",51,"0"
1998,"Eastern","Hualien County","Xincheng Township",52,"0"
1998,"Eastern","Hualien County","Xincheng Township",53,"0"
1999,"Eastern","Hualien County","Xincheng Township",1,"0"
1999,"Eastern","Hualien County","Xincheng Township",2,"0"
1999,"Eastern","Hualien County","Xincheng Township",3,"0"
1999,"Eastern","Hualien County","Xincheng Township",4,"0"
1999,"Eastern","Hualien County","Xincheng Township",5,"0"
1999,"Eastern","Hualien County","Xincheng Township",6,"0"
1999,"Eastern","Hualien County","Xincheng Township",7,"0"
1999,"Eastern","Hualien County","Xincheng Township",8,"0"
1999,"Eastern","Hualien County","Xincheng Township",9,"0"
1999,"Eastern","Hualien County","Xincheng Township",10,"0"
1999,"Eastern","Hualien County","Xincheng Township",11,"0"
1999,"Eastern","Hualien County","Xincheng Township",12,"0"
1999,"Eastern","Hualien County","Xincheng Township",13,"0"
1999,"Eastern","Hualien County","Xincheng Township",14,"0"
1999,"Eastern","Hualien County","Xincheng Township",15,"0"
1999,"Eastern","Hualien County","Xincheng Township",16,"0"
1999,"Eastern","Hualien County","Xincheng Township",17,"0"
