"Year","Region","City","District","Week","Cases"
1998,"Taipei","New Taipei City","Xindian District",1,"0"
1998,"Taipei","New Taipei City","Xindian District",2,"0"
1998,"Taipei","New Taipei City","Xindian District",3,"0"
1998,"Taipei","New Taipei City","Xindian District",4,"1"
1998,"Taipei","New Taipei City","Xindian District",5,"0"
1998,"Taipei","New Taipei City","Xindian District",6,"0"
1998,"Taipei","New Taipei City","Xindian District",7,"0"
1998,"Taipei","New Taipei City","Xindian District",8,"0"
1998,"Taipei","New Taipei City","Xindian District",9,"0"
1998,"Taipei","New Taipei City","Xindian District",10,"0"
1998,"Taipei","New Taipei City","Xindian District",11,"0"
1998,"Taipei","New Taipei City","Xindian District",12,"0"
1998,"Taipei","New Taipei City","Xindian District",13,"0"
1998,"Taipei","New Taipei City","Xindian District",14,"0"
1998,"Taipei","New Taipei City","Xindian District",15,"0"
1998,"Taipei","New Taipei City","Xindian District",16,"0"
1998,"Taipei","New Taipei City","Xindian District",17,"0"
1998,"Taipei","New Taipei City","Xindian District",18,"0"
1998,"Taipei","New Taipei City","Xindian District",19,"0"
1998,"Taipei","New Taipei City","Xindian District",20,"0"
1998,"Taipei","New Taipei City","Xindian District",21,"0"
1998,"Taipei","New Taipei City","Xindian District",22,"0"
1998,"Taipei","New Taipei City","Xindian District",23,"0"
1998,"Taipei","New Taipei City","Xindian District",24,"0"
1998,"Taipei","New Taipei City","Xindian District",25,"0"
1998,"Taipei","New Taipei City","Xindian District",26,"0"
1998,"Taipei","New Taipei City","Xindian District",27,"0"
1998,"Taipei","New Taipei City","Xindian District",28,"0"
1998,"Taipei","New Taipei City","Xindian District",29,"0"
1998,"Taipei","New Taipei City","Xindian District",30,"0"
1998,"Taipei","New Taipei City","Xindian District",31,"0"
1998,"Taipei","New Taipei City","Xindian District",32,"0"
1998,"Taipei","New Taipei City","Xindian District",33,"0"
1998,"Taipei","New Taipei City","Xindian District",34,"0"
1998,"Taipei","New Taipei City","Xindian District",35,"0"
1998,"Taipei","New Taipei City","Xindian District",36,"0"
1998,"Taipei","New Taipei City","Xindian District",37,"0"
1998,"Taipei","New Taipei City","Xindian District",38,"0"
1998,"Taipei","New Taipei City","Xindian District",39,"0"
1998,"Taipei","New Taipei City","Xindian District",40,"0"
1998,"Taipei","New Taipei City","Xindian District",41,"0"
1998,"Taipei","New Taipei City","Xindian District",42,"0"
1998,"Taipei","New Taipei City","Xindian District",43,"0"
1998,"Taipei","New Taipei City","Xindian District",44,"0"
1998,"Taipei","New Taipei City","Xindian District",45,"0"
1998,"Taipei","New Taipei City","Xindian District",46,"0"
1998,"Taipei","New Taipei City","Xindian District",47,"0"
1998,"Taipei","New Taipei City","Xindian District",48,"0"
1998,"Taipei","New Taipei City","Xindian District",49,"0"
1998,"Taipei","New Taipei City","Xindian District",50,"0"
1998,"Taipei","New Taipei City","Xindian District",51,"0"
1998,"Taipei","New Taipei City","Xindian District",52,"0"
1998,"Taipei","New Taipei City","Xindian District",53,"0"
1999,"Taipei","New Taipei City","Xindian District",1,"0"
1999,"Taipei","New Taipei City","Xindian District",2,"0"
1999,"Taipei","New Taipei City","Xindian District",3,"0"
1999,"Taipei","New Taipei City","Xindian District",4,"0"
1999,"Taipei","New Taipei City","Xindian District",5,"0"
1999,"Taipei","New Taipei City","Xindian District",6,"0"
1999,"Taipei","New Taipei City","Xindian District",7,"0"
1999,"Taipei","New Taipei City","Xindian District",8,"0"
1999,"Taipei","New Taipei City","Xindian District",9,"0"
1999,"Taipei","New Taipei City","Xindian District",10,"0"
1999,"Taipei","New Taipei City","Xindian District",11,"0"
1999,"Taipei","New Taipei City","Xindian District",12,"0"
1999,"Taipei","New Taipei City","Xindian District",13,"0"
1999,"Taipei","New Taipei City","Xindian District",14,"0"
1999,"Taipei","New Taipei City","Xindian District",15,"0"
1999,"Taipei","New Taipei City","Xindian District",16,"0"
1999,"Taipei","New Taipei City","Xindian District",17,"0"
1999,"Taipei","New Taipei City","Xindian District",18,"0"
1999,"Taipei","New Taipei City","Xindian District",19,"0"
1999,"Taipei","New Taipei City","Xindian District",20,"0"
1999,"Taipei","New Taipei City","Xindian District",21,"0"
1999,"Taipei","New Taipei City","Xindian District",22,"0"
1999,"Taipei","New Taipei City","Xindian District",23,"0"
1999,"Taipei","New Taipei City","Xindian District",24,"0"
1999,"Taipei","New Taipei City","Xindian District",25,"0"
1999,"Taipei","New Taipei City","Xindian District",26,"0"
1999,"Taipei","New Taipei City","Xindian District",27,"0"
1999,"Taipei","New Taipei City","Xindian District",28,"0"
1999,"Taipei","New Taipei City","Xindian District",29,"0"
1999,"Taipei","New Taipei City","Xindian District",30,"0"
1999,"Taipei","New Taipei City","Xindian District",31,"0"
1999,"Taipei","New Taipei City","Xindian District",32,"0"
1999,"Taipei","New Taipei City","Xindian District",33,"0"
1999,"Taipei","New Taipei City","Xindian District",34,"0"
1999,"Taipei","New Taipei City","Xindian District",35,"0"
1999,"Taipei","New Taipei City","Xindian District",36,"0"
1999,"Taipei","New Taipei City","Xindian District",37,"0"
1999,"Taipei","New Taipei City","Xindian District",38,"0"
1999,"Taipei","New Taipei City","Xindian District",39,"0"
1999,"Taipei","New Taipei City","Xindian District",40,"0"
1999,"Taipei","New Taipei City","Xindian District",41,"0"
1999,"Taipei","New Taipei City","Xindian District",42,"0"
1999,"Taipei","New Taipei City","Xindian District",43,"0"
1999,"Taipei","New Taipei City","Xindian District",44,"0"
1999,"Taipei","New Taipei City","Xindian District",45,"0"
1999,"Taipei","New Taipei City","Xindian District",46,"0"
1999,"Taipei","New Taipei City","Xindian District",47,"0"
1999,"Taipei","New Taipei City","Xindian District",48,"0"
1999,"Taipei","New Taipei City","Xindian District",49,"0"
1999,"Taipei","New Taipei City","Xindian District",50,"0"
1999,"Taipei","New Taipei City","Xindian District",51,"0"
1999,"Taipei","New Taipei City","Xindian District",52,"0"
1999,"Taipei","New Taipei City","Xindian District",53,"0"
2000,"Taipei","New Taipei City","Xindian District",1,"0"
2000,"Taipei","New Taipei City","Xindian District",2,"0"
2000,"Taipei","New Taipei City","Xindian District",3,"0"
2000,"Taipei","New Taipei City","Xindian District",4,"0"
2000,"Taipei","New Taipei City","Xindian District",5,"0"
2000,"Taipei","New Taipei City","Xindian District",6,"0"
2000,"Taipei","New Taipei City","Xindian District",7,"0"
2000,"Taipei","New Taipei City","Xindian District",8,"0"
2000,"Taipei","New Taipei City","Xindian District",9,"0"
2000,"Taipei","New Taipei City","Xindian District",10,"0"
2000,"Taipei","New Taipei City","Xindian District",11,"0"
2000,"Taipei","New Taipei City","Xindian District",12,"0"
2000,"Taipei","New Taipei City","Xindian District",13,"0"
2000,"Taipei","New Taipei City","Xindian District",14,"0"
2000,"Taipei","New Taipei City","Xindian District",15,"0"
2000,"Taipei","New Taipei City","Xindian District",16,"0"
2000,"Taipei","New Taipei City","Xindian District",17,"0"
2000,"Taipei","New Taipei City","Xindian District",18,"0"
2000,"Taipei","New Taipei City","Xindian District",19,"0"
2000,"Taipei","New Taipei City","Xindian District",20,"0"
2000,"Taipei","New Taipei City","Xindian District",21,"0"
2000,"Taipei","New Taipei City","Xindian District",22,"0"
2000,"Taipei","New Taipei City","Xindian District",23,"0"
2000,"Taipei","New Taipei City","Xindian District",24,"0"
2000,"Taipei","New Taipei City","Xindian District",25,"0"
2000,"Taipei","New Taipei City","Xindian District",26,"0"
2000,"Taipei","New Taipei City","Xindian District",27,"0"
2000,"Taipei","New Taipei City","Xindian District",28,"0"
2000,"Taipei","New Taipei City","Xindian District",29,"0"
2000,"Taipei","New Taipei City","Xindian District",30,"0"
2000,"Taipei","New Taipei City","Xindian District",31,"0"
2000,"Taipei","New Taipei City","Xindian District",32,"0"
2000,"Taipei","New Taipei City","Xindian District",33,"0"
2000,"Taipei","New Taipei City","Xindian District",34,"0"
2000,"Taipei","New Taipei City","Xindian District",35,"0"
2000,"Taipei","New Taipei City","Xindian District",36,"0"
2000,"Taipei","New Taipei City","Xindian District",37,"0"
2000,"Taipei","New Taipei City","Xindian District",38,"0"
2000,"Taipei","New Taipei City","Xindian District",39,"1"
2000,"Taipei","New Taipei City","Xindian District",40,"0"
2000,"Taipei","New Taipei City","Xindian District",41,"0"
2000,"Taipei","New Taipei City","Xindian District",42,"0"
2000,"Taipei","New Taipei City","Xindian District",43,"0"
2000,"Taipei","New Taipei City","Xindian District",44,"0"
2000,"Taipei","New Taipei City","Xindian District",45,"0"
2000,"Taipei","New Taipei City","Xindian District",46,"0"
2000,"Taipei","New Taipei City","Xindian District",47,"0"
2000,"Taipei","New Taipei City","Xindian District",48,"0"
2000,"Taipei","New Taipei City","Xindian District",49,"0"
2000,"Taipei","New Taipei City","Xindian District",50,"0"
2000,"Taipei","New Taipei City","Xindian District",51,"0"
2000,"Taipei","New Taipei City","Xindian District",52,"0"
2000,"Taipei","New Taipei City","Xindian District",53,"0"
2001,"Taipei","New Taipei City","Xindian District",1,"0"
2001,"Taipei","New Taipei City","Xindian District",2,"0"
2001,"Taipei","New Taipei City","Xindian District",3,"0"
2001,"Taipei","New Taipei City","Xindian District",4,"1"
2001,"Taipei","New Taipei City","Xindian District",5,"1"
2001,"Taipei","New Taipei City","Xindian District",6,"0"
2001,"Taipei","New Taipei City","Xindian District",7,"0"
2001,"Taipei","New Taipei City","Xindian District",8,"0"
2001,"Taipei","New Taipei City","Xindian District",9,"0"
2001,"Taipei","New Taipei City","Xindian District",10,"0"
2001,"Taipei","New Taipei City","Xindian District",11,"0"
2001,"Taipei","New Taipei City","Xindian District",12,"0"
2001,"Taipei","New Taipei City","Xindian District",13,"0"
2001,"Taipei","New Taipei City","Xindian District",14,"0"
2001,"Taipei","New Taipei City","Xindian District",15,"0"
2001,"Taipei","New Taipei City","Xindian District",16,"0"
2001,"Taipei","New Taipei City","Xindian District",17,"0"
2001,"Taipei","New Taipei City","Xindian District",18,"0"
2001,"Taipei","New Taipei City","Xindian District",19,"0"
2001,"Taipei","New Taipei City","Xindian District",20,"0"
2001,"Taipei","New Taipei City","Xindian District",21,"0"
2001,"Taipei","New Taipei City","Xindian District",22,"0"
2001,"Taipei","New Taipei City","Xindian District",23,"0"
2001,"Taipei","New Taipei City","Xindian District",24,"0"
2001,"Taipei","New Taipei City","Xindian District",25,"0"
2001,"Taipei","New Taipei City","Xindian District",26,"0"
2001,"Taipei","New Taipei City","Xindian District",27,"0"
2001,"Taipei","New Taipei City","Xindian District",28,"0"
2001,"Taipei","New Taipei City","Xindian District",29,"0"
2001,"Taipei","New Taipei City","Xindian District",30,"0"
2001,"Taipei","New Taipei City","Xindian District",31,"0"
2001,"Taipei","New Taipei City","Xindian District",32,"0"
2001,"Taipei","New Taipei City","Xindian District",33,"0"
2001,"Taipei","New Taipei City","Xindian District",34,"0"
2001,"Taipei","New Taipei City","Xindian District",35,"0"
2001,"Taipei","New Taipei City","Xindian District",36,"0"
2001,"Taipei","New Taipei City","Xindian District",37,"0"
2001,"Taipei","New Taipei City","Xindian District",38,"0"
2001,"Taipei","New Taipei City","Xindian District",39,"0"
2001,"Taipei","New Taipei City","Xindian District",40,"0"
2001,"Taipei","New Taipei City","Xindian District",41,"0"
2001,"Taipei","New Taipei City","Xindian District",42,"0"
2001,"Taipei","New Taipei City","Xindian District",43,"0"
2001,"Taipei","New Taipei City","Xindian District",44,"0"
2001,"Taipei","New Taipei City","Xindian District",45,"0"
2001,"Taipei","New Taipei City","Xindian District",46,"0"
2001,"Taipei","New Taipei City","Xindian District",47,"0"
2001,"Taipei","New Taipei City","Xindian District",48,"0"
2001,"Taipei","New Taipei City","Xindian District",49,"0"
2001,"Taipei","New Taipei City","Xindian District",50,"0"
2001,"Taipei","New Taipei City","Xindian District",51,"0"
2001,"Taipei","New Taipei City","Xindian District",52,"0"
2001,"Taipei","New Taipei City","Xindian District",53,"0"
2002,"Taipei","New Taipei City","Xindian District",1,"0"
2002,"Taipei","New Taipei City","Xindian District",2,"0"
2002,"Taipei","New Taipei City","Xindian District",3,"0"
2002,"Taipei","New Taipei City","Xindian District",4,"0"
2002,"Taipei","New Taipei City","Xindian District",5,"0"
2002,"Taipei","New Taipei City","Xindian District",6,"0"
2002,"Taipei","New Taipei City","Xindian District",7,"0"
2002,"Taipei","New Taipei City","Xindian District",8,"0"
2002,"Taipei","New Taipei City","Xindian District",9,"0"
2002,"Taipei","New Taipei City","Xindian District",10,"0"
2002,"Taipei","New Taipei City","Xindian District",11,"0"
2002,"Taipei","New Taipei City","Xindian District",12,"0"
2002,"Taipei","New Taipei City","Xindian District",13,"0"
2002,"Taipei","New Taipei City","Xindian District",14,"0"
2002,"Taipei","New Taipei City","Xindian District",15,"0"
2002,"Taipei","New Taipei City","Xindian District",16,"0"
2002,"Taipei","New Taipei City","Xindian District",17,"0"
2002,"Taipei","New Taipei City","Xindian District",18,"0"
2002,"Taipei","New Taipei City","Xindian District",19,"0"
2002,"Taipei","New Taipei City","Xindian District",20,"0"
2002,"Taipei","New Taipei City","Xindian District",21,"0"
2002,"Taipei","New Taipei City","Xindian District",22,"0"
2002,"Taipei","New Taipei City","Xindian District",23,"0"
2002,"Taipei","New Taipei City","Xindian District",24,"0"
2002,"Taipei","New Taipei City","Xindian District",25,"0"
2002,"Taipei","New Taipei City","Xindian District",26,"0"
2002,"Taipei","New Taipei City","Xindian District",27,"0"
2002,"Taipei","New Taipei City","Xindian District",28,"0"
2002,"Taipei","New Taipei City","Xindian District",29,"0"
2002,"Taipei","New Taipei City","Xindian District",30,"0"
2002,"Taipei","New Taipei City","Xindian District",31,"0"
2002,"Taipei","New Taipei City","Xindian District",32,"0"
