"year","area","city","town","week","cases"
1998,"Kaoping","Kaohsiung City","Yanchao District",1,"0"
1998,"Kaoping","Kaohsiung City","Yanchao District",2,"0"
1998,"Kaoping","Kaohsiung City","Yanchao District",3,"0"
1998,"Kaoping","Kaohsiung City","Yanchao District",4,"0"
1998,"Kaoping","Kaohsiung City","Yanchao District",5,"0"
1998,"Kaoping","Kaohsiung City","Yanchao District",6,"0"
1998,"Kaoping","Kaohsiung City","Yanchao District",7,"0"
1998,"Kaoping","Kaohsiung City","Yanchao District",8,"0"
1998,"Kaoping","Kaohsiung City","Yanchao District",9,"0"
1998,"Kaoping","Kaohsiung City","Yanchao District",10,"0"
1998,"Kaoping","Kaohsiung City","Yanchao District",11,"0"
1998,"Kaoping","Kaohsiung City","Yanchao District",12,"0"
1998,"Kaoping","Kaohsiung City","Yanchao District",13,"0"
1998,"Kaoping","Kaohsiung City","Yanchao District",14,"0"
1998,"Kaoping","Kaohsiung City","Yanchao District",15,"0"
1998,"Kaoping","Kaohsiung City","Yanchao District",16,"0"
1998,"Kaoping","Kaohsiung City","Yanchao District",17,"0"
1998,"Kaoping","Kaohsiung City","Yanchao District",18,"0"
1998,"Kaoping","Kaohsiung City","Yanchao District",19,"0"
1998,"Kaoping","Kaohsiung City","Yanchao District",20,"0"
1998,"Kaoping","Kaohsiung City","Yanchao District",21,"0"
1998,"Kaoping","Kaohsiung City","Yanchao District",22,"0"
1998,"Kaoping","Kaohsiung City","Yanchao District",23,"0"
1998,"Kaoping","Kaohsiung City","Yanchao District",24,"0"
1998,"Kaoping","Kaohsiung City","Yanchao District",25,"0"
1998,"Kaoping","Kaohsiung City","Yanchao District",26,"0"
1998,"Kaoping","Kaohsiung City","Yanchao District",27,"0"
1998,"Kaoping","Kaohsiung City","Yanchao District",28,"0"
1998,"Kaoping","Kaohsiung City","Yanchao District",29,"0"
1998,"Kaoping","Kaohsiung City","Yanchao District",30,"0"
1998,"Kaoping","Kaohsiung City","Yanchao District",31,"0"
1998,"Kaoping","Kaohsiung City","Yanchao District",32,"0"
1998,"Kaoping","Kaohsiung City","Yanchao District",33,"0"
1998,"Kaoping","Kaohsiung City","Yanchao District",34,"0"
1998,"Kaoping","Kaohsiung City","Yanchao District",35,"0"
1998,"Kaoping","Kaohsiung City","Yanchao District",36,"0"
1998,"Kaoping","Kaohsiung City","Yanchao District",37,"0"
1998,"Kaoping","Kaohsiung City","Yanchao District",38,"0"
1998,"Kaoping","Kaohsiung City","Yanchao District",39,"0"
1998,"Kaoping","Kaohsiung City","Yanchao District",40,"0"
1998,"Kaoping","Kaohsiung City","Yanchao District",41,"0"
1998,"Kaoping","Kaohsiung City","Yanchao District",42,"0"
1998,"Kaoping","Kaohsiung City","Yanchao District",43,"0"
1998,"Kaoping","Kaohsiung City","Yanchao District",44,"0"
1998,"Kaoping","Kaohsiung City","Yanchao District",45,"0"
