"year","area","city","town","week","cases"
1998,"Southern","Tainan City","Yanshui District",1,"0"
1998,"Southern","Tainan City","Yanshui District",2,"0"
1998,"Southern","Tainan City","Yanshui District",3,"0"
1998,"Southern","Tainan City","Yanshui District",4,"0"
1998,"Southern","Tainan City","Yanshui District",5,"0"
1998,"Southern","Tainan City","Yanshui District",6,"0"
1998,"Southern","Tainan City","Yanshui District",7,"0"
1998,"Southern","Tainan City","Yanshui District",8,"0"
1998,"Southern","Tainan City","Yanshui District",9,"0"
1998,"Southern","Tainan City","Yanshui District",10,"0"
1998,"Southern","Tainan City","Yanshui District",11,"0"
1998,"Southern","Tainan City","Yanshui District",12,"0"
1998,"Southern","Tainan City","Yanshui District",13,"0"
1998,"Southern","Tainan City","Yanshui District",14,"0"
1998,"Southern","Tainan City","Yanshui District",15,"0"
1998,"Southern","Tainan City","Yanshui District",16,"0"
1998,"Southern","Tainan City","Yanshui District",17,"0"
1998,"Southern","Tainan City","Yanshui District",18,"0"
1998,"Southern","Tainan City","Yanshui District",19,"0"
1998,"Southern","Tainan City","Yanshui District",20,"0"
1998,"Southern","Tainan City","Yanshui District",21,"0"
1998,"Southern","Tainan City","Yanshui District",22,"0"
1998,"Southern","Tainan City","Yanshui District",23,"0"
1998,"Southern","Tainan City","Yanshui District",24,"0"
1998,"Southern","Tainan City","Yanshui District",25,"0"
1998,"Southern","Tainan City","Yanshui District",26,"0"
1998,"Southern","Tainan City","Yanshui District",27,"0"
1998,"Southern","Tainan City","Yanshui District",28,"0"
1998,"Southern","Tainan City","Yanshui District",29,"0"
1998,"Southern","Tainan City","Yanshui District",30,"0"
1998,"Southern","Tainan City","Yanshui District",31,"0"
1998,"Southern","Tainan City","Yanshui District",32,"0"
1998,"Southern","Tainan City","Yanshui District",33,"0"
1998,"Southern","Tainan City","Yanshui District",34,"0"
1998,"Southern","Tainan City","Yanshui District",35,"0"
1998,"Southern","Tainan City","Yanshui District",36,"0"
1998,"Southern","Tainan City","Yanshui District",37,"0"
1998,"Southern","Tainan City","Yanshui District",38,"0"
1998,"Southern","Tainan City","Yanshui District",39,"0"
1998,"Southern","Tainan City","Yanshui District",40,"0"
1998,"Southern","Tainan City","Yanshui District",41,"0"
1998,"Southern","Tainan City","Yanshui District",42,"0"
1998,"Southern","Tainan City","Yanshui District",43,"0"
1998,"Southern","Tainan City","Yanshui District",44,"0"
1998,"Southern","Tainan City","Yanshui District",45,"0"
1998,"Southern","Tainan City","Yanshui District",46,"0"
1998,"Southern","Tainan City","Yanshui District",47,"0"
1998,"Southern","Tainan City","Yanshui District",48,"0"
1998,"Southern","Tainan City","Yanshui District",49,"0"
1998,"Southern","Tainan City","Yanshui District",50,"0"
1998,"Southern","Tainan City","Yanshui District",51,"0"
1998,"Southern","Tainan City","Yanshui District",52,"0"
1998,"Southern","Tainan City","Yanshui District",53,"0"
1999,"Southern","Tainan City","Yanshui District",1,"0"
1999,"Southern","Tainan City","Yanshui District",2,"0"
1999,"Southern","Tainan City","Yanshui District",3,"0"
1999,"Southern","Tainan City","Yanshui District",4,"0"
1999,"Southern","Tainan City","Yanshui District",5,"0"
1999,"Southern","Tainan City","Yanshui District",6,"0"
1999,"Southern","Tainan City","Yanshui District",7,"0"
1999,"Southern","Tainan City","Yanshui District",8,"0"
1999,"Southern","Tainan City","Yanshui District",9,"0"
1999,"Southern","Tainan City","Yanshui District",10,"0"
1999,"Southern","Tainan City","Yanshui District",11,"0"
1999,"Southern","Tainan City","Yanshui District",12,"0"
1999,"Southern","Tainan City","Yanshui District",13,"0"
1999,"Southern","Tainan City","Yanshui District",14,"0"
1999,"Southern","Tainan City","Yanshui District",15,"0"
1999,"Southern","Tainan City","Yanshui District",16,"0"
1999,"Southern","Tainan City","Yanshui District",17,"0"
1999,"Southern","Tainan City","Yanshui District",18,"0"
1999,"Southern","Tainan City","Yanshui District",19,"0"
1999,"Southern","Tainan City","Yanshui District",20,"0"
1999,"Southern","Tainan City","Yanshui District",21,"0"
1999,"Southern","Tainan City","Yanshui District",22,"0"
1999,"Southern","Tainan City","Yanshui District",23,"0"
1999,"Southern","Tainan City","Yanshui District",24,"0"
1999,"Southern","Tainan City","Yanshui District",25,"0"
1999,"Southern","Tainan City","Yanshui District",26,"0"
1999,"Southern","Tainan City","Yanshui District",27,"0"
1999,"Southern","Tainan City","Yanshui District",28,"0"
1999,"Southern","Tainan City","Yanshui District",29,"0"
1999,"Southern","Tainan City","Yanshui District",30,"0"
1999,"Southern","Tainan City","Yanshui District",31,"0"
1999,"Southern","Tainan City","Yanshui District",32,"0"
1999,"Southern","Tainan City","Yanshui District",33,"0"
1999,"Southern","Tainan City","Yanshui District",34,"0"
1999,"Southern","Tainan City","Yanshui District",35,"0"
1999,"Southern","Tainan City","Yanshui District",36,"0"
1999,"Southern","Tainan City","Yanshui District",37,"0"
1999,"Southern","Tainan City","Yanshui District",38,"0"
1999,"Southern","Tainan City","Yanshui District",39,"0"
1999,"Southern","Tainan City","Yanshui District",40,"0"
1999,"Southern","Tainan City","Yanshui District",41,"0"
1999,"Southern","Tainan City","Yanshui District",42,"0"
1999,"Southern","Tainan City","Yanshui District",43,"0"
1999,"Southern","Tainan City","Yanshui District",44,"0"
1999,"Southern","Tainan City","Yanshui District",45,"0"
1999,"Southern","Tainan City","Yanshui District",46,"0"
1999,"Southern","Tainan City","Yanshui District",47,"0"
1999,"Southern","Tainan City","Yanshui District",48,"0"
1999,"Southern","Tainan City","Yanshui District",49,"0"
1999,"Southern","Tainan City","Yanshui District",50,"0"
1999,"Southern","Tainan City","Yanshui District",51,"0"
1999,"Southern","Tainan City","Yanshui District",52,"0"
1999,"Southern","Tainan City","Yanshui District",53,"0"
2000,"Southern","Tainan City","Yanshui District",1,"0"
2000,"Southern","Tainan City","Yanshui District",2,"0"
2000,"Southern","Tainan City","Yanshui District",3,"0"
2000,"Southern","Tainan City","Yanshui District",4,"0"
2000,"Southern","Tainan City","Yanshui District",5,"0"
2000,"Southern","Tainan City","Yanshui District",6,"0"
2000,"Southern","Tainan City","Yanshui District",7,"0"
2000,"Southern","Tainan City","Yanshui District",8,"0"
2000,"Southern","Tainan City","Yanshui District",9,"0"
2000,"Southern","Tainan City","Yanshui District",10,"0"
2000,"Southern","Tainan City","Yanshui District",11,"0"
2000,"Southern","Tainan City","Yanshui District",12,"0"
2000,"Southern","Tainan City","Yanshui District",13,"0"
2000,"Southern","Tainan City","Yanshui District",14,"0"
2000,"Southern","Tainan City","Yanshui District",15,"0"
2000,"Southern","Tainan City","Yanshui District",16,"0"
2000,"Southern","Tainan City","Yanshui District",17,"0"
2000,"Southern","Tainan City","Yanshui District",18,"0"
2000,"Southern","Tainan City","Yanshui District",19,"0"
2000,"Southern","Tainan City","Yanshui District",20,"0"
2000,"Southern","Tainan City","Yanshui District",21,"0"
2000,"Southern","Tainan City","Yanshui District",22,"0"
2000,"Southern","Tainan City","Yanshui District",23,"0"
2000,"Southern","Tainan City","Yanshui District",24,"0"
2000,"Southern","Tainan City","Yanshui District",25,"0"
2000,"Southern","Tainan City","Yanshui District",26,"0"
2000,"Southern","Tainan City","Yanshui District",27,"0"
2000,"Southern","Tainan City","Yanshui District",28,"0"
2000,"Southern","Tainan City","Yanshui District",29,"0"
2000,"Southern","Tainan City","Yanshui District",30,"0"
2000,"Southern","Tainan City","Yanshui District",31,"0"
2000,"Southern","Tainan City","Yanshui District",32,"0"
2000,"Southern","Tainan City","Yanshui District",33,"0"
2000,"Southern","Tainan City","Yanshui District",34,"0"
2000,"Southern","Tainan City","Yanshui District",35,"0"
2000,"Southern","Tainan City","Yanshui District",36,"0"
2000,"Southern","Tainan City","Yanshui District",37,"0"
2000,"Southern","Tainan City","Yanshui District",38,"0"
2000,"Southern","Tainan City","Yanshui District",39,"0"
2000,"Southern","Tainan City","Yanshui District",40,"0"
2000,"Southern","Tainan City","Yanshui District",41,"0"
2000,"Southern","Tainan City","Yanshui District",42,"0"
2000,"Southern","Tainan City","Yanshui District",43,"0"
2000,"Southern","Tainan City","Yanshui District",44,"0"
2000,"Southern","Tainan City","Yanshui District",45,"0"
2000,"Southern","Tainan City","Yanshui District",46,"0"
2000,"Southern","Tainan City","Yanshui District",47,"0"
2000,"Southern","Tainan City","Yanshui District",48,"0"
2000,"Southern","Tainan City","Yanshui District",49,"0"
2000,"Southern","Tainan City","Yanshui District",50,"0"
2000,"Southern","Tainan City","Yanshui District",51,"0"
2000,"Southern","Tainan City","Yanshui District",52,"0"
2000,"Southern","Tainan City","Yanshui District",53,"0"
2001,"Southern","Tainan City","Yanshui District",1,"0"
2001,"Southern","Tainan City","Yanshui District",2,"0"
2001,"Southern","Tainan City","Yanshui District",3,"0"
2001,"Southern","Tainan City","Yanshui District",4,"0"
2001,"Southern","Tainan City","Yanshui District",5,"0"
2001,"Southern","Tainan City","Yanshui District",6,"0"
2001,"Southern","Tainan City","Yanshui District",7,"0"
2001,"Southern","Tainan City","Yanshui District",8,"0"
2001,"Southern","Tainan City","Yanshui District",9,"0"
2001,"Southern","Tainan City","Yanshui District",10,"0"
2001,"Southern","Tainan City","Yanshui District",11,"0"
2001,"Southern","Tainan City","Yanshui District",12,"0"
2001,"Southern","Tainan City","Yanshui District",13,"0"
2001,"Southern","Tainan City","Yanshui District",14,"0"
2001,"Southern","Tainan City","Yanshui District",15,"0"
2001,"Southern","Tainan City","Yanshui District",16,"0"
2001,"Southern","Tainan City","Yanshui District",17,"0"
2001,"Southern","Tainan City","Yanshui District",18,"0"
2001,"Southern","Tainan City","Yanshui District",19,"0"
2001,"Southern","Tainan City","Yanshui District",20,"0"
2001,"Southern","Tainan City","Yanshui District",21,"0"
