"Year","Region","City","District","Week","Cases"
1998,"Central","Nantou County","Yuchi Township",1,"0"
1998,"Central","Nantou County","Yuchi Township",2,"0"
1998,"Central","Nantou County","Yuchi Township",3,"0"
1998,"Central","Nantou County","Yuchi Township",4,"0"
1998,"Central","Nantou County","Yuchi Township",5,"0"
1998,"Central","Nantou County","Yuchi Township",6,"0"
1998,"Central","Nantou County","Yuchi Township",7,"0"
1998,"Central","Nantou County","Yuchi Township",8,"0"
1998,"Central","Nantou County","Yuchi Township",9,"0"
1998,"Central","Nantou County","Yuchi Township",10,"0"
1998,"Central","Nantou County","Yuchi Township",11,"0"
1998,"Central","Nantou County","Yuchi Township",12,"0"
1998,"Central","Nantou County","Yuchi Township",13,"0"
1998,"Central","Nantou County","Yuchi Township",14,"0"
1998,"Central","Nantou County","Yuchi Township",15,"0"
1998,"Central","Nantou County","Yuchi Township",16,"0"
1998,"Central","Nantou County","Yuchi Township",17,"0"
1998,"Central","Nantou County","Yuchi Township",18,"0"
1998,"Central","Nantou County","Yuchi Township",19,"0"
1998,"Central","Nantou County","Yuchi Township",20,"0"
1998,"Central","Nantou County","Yuchi Township",21,"0"
1998,"Central","Nantou County","Yuchi Township",22,"0"
1998,"Central","Nantou County","Yuchi Township",23,"0"
1998,"Central","Nantou County","Yuchi Township",24,"0"
1998,"Central","Nantou County","Yuchi Township",25,"0"
1998,"Central","Nantou County","Yuchi Township",26,"0"
1998,"Central","Nantou County","Yuchi Township",27,"0"
1998,"Central","Nantou County","Yuchi Township",28,"0"
1998,"Central","Nantou County","Yuchi Township",29,"0"
1998,"Central","Nantou County","Yuchi Township",30,"0"
1998,"Central","Nantou County","Yuchi Township",31,"0"
1998,"Central","Nantou County","Yuchi Township",32,"0"
1998,"Central","Nantou County","Yuchi Township",33,"0"
1998,"Central","Nantou County","Yuchi Township",34,"0"
1998,"Central","Nantou County","Yuchi Township",35,"0"
1998,"Central","Nantou County","Yuchi Township",36,"0"
1998,"Central","Nantou County","Yuchi Township",37,"0"
1998,"Central","Nantou County","Yuchi Township",38,"0"
1998,"Central","Nantou County","Yuchi Township",39,"0"
1998,"Central","Nantou County","Yuchi Township",40,"0"
1998,"Central","Nantou County","Yuchi Township",41,"0"
1998,"Central","Nantou County","Yuchi Township",42,"0"
1998,"Central","Nantou County","Yuchi Township",43,"0"
1998,"Central","Nantou County","Yuchi Township",44,"0"
1998,"Central","Nantou County","Yuchi Township",45,"0"
1998,"Central","Nantou County","Yuchi Township",46,"0"
1998,"Central","Nantou County","Yuchi Township",47,"0"
1998,"Central","Nantou County","Yuchi Township",48,"0"
1998,"Central","Nantou County","Yuchi Township",49,"0"
1998,"Central","Nantou County","Yuchi Township",50,"0"
1998,"Central","Nantou County","Yuchi Township",51,"0"
1998,"Central","Nantou County","Yuchi Township",52,"0"
1998,"Central","Nantou County","Yuchi Township",53,"0"
1999,"Central","Nantou County","Yuchi Township",1,"0"
1999,"Central","Nantou County","Yuchi Township",2,"0"
1999,"Central","Nantou County","Yuchi Township",3,"0"
1999,"Central","Nantou County","Yuchi Township",4,"0"
1999,"Central","Nantou County","Yuchi Township",5,"0"
1999,"Central","Nantou County","Yuchi Township",6,"0"
1999,"Central","Nantou County","Yuchi Township",7,"0"
1999,"Central","Nantou County","Yuchi Township",8,"0"
1999,"Central","Nantou County","Yuchi Township",9,"0"
1999,"Central","Nantou County","Yuchi Township",10,"0"
1999,"Central","Nantou County","Yuchi Township",11,"0"
1999,"Central","Nantou County","Yuchi Township",12,"0"
1999,"Central","Nantou County","Yuchi Township",13,"0"
1999,"Central","Nantou County","Yuchi Township",14,"0"
1999,"Central","Nantou County","Yuchi Township",15,"0"
1999,"Central","Nantou County","Yuchi Township",16,"0"
1999,"Central","Nantou County","Yuchi Township",17,"0"
1999,"Central","Nantou County","Yuchi Township",18,"0"
1999,"Central","Nantou County","Yuchi Township",19,"0"
1999,"Central","Nantou County","Yuchi Township",20,"0"
1999,"Central","Nantou County","Yuchi Township",21,"0"
1999,"Central","Nantou County","Yuchi Township",22,"0"
1999,"Central","Nantou County","Yuchi Township",23,"0"
1999,"Central","Nantou County","Yuchi Township",24,"0"
1999,"Central","Nantou County","Yuchi Township",25,"0"
1999,"Central","Nantou County","Yuchi Township",26,"0"
1999,"Central","Nantou County","Yuchi Township",27,"0"
1999,"Central","Nantou County","Yuchi Township",28,"0"
1999,"Central","Nantou County","Yuchi Township",29,"0"
1999,"Central","Nantou County","Yuchi Township",30,"0"
1999,"Central","Nantou County","Yuchi Township",31,"0"
1999,"Central","Nantou County","Yuchi Township",32,"0"
1999,"Central","Nantou County","Yuchi Township",33,"0"
1999,"Central","Nantou County","Yuchi Township",34,"0"
1999,"Central","Nantou County","Yuchi Township",35,"0"
1999,"Central","Nantou County","Yuchi Township",36,"0"
1999,"Central","Nantou County","Yuchi Township",37,"0"
1999,"Central","Nantou County","Yuchi Township",38,"0"
1999,"Central","Nantou County","Yuchi Township",39,"0"
1999,"Central","Nantou County","Yuchi Township",40,"0"
1999,"Central","Nantou County","Yuchi Township",41,"0"
1999,"Central","Nantou County","Yuchi Township",42,"0"
1999,"Central","Nantou County","Yuchi Township",43,"0"
1999,"Central","Nantou County","Yuchi Township",44,"0"
1999,"Central","Nantou County","Yuchi Township",45,"0"
1999,"Central","Nantou County","Yuchi Township",46,"0"
1999,"Central","Nantou County","Yuchi Township",47,"0"
1999,"Central","Nantou County","Yuchi Township",48,"0"
1999,"Central","Nantou County","Yuchi Township",49,"0"
1999,"Central","Nantou County","Yuchi Township",50,"0"
1999,"Central","Nantou County","Yuchi Township",51,"0"
1999,"Central","Nantou County","Yuchi Township",52,"0"
