"year","area","city","town","week","cases"
1998,"Northern","Miaoli County","Zaoqiao Township",1,"0"
1998,"Northern","Miaoli County","Zaoqiao Township",2,"0"
1998,"Northern","Miaoli County","Zaoqiao Township",3,"0"
1998,"Northern","Miaoli County","Zaoqiao Township",4,"0"
1998,"Northern","Miaoli County","Zaoqiao Township",5,"0"
1998,"Northern","Miaoli County","Zaoqiao Township",6,"0"
1998,"Northern","Miaoli County","Zaoqiao Township",7,"0"
1998,"Northern","Miaoli County","Zaoqiao Township",8,"0"
1998,"Northern","Miaoli County","Zaoqiao Township",9,"0"
1998,"Northern","Miaoli County","Zaoqiao Township",10,"0"
1998,"Northern","Miaoli County","Zaoqiao Township",11,"0"
1998,"Northern","Miaoli County","Zaoqiao Township",12,"0"
1998,"Northern","Miaoli County","Zaoqiao Township",13,"0"
1998,"Northern","Miaoli County","Zaoqiao Township",14,"0"
1998,"Northern","Miaoli County","Zaoqiao Township",15,"0"
1998,"Northern","Miaoli County","Zaoqiao Township",16,"0"
1998,"Northern","Miaoli County","Zaoqiao Township",17,"0"
1998,"Northern","Miaoli County","Zaoqiao Township",18,"0"
1998,"Northern","Miaoli County","Zaoqiao Township",19,"0"
1998,"Northern","Miaoli County","Zaoqiao Township",20,"0"
1998,"Northern","Miaoli County","Zaoqiao Township",21,"0"
1998,"Northern","Miaoli County","Zaoqiao Township",22,"0"
1998,"Northern","Miaoli County","Zaoqiao Township",23,"0"
1998,"Northern","Miaoli County","Zaoqiao Township",24,"0"
1998,"Northern","Miaoli County","Zaoqiao Township",25,"0"
1998,"Northern","Miaoli County","Zaoqiao Township",26,"0"
1998,"Northern","Miaoli County","Zaoqiao Township",27,"0"
1998,"Northern","Miaoli County","Zaoqiao Township",28,"0"
1998,"Northern","Miaoli County","Zaoqiao Township",29,"0"
1998,"Northern","Miaoli County","Zaoqiao Township",30,"0"
1998,"Northern","Miaoli County","Zaoqiao Township",31,"0"
1998,"Northern","Miaoli County","Zaoqiao Township",32,"0"
1998,"Northern","Miaoli County","Zaoqiao Township",33,"0"
1998,"Northern","Miaoli County","Zaoqiao Township",34,"0"
1998,"Northern","Miaoli County","Zaoqiao Township",35,"0"
1998,"Northern","Miaoli County","Zaoqiao Township",36,"0"
1998,"Northern","Miaoli County","Zaoqiao Township",37,"0"
1998,"Northern","Miaoli County","Zaoqiao Township",38,"0"
1998,"Northern","Miaoli County","Zaoqiao Township",39,"0"
1998,"Northern","Miaoli County","Zaoqiao Township",40,"0"
1998,"Northern","Miaoli County","Zaoqiao Township",41,"0"
1998,"Northern","Miaoli County","Zaoqiao Township",42,"0"
1998,"Northern","Miaoli County","Zaoqiao Township",43,"0"
1998,"Northern","Miaoli County","Zaoqiao Township",44,"0"
1998,"Northern","Miaoli County","Zaoqiao Township",45,"0"
1998,"Northern","Miaoli County","Zaoqiao Township",46,"0"
1998,"Northern","Miaoli County","Zaoqiao Township",47,"0"
1998,"Northern","Miaoli County","Zaoqiao Township",48,"0"
1998,"Northern","Miaoli County","Zaoqiao Township",49,"0"
1998,"Northern","Miaoli County","Zaoqiao Township",50,"0"
1998,"Northern","Miaoli County","Zaoqiao Township",51,"0"
1998,"Northern","Miaoli County","Zaoqiao Township",52,"0"
1998,"Northern","Miaoli County","Zaoqiao Township",53,"0"
1999,"Northern","Miaoli County","Zaoqiao Township",1,"0"
1999,"Northern","Miaoli County","Zaoqiao Township",2,"0"
1999,"Northern","Miaoli County","Zaoqiao Township",3,"0"
1999,"Northern","Miaoli County","Zaoqiao Township",4,"0"
1999,"Northern","Miaoli County","Zaoqiao Township",5,"0"
1999,"Northern","Miaoli County","Zaoqiao Township",6,"0"
1999,"Northern","Miaoli County","Zaoqiao Township",7,"0"
1999,"Northern","Miaoli County","Zaoqiao Township",8,"0"
1999,"Northern","Miaoli County","Zaoqiao Township",9,"0"
1999,"Northern","Miaoli County","Zaoqiao Township",10,"0"
1999,"Northern","Miaoli County","Zaoqiao Township",11,"0"
1999,"Northern","Miaoli County","Zaoqiao Township",12,"0"
1999,"Northern","Miaoli County","Zaoqiao Township",13,"0"
1999,"Northern","Miaoli County","Zaoqiao Township",14,"0"
1999,"Northern","Miaoli County","Zaoqiao Township",15,"0"
1999,"Northern","Miaoli County","Zaoqiao Township",16,"0"
1999,"Northern","Miaoli County","Zaoqiao Township",17,"0"
1999,"Northern","Miaoli County","Zaoqiao Township",18,"0"
1999,"Northern","Miaoli County","Zaoqiao Township",19,"0"
1999,"Northern","Miaoli County","Zaoqiao Township",20,"0"
1999,"Northern","Miaoli County","Zaoqiao Township",21,"0"
1999,"Northern","Miaoli County","Zaoqiao Township",22,"0"
1999,"Northern","Miaoli County","Zaoqiao Township",23,"0"
1999,"Northern","Miaoli County","Zaoqiao Township",24,"0"
1999,"Northern","Miaoli County","Zaoqiao Township",25,"0"
1999,"Northern","Miaoli County","Zaoqiao Township",26,"0"
1999,"Northern","Miaoli County","Zaoqiao Township",27,"0"
1999,"Northern","Miaoli County","Zaoqiao Township",28,"0"
1999,"Northern","Miaoli County","Zaoqiao Township",29,"0"
1999,"Northern","Miaoli County","Zaoqiao Township",30,"0"
1999,"Northern","Miaoli County","Zaoqiao Township",31,"0"
1999,"Northern","Miaoli County","Zaoqiao Township",32,"0"
1999,"Northern","Miaoli County","Zaoqiao Township",33,"0"
1999,"Northern","Miaoli County","Zaoqiao Township",34,"0"
1999,"Northern","Miaoli County","Zaoqiao Township",35,"0"
1999,"Northern","Miaoli County","Zaoqiao Township",36,"0"
1999,"Northern","Miaoli County","Zaoqiao Township",37,"0"
1999,"Northern","Miaoli County","Zaoqiao Township",38,"0"
1999,"Northern","Miaoli County","Zaoqiao Township",39,"0"
1999,"Northern","Miaoli County","Zaoqiao Township",40,"0"
1999,"Northern","Miaoli County","Zaoqiao Township",41,"0"
1999,"Northern","Miaoli County","Zaoqiao Township",42,"0"
1999,"Northern","Miaoli County","Zaoqiao Township",43,"0"
1999,"Northern","Miaoli County","Zaoqiao Township",44,"0"
1999,"Northern","Miaoli County","Zaoqiao Township",45,"0"
1999,"Northern","Miaoli County","Zaoqiao Township",46,"0"
1999,"Northern","Miaoli County","Zaoqiao Township",47,"0"
1999,"Northern","Miaoli County","Zaoqiao Township",48,"0"
1999,"Northern","Miaoli County","Zaoqiao Township",49,"0"
1999,"Northern","Miaoli County","Zaoqiao Township",50,"0"
