"year","area","city","town","week","cases"
1998,"Taipei","New Taipei City","Zhonghe District",1,"0"
1998,"Taipei","New Taipei City","Zhonghe District",2,"0"
1998,"Taipei","New Taipei City","Zhonghe District",3,"0"
1998,"Taipei","New Taipei City","Zhonghe District",4,"0"
1998,"Taipei","New Taipei City","Zhonghe District",5,"0"
1998,"Taipei","New Taipei City","Zhonghe District",6,"0"
1998,"Taipei","New Taipei City","Zhonghe District",7,"0"
1998,"Taipei","New Taipei City","Zhonghe District",8,"0"
1998,"Taipei","New Taipei City","Zhonghe District",9,"0"
1998,"Taipei","New Taipei City","Zhonghe District",10,"0"
1998,"Taipei","New Taipei City","Zhonghe District",11,"0"
1998,"Taipei","New Taipei City","Zhonghe District",12,"0"
1998,"Taipei","New Taipei City","Zhonghe District",13,"0"
1998,"Taipei","New Taipei City","Zhonghe District",14,"0"
1998,"Taipei","New Taipei City","Zhonghe District",15,"0"
1998,"Taipei","New Taipei City","Zhonghe District",16,"0"
1998,"Taipei","New Taipei City","Zhonghe District",17,"0"
1998,"Taipei","New Taipei City","Zhonghe District",18,"0"
1998,"Taipei","New Taipei City","Zhonghe District",19,"0"
1998,"Taipei","New Taipei City","Zhonghe District",20,"0"
1998,"Taipei","New Taipei City","Zhonghe District",21,"0"
1998,"Taipei","New Taipei City","Zhonghe District",22,"0"
1998,"Taipei","New Taipei City","Zhonghe District",23,"0"
1998,"Taipei","New Taipei City","Zhonghe District",24,"0"
1998,"Taipei","New Taipei City","Zhonghe District",25,"0"
1998,"Taipei","New Taipei City","Zhonghe District",26,"0"
1998,"Taipei","New Taipei City","Zhonghe District",27,"0"
1998,"Taipei","New Taipei City","Zhonghe District",28,"0"
1998,"Taipei","New Taipei City","Zhonghe District",29,"0"
1998,"Taipei","New Taipei City","Zhonghe District",30,"0"
1998,"Taipei","New Taipei City","Zhonghe District",31,"0"
1998,"Taipei","New Taipei City","Zhonghe District",32,"0"
1998,"Taipei","New Taipei City","Zhonghe District",33,"0"
1998,"Taipei","New Taipei City","Zhonghe District",34,"0"
1998,"Taipei","New Taipei City","Zhonghe District",35,"0"
1998,"Taipei","New Taipei City","Zhonghe District",36,"0"
1998,"Taipei","New Taipei City","Zhonghe District",37,"0"
1998,"Taipei","New Taipei City","Zhonghe District",38,"0"
1998,"Taipei","New Taipei City","Zhonghe District",39,"0"
1998,"Taipei","New Taipei City","Zhonghe District",40,"1"
1998,"Taipei","New Taipei City","Zhonghe District",41,"0"
1998,"Taipei","New Taipei City","Zhonghe District",42,"1"
1998,"Taipei","New Taipei City","Zhonghe District",43,"0"
1998,"Taipei","New Taipei City","Zhonghe District",44,"0"
1998,"Taipei","New Taipei City","Zhonghe District",45,"0"
1998,"Taipei","New Taipei City","Zhonghe District",46,"0"
1998,"Taipei","New Taipei City","Zhonghe District",47,"0"
1998,"Taipei","New Taipei City","Zhonghe District",48,"0"
1998,"Taipei","New Taipei City","Zhonghe District",49,"0"
1998,"Taipei","New Taipei City","Zhonghe District",50,"0"
1998,"Taipei","New Taipei City","Zhonghe District",51,"0"
1998,"Taipei","New Taipei City","Zhonghe District",52,"0"
1998,"Taipei","New Taipei City","Zhonghe District",53,"0"
1999,"Taipei","New Taipei City","Zhonghe District",1,"0"
1999,"Taipei","New Taipei City","Zhonghe District",2,"0"
1999,"Taipei","New Taipei City","Zhonghe District",3,"0"
1999,"Taipei","New Taipei City","Zhonghe District",4,"0"
1999,"Taipei","New Taipei City","Zhonghe District",5,"0"
1999,"Taipei","New Taipei City","Zhonghe District",6,"0"
1999,"Taipei","New Taipei City","Zhonghe District",7,"0"
1999,"Taipei","New Taipei City","Zhonghe District",8,"0"
1999,"Taipei","New Taipei City","Zhonghe District",9,"0"
1999,"Taipei","New Taipei City","Zhonghe District",10,"0"
1999,"Taipei","New Taipei City","Zhonghe District",11,"0"
1999,"Taipei","New Taipei City","Zhonghe District",12,"0"
1999,"Taipei","New Taipei City","Zhonghe District",13,"0"
1999,"Taipei","New Taipei City","Zhonghe District",14,"0"
1999,"Taipei","New Taipei City","Zhonghe District",15,"0"
1999,"Taipei","New Taipei City","Zhonghe District",16,"0"
1999,"Taipei","New Taipei City","Zhonghe District",17,"0"
1999,"Taipei","New Taipei City","Zhonghe District",18,"0"
1999,"Taipei","New Taipei City","Zhonghe District",19,"0"
1999,"Taipei","New Taipei City","Zhonghe District",20,"0"
1999,"Taipei","New Taipei City","Zhonghe District",21,"0"
1999,"Taipei","New Taipei City","Zhonghe District",22,"0"
1999,"Taipei","New Taipei City","Zhonghe District",23,"0"
1999,"Taipei","New Taipei City","Zhonghe District",24,"0"
1999,"Taipei","New Taipei City","Zhonghe District",25,"0"
1999,"Taipei","New Taipei City","Zhonghe District",26,"0"
1999,"Taipei","New Taipei City","Zhonghe District",27,"1"
1999,"Taipei","New Taipei City","Zhonghe District",28,"0"
1999,"Taipei","New Taipei City","Zhonghe District",29,"0"
1999,"Taipei","New Taipei City","Zhonghe District",30,"0"
1999,"Taipei","New Taipei City","Zhonghe District",31,"0"
1999,"Taipei","New Taipei City","Zhonghe District",32,"0"
1999,"Taipei","New Taipei City","Zhonghe District",33,"0"
1999,"Taipei","New Taipei City","Zhonghe District",34,"0"
1999,"Taipei","New Taipei City","Zhonghe District",35,"0"
1999,"Taipei","New Taipei City","Zhonghe District",36,"0"
1999,"Taipei","New Taipei City","Zhonghe District",37,"0"
1999,"Taipei","New Taipei City","Zhonghe District",38,"0"
1999,"Taipei","New Taipei City","Zhonghe District",39,"0"
1999,"Taipei","New Taipei City","Zhonghe District",40,"0"
1999,"Taipei","New Taipei City","Zhonghe District",41,"0"
1999,"Taipei","New Taipei City","Zhonghe District",42,"0"
1999,"Taipei","New Taipei City","Zhonghe District",43,"0"
1999,"Taipei","New Taipei City","Zhonghe District",44,"0"
1999,"Taipei","New Taipei City","Zhonghe District",45,"0"
1999,"Taipei","New Taipei City","Zhonghe District",46,"0"
1999,"Taipei","New Taipei City","Zhonghe District",47,"0"
1999,"Taipei","New Taipei City","Zhonghe District",48,"0"
1999,"Taipei","New Taipei City","Zhonghe District",49,"0"
1999,"Taipei","New Taipei City","Zhonghe District",50,"0"
1999,"Taipei","New Taipei City","Zhonghe District",51,"0"
1999,"Taipei","New Taipei City","Zhonghe District",52,"0"
1999,"Taipei","New Taipei City","Zhonghe District",53,"0"
2000,"Taipei","New Taipei City","Zhonghe District",1,"0"
2000,"Taipei","New Taipei City","Zhonghe District",2,"0"
2000,"Taipei","New Taipei City","Zhonghe District",3,"0"
2000,"Taipei","New Taipei City","Zhonghe District",4,"0"
2000,"Taipei","New Taipei City","Zhonghe District",5,"0"
2000,"Taipei","New Taipei City","Zhonghe District",6,"0"
2000,"Taipei","New Taipei City","Zhonghe District",7,"0"
2000,"Taipei","New Taipei City","Zhonghe District",8,"0"
2000,"Taipei","New Taipei City","Zhonghe District",9,"0"
2000,"Taipei","New Taipei City","Zhonghe District",10,"0"
2000,"Taipei","New Taipei City","Zhonghe District",11,"0"
2000,"Taipei","New Taipei City","Zhonghe District",12,"0"
2000,"Taipei","New Taipei City","Zhonghe District",13,"0"
2000,"Taipei","New Taipei City","Zhonghe District",14,"0"
2000,"Taipei","New Taipei City","Zhonghe District",15,"0"
2000,"Taipei","New Taipei City","Zhonghe District",16,"0"
2000,"Taipei","New Taipei City","Zhonghe District",17,"0"
2000,"Taipei","New Taipei City","Zhonghe District",18,"0"
2000,"Taipei","New Taipei City","Zhonghe District",19,"0"
2000,"Taipei","New Taipei City","Zhonghe District",20,"0"
2000,"Taipei","New Taipei City","Zhonghe District",21,"0"
2000,"Taipei","New Taipei City","Zhonghe District",22,"0"
2000,"Taipei","New Taipei City","Zhonghe District",23,"0"
2000,"Taipei","New Taipei City","Zhonghe District",24,"0"
2000,"Taipei","New Taipei City","Zhonghe District",25,"0"
2000,"Taipei","New Taipei City","Zhonghe District",26,"0"
2000,"Taipei","New Taipei City","Zhonghe District",27,"0"
2000,"Taipei","New Taipei City","Zhonghe District",28,"0"
2000,"Taipei","New Taipei City","Zhonghe District",29,"0"
2000,"Taipei","New Taipei City","Zhonghe District",30,"0"
2000,"Taipei","New Taipei City","Zhonghe District",31,"0"
2000,"Taipei","New Taipei City","Zhonghe District",32,"0"
2000,"Taipei","New Taipei City","Zhonghe District",33,"0"
2000,"Taipei","New Taipei City","Zhonghe District",34,"0"
2000,"Taipei","New Taipei City","Zhonghe District",35,"0"
2000,"Taipei","New Taipei City","Zhonghe District",36,"0"
2000,"Taipei","New Taipei City","Zhonghe District",37,"0"
2000,"Taipei","New Taipei City","Zhonghe District",38,"0"
2000,"Taipei","New Taipei City","Zhonghe District",39,"0"
2000,"Taipei","New Taipei City","Zhonghe District",40,"0"
2000,"Taipei","New Taipei City","Zhonghe District",41,"0"
2000,"Taipei","New Taipei City","Zhonghe District",42,"0"
2000,"Taipei","New Taipei City","Zhonghe District",43,"0"
2000,"Taipei","New Taipei City","Zhonghe District",44,"1"
2000,"Taipei","New Taipei City","Zhonghe District",45,"0"
2000,"Taipei","New Taipei City","Zhonghe District",46,"0"
2000,"Taipei","New Taipei City","Zhonghe District",47,"0"
2000,"Taipei","New Taipei City","Zhonghe District",48,"0"
2000,"Taipei","New Taipei City","Zhonghe District",49,"0"
2000,"Taipei","New Taipei City","Zhonghe District",50,"0"
2000,"Taipei","New Taipei City","Zhonghe District",51,"0"
2000,"Taipei","New Taipei City","Zhonghe District",52,"0"
2000,"Taipei","New Taipei City","Zhonghe District",53,"0"
2001,"Taipei","New Taipei City","Zhonghe District",1,"0"
2001,"Taipei","New Taipei City","Zhonghe District",2,"0"
2001,"Taipei","New Taipei City","Zhonghe District",3,"0"
2001,"Taipei","New Taipei City","Zhonghe District",4,"0"
2001,"Taipei","New Taipei City","Zhonghe District",5,"0"
2001,"Taipei","New Taipei City","Zhonghe District",6,"0"
2001,"Taipei","New Taipei City","Zhonghe District",7,"0"
2001,"Taipei","New Taipei City","Zhonghe District",8,"0"
2001,"Taipei","New Taipei City","Zhonghe District",9,"0"
2001,"Taipei","New Taipei City","Zhonghe District",10,"0"
2001,"Taipei","New Taipei City","Zhonghe District",11,"0"
2001,"Taipei","New Taipei City","Zhonghe District",12,"0"
2001,"Taipei","New Taipei City","Zhonghe District",13,"0"
2001,"Taipei","New Taipei City","Zhonghe District",14,"0"
2001,"Taipei","New Taipei City","Zhonghe District",15,"0"
2001,"Taipei","New Taipei City","Zhonghe District",16,"0"
2001,"Taipei","New Taipei City","Zhonghe District",17,"0"
2001,"Taipei","New Taipei City","Zhonghe District",18,"0"
2001,"Taipei","New Taipei City","Zhonghe District",19,"0"
2001,"Taipei","New Taipei City","Zhonghe District",20,"0"
2001,"Taipei","New Taipei City","Zhonghe District",21,"0"
2001,"Taipei","New Taipei City","Zhonghe District",22,"0"
2001,"Taipei","New Taipei City","Zhonghe District",23,"0"
2001,"Taipei","New Taipei City","Zhonghe District",24,"0"
2001,"Taipei","New Taipei City","Zhonghe District",25,"0"
2001,"Taipei","New Taipei City","Zhonghe District",26,"0"
2001,"Taipei","New Taipei City","Zhonghe District",27,"0"
2001,"Taipei","New Taipei City","Zhonghe District",28,"0"
2001,"Taipei","New Taipei City","Zhonghe District",29,"0"
2001,"Taipei","New Taipei City","Zhonghe District",30,"0"
2001,"Taipei","New Taipei City","Zhonghe District",31,"1"
2001,"Taipei","New Taipei City","Zhonghe District",32,"0"
2001,"Taipei","New Taipei City","Zhonghe District",33,"0"
2001,"Taipei","New Taipei City","Zhonghe District",34,"0"
2001,"Taipei","New Taipei City","Zhonghe District",35,"0"
2001,"Taipei","New Taipei City","Zhonghe District",36,"0"
2001,"Taipei","New Taipei City","Zhonghe District",37,"0"
2001,"Taipei","New Taipei City","Zhonghe District",38,"0"
2001,"Taipei","New Taipei City","Zhonghe District",39,"0"
2001,"Taipei","New Taipei City","Zhonghe District",40,"0"
2001,"Taipei","New Taipei City","Zhonghe District",41,"0"
2001,"Taipei","New Taipei City","Zhonghe District",42,"0"
2001,"Taipei","New Taipei City","Zhonghe District",43,"0"
2001,"Taipei","New Taipei City","Zhonghe District",44,"0"
2001,"Taipei","New Taipei City","Zhonghe District",45,"0"
2001,"Taipei","New Taipei City","Zhonghe District",46,"0"
2001,"Taipei","New Taipei City","Zhonghe District",47,"0"
2001,"Taipei","New Taipei City","Zhonghe District",48,"0"
2001,"Taipei","New Taipei City","Zhonghe District",49,"0"
2001,"Taipei","New Taipei City","Zhonghe District",50,"0"
2001,"Taipei","New Taipei City","Zhonghe District",51,"0"
2001,"Taipei","New Taipei City","Zhonghe District",52,"0"
2001,"Taipei","New Taipei City","Zhonghe District",53,"0"
2002,"Taipei","New Taipei City","Zhonghe District",1,"0"
2002,"Taipei","New Taipei City","Zhonghe District",2,"0"
2002,"Taipei","New Taipei City","Zhonghe District",3,"0"
2002,"Taipei","New Taipei City","Zhonghe District",4,"0"
2002,"Taipei","New Taipei City","Zhonghe District",5,"0"
2002,"Taipei","New Taipei City","Zhonghe District",6,"0"
2002,"Taipei","New Taipei City","Zhonghe District",7,"0"
2002,"Taipei","New Taipei City","Zhonghe District",8,"0"
2002,"Taipei","New Taipei City","Zhonghe District",9,"0"
2002,"Taipei","New Taipei City","Zhonghe District",10,"0"
2002,"Taipei","New Taipei City","Zhonghe District",11,"0"
2002,"Taipei","New Taipei City","Zhonghe District",12,"0"
2002,"Taipei","New Taipei City","Zhonghe District",13,"0"
2002,"Taipei","New Taipei City","Zhonghe District",14,"0"
2002,"Taipei","New Taipei City","Zhonghe District",15,"0"
