"Year","Region","City","District","Week","Cases"
1998,"Northern","Taoyuan City","Zhongli District",1,"0"
1998,"Northern","Taoyuan City","Zhongli District",2,"0"
1998,"Northern","Taoyuan City","Zhongli District",3,"0"
1998,"Northern","Taoyuan City","Zhongli District",4,"0"
1998,"Northern","Taoyuan City","Zhongli District",5,"0"
1998,"Northern","Taoyuan City","Zhongli District",6,"0"
1998,"Northern","Taoyuan City","Zhongli District",7,"0"
1998,"Northern","Taoyuan City","Zhongli District",8,"0"
1998,"Northern","Taoyuan City","Zhongli District",9,"0"
1998,"Northern","Taoyuan City","Zhongli District",10,"0"
1998,"Northern","Taoyuan City","Zhongli District",11,"0"
1998,"Northern","Taoyuan City","Zhongli District",12,"0"
1998,"Northern","Taoyuan City","Zhongli District",13,"0"
1998,"Northern","Taoyuan City","Zhongli District",14,"0"
1998,"Northern","Taoyuan City","Zhongli District",15,"0"
1998,"Northern","Taoyuan City","Zhongli District",16,"0"
1998,"Northern","Taoyuan City","Zhongli District",17,"0"
1998,"Northern","Taoyuan City","Zhongli District",18,"0"
1998,"Northern","Taoyuan City","Zhongli District",19,"0"
1998,"Northern","Taoyuan City","Zhongli District",20,"0"
1998,"Northern","Taoyuan City","Zhongli District",21,"0"
1998,"Northern","Taoyuan City","Zhongli District",22,"0"
1998,"Northern","Taoyuan City","Zhongli District",23,"0"
1998,"Northern","Taoyuan City","Zhongli District",24,"0"
1998,"Northern","Taoyuan City","Zhongli District",25,"0"
1998,"Northern","Taoyuan City","Zhongli District",26,"0"
1998,"Northern","Taoyuan City","Zhongli District",27,"0"
1998,"Northern","Taoyuan City","Zhongli District",28,"0"
1998,"Northern","Taoyuan City","Zhongli District",29,"0"
1998,"Northern","Taoyuan City","Zhongli District",30,"1"
1998,"Northern","Taoyuan City","Zhongli District",31,"1"
1998,"Northern","Taoyuan City","Zhongli District",32,"0"
1998,"Northern","Taoyuan City","Zhongli District",33,"0"
1998,"Northern","Taoyuan City","Zhongli District",34,"0"
1998,"Northern","Taoyuan City","Zhongli District",35,"0"
1998,"Northern","Taoyuan City","Zhongli District",36,"0"
1998,"Northern","Taoyuan City","Zhongli District",37,"0"
