"Year","Region","City","District","Week","Cases"
1998,"Taipei","Keelung City","Zhongshan District",1,"0"
1998,"Taipei","Keelung City","Zhongshan District",2,"0"
1998,"Taipei","Keelung City","Zhongshan District",3,"0"
1998,"Taipei","Keelung City","Zhongshan District",4,"0"
1998,"Taipei","Keelung City","Zhongshan District",5,"0"
1998,"Taipei","Keelung City","Zhongshan District",6,"0"
1998,"Taipei","Keelung City","Zhongshan District",7,"0"
1998,"Taipei","Keelung City","Zhongshan District",8,"0"
1998,"Taipei","Keelung City","Zhongshan District",9,"0"
1998,"Taipei","Keelung City","Zhongshan District",10,"0"
1998,"Taipei","Keelung City","Zhongshan District",11,"0"
1998,"Taipei","Keelung City","Zhongshan District",12,"0"
1998,"Taipei","Keelung City","Zhongshan District",13,"0"
1998,"Taipei","Keelung City","Zhongshan District",14,"0"
1998,"Taipei","Keelung City","Zhongshan District",15,"0"
1998,"Taipei","Keelung City","Zhongshan District",16,"0"
1998,"Taipei","Keelung City","Zhongshan District",17,"0"
1998,"Taipei","Keelung City","Zhongshan District",18,"0"
1998,"Taipei","Keelung City","Zhongshan District",19,"0"
1998,"Taipei","Keelung City","Zhongshan District",20,"0"
1998,"Taipei","Keelung City","Zhongshan District",21,"0"
1998,"Taipei","Keelung City","Zhongshan District",22,"0"
1998,"Taipei","Keelung City","Zhongshan District",23,"0"
1998,"Taipei","Keelung City","Zhongshan District",24,"0"
1998,"Taipei","Keelung City","Zhongshan District",25,"0"
1998,"Taipei","Keelung City","Zhongshan District",26,"0"
1998,"Taipei","Keelung City","Zhongshan District",27,"0"
1998,"Taipei","Keelung City","Zhongshan District",28,"0"
1998,"Taipei","Keelung City","Zhongshan District",29,"0"
1998,"Taipei","Keelung City","Zhongshan District",30,"0"
1998,"Taipei","Keelung City","Zhongshan District",31,"0"
1998,"Taipei","Keelung City","Zhongshan District",32,"0"
1998,"Taipei","Keelung City","Zhongshan District",33,"0"
1998,"Taipei","Keelung City","Zhongshan District",34,"0"
1998,"Taipei","Keelung City","Zhongshan District",35,"0"
1998,"Taipei","Keelung City","Zhongshan District",36,"0"
1998,"Taipei","Keelung City","Zhongshan District",37,"0"
1998,"Taipei","Keelung City","Zhongshan District",38,"0"
1998,"Taipei","Keelung City","Zhongshan District",39,"0"
1998,"Taipei","Keelung City","Zhongshan District",40,"0"
1998,"Taipei","Keelung City","Zhongshan District",41,"0"
1998,"Taipei","Keelung City","Zhongshan District",42,"0"
1998,"Taipei","Keelung City","Zhongshan District",43,"0"
1998,"Taipei","Keelung City","Zhongshan District",44,"0"
1998,"Taipei","Keelung City","Zhongshan District",45,"0"
1998,"Taipei","Keelung City","Zhongshan District",46,"0"
1998,"Taipei","Keelung City","Zhongshan District",47,"0"
1998,"Taipei","Keelung City","Zhongshan District",48,"0"
1998,"Taipei","Keelung City","Zhongshan District",49,"0"
1998,"Taipei","Keelung City","Zhongshan District",50,"0"
1998,"Taipei","Keelung City","Zhongshan District",51,"0"
1998,"Taipei","Keelung City","Zhongshan District",52,"0"
1998,"Taipei","Keelung City","Zhongshan District",53,"0"
1999,"Taipei","Keelung City","Zhongshan District",1,"0"
1999,"Taipei","Keelung City","Zhongshan District",2,"0"
1999,"Taipei","Keelung City","Zhongshan District",3,"0"
1999,"Taipei","Keelung City","Zhongshan District",4,"0"
1999,"Taipei","Keelung City","Zhongshan District",5,"0"
1999,"Taipei","Keelung City","Zhongshan District",6,"0"
1999,"Taipei","Keelung City","Zhongshan District",7,"0"
1999,"Taipei","Keelung City","Zhongshan District",8,"0"
1999,"Taipei","Keelung City","Zhongshan District",9,"0"
1999,"Taipei","Keelung City","Zhongshan District",10,"0"
1999,"Taipei","Keelung City","Zhongshan District",11,"0"
1999,"Taipei","Keelung City","Zhongshan District",12,"0"
1999,"Taipei","Keelung City","Zhongshan District",13,"0"
1999,"Taipei","Keelung City","Zhongshan District",14,"0"
1999,"Taipei","Keelung City","Zhongshan District",15,"0"
1999,"Taipei","Keelung City","Zhongshan District",16,"0"
1999,"Taipei","Keelung City","Zhongshan District",17,"0"
1999,"Taipei","Keelung City","Zhongshan District",18,"0"
1999,"Taipei","Keelung City","Zhongshan District",19,"0"
1999,"Taipei","Keelung City","Zhongshan District",20,"0"
1999,"Taipei","Keelung City","Zhongshan District",21,"0"
1999,"Taipei","Keelung City","Zhongshan District",22,"0"
1999,"Taipei","Keelung City","Zhongshan District",23,"0"
1999,"Taipei","Keelung City","Zhongshan District",24,"0"
1999,"Taipei","Keelung City","Zhongshan District",25,"0"
1999,"Taipei","Keelung City","Zhongshan District",26,"0"
1999,"Taipei","Keelung City","Zhongshan District",27,"0"
1999,"Taipei","Keelung City","Zhongshan District",28,"0"
1999,"Taipei","Keelung City","Zhongshan District",29,"0"
1999,"Taipei","Keelung City","Zhongshan District",30,"0"
1999,"Taipei","Keelung City","Zhongshan District",31,"0"
1999,"Taipei","Keelung City","Zhongshan District",32,"0"
1999,"Taipei","Keelung City","Zhongshan District",33,"0"
1999,"Taipei","Keelung City","Zhongshan District",34,"0"
1999,"Taipei","Keelung City","Zhongshan District",35,"0"
