"Year","Region","City","District","Week","Cases"
1998,"Northern","Miaoli County","Zhuolan Township",1,"0"
1998,"Northern","Miaoli County","Zhuolan Township",2,"0"
1998,"Northern","Miaoli County","Zhuolan Township",3,"0"
1998,"Northern","Miaoli County","Zhuolan Township",4,"0"
1998,"Northern","Miaoli County","Zhuolan Township",5,"0"
1998,"Northern","Miaoli County","Zhuolan Township",6,"0"
1998,"Northern","Miaoli County","Zhuolan Township",7,"0"
1998,"Northern","Miaoli County","Zhuolan Township",8,"0"
1998,"Northern","Miaoli County","Zhuolan Township",9,"0"
1998,"Northern","Miaoli County","Zhuolan Township",10,"0"
1998,"Northern","Miaoli County","Zhuolan Township",11,"0"
1998,"Northern","Miaoli County","Zhuolan Township",12,"0"
1998,"Northern","Miaoli County","Zhuolan Township",13,"0"
1998,"Northern","Miaoli County","Zhuolan Township",14,"0"
1998,"Northern","Miaoli County","Zhuolan Township",15,"0"
1998,"Northern","Miaoli County","Zhuolan Township",16,"0"
1998,"Northern","Miaoli County","Zhuolan Township",17,"0"
1998,"Northern","Miaoli County","Zhuolan Township",18,"0"
1998,"Northern","Miaoli County","Zhuolan Township",19,"0"
1998,"Northern","Miaoli County","Zhuolan Township",20,"0"
1998,"Northern","Miaoli County","Zhuolan Township",21,"0"
1998,"Northern","Miaoli County","Zhuolan Township",22,"0"
1998,"Northern","Miaoli County","Zhuolan Township",23,"0"
1998,"Northern","Miaoli County","Zhuolan Township",24,"0"
1998,"Northern","Miaoli County","Zhuolan Township",25,"0"
1998,"Northern","Miaoli County","Zhuolan Township",26,"0"
1998,"Northern","Miaoli County","Zhuolan Township",27,"0"
1998,"Northern","Miaoli County","Zhuolan Township",28,"0"
1998,"Northern","Miaoli County","Zhuolan Township",29,"0"
1998,"Northern","Miaoli County","Zhuolan Township",30,"0"
1998,"Northern","Miaoli County","Zhuolan Township",31,"0"
1998,"Northern","Miaoli County","Zhuolan Township",32,"0"
1998,"Northern","Miaoli County","Zhuolan Township",33,"0"
1998,"Northern","Miaoli County","Zhuolan Township",34,"0"
1998,"Northern","Miaoli County","Zhuolan Township",35,"0"
1998,"Northern","Miaoli County","Zhuolan Township",36,"0"
1998,"Northern","Miaoli County","Zhuolan Township",37,"0"
1998,"Northern","Miaoli County","Zhuolan Township",38,"0"
1998,"Northern","Miaoli County","Zhuolan Township",39,"0"
1998,"Northern","Miaoli County","Zhuolan Township",40,"0"
1998,"Northern","Miaoli County","Zhuolan Township",41,"0"
1998,"Northern","Miaoli County","Zhuolan Township",42,"0"
1998,"Northern","Miaoli County","Zhuolan Township",43,"0"
1998,"Northern","Miaoli County","Zhuolan Township",44,"0"
1998,"Northern","Miaoli County","Zhuolan Township",45,"0"
1998,"Northern","Miaoli County","Zhuolan Township",46,"0"
1998,"Northern","Miaoli County","Zhuolan Township",47,"0"
1998,"Northern","Miaoli County","Zhuolan Township",48,"0"
1998,"Northern","Miaoli County","Zhuolan Township",49,"0"
1998,"Northern","Miaoli County","Zhuolan Township",50,"0"
1998,"Northern","Miaoli County","Zhuolan Township",51,"0"
1998,"Northern","Miaoli County","Zhuolan Township",52,"0"
1998,"Northern","Miaoli County","Zhuolan Township",53,"0"
1999,"Northern","Miaoli County","Zhuolan Township",1,"0"
1999,"Northern","Miaoli County","Zhuolan Township",2,"0"
1999,"Northern","Miaoli County","Zhuolan Township",3,"0"
1999,"Northern","Miaoli County","Zhuolan Township",4,"0"
