"Year","Region","City","District","Week","Cases"
1998,"Central","Nantou County","Zhushan Township",1,"0"
1998,"Central","Nantou County","Zhushan Township",2,"0"
1998,"Central","Nantou County","Zhushan Township",3,"0"
1998,"Central","Nantou County","Zhushan Township",4,"0"
1998,"Central","Nantou County","Zhushan Township",5,"0"
1998,"Central","Nantou County","Zhushan Township",6,"0"
1998,"Central","Nantou County","Zhushan Township",7,"0"
1998,"Central","Nantou County","Zhushan Township",8,"0"
1998,"Central","Nantou County","Zhushan Township",9,"0"
1998,"Central","Nantou County","Zhushan Township",10,"0"
1998,"Central","Nantou County","Zhushan Township",11,"0"
1998,"Central","Nantou County","Zhushan Township",12,"0"
1998,"Central","Nantou County","Zhushan Township",13,"0"
1998,"Central","Nantou County","Zhushan Township",14,"0"
1998,"Central","Nantou County","Zhushan Township",15,"0"
1998,"Central","Nantou County","Zhushan Township",16,"0"
1998,"Central","Nantou County","Zhushan Township",17,"0"
1998,"Central","Nantou County","Zhushan Township",18,"0"
1998,"Central","Nantou County","Zhushan Township",19,"0"
1998,"Central","Nantou County","Zhushan Township",20,"0"
1998,"Central","Nantou County","Zhushan Township",21,"0"
1998,"Central","Nantou County","Zhushan Township",22,"0"
1998,"Central","Nantou County","Zhushan Township",23,"0"
1998,"Central","Nantou County","Zhushan Township",24,"0"
1998,"Central","Nantou County","Zhushan Township",25,"0"
1998,"Central","Nantou County","Zhushan Township",26,"0"
1998,"Central","Nantou County","Zhushan Township",27,"0"
1998,"Central","Nantou County","Zhushan Township",28,"0"
1998,"Central","Nantou County","Zhushan Township",29,"0"
1998,"Central","Nantou County","Zhushan Township",30,"0"
1998,"Central","Nantou County","Zhushan Township",31,"0"
1998,"Central","Nantou County","Zhushan Township",32,"0"
1998,"Central","Nantou County","Zhushan Township",33,"0"
1998,"Central","Nantou County","Zhushan Township",34,"0"
1998,"Central","Nantou County","Zhushan Township",35,"0"
1998,"Central","Nantou County","Zhushan Township",36,"1"
1998,"Central","Nantou County","Zhushan Township",37,"0"
1998,"Central","Nantou County","Zhushan Township",38,"1"
1998,"Central","Nantou County","Zhushan Township",39,"0"
1998,"Central","Nantou County","Zhushan Township",40,"0"
1998,"Central","Nantou County","Zhushan Township",41,"0"
1998,"Central","Nantou County","Zhushan Township",42,"0"
1998,"Central","Nantou County","Zhushan Township",43,"0"
1998,"Central","Nantou County","Zhushan Township",44,"0"
1998,"Central","Nantou County","Zhushan Township",45,"0"
1998,"Central","Nantou County","Zhushan Township",46,"0"
1998,"Central","Nantou County","Zhushan Township",47,"0"
1998,"Central","Nantou County","Zhushan Township",48,"0"
1998,"Central","Nantou County","Zhushan Township",49,"0"
1998,"Central","Nantou County","Zhushan Township",50,"0"
1998,"Central","Nantou County","Zhushan Township",51,"0"
1998,"Central","Nantou County","Zhushan Township",52,"0"
1998,"Central","Nantou County","Zhushan Township",53,"0"
1999,"Central","Nantou County","Zhushan Township",1,"0"
1999,"Central","Nantou County","Zhushan Township",2,"0"
1999,"Central","Nantou County","Zhushan Township",3,"0"
1999,"Central","Nantou County","Zhushan Township",4,"0"
1999,"Central","Nantou County","Zhushan Township",5,"0"
1999,"Central","Nantou County","Zhushan Township",6,"0"
1999,"Central","Nantou County","Zhushan Township",7,"0"
1999,"Central","Nantou County","Zhushan Township",8,"0"
1999,"Central","Nantou County","Zhushan Township",9,"0"
1999,"Central","Nantou County","Zhushan Township",10,"0"
1999,"Central","Nantou County","Zhushan Township",11,"0"
1999,"Central","Nantou County","Zhushan Township",12,"0"
1999,"Central","Nantou County","Zhushan Township",13,"0"
1999,"Central","Nantou County","Zhushan Township",14,"0"
1999,"Central","Nantou County","Zhushan Township",15,"0"
1999,"Central","Nantou County","Zhushan Township",16,"0"
1999,"Central","Nantou County","Zhushan Township",17,"0"
1999,"Central","Nantou County","Zhushan Township",18,"0"
1999,"Central","Nantou County","Zhushan Township",19,"0"
1999,"Central","Nantou County","Zhushan Township",20,"0"
1999,"Central","Nantou County","Zhushan Township",21,"0"
1999,"Central","Nantou County","Zhushan Township",22,"0"
1999,"Central","Nantou County","Zhushan Township",23,"0"
1999,"Central","Nantou County","Zhushan Township",24,"0"
1999,"Central","Nantou County","Zhushan Township",25,"0"
1999,"Central","Nantou County","Zhushan Township",26,"0"
1999,"Central","Nantou County","Zhushan Township",27,"0"
1999,"Central","Nantou County","Zhushan Township",28,"0"
1999,"Central","Nantou County","Zhushan Township",29,"0"
1999,"Central","Nantou County","Zhushan Township",30,"0"
1999,"Central","Nantou County","Zhushan Township",31,"0"
1999,"Central","Nantou County","Zhushan Township",32,"0"
1999,"Central","Nantou County","Zhushan Township",33,"0"
1999,"Central","Nantou County","Zhushan Township",34,"0"
1999,"Central","Nantou County","Zhushan Township",35,"0"
1999,"Central","Nantou County","Zhushan Township",36,"0"
1999,"Central","Nantou County","Zhushan Township",37,"0"
1999,"Central","Nantou County","Zhushan Township",38,"0"
1999,"Central","Nantou County","Zhushan Township",39,"0"
1999,"Central","Nantou County","Zhushan Township",40,"0"
1999,"Central","Nantou County","Zhushan Township",41,"0"
1999,"Central","Nantou County","Zhushan Township",42,"0"
1999,"Central","Nantou County","Zhushan Township",43,"0"
1999,"Central","Nantou County","Zhushan Township",44,"0"
1999,"Central","Nantou County","Zhushan Township",45,"0"
1999,"Central","Nantou County","Zhushan Township",46,"0"
1999,"Central","Nantou County","Zhushan Township",47,"0"
1999,"Central","Nantou County","Zhushan Township",48,"0"
1999,"Central","Nantou County","Zhushan Township",49,"0"
1999,"Central","Nantou County","Zhushan Township",50,"0"
1999,"Central","Nantou County","Zhushan Township",51,"0"
1999,"Central","Nantou County","Zhushan Township",52,"0"
1999,"Central","Nantou County","Zhushan Township",53,"0"
2000,"Central","Nantou County","Zhushan Township",1,"0"
2000,"Central","Nantou County","Zhushan Township",2,"0"
2000,"Central","Nantou County","Zhushan Township",3,"0"
2000,"Central","Nantou County","Zhushan Township",4,"0"
2000,"Central","Nantou County","Zhushan Township",5,"0"
2000,"Central","Nantou County","Zhushan Township",6,"0"
2000,"Central","Nantou County","Zhushan Township",7,"0"
2000,"Central","Nantou County","Zhushan Township",8,"0"
2000,"Central","Nantou County","Zhushan Township",9,"0"
2000,"Central","Nantou County","Zhushan Township",10,"0"
2000,"Central","Nantou County","Zhushan Township",11,"0"
2000,"Central","Nantou County","Zhushan Township",12,"0"
2000,"Central","Nantou County","Zhushan Township",13,"0"
2000,"Central","Nantou County","Zhushan Township",14,"0"
2000,"Central","Nantou County","Zhushan Township",15,"0"
2000,"Central","Nantou County","Zhushan Township",16,"0"
2000,"Central","Nantou County","Zhushan Township",17,"0"
2000,"Central","Nantou County","Zhushan Township",18,"0"
2000,"Central","Nantou County","Zhushan Township",19,"0"
2000,"Central","Nantou County","Zhushan Township",20,"0"
2000,"Central","Nantou County","Zhushan Township",21,"0"
2000,"Central","Nantou County","Zhushan Township",22,"0"
2000,"Central","Nantou County","Zhushan Township",23,"0"
2000,"Central","Nantou County","Zhushan Township",24,"0"
2000,"Central","Nantou County","Zhushan Township",25,"0"
2000,"Central","Nantou County","Zhushan Township",26,"0"
2000,"Central","Nantou County","Zhushan Township",27,"0"
2000,"Central","Nantou County","Zhushan Township",28,"0"
2000,"Central","Nantou County","Zhushan Township",29,"0"
2000,"Central","Nantou County","Zhushan Township",30,"0"
2000,"Central","Nantou County","Zhushan Township",31,"0"
2000,"Central","Nantou County","Zhushan Township",32,"0"
2000,"Central","Nantou County","Zhushan Township",33,"0"
2000,"Central","Nantou County","Zhushan Township",34,"0"
2000,"Central","Nantou County","Zhushan Township",35,"0"
2000,"Central","Nantou County","Zhushan Township",36,"0"
2000,"Central","Nantou County","Zhushan Township",37,"0"
2000,"Central","Nantou County","Zhushan Township",38,"0"
2000,"Central","Nantou County","Zhushan Township",39,"0"
2000,"Central","Nantou County","Zhushan Township",40,"0"
2000,"Central","Nantou County","Zhushan Township",41,"0"
2000,"Central","Nantou County","Zhushan Township",42,"0"
2000,"Central","Nantou County","Zhushan Township",43,"0"
2000,"Central","Nantou County","Zhushan Township",44,"0"
2000,"Central","Nantou County","Zhushan Township",45,"0"
2000,"Central","Nantou County","Zhushan Township",46,"0"
2000,"Central","Nantou County","Zhushan Township",47,"0"
2000,"Central","Nantou County","Zhushan Township",48,"0"
2000,"Central","Nantou County","Zhushan Township",49,"0"
2000,"Central","Nantou County","Zhushan Township",50,"0"
2000,"Central","Nantou County","Zhushan Township",51,"0"
2000,"Central","Nantou County","Zhushan Township",52,"0"
2000,"Central","Nantou County","Zhushan Township",53,"0"
2001,"Central","Nantou County","Zhushan Township",1,"0"
2001,"Central","Nantou County","Zhushan Township",2,"0"
2001,"Central","Nantou County","Zhushan Township",3,"0"
2001,"Central","Nantou County","Zhushan Township",4,"0"
2001,"Central","Nantou County","Zhushan Township",5,"0"
2001,"Central","Nantou County","Zhushan Township",6,"0"
2001,"Central","Nantou County","Zhushan Township",7,"0"
2001,"Central","Nantou County","Zhushan Township",8,"0"
2001,"Central","Nantou County","Zhushan Township",9,"0"
2001,"Central","Nantou County","Zhushan Township",10,"0"
2001,"Central","Nantou County","Zhushan Township",11,"0"
2001,"Central","Nantou County","Zhushan Township",12,"0"
2001,"Central","Nantou County","Zhushan Township",13,"0"
2001,"Central","Nantou County","Zhushan Township",14,"0"
2001,"Central","Nantou County","Zhushan Township",15,"0"
2001,"Central","Nantou County","Zhushan Township",16,"0"
2001,"Central","Nantou County","Zhushan Township",17,"0"
2001,"Central","Nantou County","Zhushan Township",18,"0"
2001,"Central","Nantou County","Zhushan Township",19,"0"
2001,"Central","Nantou County","Zhushan Township",20,"0"
2001,"Central","Nantou County","Zhushan Township",21,"0"
2001,"Central","Nantou County","Zhushan Township",22,"0"
2001,"Central","Nantou County","Zhushan Township",23,"0"
2001,"Central","Nantou County","Zhushan Township",24,"1"
2001,"Central","Nantou County","Zhushan Township",25,"0"
2001,"Central","Nantou County","Zhushan Township",26,"0"
2001,"Central","Nantou County","Zhushan Township",27,"0"
2001,"Central","Nantou County","Zhushan Township",28,"0"
2001,"Central","Nantou County","Zhushan Township",29,"0"
2001,"Central","Nantou County","Zhushan Township",30,"0"
2001,"Central","Nantou County","Zhushan Township",31,"0"
2001,"Central","Nantou County","Zhushan Township",32,"0"
2001,"Central","Nantou County","Zhushan Township",33,"0"
2001,"Central","Nantou County","Zhushan Township",34,"0"
2001,"Central","Nantou County","Zhushan Township",35,"0"
2001,"Central","Nantou County","Zhushan Township",36,"0"
2001,"Central","Nantou County","Zhushan Township",37,"0"
2001,"Central","Nantou County","Zhushan Township",38,"0"
2001,"Central","Nantou County","Zhushan Township",39,"0"
2001,"Central","Nantou County","Zhushan Township",40,"0"
2001,"Central","Nantou County","Zhushan Township",41,"0"
2001,"Central","Nantou County","Zhushan Township",42,"0"
2001,"Central","Nantou County","Zhushan Township",43,"0"
2001,"Central","Nantou County","Zhushan Township",44,"0"
2001,"Central","Nantou County","Zhushan Township",45,"0"
2001,"Central","Nantou County","Zhushan Township",46,"0"
2001,"Central","Nantou County","Zhushan Township",47,"0"
2001,"Central","Nantou County","Zhushan Township",48,"0"
