"Year","Region","City","District","Week","Cases"
1998,"Central","Changhua County","Zhutang Township",1,"0"
1998,"Central","Changhua County","Zhutang Township",2,"0"
1998,"Central","Changhua County","Zhutang Township",3,"0"
1998,"Central","Changhua County","Zhutang Township",4,"0"
1998,"Central","Changhua County","Zhutang Township",5,"0"
1998,"Central","Changhua County","Zhutang Township",6,"0"
1998,"Central","Changhua County","Zhutang Township",7,"0"
1998,"Central","Changhua County","Zhutang Township",8,"0"
1998,"Central","Changhua County","Zhutang Township",9,"0"
1998,"Central","Changhua County","Zhutang Township",10,"0"
1998,"Central","Changhua County","Zhutang Township",11,"0"
1998,"Central","Changhua County","Zhutang Township",12,"0"
1998,"Central","Changhua County","Zhutang Township",13,"0"
1998,"Central","Changhua County","Zhutang Township",14,"0"
1998,"Central","Changhua County","Zhutang Township",15,"0"
1998,"Central","Changhua County","Zhutang Township",16,"0"
1998,"Central","Changhua County","Zhutang Township",17,"0"
1998,"Central","Changhua County","Zhutang Township",18,"0"
1998,"Central","Changhua County","Zhutang Township",19,"0"
1998,"Central","Changhua County","Zhutang Township",20,"0"
1998,"Central","Changhua County","Zhutang Township",21,"0"
1998,"Central","Changhua County","Zhutang Township",22,"0"
1998,"Central","Changhua County","Zhutang Township",23,"0"
1998,"Central","Changhua County","Zhutang Township",24,"0"
1998,"Central","Changhua County","Zhutang Township",25,"0"
1998,"Central","Changhua County","Zhutang Township",26,"0"
1998,"Central","Changhua County","Zhutang Township",27,"0"
1998,"Central","Changhua County","Zhutang Township",28,"0"
1998,"Central","Changhua County","Zhutang Township",29,"0"
1998,"Central","Changhua County","Zhutang Township",30,"0"
1998,"Central","Changhua County","Zhutang Township",31,"0"
1998,"Central","Changhua County","Zhutang Township",32,"0"
1998,"Central","Changhua County","Zhutang Township",33,"0"
1998,"Central","Changhua County","Zhutang Township",34,"0"
1998,"Central","Changhua County","Zhutang Township",35,"0"
1998,"Central","Changhua County","Zhutang Township",36,"0"
1998,"Central","Changhua County","Zhutang Township",37,"0"
1998,"Central","Changhua County","Zhutang Township",38,"0"
1998,"Central","Changhua County","Zhutang Township",39,"0"
1998,"Central","Changhua County","Zhutang Township",40,"0"
1998,"Central","Changhua County","Zhutang Township",41,"0"
1998,"Central","Changhua County","Zhutang Township",42,"0"
1998,"Central","Changhua County","Zhutang Township",43,"0"
1998,"Central","Changhua County","Zhutang Township",44,"0"
1998,"Central","Changhua County","Zhutang Township",45,"0"
1998,"Central","Changhua County","Zhutang Township",46,"0"
1998,"Central","Changhua County","Zhutang Township",47,"0"
1998,"Central","Changhua County","Zhutang Township",48,"0"
1998,"Central","Changhua County","Zhutang Township",49,"0"
1998,"Central","Changhua County","Zhutang Township",50,"0"
1998,"Central","Changhua County","Zhutang Township",51,"0"
1998,"Central","Changhua County","Zhutang Township",52,"0"
1998,"Central","Changhua County","Zhutang Township",53,"0"
1999,"Central","Changhua County","Zhutang Township",1,"0"
1999,"Central","Changhua County","Zhutang Township",2,"0"
1999,"Central","Changhua County","Zhutang Township",3,"0"
1999,"Central","Changhua County","Zhutang Township",4,"0"
1999,"Central","Changhua County","Zhutang Township",5,"0"
1999,"Central","Changhua County","Zhutang Township",6,"0"
1999,"Central","Changhua County","Zhutang Township",7,"0"
1999,"Central","Changhua County","Zhutang Township",8,"0"
1999,"Central","Changhua County","Zhutang Township",9,"0"
1999,"Central","Changhua County","Zhutang Township",10,"0"
1999,"Central","Changhua County","Zhutang Township",11,"0"
1999,"Central","Changhua County","Zhutang Township",12,"0"
1999,"Central","Changhua County","Zhutang Township",13,"0"
1999,"Central","Changhua County","Zhutang Township",14,"0"
1999,"Central","Changhua County","Zhutang Township",15,"0"
1999,"Central","Changhua County","Zhutang Township",16,"0"
1999,"Central","Changhua County","Zhutang Township",17,"0"
1999,"Central","Changhua County","Zhutang Township",18,"0"
1999,"Central","Changhua County","Zhutang Township",19,"0"
1999,"Central","Changhua County","Zhutang Township",20,"0"
1999,"Central","Changhua County","Zhutang Township",21,"0"
1999,"Central","Changhua County","Zhutang Township",22,"0"
1999,"Central","Changhua County","Zhutang Township",23,"0"
1999,"Central","Changhua County","Zhutang Township",24,"0"
1999,"Central","Changhua County","Zhutang Township",25,"0"
1999,"Central","Changhua County","Zhutang Township",26,"0"
1999,"Central","Changhua County","Zhutang Township",27,"0"
1999,"Central","Changhua County","Zhutang Township",28,"0"
1999,"Central","Changhua County","Zhutang Township",29,"0"
1999,"Central","Changhua County","Zhutang Township",30,"0"
1999,"Central","Changhua County","Zhutang Township",31,"0"
1999,"Central","Changhua County","Zhutang Township",32,"0"
1999,"Central","Changhua County","Zhutang Township",33,"0"
1999,"Central","Changhua County","Zhutang Township",34,"0"
1999,"Central","Changhua County","Zhutang Township",35,"0"
1999,"Central","Changhua County","Zhutang Township",36,"0"
1999,"Central","Changhua County","Zhutang Township",37,"0"
1999,"Central","Changhua County","Zhutang Township",38,"0"
1999,"Central","Changhua County","Zhutang Township",39,"0"
1999,"Central","Changhua County","Zhutang Township",40,"0"
1999,"Central","Changhua County","Zhutang Township",41,"0"
1999,"Central","Changhua County","Zhutang Township",42,"0"
1999,"Central","Changhua County","Zhutang Township",43,"0"
