"year","area","city","town","week","cases"
1998,"Kaoping","Kaohsiung City","Zuoying District",1,"0"
1998,"Kaoping","Kaohsiung City","Zuoying District",2,"0"
1998,"Kaoping","Kaohsiung City","Zuoying District",3,"0"
1998,"Kaoping","Kaohsiung City","Zuoying District",4,"0"
1998,"Kaoping","Kaohsiung City","Zuoying District",5,"0"
1998,"Kaoping","Kaohsiung City","Zuoying District",6,"0"
1998,"Kaoping","Kaohsiung City","Zuoying District",7,"0"
1998,"Kaoping","Kaohsiung City","Zuoying District",8,"0"
1998,"Kaoping","Kaohsiung City","Zuoying District",9,"0"
1998,"Kaoping","Kaohsiung City","Zuoying District",10,"0"
1998,"Kaoping","Kaohsiung City","Zuoying District",11,"0"
1998,"Kaoping","Kaohsiung City","Zuoying District",12,"0"
1998,"Kaoping","Kaohsiung City","Zuoying District",13,"0"
1998,"Kaoping","Kaohsiung City","Zuoying District",14,"0"
1998,"Kaoping","Kaohsiung City","Zuoying District",15,"0"
1998,"Kaoping","Kaohsiung City","Zuoying District",16,"0"
1998,"Kaoping","Kaohsiung City","Zuoying District",17,"0"
1998,"Kaoping","Kaohsiung City","Zuoying District",18,"0"
1998,"Kaoping","Kaohsiung City","Zuoying District",19,"0"
1998,"Kaoping","Kaohsiung City","Zuoying District",20,"0"
1998,"Kaoping","Kaohsiung City","Zuoying District",21,"0"
1998,"Kaoping","Kaohsiung City","Zuoying District",22,"0"
1998,"Kaoping","Kaohsiung City","Zuoying District",23,"0"
1998,"Kaoping","Kaohsiung City","Zuoying District",24,"0"
1998,"Kaoping","Kaohsiung City","Zuoying District",25,"0"
1998,"Kaoping","Kaohsiung City","Zuoying District",26,"0"
1998,"Kaoping","Kaohsiung City","Zuoying District",27,"0"
1998,"Kaoping","Kaohsiung City","Zuoying District",28,"0"
1998,"Kaoping","Kaohsiung City","Zuoying District",29,"0"
1998,"Kaoping","Kaohsiung City","Zuoying District",30,"0"
1998,"Kaoping","Kaohsiung City","Zuoying District",31,"0"
1998,"Kaoping","Kaohsiung City","Zuoying District",32,"0"
1998,"Kaoping","Kaohsiung City","Zuoying District",33,"0"
1998,"Kaoping","Kaohsiung City","Zuoying District",34,"0"
1998,"Kaoping","Kaohsiung City","Zuoying District",35,"0"
1998,"Kaoping","Kaohsiung City","Zuoying District",36,"0"
1998,"Kaoping","Kaohsiung City","Zuoying District",37,"1"
1998,"Kaoping","Kaohsiung City","Zuoying District",38,"0"
1998,"Kaoping","Kaohsiung City","Zuoying District",39,"3"
1998,"Kaoping","Kaohsiung City","Zuoying District",40,"0"
1998,"Kaoping","Kaohsiung City","Zuoying District",41,"1"
1998,"Kaoping","Kaohsiung City","Zuoying District",42,"0"
1998,"Kaoping","Kaohsiung City","Zuoying District",43,"0"
1998,"Kaoping","Kaohsiung City","Zuoying District",44,"0"
1998,"Kaoping","Kaohsiung City","Zuoying District",45,"0"
1998,"Kaoping","Kaohsiung City","Zuoying District",46,"0"
1998,"Kaoping","Kaohsiung City","Zuoying District",47,"0"
1998,"Kaoping","Kaohsiung City","Zuoying District",48,"0"
1998,"Kaoping","Kaohsiung City","Zuoying District",49,"0"
1998,"Kaoping","Kaohsiung City","Zuoying District",50,"0"
1998,"Kaoping","Kaohsiung City","Zuoying District",51,"0"
1998,"Kaoping","Kaohsiung City","Zuoying District",52,"0"
1998,"Kaoping","Kaohsiung City","Zuoying District",53,"0"
1999,"Kaoping","Kaohsiung City","Zuoying District",1,"0"
1999,"Kaoping","Kaohsiung City","Zuoying District",2,"2"
1999,"Kaoping","Kaohsiung City","Zuoying District",3,"1"
1999,"Kaoping","Kaohsiung City","Zuoying District",4,"0"
1999,"Kaoping","Kaohsiung City","Zuoying District",5,"0"
1999,"Kaoping","Kaohsiung City","Zuoying District",6,"0"
1999,"Kaoping","Kaohsiung City","Zuoying District",7,"0"
1999,"Kaoping","Kaohsiung City","Zuoying District",8,"0"
1999,"Kaoping","Kaohsiung City","Zuoying District",9,"0"
1999,"Kaoping","Kaohsiung City","Zuoying District",10,"0"
1999,"Kaoping","Kaohsiung City","Zuoying District",11,"0"
1999,"Kaoping","Kaohsiung City","Zuoying District",12,"0"
1999,"Kaoping","Kaohsiung City","Zuoying District",13,"0"
1999,"Kaoping","Kaohsiung City","Zuoying District",14,"0"
1999,"Kaoping","Kaohsiung City","Zuoying District",15,"0"
1999,"Kaoping","Kaohsiung City","Zuoying District",16,"0"
1999,"Kaoping","Kaohsiung City","Zuoying District",17,"0"
1999,"Kaoping","Kaohsiung City","Zuoying District",18,"0"
1999,"Kaoping","Kaohsiung City","Zuoying District",19,"0"
1999,"Kaoping","Kaohsiung City","Zuoying District",20,"0"
1999,"Kaoping","Kaohsiung City","Zuoying District",21,"0"
1999,"Kaoping","Kaohsiung City","Zuoying District",22,"0"
1999,"Kaoping","Kaohsiung City","Zuoying District",23,"0"
1999,"Kaoping","Kaohsiung City","Zuoying District",24,"0"
1999,"Kaoping","Kaohsiung City","Zuoying District",25,"0"
1999,"Kaoping","Kaohsiung City","Zuoying District",26,"0"
1999,"Kaoping","Kaohsiung City","Zuoying District",27,"0"
1999,"Kaoping","Kaohsiung City","Zuoying District",28,"0"
1999,"Kaoping","Kaohsiung City","Zuoying District",29,"0"
1999,"Kaoping","Kaohsiung City","Zuoying District",30,"0"
1999,"Kaoping","Kaohsiung City","Zuoying District",31,"0"
1999,"Kaoping","Kaohsiung City","Zuoying District",32,"0"
1999,"Kaoping","Kaohsiung City","Zuoying District",33,"0"
1999,"Kaoping","Kaohsiung City","Zuoying District",34,"0"
1999,"Kaoping","Kaohsiung City","Zuoying District",35,"0"
1999,"Kaoping","Kaohsiung City","Zuoying District",36,"0"
1999,"Kaoping","Kaohsiung City","Zuoying District",37,"0"
1999,"Kaoping","Kaohsiung City","Zuoying District",38,"0"
1999,"Kaoping","Kaohsiung City","Zuoying District",39,"0"
1999,"Kaoping","Kaohsiung City","Zuoying District",40,"0"
1999,"Kaoping","Kaohsiung City","Zuoying District",41,"0"
1999,"Kaoping","Kaohsiung City","Zuoying District",42,"0"
1999,"Kaoping","Kaohsiung City","Zuoying District",43,"0"
1999,"Kaoping","Kaohsiung City","Zuoying District",44,"0"
1999,"Kaoping","Kaohsiung City","Zuoying District",45,"0"
1999,"Kaoping","Kaohsiung City","Zuoying District",46,"0"
1999,"Kaoping","Kaohsiung City","Zuoying District",47,"0"
1999,"Kaoping","Kaohsiung City","Zuoying District",48,"0"
1999,"Kaoping","Kaohsiung City","Zuoying District",49,"0"
1999,"Kaoping","Kaohsiung City","Zuoying District",50,"0"
1999,"Kaoping","Kaohsiung City","Zuoying District",51,"0"
1999,"Kaoping","Kaohsiung City","Zuoying District",52,"0"
1999,"Kaoping","Kaohsiung City","Zuoying District",53,"0"
2000,"Kaoping","Kaohsiung City","Zuoying District",1,"0"
2000,"Kaoping","Kaohsiung City","Zuoying District",2,"0"
2000,"Kaoping","Kaohsiung City","Zuoying District",3,"0"
2000,"Kaoping","Kaohsiung City","Zuoying District",4,"0"
2000,"Kaoping","Kaohsiung City","Zuoying District",5,"0"
2000,"Kaoping","Kaohsiung City","Zuoying District",6,"0"
2000,"Kaoping","Kaohsiung City","Zuoying District",7,"0"
2000,"Kaoping","Kaohsiung City","Zuoying District",8,"0"
2000,"Kaoping","Kaohsiung City","Zuoying District",9,"0"
2000,"Kaoping","Kaohsiung City","Zuoying District",10,"0"
2000,"Kaoping","Kaohsiung City","Zuoying District",11,"0"
2000,"Kaoping","Kaohsiung City","Zuoying District",12,"1"
2000,"Kaoping","Kaohsiung City","Zuoying District",13,"0"
2000,"Kaoping","Kaohsiung City","Zuoying District",14,"0"
2000,"Kaoping","Kaohsiung City","Zuoying District",15,"0"
2000,"Kaoping","Kaohsiung City","Zuoying District",16,"0"
2000,"Kaoping","Kaohsiung City","Zuoying District",17,"0"
2000,"Kaoping","Kaohsiung City","Zuoying District",18,"0"
2000,"Kaoping","Kaohsiung City","Zuoying District",19,"0"
2000,"Kaoping","Kaohsiung City","Zuoying District",20,"0"
2000,"Kaoping","Kaohsiung City","Zuoying District",21,"0"
2000,"Kaoping","Kaohsiung City","Zuoying District",22,"0"
2000,"Kaoping","Kaohsiung City","Zuoying District",23,"0"
2000,"Kaoping","Kaohsiung City","Zuoying District",24,"0"
2000,"Kaoping","Kaohsiung City","Zuoying District",25,"0"
2000,"Kaoping","Kaohsiung City","Zuoying District",26,"0"
2000,"Kaoping","Kaohsiung City","Zuoying District",27,"0"
2000,"Kaoping","Kaohsiung City","Zuoying District",28,"0"
2000,"Kaoping","Kaohsiung City","Zuoying District",29,"0"
2000,"Kaoping","Kaohsiung City","Zuoying District",30,"0"
2000,"Kaoping","Kaohsiung City","Zuoying District",31,"0"
2000,"Kaoping","Kaohsiung City","Zuoying District",32,"0"
2000,"Kaoping","Kaohsiung City","Zuoying District",33,"0"
2000,"Kaoping","Kaohsiung City","Zuoying District",34,"0"
2000,"Kaoping","Kaohsiung City","Zuoying District",35,"0"
2000,"Kaoping","Kaohsiung City","Zuoying District",36,"0"
2000,"Kaoping","Kaohsiung City","Zuoying District",37,"0"
2000,"Kaoping","Kaohsiung City","Zuoying District",38,"0"
2000,"Kaoping","Kaohsiung City","Zuoying District",39,"0"
2000,"Kaoping","Kaohsiung City","Zuoying District",40,"0"
2000,"Kaoping","Kaohsiung City","Zuoying District",41,"0"
2000,"Kaoping","Kaohsiung City","Zuoying District",42,"0"
2000,"Kaoping","Kaohsiung City","Zuoying District",43,"0"
2000,"Kaoping","Kaohsiung City","Zuoying District",44,"0"
2000,"Kaoping","Kaohsiung City","Zuoying District",45,"0"
2000,"Kaoping","Kaohsiung City","Zuoying District",46,"0"
2000,"Kaoping","Kaohsiung City","Zuoying District",47,"0"
2000,"Kaoping","Kaohsiung City","Zuoying District",48,"0"
2000,"Kaoping","Kaohsiung City","Zuoying District",49,"0"
2000,"Kaoping","Kaohsiung City","Zuoying District",50,"0"
2000,"Kaoping","Kaohsiung City","Zuoying District",51,"0"
2000,"Kaoping","Kaohsiung City","Zuoying District",52,"0"
2000,"Kaoping","Kaohsiung City","Zuoying District",53,"0"
2001,"Kaoping","Kaohsiung City","Zuoying District",1,"0"
2001,"Kaoping","Kaohsiung City","Zuoying District",2,"0"
2001,"Kaoping","Kaohsiung City","Zuoying District",3,"0"
2001,"Kaoping","Kaohsiung City","Zuoying District",4,"0"
2001,"Kaoping","Kaohsiung City","Zuoying District",5,"0"
2001,"Kaoping","Kaohsiung City","Zuoying District",6,"0"
2001,"Kaoping","Kaohsiung City","Zuoying District",7,"0"
2001,"Kaoping","Kaohsiung City","Zuoying District",8,"0"
2001,"Kaoping","Kaohsiung City","Zuoying District",9,"0"
2001,"Kaoping","Kaohsiung City","Zuoying District",10,"0"
2001,"Kaoping","Kaohsiung City","Zuoying District",11,"0"
2001,"Kaoping","Kaohsiung City","Zuoying District",12,"0"
2001,"Kaoping","Kaohsiung City","Zuoying District",13,"0"
2001,"Kaoping","Kaohsiung City","Zuoying District",14,"0"
2001,"Kaoping","Kaohsiung City","Zuoying District",15,"0"
2001,"Kaoping","Kaohsiung City","Zuoying District",16,"0"
