region,city,district
Taipei,Taipei City,Songshan Dist.
Taipei,Taipei City,Da'an Dist.
Taipei,Taipei City,Datong Dist.
Taipei,Taipei City,Zhongshan Dist.
Taipei,Taipei City,Neihu Dist.
Taipei,Taipei City,Nangang Dist.
Taipei,Taipei City,Shilin Dist.
Taipei,Taipei City,Beitou Dist.
Taipei,Taipei City,Xinyi Dist.
Taipei,Taipei City,Zhongzheng Dist.
Taipei,Taipei City,Wanhua Dist.
Taipei,Taipei City,Wenshan Dist.
Taipei,Taipei City,Other
Taipei,Keelung City,Songshan Dist.
Taipei,Keelung City,Da'an Dist.
Taipei,Keelung City,Datong Dist.
Taipei,Keelung City,Zhongshan Dist.
Taipei,Keelung City,Neihu Dist.
Taipei,Keelung City,Nangang Dist.
Taipei,Keelung City,Shilin Dist.
Taipei,Keelung City,Beitou Dist.
Taipei,Keelung City,Xinyi Dist.
Taipei,Keelung City,Zhongzheng Dist.
Taipei,Keelung City,Wanhua Dist.
Taipei,Keelung City,Wenshan Dist.
Taipei,Keelung City,Other
Taipei,New Taipei City,Zhongzheng Dist.
Taipei,New Taipei City,Qidu Dist.
Taipei,New Taipei City,Nuannuan Dist.
Taipei,New Taipei City,Ren'ai Dist.
Taipei,New Taipei City,Zhongshan Dist.
Taipei,New Taipei City,Anle Dist.
Taipei,New Taipei City,Xinyi Dist.
Taipei,New Taipei City,Other
Taipei,New Taipei City,Sanxia Dist.
Taipei,New Taipei City,Tamsui Dist.
Taipei,New Taipei City,Xizhi Dist.
Taipei,New Taipei City,Ruifang Dist.
Taipei,New Taipei City,Tucheng Dist.
Taipei,New Taipei City,Luzhou Dist.
Taipei,New Taipei City,Wugu Dist.
Taipei,New Taipei City,Taishan Dist.
Taipei,New Taipei City,Linkou Dist.
Taipei,New Taipei City,Shenkeng Dist.
Taipei,New Taipei City,Shiding Dist.
Taipei,New Taipei City,Pinglin Dist.
Taipei,New Taipei City,Sanzhi Dist.
Taipei,New Taipei City,Shimen Dist.
Taipei,New Taipei City,Bali Dist.
Taipei,New Taipei City,Pingxi Dist.
Taipei,New Taipei City,Shuangxi Dist.
Taipei,New Taipei City,Gongliao Dist.
Taipei,New Taipei City,Jinshan Dist.
Taipei,New Taipei City,Wanli Dist.
Taipei,New Taipei City,Wulai Dist.
Taipei,New Taipei City,Other
Taipei,Yilan County,Banqiao Dist.
Taipei,Yilan County,Sanchong Dist.
Taipei,Yilan County,Yonghe Dist.
Taipei,Yilan County,Zhonghe Dist.
Taipei,Yilan County,Xindian Dist.
Taipei,Yilan County,Xinzhuang Dist.
Taipei,Yilan County,Shulin Dist.
Taipei,Yilan County,Yingge Dist.
Taipei,Yilan County,Sanxia Dist.
Taipei,Yilan County,Tamsui Dist.
Taipei,Yilan County,Xizhi Dist.
Taipei,Yilan County,Ruifang Dist.
Taipei,Yilan County,Tucheng Dist.
Taipei,Yilan County,Luzhou Dist.
