city,town,bound_northeast_lat,bound_northeast_lon,bound_southwest_lat,bound_southwest_lon,location_lat,location_lon,location_type
Taoyuan City,Dayuan District,25.123137,121.2732153,25.0013531,121.1520073,25.0492632,121.193945,APPROXIMATE
Chiayi County,Liujiao Township,23.5611058,120.3135328,23.4795357,120.222054,23.529833,120.2873266,APPROXIMATE
Lienchiang County,Nangan Township,26.1755716,119.9742028,26.0850526,119.9090904,26.1534361,119.9306863,APPROXIMATE
Chiayi County,Taibao City,23.511129,120.3902427,23.4390001,120.2901313,23.4964492,120.3837086,APPROXIMATE
Kaohsiung City,Taoyuan District,23.4717267,121.0490147,22.9751944,120.6658318,23.2280755,120.8498944,APPROXIMATE
Taoyuan City,Pingzhen District,24.9695521,121.2583535,24.8724235,121.1769489,24.9296022,121.2053963,APPROXIMATE
Yilan County,Sanxing Township,24.7034568,121.7485042,24.6598895,121.6180835,24.6664544,121.6524489,APPROXIMATE
Taichung City,Tanzi District,24.2368055,120.7536884,24.1858402,120.6699303,24.2163612,120.7062535,APPROXIMATE
Taipei City,Beitou District,25.2103038,121.5761183,25.0959931,121.4587389,25.1151759,121.515018,APPROXIMATE
Tainan City,Madou District,23.2314003,120.2912932,23.1307133,120.1917968,23.1763401,120.2397336,APPROXIMATE
Tainan City,Xuejia District,23.3012397,120.2324748,23.2068157,120.1334057,23.2553798,120.1704766,APPROXIMATE
Kaohsiung City,Lingya District,22.6385307,120.3455786,22.6092062,120.2900034,22.6268814,120.3262535,APPROXIMATE
Kaohsiung City,Xinxing District,22.6369116,120.3179725,22.6199579,120.297062,22.6283893,120.3060706,APPROXIMATE
Yunlin County,Yuanchang Township,23.6960004,120.3876128,23.5918513,120.274558,23.6288771,120.3320195,APPROXIMATE
Changhua County,Fuxing Township,24.0599329,120.4973827,23.9936768,120.3730998,24.0377011,120.4242401,APPROXIMATE
Tainan City,Anping District,23.0058205,120.1870781,22.9625432,120.1399996,22.9934043,120.1647036,APPROXIMATE
Lienchiang County,Juguang Township,25.983235,119.993349,25.9415435,119.9205919,25.9768466,119.9306863,APPROXIMATE
Tainan City,Guiren District,23.0157952,120.3270981,22.8952053,120.2614773,22.9519268,120.2858846,APPROXIMATE
Hsinchu County,Wufeng Township,24.6719371,121.2204554,24.4963506,121.0565983,24.5915441,121.1481284,APPROXIMATE
New Taipei City,Sanchong District,25.0947444,121.5070133,25.0385005,121.4651345,25.0614534,121.4867114,APPROXIMATE
Yilan County,Jiaoxi Township,24.8565793,121.8204366,24.7703883,121.6235027,24.8068769,121.7309452,APPROXIMATE
Yunlin County,Erlun Township,23.8202371,120.426202,23.7472709,120.3896317,23.8155793,120.4062196,APPROXIMATE
Kaohsiung City,Zuoying District,22.709535,120.32465,22.654725,120.251309,22.6877358,120.2916524,APPROXIMATE
Tainan City,Houbi District,23.4047828,120.4067878,23.3140334,120.2836998,23.3665101,120.3550808,APPROXIMATE
Tainan City,Dongshan District,23.3417012,120.532307,23.2200681,120.3314746,23.2825014,120.447285,APPROXIMATE
Chiayi County,Yizhu Township,23.4076205,120.2864571,23.290033,120.1626245,23.3530108,120.2166519,APPROXIMATE
Changhua County,Hemei Township,24.161487,120.5496028,24.0763202,120.4773903,24.1246022,120.5163949,APPROXIMATE
Pingtung County,Chaozhou Township,22.5659622,120.6056448,22.5034287,120.508386,22.5294168,120.5624474,APPROXIMATE
Taichung City,Central District,24.1482219,120.6860935,24.1355153,120.6737534,24.1402601,120.6818181,APPROXIMATE
Changhua County,Tianwei Township,23.9255704,120.5706442,23.8698559,120.4739284,23.9038461,120.5221524,APPROXIMATE
Hsinchu County,Xinpu Township,24.8824224,121.1613962,24.7912135,121.0135942,24.8496061,121.0908329,APPROXIMATE
Hsinchu County,Emei Township,24.7178705,121.0491248,24.6268595,120.9643747,24.6788411,120.9991032,APPROXIMATE
New Taipei City,Xinzhuang District,25.0691992,121.4687036,24.9952292,121.3906683,25.0265985,121.4178347,APPROXIMATE
New Taipei City,Shenkeng District,25.0256355,121.6457649,24.9692583,121.5956238,25.0033792,121.6169002,APPROXIMATE
Tainan City,Nanxi District,23.2394885,120.5800232,23.115137,120.4569321,23.1820152,120.5163949,APPROXIMATE
Taichung City,Wuri District,24.1385819,120.6633005,24.0258764,120.5815883,24.107787,120.6380936,APPROXIMATE
Yunlin County,Linnei Township,23.7913344,120.6559726,23.713481,120.5705026,23.7618842,120.6084832,APPROXIMATE
New Taipei City,Zhonghe District,25.0169557,121.5318173,24.9636206,121.4641871,24.9962178,121.4853103,APPROXIMATE
Kaohsiung City,Sanmin District,22.6805139,120.3502201,22.6317508,120.281726,22.6483444,120.3262535,APPROXIMATE
Kinmen County,Jinhu Township,24.4684285,118.4784469,24.4065421,118.3624523,24.4376913,118.4279933,APPROXIMATE
Hsinchu County,Beipu Township,24.7313205,121.0964707,24.6139369,121.0339232,24.6631393,121.067907,APPROXIMATE
Chiayi County,Zhongpu Township,23.4621309,120.6048973,23.3363873,120.4383886,23.3995944,120.5509358,APPROXIMATE
Nantou County,Zhongliao Township,23.9715046,120.8549674,23.8452579,120.7071105,23.9058666,120.7809676,APPROXIMATE
Kaohsiung City,Qishan District,22.9801512,120.5292581,22.7717633,120.4154208,22.8702492,120.4703258,APPROXIMATE
Yilan County,Yuanshan Township,24.7959107,121.7620098,24.680306,121.5870422,24.7381293,121.662532,APPROXIMATE
Yilan County,Datong Township,24.7224831,121.765848,24.3673936,121.3167219,24.5498206,121.5141615,APPROXIMATE
Kaohsiung City,Fengshan District,22.6486215,120.3876154,22.583527,120.3205388,22.6113591,120.3493158,APPROXIMATE
Yilan County,Zhuangwei Township,24.8092212,121.8354005,24.7119156,121.7707069,24.769569,121.7993168,APPROXIMATE
Taichung City,Heping District,24.4416976,121.4509512,24.1073838,120.8653486,24.3207261,121.3084088,APPROXIMATE
New Taipei City,Yingge District,24.9823133,121.3822931,24.9280449,121.3157741,24.9614967,121.3427262,APPROXIMATE
Chiayi County,Alishan Township,23.6148445,120.9576495,23.2843953,120.6419273,23.4354677,120.7809676,APPROXIMATE
Nantou County,Ren'ai Township,24.2463089,121.3494752,23.8091125,120.9375305,24.0213745,121.1252135,APPROXIMATE
Hsinchu City,North District,24.8569956,120.9872303,24.7823865,120.9109568,24.8238676,120.9474747,APPROXIMATE
Taichung City,Fengyuan District,24.2836617,120.7748441,24.2167568,120.6956844,24.2521156,120.7223572,APPROXIMATE
New Taipei City,Wulai District,24.8937542,121.7075062,24.6731851,121.4233015,24.8663721,121.5497801,APPROXIMATE
Chiayi County,Meishan Township,23.5968098,120.7465886,23.4982919,120.5146999,23.5410247,120.6890055,APPROXIMATE
Miaoli County,Gongguan Township,24.5605572,120.9078437,24.4353562,120.8109186,24.5019211,120.8384093,APPROXIMATE
Yunlin County,Kouhu Township,23.6254058,120.1922608,23.5429939,120.1399417,23.6178327,120.1630864,APPROXIMATE
Hsinchu County,Zhubei City,24.8814981,121.0666223,24.7838966,120.932081,24.8346871,120.9933678,APPROXIMATE
Changhua County,Dacun Township,24.0135085,120.6114277,23.9709633,120.5052948,23.9910777,120.5394232,APPROXIMATE
Miaoli County,Shitan Township,24.6012056,120.9745048,24.4445191,120.8647437,24.5238661,120.9302603,APPROXIMATE
Chiayi County,Budai Township,23.4529487,120.2376153,23.3099141,120.1174411,23.3627901,120.1704766,APPROXIMATE
New Taipei City,Shuangxi District,25.0973627,121.8972477,24.8996723,121.7636373,24.9971842,121.822098,APPROXIMATE
Taichung City,Beitun District,24.2192064,120.8026788,24.156767,120.6575064,24.1815237,120.6861019,APPROXIMATE
Taipei City,Neihu District,25.1151321,121.6285909,25.0518713,121.5521599,25.0689422,121.5909027,APPROXIMATE
Taichung City,Xitun District,24.2147597,120.6694232,24.1543588,120.5830663,24.1769764,120.6424333,APPROXIMATE
Kaohsiung City,Namaxia District,23.3708418,120.8235631,23.1692339,120.6382655,23.2742978,120.734995,APPROXIMATE
Miaoli County,Miaoli City,24.5991057,120.8451543,24.5187115,120.7783449,24.5711502,120.8154358,APPROXIMATE
Kaohsiung City,Mituo District,22.8045241,120.2620875,22.7438989,120.215499,22.7832231,120.2455033,APPROXIMATE
Taichung City,Shigang District,24.284246,120.8242637,24.2411426,120.7604581,24.2742426,120.7771553,APPROXIMATE
Taoyuan City,Fuxing District,24.8459055,121.4798128,24.5864837,121.2432727,24.709089,121.3770336,APPROXIMATE
Taoyuan City,Taoyuan District,25.1183727,121.400057,24.8302295,121.0214127,24.9553806,121.2300015,APPROXIMATE
Tainan City,Shanshang District,23.137653,120.4194915,23.0714953,120.3311084,23.0893067,120.3723741,APPROXIMATE
Kaohsiung City,Shanlin District,23.0622708,120.6236734,22.9114096,120.5021444,23.0007902,120.5624474,APPROXIMATE
Kaohsiung City,Yancheng District,22.6347297,120.2904237,22.6162524,120.277055,22.6224414,120.2830007,APPROXIMATE
New Taipei City,Wanli District,25.2227113,121.7085816,25.1302074,121.5893548,25.1676024,121.6397184,APPROXIMATE
Taipei City,Shilin District,25.1953736,121.6078303,25.0741867,121.4570603,25.0950492,121.5246077,APPROXIMATE
Nantou County,Mingjian Township,23.8902945,120.7372499,23.801311,120.6155614,23.8537843,120.6775054,APPROXIMATE
Tainan City,East District,23.0016995,120.249448,22.959466,120.2111904,22.98133,120.2224227,APPROXIMATE
Tainan City,Anding District,23.1350462,120.2692322,23.0665573,120.187335,23.095298,120.2166519,APPROXIMATE
Tainan City,Jiangjun District,23.238097,120.1782839,23.1815956,120.0656584,23.2054945,120.1011836,APPROXIMATE
Taichung City,Wufeng District,24.0923366,120.7966157,23.9985086,120.6478374,24.0442951,120.734995,APPROXIMATE
Tainan City,Guantian District,23.2289903,120.4305326,23.1505931,120.286906,23.1948768,120.3550808,APPROXIMATE
Kaohsiung City,Ziguan District,22.7707808,120.276222,22.7174585,120.2430049,22.7486104,120.2570421,APPROXIMATE
Miaoli County,Nanzhuang Township,24.6465617,121.0830935,24.4917845,120.9482326,24.5802942,121.0105733,APPROXIMATE
Yunlin County,Douliu City,23.7326519,120.6012851,23.6872635,120.4985913,23.7077947,120.5409089,APPROXIMATE
New Taipei City,Sanxia District,24.9521219,121.4972,24.7900797,121.3175693,24.9358605,121.3744903,APPROXIMATE
Kaohsiung City,Tianliao District,22.9227549,120.4496792,22.808465,120.3420976,22.8633474,120.4011911,APPROXIMATE
Hsinchu County,Xinfeng Township,24.9463726,121.0463111,24.8614702,120.9489572,24.9132859,120.9991032,APPROXIMATE
New Taipei City,Gongliao District,25.1217397,122.0069052,24.9607377,121.8606235,25.0168762,121.9459786,APPROXIMATE
Taichung City,East District,24.152728,120.7128635,24.1217041,120.6824983,24.1427702,120.6944233,APPROXIMATE
Kaohsiung City,Qianjin District,22.636042,120.3021389,22.6179633,120.2859446,22.6254162,120.2945362,APPROXIMATE
Kaohsiung City,Gangshan District,22.8421441,120.3509873,22.7657613,120.2522991,22.8016472,120.2858846,APPROXIMATE
Hsinchu County,Hengshan Township,24.7578823,121.2037234,24.6537623,121.098208,24.7113011,121.1366715,APPROXIMATE
Kaohsiung City,Meinong District,22.9833814,120.6282579,22.8282985,120.4952844,22.885385,120.5509358,APPROXIMATE
Chiayi County,Dapu Township,23.3670536,120.6629642,23.2148,120.5190005,23.3040182,120.5969758,APPROXIMATE
Chiayi County,Minxiong Township,23.5849183,120.5192007,23.4984124,120.3742516,23.5479954,120.4588059,APPROXIMATE
Taichung City,West District,24.1636034,120.6824983,24.128342,120.6498103,24.1430604,120.6631289,APPROXIMATE
Changhua County,Fenyuan Township,24.0467005,120.6786707,23.9523525,120.5919564,24.0133127,120.6283561,APPROXIMATE
Yunlin County,Huwei Township,23.7469929,120.5033306,23.6686107,120.3698434,23.7162184,120.4242401,APPROXIMATE
Yunlin County,Taixi Township,23.7630828,120.2429512,23.6580144,120.1594154,23.7229714,120.1935663,APPROXIMATE
Taichung City,Nantun District,24.171036,120.6551521,24.1093521,120.5742811,24.1471183,120.6084832,APPROXIMATE
Changhua County,Xihu Township,23.9839078,120.5157702,23.9195725,120.4450497,23.9583265,120.4933624,APPROXIMATE
Hsinchu County,Zhudong Township,24.8020457,121.1286503,24.6399992,121.0205963,24.774922,121.0449768,APPROXIMATE
Lienchiang County,Beigan Township,26.228092,120.0002171,26.2222533,119.9956804,26.2245753,119.9982607,APPROXIMATE
Taoyuan City,Bade District,24.9872202,121.3316215,24.9088324,121.2517861,24.9469059,121.2912463,APPROXIMATE
Kaohsiung City,Qijin District,22.6178078,120.3176512,20.5170001,116.6665,22.6141771,120.2659394,APPROXIMATE
Tainan City,Liujia District,23.2638691,120.4770233,23.1923348,120.2844329,23.2426813,120.3320195,APPROXIMATE
Chiayi County,Puzi City,23.4914444,120.294726,23.3945966,120.206228,23.4464152,120.2570421,APPROXIMATE
Tainan City,Xinshi District,23.1114148,120.3441074,23.0529743,120.2411277,23.0807324,120.2858846,APPROXIMATE
Changhua County,Shetou Township,23.9354682,120.6159091,23.8810137,120.5729585,23.8992037,120.5827201,APPROXIMATE
Yilan County,Wujie Township,24.7184761,121.8451337,24.6427117,121.7406655,24.6887633,121.8050125,APPROXIMATE
Taipei City,Zhongzheng District,25.0499358,121.537079,25.0086658,121.5040875,25.0421407,121.5198716,APPROXIMATE
Taoyuan City,Longtan District,24.894012,121.2678164,24.79938,121.1499565,24.8444927,121.2053963,APPROXIMATE
Yilan County,Yilan City,24.7844947,121.7891921,24.7132635,121.7280291,24.7591148,121.7537404,APPROXIMATE
Yunlin County,Lunbei Township,23.8029041,120.3805586,23.7476608,120.3031071,23.7601594,120.3531749,APPROXIMATE
New Taipei City,Wugu District,25.1322668,121.4710029,25.0607704,121.3999816,25.0848317,121.4386586,APPROXIMATE
Kinmen County,Jincheng Township,24.4430565,118.331949,24.3976507,118.2945219,24.4320647,118.3155101,APPROXIMATE
Taipei City,Xinyi District,25.0493106,121.5920455,25.0081179,121.5525867,25.0287024,121.5769572,APPROXIMATE
Hsinchu County,Qionglin Township,24.8149201,121.1530557,24.7229747,121.0521578,24.765792,121.1080244,APPROXIMATE
Changhua County,Lukang Township,24.1266223,120.4927852,24.0401538,120.3644228,24.0755127,120.447285,APPROXIMATE
Taipei City,Nangang District,25.0645607,121.6659421,25.0122231,121.5780338,25.0312347,121.6111949,APPROXIMATE
New Taipei City,Tamsui District,25.2443731,121.5225509,25.1229828,121.4049894,25.1719805,121.4433706,APPROXIMATE
Taipei City,Datong District,25.0808718,121.5223005,25.0481337,121.5043292,25.0627243,121.5113064,APPROXIMATE
Changhua County,Dacheng Township,23.8955674,120.3777763,23.8200594,120.2423574,23.8483614,120.3089541,APPROXIMATE
Tainan City,North District,23.0229491,120.2330413,22.9973067,120.1704087,23.008515,120.2079953,APPROXIMATE
Taichung City,Da'an District,24.4080471,120.6382275,24.323417,120.5517793,24.3702355,120.5912217,APPROXIMATE
Taichung City,Dali District,24.1249699,120.741504,24.0687643,120.6508064,24.1046899,120.6812114,APPROXIMATE
Yilan County,Su'ao Township,24.6550935,121.8860504,24.4318917,121.7791988,24.594229,121.8533264,APPROXIMATE
Tainan City,Shanhua District,23.176445,120.3462894,23.1048975,120.2549038,23.1402613,120.3089541,APPROXIMATE
Miaoli County,Sanyi Township,24.438124,120.8229572,24.3206318,120.7243425,24.3892633,120.769476,APPROXIMATE
Hsinchu City,Xiangshan District,24.8272887,120.9635184,24.7125478,120.8785096,24.7798216,120.9302603,APPROXIMATE
Hsinchu County,Baoshan Township,24.7805726,121.0697843,24.7040247,120.9354184,24.7427912,120.9991032,APPROXIMATE
Tainan City,Liuying District,23.3062849,120.4248401,23.2304848,120.2804149,23.2806957,120.3550808,APPROXIMATE
